frequency,raw
20.00,-7.07
20.20,-6.93
20.40,-6.79
20.61,-6.65
20.81,-6.51
21.02,-6.37
21.23,-6.22
21.44,-6.07
21.66,-5.92
21.87,-5.77
22.09,-5.62
22.31,-5.47
22.54,-5.32
22.76,-5.17
22.99,-5.02
23.22,-4.91
23.45,-4.80
23.69,-4.69
23.92,-4.58
24.16,-4.44
24.40,-4.28
24.65,-4.13
24.89,-3.98
25.14,-3.83
25.39,-3.68
25.65,-3.53
25.91,-3.38
26.16,-3.24
26.43,-3.10
26.69,-2.96
26.96,-2.82
27.23,-2.68
27.50,-2.54
27.77,-2.40
28.05,-2.28
28.33,-2.21
28.62,-2.14
28.90,-2.07
29.19,-1.96
29.48,-1.83
29.78,-1.70
30.08,-1.57
30.38,-1.45
30.68,-1.33
30.99,-1.22
31.30,-1.12
31.61,-1.03
31.93,-0.93
32.24,-0.85
32.57,-0.78
32.89,-0.70
33.22,-0.63
33.55,-0.56
33.89,-0.48
34.23,-0.41
34.57,-0.33
34.92,-0.25
35.27,-0.11
35.62,0.05
35.97,0.21
36.33,0.23
36.70,0.25
37.06,0.29
37.43,0.47
37.81,0.64
38.19,0.81
38.57,0.96
38.95,1.12
39.34,1.23
39.74,1.33
40.14,1.46
40.54,1.63
40.94,1.80
41.35,1.88
41.76,1.96
42.18,2.05
42.60,2.17
43.03,2.29
43.46,2.49
43.90,2.69
44.33,2.81
44.78,2.91
45.23,3.01
45.68,3.12
46.13,3.22
46.60,3.33
47.06,3.42
47.53,3.44
48.01,3.46
48.49,3.55
48.97,3.64
49.46,3.65
49.96,3.65
50.46,3.65
50.96,3.65
51.47,3.65
51.99,3.65
52.51,3.65
53.03,3.65
53.56,3.65
54.10,3.65
54.64,3.65
55.18,3.61
55.74,3.48
56.29,3.42
56.86,3.42
57.42,3.32
58.00,3.19
58.58,3.19
59.16,3.19
59.76,3.19
60.35,3.19
60.96,3.19
61.57,3.19
62.18,3.19
62.80,3.19
63.43,3.19
64.07,3.19
64.71,3.19
65.35,3.19
66.01,3.19
66.67,3.34
67.33,3.50
68.01,3.65
68.69,3.66
69.37,3.75
70.07,3.89
70.77,4.05
71.48,4.21
72.19,4.38
72.91,4.54
73.64,4.71
74.38,4.79
75.12,4.80
75.87,4.84
76.63,5.07
77.40,5.24
78.17,5.34
78.95,5.46
79.74,5.47
80.54,5.55
81.35,5.65
82.16,5.72
82.98,5.80
83.81,5.91
84.65,6.07
85.50,6.15
86.35,6.15
87.22,6.20
88.09,6.38
88.97,6.38
89.86,6.38
90.76,6.40
91.66,6.54
92.58,6.61
93.51,6.61
94.44,6.61
95.39,6.61
96.34,6.64
97.30,6.75
98.28,6.84
99.26,6.84
100.25,6.84
101.25,6.84
102.27,6.84
103.29,6.84
104.32,6.84
105.37,6.84
106.42,6.84
107.48,6.84
108.56,6.84
109.64,6.69
110.74,6.61
111.85,6.61
112.97,6.61
114.10,6.61
115.24,6.61
116.39,6.61
117.55,6.60
118.73,6.44
119.92,6.38
121.12,6.37
122.33,6.23
123.55,6.15
124.79,6.15
126.03,6.00
127.29,5.95
128.57,5.93
129.85,5.93
131.15,5.93
132.46,5.93
133.79,5.79
135.12,5.69
136.48,5.64
137.84,5.49
139.22,5.47
140.61,5.47
142.02,5.47
143.44,5.46
144.87,5.29
146.32,5.25
147.78,5.19
149.26,5.07
150.75,4.91
152.26,4.80
153.78,4.63
155.32,4.36
156.88,4.10
158.44,3.93
160.03,3.81
161.63,3.68
163.24,3.51
164.88,3.42
166.53,3.46
168.19,3.58
169.87,3.65
171.57,3.65
173.29,3.51
175.02,3.42
176.77,3.23
178.54,3.19
180.32,3.11
182.13,3.01
183.95,2.96
185.79,2.96
187.65,2.80
189.52,2.57
191.42,2.45
193.33,2.33
195.27,2.18
197.22,2.08
199.19,1.91
201.18,1.69
203.19,1.55
205.23,1.43
207.28,1.37
209.35,1.37
211.44,1.24
213.56,1.15
215.69,1.14
217.85,0.93
220.03,0.91
222.23,0.91
224.45,0.80
226.70,0.69
228.96,0.68
231.25,0.68
233.57,0.65
235.90,0.47
238.26,0.46
240.64,0.46
243.05,0.46
245.48,0.46
247.93,0.46
250.41,0.46
252.92,0.41
255.45,0.26
258.00,0.23
260.58,0.23
263.19,0.21
265.82,0.02
268.48,0.00
271.16,0.00
273.87,0.00
276.61,0.00
279.38,0.00
282.17,0.17
284.99,0.31
287.84,0.61
290.72,1.04
293.63,1.49
296.57,1.97
299.53,2.32
302.53,2.68
305.55,2.93
308.61,2.96
311.69,2.96
314.81,2.82
317.96,2.60
321.14,2.51
324.35,2.51
327.59,2.47
330.87,2.33
334.18,2.18
337.52,2.06
340.90,2.05
344.30,1.87
347.75,1.82
351.23,1.82
354.74,1.82
358.28,1.82
361.87,1.82
365.49,1.66
369.14,1.61
372.83,1.60
376.56,1.60
380.33,1.50
384.13,1.39
387.97,1.37
391.85,1.37
395.77,1.37
399.73,1.37
403.72,1.28
407.76,1.17
411.84,1.14
415.96,1.14
420.12,1.14
424.32,1.14
428.56,1.14
432.85,1.14
437.18,1.14
441.55,1.14
445.96,0.98
450.42,0.91
454.93,0.91
459.48,0.91
464.07,0.91
468.71,0.91
473.40,0.91
478.13,0.91
482.91,0.91
487.74,0.86
492.62,0.72
497.55,0.68
502.52,0.68
507.55,0.68
512.62,0.68
517.75,0.68
522.93,0.68
528.16,0.68
533.44,0.68
538.77,0.68
544.16,0.68
549.60,0.68
555.10,0.66
560.65,0.50
566.25,0.46
571.92,0.46
577.64,0.46
583.41,0.46
589.25,0.46
595.14,0.46
601.09,0.46
607.10,0.46
613.17,0.46
619.30,0.46
625.50,0.29
631.75,0.23
638.07,0.23
644.45,0.23
650.89,0.23
657.40,0.23
663.98,0.23
670.62,0.22
677.32,0.05
684.10,0.00
690.94,0.00
697.85,0.00
704.83,0.00
711.87,0.00
718.99,0.00
726.18,0.00
733.44,0.00
740.78,0.00
748.19,-0.13
755.67,-0.22
763.23,-0.23
770.86,-0.23
778.57,-0.23
786.35,-0.23
794.22,-0.23
802.16,-0.23
810.18,-0.23
818.28,-0.23
826.46,-0.23
834.73,-0.23
843.08,-0.23
851.51,-0.23
860.02,-0.23
868.62,-0.23
877.31,-0.41
886.08,-0.46
894.94,-0.46
903.89,-0.46
912.93,-0.46
922.06,-0.46
931.28,-0.46
940.59,-0.29
950.00,-0.23
959.50,-0.23
969.09,-0.13
978.78,-0.02
988.57,0.00
998.46,0.00
1008.44,0.00
1018.53,0.00
1028.71,0.00
1039.00,0.00
1049.39,0.00
1059.88,0.00
1070.48,0.00
1081.19,0.00
1092.00,0.00
1102.92,0.00
1113.95,0.00
1125.09,0.00
1136.34,0.00
1147.70,0.00
1159.18,0.00
1170.77,0.00
1182.48,0.00
1194.30,0.00
1206.25,0.00
1218.31,0.00
1230.49,0.02
1242.80,0.18
1255.22,0.23
1267.78,0.23
1280.45,0.23
1293.26,0.23
1306.19,0.23
1319.25,0.23
1332.45,0.29
1345.77,0.42
1359.23,0.46
1372.82,0.60
1386.55,0.67
1400.41,0.85
1414.42,0.91
1428.56,0.95
1442.85,1.16
1457.28,1.46
1471.85,1.59
1486.57,1.60
1501.43,1.63
1516.45,1.78
1531.61,1.82
1546.93,1.93
1562.40,2.03
1578.02,2.22
1593.80,2.46
1609.74,2.69
1625.84,2.80
1642.10,2.97
1658.52,3.24
1675.10,3.53
1691.85,3.64
1708.77,3.82
1725.86,3.92
1743.12,4.06
1760.55,4.20
1778.15,4.43
1795.94,4.54
1813.90,4.74
1832.03,4.81
1850.36,4.97
1868.86,5.10
1887.55,5.32
1906.42,5.45
1925.49,5.63
1944.74,5.70
1964.19,5.88
1983.83,5.98
2003.67,6.20
2023.71,6.35
2043.94,6.52
2064.38,6.76
2085.03,7.01
2105.88,7.12
2126.94,7.33
2148.20,7.49
2169.69,7.64
2191.38,7.73
2213.30,7.92
2235.43,7.99
2257.78,8.16
2280.36,8.28
2303.17,8.51
2326.20,8.64
2349.46,8.82
2372.95,8.89
2396.68,9.10
2420.65,9.30
2444.86,9.34
2469.31,9.34
2494.00,9.48
2518.94,9.73
2544.13,9.80
2569.57,9.80
2595.27,9.74
2621.22,9.60
2647.43,9.57
2673.90,9.57
2700.64,9.83
2727.65,10.12
2754.93,10.47
2782.48,10.67
2810.30,10.82
2838.40,10.92
2866.79,11.10
2895.46,11.16
2924.41,11.20
2953.65,11.36
