frequency,raw
20.00,3.14
20.20,3.16
20.40,3.18
20.61,3.20
20.81,3.22
21.02,3.24
21.23,3.27
21.44,3.29
21.66,3.31
21.87,3.34
22.09,3.35
22.31,3.35
22.54,3.35
22.76,3.35
22.99,3.35
23.22,3.35
23.45,3.35
23.69,3.35
23.92,3.35
24.16,3.38
24.40,3.43
24.65,3.48
24.89,3.53
25.14,3.55
25.39,3.55
25.65,3.55
25.91,3.55
26.16,3.55
26.43,3.55
26.69,3.55
26.96,3.55
27.23,3.55
27.50,3.55
27.77,3.55
28.05,3.56
28.33,3.62
28.62,3.67
28.90,3.73
29.19,3.75
29.48,3.75
29.78,3.75
30.08,3.75
30.38,3.75
30.68,3.75
30.99,3.75
31.30,3.75
31.61,3.75
31.93,3.75
32.24,3.75
32.57,3.75
32.89,3.75
33.22,3.79
33.55,3.86
33.89,3.93
34.23,3.95
34.57,3.95
34.92,3.95
35.27,3.95
35.62,3.95
35.97,3.95
36.33,3.95
36.70,3.95
37.06,3.95
37.43,3.95
37.81,3.95
38.19,3.95
38.57,3.95
38.95,3.95
39.34,3.95
39.74,3.95
40.14,3.96
40.54,4.00
40.94,4.04
41.35,4.05
41.76,4.05
42.18,4.05
42.60,4.05
43.03,4.05
43.46,4.05
43.90,4.05
44.33,4.08
44.78,4.12
45.23,4.14
45.68,4.15
46.13,4.15
46.60,4.15
47.06,4.15
47.53,4.15
48.01,4.15
48.49,4.15
48.97,4.15
49.46,4.15
49.96,4.15
50.46,4.15
50.96,4.15
51.47,4.15
51.99,4.15
52.51,4.15
53.03,4.15
53.56,4.15
54.10,4.16
54.64,4.21
55.18,4.25
55.74,4.25
56.29,4.25
56.86,4.25
57.42,4.25
58.00,4.25
58.58,4.25
59.16,4.25
59.76,4.25
60.35,4.25
60.96,4.25
61.57,4.25
62.18,4.25
62.80,4.25
63.43,4.25
64.07,4.25
64.71,4.25
65.35,4.23
66.01,4.20
66.67,4.17
67.33,4.15
68.01,4.15
68.69,4.08
69.37,4.05
70.07,4.05
70.77,4.05
71.48,4.05
72.19,4.05
72.91,4.05
73.64,4.05
74.38,4.05
75.12,4.05
75.87,4.05
76.63,4.05
77.40,4.05
78.17,4.05
78.95,4.05
79.74,4.05
80.54,4.05
81.35,4.04
82.16,4.01
82.98,3.95
83.81,3.95
84.65,3.93
85.50,3.89
86.35,3.85
87.22,3.85
88.09,3.85
88.97,3.85
89.86,3.85
90.76,3.85
91.66,3.83
92.58,3.79
93.51,3.76
94.44,3.76
95.39,3.75
96.34,3.72
97.30,3.65
98.28,3.63
99.26,3.57
100.25,3.50
101.25,3.48
102.27,3.47
103.29,3.46
104.32,3.44
105.37,3.40
106.42,3.33
107.48,3.24
108.56,3.16
109.64,3.12
110.74,3.10
111.85,3.08
112.97,3.03
114.10,2.96
115.24,2.90
116.39,2.88
117.55,2.87
118.73,2.84
119.92,2.72
121.12,2.69
122.33,2.70
123.55,2.71
124.79,2.65
126.03,2.53
127.29,2.53
128.57,2.49
129.85,2.44
131.15,2.38
132.46,2.36
133.79,2.35
135.12,2.34
136.48,2.28
137.84,2.21
139.22,2.15
140.61,2.08
142.02,2.03
143.44,1.98
144.87,1.96
146.32,1.89
147.78,1.84
149.26,1.78
150.75,1.70
152.26,1.64
153.78,1.53
155.32,1.48
156.88,1.42
158.44,1.30
160.03,1.26
161.63,1.22
163.24,1.11
164.88,1.05
166.53,1.05
168.19,0.92
169.87,0.83
171.57,0.72
173.29,0.63
175.02,0.53
176.77,0.48
178.54,0.42
180.32,0.34
182.13,0.28
183.95,0.23
185.79,0.18
187.65,0.14
189.52,0.08
191.42,-0.01
193.33,-0.11
