frequency,raw
20.00,2.15
20.20,2.15
20.40,2.15
20.61,2.15
20.81,2.15
21.02,2.15
21.23,2.15
21.44,2.15
21.66,2.15
21.87,2.15
22.09,2.15
22.31,2.15
22.54,2.15
22.76,2.15
22.99,2.15
23.22,2.15
23.45,2.15
23.69,2.15
23.92,2.15
24.16,2.15
24.40,2.15
24.65,2.15
24.89,2.15
25.14,2.15
25.39,2.15
25.65,2.15
25.91,2.15
26.16,2.15
26.43,2.15
26.69,2.15
26.96,2.15
27.23,2.15
27.50,2.15
27.77,2.15
28.05,2.15
28.33,2.15
28.62,2.15
28.90,2.15
29.19,2.17
29.48,2.20
29.78,2.23
30.08,2.26
30.38,2.29
30.68,2.32
30.99,2.35
31.30,2.35
31.61,2.35
31.93,2.35
32.24,2.35
32.57,2.35
32.89,2.35
33.22,2.35
33.55,2.35
33.89,2.35
34.23,2.35
34.57,2.35
34.92,2.35
35.27,2.35
35.62,2.35
35.97,2.35
36.33,2.35
36.70,2.35
37.06,2.35
37.43,2.35
37.81,2.35
38.19,2.35
38.57,2.35
38.95,2.35
39.34,2.35
39.74,2.35
40.14,2.35
40.54,2.35
40.94,2.35
41.35,2.35
41.76,2.35
42.18,2.35
42.60,2.35
43.03,2.35
43.46,2.35
43.90,2.35
44.33,2.35
44.78,2.35
45.23,2.35
45.68,2.35
46.13,2.35
46.60,2.35
47.06,2.35
47.53,2.35
48.01,2.35
48.49,2.35
48.97,2.35
49.46,2.35
49.96,2.35
50.46,2.35
50.96,2.35
51.47,2.35
51.99,2.35
52.51,2.35
53.03,2.35
53.56,2.35
54.10,2.35
54.64,2.35
55.18,2.35
55.74,2.35
56.29,2.35
56.86,2.35
57.42,2.35
58.00,2.35
58.58,2.35
59.16,2.35
59.76,2.35
60.35,2.35
60.96,2.35
61.57,2.35
62.18,2.35
62.80,2.35
63.43,2.35
64.07,2.35
64.71,2.35
65.35,2.35
66.01,2.35
66.67,2.35
67.33,2.35
68.01,2.35
68.69,2.35
69.37,2.35
70.07,2.35
70.77,2.35
71.48,2.35
72.19,2.35
72.91,2.35
73.64,2.35
74.38,2.35
75.12,2.35
75.87,2.35
76.63,2.35
77.40,2.35
78.17,2.35
78.95,2.35
79.74,2.35
80.54,2.35
81.35,2.35
82.16,2.35
82.98,2.35
83.81,2.35
84.65,2.35
85.50,2.35
86.35,2.35
87.22,2.35
88.09,2.35
88.97,2.35
89.86,2.35
90.76,2.35
91.66,2.35
92.58,2.36
93.51,2.36
94.44,2.36
95.39,2.35
96.34,2.35
97.30,2.35
98.28,2.34
99.26,2.32
100.25,2.30
101.25,2.28
102.27,2.27
103.29,2.26
104.32,2.24
105.37,2.22
106.42,2.19
107.48,2.17
108.56,2.14
109.64,2.12
110.74,2.10
111.85,2.09
112.97,2.08
114.10,2.07
115.24,2.07
116.39,2.07
117.55,2.07
118.73,2.05
119.92,1.92
121.12,1.89
122.33,1.90
123.55,1.91
124.79,1.92
126.03,1.92
127.29,1.93
128.57,1.94
129.85,1.94
131.15,1.95
132.46,1.95
133.79,1.96
135.12,1.96
136.48,1.96
137.84,1.97
139.22,1.97
140.61,1.97
142.02,1.97
143.44,1.97
144.87,1.97
146.32,1.97
147.78,1.97
149.26,1.93
150.75,1.88
152.26,1.87
153.78,1.87
155.32,1.82
156.88,1.77
158.44,1.77
160.03,1.77
161.63,1.77
163.24,1.77
164.88,1.76
166.53,1.76
168.19,1.75
169.87,1.75
171.57,1.74
173.29,1.73
175.02,1.73
176.77,1.69
178.54,1.63
180.32,1.63
182.13,1.63
183.95,1.64
185.79,1.60
187.65,1.57
189.52,1.58
191.42,1.59
193.33,1.61
195.27,1.63
197.22,1.64
199.19,1.65
201.18,1.65
203.19,1.60
205.23,1.56
207.28,1.56
209.35,1.56
211.44,1.55
213.56,1.48
215.69,1.45
217.85,1.45
220.03,1.45
222.23,1.41
224.45,1.35
226.70,1.34
228.96,1.35
231.25,1.35
233.57,1.34
235.90,1.28
238.26,1.29
240.64,1.31
243.05,1.32
245.48,1.28
247.93,1.27
250.41,1.29
252.92,1.30
255.45,1.32
258.00,1.32
260.58,1.33
263.19,1.32
265.82,1.25
268.48,1.19
271.16,1.14
273.87,1.12
276.61,1.12
279.38,1.12
282.17,1.12
284.99,1.13
287.84,1.08
290.72,1.04
293.63,0.96
296.57,0.97
299.53,0.98
302.53,0.99
305.55,1.00
308.61,0.95
311.69,0.92
314.81,0.89
317.96,0.84
321.14,0.78
324.35,0.73
327.59,0.72
330.87,0.72
334.18,0.72
337.52,0.66
340.90,0.62
344.30,0.61
347.75,0.61
351.23,0.60
354.74,0.54
358.28,0.47
361.87,0.44
365.49,0.43
369.14,0.44
372.83,0.41
376.56,0.36
380.33,0.36
384.13,0.37
387.97,0.32
391.85,0.29
395.77,0.27
399.73,0.21
403.72,0.17
407.76,0.17
411.84,0.17
415.96,0.10
420.12,0.02
424.32,-0.02
428.56,-0.02
432.85,-0.01
437.18,-0.02
441.55,-0.04
445.96,0.00
450.42,0.06
454.93,0.08
459.48,0.01
464.07,0.03
468.71,0.08
473.40,0.15
478.13,0.18
482.91,0.15
487.74,0.19
492.62,0.25
497.55,0.19
502.52,0.17
507.55,0.12
512.62,0.10
517.75,0.12
522.93,0.14
528.16,0.12
533.44,-0.05
538.77,-0.15
544.16,-0.18
549.60,-0.22
555.10,-0.26
560.65,-0.30
566.25,-0.47
571.92,-0.63
577.64,-0.66
583.41,-0.67
589.25,-0.74
595.14,-0.80
601.09,-0.89
607.10,-0.93
613.17,-0.97
619.30,-0.97
625.50,-0.94
631.75,-0.91
638.07,-0.87
644.45,-0.84
650.89,-0.79
657.40,-0.82
663.98,-0.88
670.62,-0.85
677.32,-0.80
684.10,-0.75
690.94,-0.72
697.85,-0.68
704.83,-0.66
711.87,-0.69
718.99,-0.76
726.18,-0.78
733.44,-0.85
740.78,-0.88
748.19,-0.87
755.67,-0.89
763.23,-0.91
770.86,-0.93
778.57,-0.94
786.35,-0.95
794.22,-0.95
802.16,-0.95
810.18,-0.92
818.28,-0.85
826.46,-0.79
834.73,-0.74
843.08,-0.73
851.51,-0.66
860.02,-0.64
868.62,-0.65
877.31,-0.58
886.08,-0.48
894.94,-0.47
903.89,-0.48
912.93,-0.43
922.06,-0.39
931.28,-0.31
940.59,-0.29
950.00,-0.28
959.50,-0.22
969.09,-0.18
978.78,-0.11
988.57,-0.06
998.46,-0.01
1008.44,0.09
1018.53,0.19
1028.71,0.23
1039.00,0.26
1049.39,0.37
1059.88,0.43
1070.48,0.48
1081.19,0.53
1092.00,0.58
1102.92,0.64
1113.95,0.70
1125.09,0.76
1136.34,0.84
1147.70,0.92
1159.18,1.00
1170.77,1.03
1182.48,1.10
1194.30,1.20
1206.25,1.31
1218.31,1.37
1230.49,1.38
1242.80,1.43
1255.22,1.52
1267.78,1.58
1280.45,1.67
1293.26,1.73
1306.19,1.76
1319.25,1.85
1332.45,1.98
1345.77,2.03
1359.23,2.09
1372.82,2.10
1386.55,2.15
1400.41,2.24
1414.42,2.33
1428.56,2.34
1442.85,2.40
1457.28,2.46
1471.85,2.49
1486.57,2.56
1501.43,2.66
1516.45,2.73
1531.61,2.73
1546.93,2.79
1562.40,2.85
1578.02,2.92
1593.80,2.99
1609.74,3.12
1625.84,3.21
1642.10,3.27
1658.52,3.34
1675.10,3.41
1691.85,3.48
1708.77,3.56
1725.86,3.64
1743.12,3.73
1760.55,3.82
1778.15,3.92
1795.94,4.03
1813.90,4.14
1832.03,4.25
1850.36,4.32
1868.86,4.41
1887.55,4.53
1906.42,4.66
1925.49,4.79
1944.74,4.92
1964.19,5.05
1983.83,5.18
2003.67,5.31
2023.71,5.38
2043.94,5.53
2064.38,5.68
2085.03,5.81
2105.88,5.87
2126.94,5.99
2148.20,6.11
2169.69,6.15
2191.38,6.28
2213.30,6.42
2235.43,6.57
2257.78,6.66
2280.36,6.74
2303.17,6.83
2326.20,6.95
2349.46,7.05
2372.95,7.08
2396.68,7.00
2420.65,6.95
2444.86,6.96
2469.31,7.00
2494.00,7.01
2518.94,7.05
2544.13,7.05
2569.57,7.08
2595.27,7.20
2621.22,7.32
2647.43,7.41
2673.90,7.46
2700.64,7.52
2727.65,7.53
2754.93,7.48
2782.48,7.46
2810.30,7.45
2838.40,7.39
2866.79,7.39
2895.46,7.38
2924.41,7.18
2953.65,6.98
2983.19,6.90
3013.02,6.85
3043.15,6.80
3073.58,6.75
3104.32,6.67
3135.36,6.56
3166.72,6.53
3198.38,6.48
3230.37,6.44
3262.67,6.33
3295.30,6.19
3328.25,6.01
3361.53,5.90
3395.15,5.87
3429.10,5.93
3463.39,5.93
3498.03,5.89
3533.01,5.89
3568.34,5.89
3604.02,5.98
3640.06,6.00
3676.46,5.98
3713.22,5.94
3750.36,5.81
3787.86,5.69
3825.74,5.61
3864.00,5.60
3902.64,5.62
3941.66,5.69
3981.08,5.86
4020.89,5.94
4061.10,6.02
4101.71,6.15
4142.73,6.26
4184.15,6.28
4226.00,6.32
4268.26,6.30
4310.94,6.31
4354.05,6.36
4397.59,6.36
4441.56,6.26
4485.98,6.18
4530.84,6.07
4576.15,5.97
4621.91,5.84
4668.13,5.57
4714.81,5.31
4761.96,5.08
4809.58,4.77
4857.67,4.38
4906.25,4.02
4955.31,3.63
5004.87,3.11
