frequency,raw
20.00,5.94
20.20,6.00
20.40,6.06
20.61,6.12
20.81,6.18
21.02,6.24
21.23,6.23
21.44,6.22
21.66,6.21
21.87,6.20
22.09,6.23
22.31,6.30
22.54,6.38
22.76,6.45
22.99,6.53
23.22,6.62
23.45,6.72
23.69,6.81
23.92,6.91
24.16,6.96
24.40,6.99
24.65,7.02
24.89,7.06
25.14,7.08
25.39,7.10
25.65,7.12
25.91,7.13
26.16,7.24
26.43,7.41
26.69,7.57
26.96,7.73
27.23,7.71
27.50,7.64
27.77,7.58
28.05,7.55
28.33,7.68
28.62,7.81
28.90,7.95
29.19,7.99
29.48,7.99
29.78,7.98
30.08,7.97
30.38,7.93
30.68,7.89
30.99,7.85
31.30,7.95
31.61,8.05
31.93,8.16
32.24,8.22
32.57,8.28
32.89,8.33
33.22,8.31
33.55,8.25
33.89,8.19
34.23,8.26
34.57,8.39
34.92,8.52
35.27,8.58
35.62,8.61
35.97,8.65
36.33,8.65
36.70,8.65
37.06,8.65
37.43,8.63
37.81,8.62
38.19,8.69
38.57,8.84
38.95,8.99
39.34,8.92
39.74,8.81
40.14,8.77
40.54,8.85
40.94,8.94
41.35,8.95
41.76,8.95
42.18,8.92
42.60,8.86
43.03,8.82
43.46,8.98
43.90,9.14
44.33,9.18
44.78,9.18
45.23,9.17
45.68,9.16
46.13,9.15
46.60,9.14
47.06,9.15
47.53,9.20
48.01,9.26
48.49,9.26
48.97,9.26
49.46,9.26
49.96,9.26
50.46,9.26
50.96,9.26
51.47,9.22
51.99,9.18
52.51,9.27
53.03,9.36
53.56,9.36
54.10,9.36
54.64,9.36
55.18,9.36
55.74,9.36
56.29,9.36
56.86,9.36
57.42,9.36
58.00,9.36
58.58,9.36
59.16,9.36
59.76,9.36
60.35,9.36
60.96,9.36
61.57,9.36
62.18,9.36
62.80,9.36
63.43,9.36
64.07,9.36
64.71,9.36
65.35,9.35
66.01,9.32
66.67,9.41
67.33,9.42
68.01,9.36
68.69,9.26
69.37,9.21
70.07,9.22
70.77,9.25
71.48,9.26
72.19,9.26
72.91,9.26
73.64,9.26
74.38,9.26
75.12,9.26
75.87,9.26
76.63,9.28
77.40,9.31
78.17,9.30
78.95,9.17
79.74,9.16
80.54,9.16
81.35,9.16
82.16,9.15
82.98,9.15
83.81,9.19
84.65,9.19
85.50,9.12
86.35,9.05
87.22,9.06
88.09,9.03
88.97,8.90
89.86,8.93
90.76,8.96
91.66,8.98
92.58,9.01
93.51,8.95
94.44,8.87
95.39,8.86
96.34,8.86
97.30,8.85
98.28,8.81
99.26,8.73
100.25,8.69
101.25,8.59
102.27,8.58
103.29,8.57
104.32,8.56
105.37,8.54
106.42,8.45
107.48,8.32
108.56,8.23
109.64,8.21
110.74,8.22
111.85,8.23
112.97,8.15
114.10,8.06
115.24,7.98
116.39,7.98
117.55,8.00
118.73,7.98
119.92,7.90
121.12,7.90
122.33,7.89
123.55,7.85
124.79,7.80
126.03,7.73
127.29,7.73
128.57,7.70
129.85,7.64
131.15,7.58
132.46,7.56
133.79,7.56
135.12,7.56
136.48,7.54
137.84,7.41
139.22,7.38
140.61,7.37
142.02,7.38
143.44,7.30
144.87,7.20
146.32,7.18
147.78,7.19
149.26,7.14
150.75,7.01
152.26,6.97
153.78,6.97
155.32,6.90
156.88,6.82
158.44,6.77
160.03,6.77
161.63,6.79
163.24,6.71
164.88,6.63
166.53,6.55
168.19,6.55
169.87,6.56
171.57,6.45
173.29,6.36
175.02,6.29
176.77,6.23
178.54,6.22
180.32,6.11
182.13,6.04
183.95,6.04
185.79,5.99
187.65,5.95
189.52,5.89
191.42,5.89
193.33,5.89
195.27,5.80
197.22,5.74
199.19,5.70
201.18,5.66
203.19,5.59
205.23,5.53
207.28,5.47
209.35,5.40
211.44,5.36
213.56,5.35
215.69,5.30
217.85,5.16
220.03,5.14
222.23,5.10
224.45,4.98
226.70,4.93
228.96,4.93
231.25,4.80
233.57,4.75
235.90,4.72
238.26,4.67
240.64,4.61
243.05,4.57
245.48,4.54
247.93,4.49
250.41,4.48
252.92,4.49
255.45,4.42
258.00,4.34
260.58,4.31
263.19,4.25
265.82,4.13
268.48,4.11
271.16,4.07
273.87,3.94
276.61,3.90
279.38,3.88
282.17,3.76
284.99,3.71
287.84,3.67
290.72,3.63
293.63,3.55
296.57,3.51
299.53,3.47
302.53,3.40
305.55,3.36
308.61,3.28
311.69,3.17
314.81,3.12
317.96,3.11
321.14,3.05
324.35,2.92
327.59,2.91
330.87,2.86
334.18,2.72
337.52,2.69
340.90,2.62
344.30,2.55
347.75,2.52
351.23,2.43
354.74,2.32
358.28,2.31
361.87,2.26
365.49,2.12
369.14,2.12
372.83,2.08
376.56,2.01
380.33,1.88
384.13,1.84
387.97,1.87
391.85,1.79
395.77,1.66
399.73,1.66
