frequency,raw
20,9.24
21,9.44
22,9.64
23,9.74
24,9.87
25,10.04
26,10.14
27,10.15
28,10.34
29,10.34
30,10.55
31,10.55
32,10.55
33,10.65
34,10.75
35,10.75
36,10.75
37,10.85
38,10.85
39,10.85
40,10.85
41,10.85
42,10.85
43,10.85
44,10.95
45,10.95
46,11.05
47,11.05
48,11.05
49,11.05
50,11.00
51,10.95
52,10.95
53,10.95
54,10.95
55,10.95
56,10.95
57,10.95
58,10.95
59,10.95
60,10.95
61,10.95
62,10.89
63,10.85
64,10.84
65,10.75
66,10.75
67,10.75
68,10.75
69,10.75
70,10.75
71,10.69
72,10.65
73,10.65
74,10.65
75,10.55
76,10.55
77,10.55
78,10.49
79,10.44
80,10.44
81,10.44
82,10.44
83,10.44
84,10.44
85,10.39
86,10.26
87,10.24
88,10.24
89,10.25
90,10.25
91,10.22
92,10.15
93,10.15
94,10.06
95,10.05
96,10.05
97,10.00
98,9.93
99,9.92
100,9.91
101,9.81
102,9.75
104,9.64
105,9.62
106,9.60
107,9.54
108,9.45
109,9.37
110,9.31
111,9.29
112,9.28
113,9.27
114,9.26
115,9.19
117,9.08
118,9.07
119,9.07
120,9.00
121,8.98
123,8.89
124,8.90
125,8.84
126,8.81
128,8.82
129,8.81
130,8.74
131,8.72
133,8.64
134,8.64
135,8.60
137,8.51
138,8.45
140,8.45
141,8.46
142,8.46
144,8.36
145,8.28
147,8.24
148,8.17
150,8.10
151,8.05
153,8.05
154,8.05
156,7.97
157,7.96
159,7.86
160,7.83
162,7.75
164,7.65
165,7.65
167,7.64
169,7.54
170,7.53
172,7.40
174,7.30
175,7.31
177,7.28
179,7.21
181,7.11
183,7.05
184,7.02
186,6.95
188,6.93
190,6.98
192,6.89
194,6.78
196,6.83
198,6.82
200,6.66
202,6.62
204,6.66
206,6.61
208,6.44
210,6.44
212,6.44
214,6.26
216,6.21
218,6.25
221,6.04
223,6.00
225,6.02
227,5.95
229,5.92
232,5.83
234,5.81
236,5.75
239,5.74
241,5.70
244,5.63
246,5.51
248,5.54
251,5.54
253,5.41
256,5.39
259,5.38
261,5.23
264,5.20
266,5.22
269,5.05
272,4.98
274,5.01
277,4.88
280,4.77
283,4.81
286,4.70
288,4.60
291,4.61
294,4.47
297,4.43
300,4.47
303,4.34
306,4.26
309,4.29
312,4.21
316,4.08
319,4.11
322,4.03
325,3.99
328,3.90
332,3.83
335,3.79
338,3.72
342,3.68
345,3.62
349,3.49
352,3.46
356,3.38
359,3.33
363,3.28
366,3.21
370,3.16
374,3.06
377,3.04
381,2.92
385,2.83
389,2.84
393,2.74
397,2.64
401,2.64
405,2.56
409,2.43
413,2.43
417,2.39
421,2.30
425,2.16
430,2.15
434,2.14
438,2.03
443,2.03
447,2.07
451,1.99
456,1.98
460,2.04
465,1.99
470,1.97
474,2.02
479,1.99
484,1.90
489,1.90
494,1.90
499,1.86
504,1.75
509,1.77
514,1.73
519,1.60
524,1.58
529,1.55
535,1.37
540,1.31
545,1.22
551,1.03
556,0.98
562,0.83
568,0.73
573,0.63
579,0.57
585,0.47
591,0.36
596,0.35
602,0.30
608,0.27
615,0.18
621,0.15
627,0.13
633,0.16
639,0.11
646,0.10
652,0.07
659,0.05
665,0.07
672,0.12
679,0.16
686,0.06
692,0.05
699,0.08
706,0.09
713,0.10
721,-0.02
728,-0.13
735,-0.15
742,-0.18
750,-0.21
757,-0.24
765,-0.26
773,-0.37
780,-0.39
788,-0.39
796,-0.40
804,-0.39
812,-0.32
820,-0.28
828,-0.28
837,-0.28
845,-0.28
853,-0.28
862,-0.29
871,-0.30
879,-0.30
888,-0.19
897,-0.20
906,-0.23
915,-0.25
924,-0.25
933,-0.15
943,-0.14
952,-0.13
962,-0.02
971,0.00
981,-0.01
991,0.00
1001,0.00
1011,0.03
1021,0.16
1031,0.19
1041,0.22
1052,0.25
1062,0.29
1073,0.34
1084,0.39
1094,0.44
1105,0.50
1116,0.56
1128,0.63
1139,0.71
1150,0.79
1162,0.73
1173,0.73
1185,0.73
1197,0.77
1209,0.76
1221,0.80
1233,0.93
1246,0.94
1258,0.94
1271,0.93
1283,1.03
1296,1.08
1309,1.10
1322,1.16
1335,1.18
1349,1.25
1362,1.35
1376,1.35
1390,1.35
1404,1.40
1418,1.45
1432,1.58
1446,1.57
1461,1.62
1475,1.62
1490,1.61
1505,1.73
1520,1.72
1535,1.66
1550,1.75
1566,1.83
1582,1.90
1597,1.86
1613,1.91
1629,1.97
1646,2.03
1662,2.10
1679,2.15
1696,2.12
1713,2.21
1730,2.30
1747,2.39
1764,2.48
1782,2.50
1800,2.56
1818,2.53
1836,2.61
1854,2.65
1873,2.56
1892,2.68
1911,2.76
1930,2.70
1949,2.92
1969,3.01
1988,2.89
2008,2.96
2028,3.02
2048,3.11
2069,3.15
2090,3.22
2111,3.31
2132,3.36
2153,3.47
2175,3.58
2196,3.67
2218,3.76
2240,3.83
