frequency,raw
20,-1.12
21,-1.04
22,-0.63
23,-0.56
24,-0.39
25,0.05
26,0.16
27,0.16
28,0.53
29,0.81
30,0.59
31,0.85
32,1.05
33,1.06
34,1.41
35,1.24
36,1.61
37,1.37
38,1.76
39,1.69
40,1.61
41,2.01
42,1.85
43,1.99
44,2.10
45,2.12
46,1.97
47,2.19
48,2.42
49,2.30
50,2.18
51,2.40
52,2.40
53,2.52
54,2.52
55,2.38
56,2.60
57,2.60
58,2.60
59,2.78
60,2.71
61,2.58
62,2.80
63,2.80
64,2.80
65,2.80
66,2.80
67,2.80
68,2.80
69,2.80
70,2.70
71,3.10
72,3.03
73,3.00
74,3.00
75,3.00
76,3.00
77,3.00
78,3.00
79,3.00
80,3.00
81,3.00
82,3.00
83,3.00
84,3.00
85,2.92
86,2.97
87,3.10
88,3.10
89,3.10
90,3.10
91,3.10
92,3.11
93,3.11
94,3.11
95,3.11
96,3.10
97,3.10
98,3.09
99,3.08
100,3.06
101,3.05
102,3.03
104,3.00
105,2.98
106,2.95
107,2.93
108,2.91
109,2.89
110,2.87
111,2.85
112,2.85
113,2.91
114,2.85
115,2.72
117,2.72
118,2.73
119,2.73
120,2.74
121,2.75
123,2.75
124,2.76
125,2.77
126,2.78
128,2.78
129,2.79
130,2.79
131,2.80
133,2.85
134,2.87
135,2.79
137,2.71
138,2.72
140,2.72
141,2.72
142,2.72
144,2.72
145,2.72
147,2.72
148,2.72
150,2.73
151,2.75
153,2.56
154,2.48
156,2.52
157,2.52
159,2.52
160,2.52
162,2.52
164,2.52
165,2.53
167,2.55
169,2.40
170,2.40
172,2.39
174,2.38
175,2.38
177,2.38
179,2.39
181,2.21
183,2.17
184,2.19
186,2.20
188,2.22
190,2.23
192,2.27
194,2.26
196,2.18
198,2.19
200,2.21
202,2.20
204,2.06
206,2.01
208,2.01
210,2.01
212,2.01
214,2.01
216,1.95
218,1.90
221,1.89
223,1.89
225,1.80
227,1.79
229,1.79
232,1.70
234,1.71
236,1.72
239,1.73
241,1.66
244,1.61
246,1.60
248,1.62
251,1.64
253,1.65
256,1.59
259,1.57
261,1.58
264,1.56
266,1.49
269,1.43
272,1.37
274,1.37
277,1.36
280,1.33
283,1.27
286,1.21
288,1.18
291,1.19
294,1.10
297,1.07
300,1.03
303,1.04
306,1.05
309,0.98
312,0.95
316,0.87
319,0.87
322,0.85
325,0.77
328,0.72
332,0.67
335,0.66
338,0.60
342,0.56
345,0.53
349,0.46
352,0.39
356,0.36
359,0.37
363,0.29
366,0.18
370,0.18
374,0.14
377,0.10
381,0.11
385,0.11
389,0.04
393,-0.00
397,-0.08
401,-0.08
405,-0.15
409,-0.28
413,-0.29
417,-0.29
421,-0.29
425,-0.36
430,-0.41
434,-0.45
438,-0.50
443,-0.49
447,-0.43
451,-0.53
456,-0.55
460,-0.48
465,-0.40
470,-0.37
474,-0.47
479,-0.45
484,-0.40
489,-0.46
494,-0.42
499,-0.49
504,-0.47
509,-0.55
514,-0.58
519,-0.63
524,-0.64
529,-0.65
535,-0.75
540,-0.82
545,-0.94
551,-0.99
556,-1.08
562,-1.19
568,-1.34
573,-1.38
579,-1.45
585,-1.54
591,-1.64
596,-1.66
602,-1.66
608,-1.65
615,-1.61
621,-1.65
627,-1.69
633,-1.66
639,-1.63
646,-1.59
652,-1.54
659,-1.52
665,-1.55
672,-1.50
679,-1.44
686,-1.40
692,-1.36
699,-1.33
706,-1.32
713,-1.39
721,-1.42
728,-1.44
735,-1.47
742,-1.39
750,-1.42
757,-1.45
765,-1.37
773,-1.39
780,-1.40
788,-1.40
796,-1.35
804,-1.30
812,-1.30
820,-1.29
828,-1.24
837,-1.18
845,-1.04
853,-0.99
862,-0.99
871,-0.96
879,-0.91
888,-0.84
897,-0.81
906,-0.77
915,-0.67
924,-0.53
933,-0.52
943,-0.56
952,-0.45
962,-0.28
971,-0.19
981,-0.16
991,-0.07
1001,0.01
1011,0.01
1021,0.24
1031,0.36
1041,0.41
1052,0.57
1062,0.58
1073,0.60
1084,0.90
1094,0.97
1105,0.96
1116,1.10
1128,1.25
1139,1.45
1150,1.52
1162,1.54
1173,1.63
1185,1.82
1197,1.97
1209,2.09
1221,2.21
1233,2.35
1246,2.47
1258,2.50
1271,2.64
1283,2.79
1296,2.93
1309,2.99
1322,3.13
1335,3.28
1349,3.44
1362,3.59
1376,3.67
1390,3.78
1404,3.92
1418,4.01
1432,3.99
1446,4.11
1461,4.23
1475,4.34
1490,4.44
1505,4.55
1520,4.71
1535,4.79
1550,4.87
1566,5.03
1582,5.10
