frequency,raw
20.00,1.36
20.20,1.41
20.40,1.46
20.61,1.51
20.81,1.56
21.02,1.60
21.23,1.65
21.44,1.69
21.66,1.73
21.87,1.78
22.09,1.82
22.31,1.87
22.54,1.91
22.76,1.96
22.99,2.01
23.22,2.01
23.45,2.01
23.69,2.01
23.92,2.01
24.16,2.04
24.40,2.08
24.65,2.13
24.89,2.17
25.14,2.21
25.39,2.23
25.65,2.26
25.91,2.29
26.16,2.32
26.43,2.36
26.69,2.40
26.96,2.43
27.23,2.46
27.50,2.48
27.77,2.49
28.05,2.52
28.33,2.56
28.62,2.60
28.90,2.64
29.19,2.65
29.48,2.66
29.78,2.67
30.08,2.67
30.38,2.69
30.68,2.70
30.99,2.71
31.30,2.73
31.61,2.75
31.93,2.77
32.24,2.77
32.57,2.77
32.89,2.77
33.22,2.80
33.55,2.85
33.89,2.89
34.23,2.91
34.57,2.91
34.92,2.91
35.27,2.93
35.62,2.96
35.97,2.99
36.33,3.03
36.70,3.07
37.06,3.11
37.43,3.11
37.81,3.11
38.19,3.11
38.57,3.11
38.95,3.11
39.34,3.11
39.74,3.11
40.14,3.12
40.54,3.16
40.94,3.20
41.35,3.25
41.76,3.29
42.18,3.31
42.60,3.31
43.03,3.31
43.46,3.31
43.90,3.31
44.33,3.31
44.78,3.31
45.23,3.31
45.68,3.31
46.13,3.31
46.60,3.31
47.06,3.31
47.53,3.31
48.01,3.31
48.49,3.31
48.97,3.31
49.46,3.31
49.96,3.31
50.46,3.30
50.96,3.29
51.47,3.35
51.99,3.41
52.51,3.46
53.03,3.50
53.56,3.51
54.10,3.51
54.64,3.51
55.18,3.51
55.74,3.51
56.29,3.51
56.86,3.51
57.42,3.51
58.00,3.51
58.58,3.51
59.16,3.51
59.76,3.51
60.35,3.51
60.96,3.51
61.57,3.51
62.18,3.51
62.80,3.51
63.43,3.51
64.07,3.51
64.71,3.51
65.35,3.52
66.01,3.53
66.67,3.47
67.33,3.43
68.01,3.41
68.69,3.41
69.37,3.41
70.07,3.41
70.77,3.41
71.48,3.41
72.19,3.41
72.91,3.41
73.64,3.41
74.38,3.36
75.12,3.29
75.87,3.29
76.63,3.30
77.40,3.31
78.17,3.31
78.95,3.31
79.74,3.31
80.54,3.31
81.35,3.31
82.16,3.31
82.98,3.29
83.81,3.36
84.65,3.40
85.50,3.41
86.35,3.41
87.22,3.41
88.09,3.41
88.97,3.41
89.86,3.41
90.76,3.42
91.66,3.42
92.58,3.42
93.51,3.42
94.44,3.42
95.39,3.42
96.34,3.41
97.30,3.41
98.28,3.40
99.26,3.38
100.25,3.37
101.25,3.35
102.27,3.34
103.29,3.32
