frequency,raw
20,-6.04
21,-5.84
22,-5.64
23,-5.44
24,-5.24
25,-5.08
26,-5.04
27,-4.92
28,-4.83
29,-4.73
30,-4.63
31,-4.53
32,-4.43
33,-4.33
34,-4.23
35,-4.03
36,-3.86
37,-3.83
38,-3.63
39,-3.63
40,-3.63
41,-3.63
42,-3.63
43,-3.50
44,-3.23
45,-3.01
46,-2.83
47,-2.65
48,-2.52
49,-2.42
50,-2.35
51,-2.32
52,-2.23
53,-2.12
54,-2.02
55,-1.92
56,-1.82
57,-1.79
58,-1.58
59,-1.46
60,-1.42
61,-1.42
62,-1.39
63,-1.31
64,-1.31
65,-1.31
66,-1.31
67,-1.31
68,-1.31
69,-1.31
70,-1.31
71,-1.31
72,-1.31
73,-1.31
74,-1.31
75,-1.42
76,-1.42
77,-1.42
78,-1.42
79,-1.42
80,-1.42
81,-1.42
82,-1.42
83,-1.42
84,-1.42
85,-1.42
86,-1.42
87,-1.41
88,-1.41
89,-1.41
90,-1.41
91,-1.41
92,-1.41
93,-1.41
94,-1.41
95,-1.41
96,-1.41
97,-1.42
98,-1.43
99,-1.44
100,-1.45
101,-1.52
102,-1.59
104,-1.61
105,-1.64
106,-1.66
107,-1.69
108,-1.71
109,-1.73
110,-1.75
111,-1.77
112,-1.78
113,-1.79
114,-1.69
115,-1.69
117,-1.69
118,-1.69
119,-1.71
120,-1.78
121,-1.77
123,-1.76
124,-1.75
125,-1.75
126,-1.74
128,-1.73
129,-1.73
130,-1.72
131,-1.72
133,-1.71
134,-1.71
135,-1.70
137,-1.70
138,-1.70
140,-1.70
141,-1.69
142,-1.69
144,-1.69
145,-1.69
147,-1.69
148,-1.69
150,-1.69
151,-1.69
153,-1.69
154,-1.69
156,-1.69
157,-1.69
159,-1.74
160,-1.79
162,-1.79
164,-1.80
165,-1.79
167,-1.70
169,-1.71
170,-1.72
172,-1.72
174,-1.73
175,-1.73
177,-1.74
179,-1.74
181,-1.73
183,-1.73
184,-1.72
186,-1.71
188,-1.69
190,-1.68
192,-1.66
194,-1.64
196,-1.63
198,-1.62
200,-1.61
202,-1.60
204,-1.60
206,-1.60
208,-1.60
210,-1.60
212,-1.60
214,-1.60
216,-1.61
218,-1.61
221,-1.61
223,-1.62
225,-1.62
227,-1.62
229,-1.61
232,-1.61
234,-1.60
236,-1.58
239,-1.57
241,-1.55
244,-1.43
246,-1.41
248,-1.39
251,-1.37
253,-1.35
256,-1.34
259,-1.33
261,-1.33
264,-1.33
266,-1.33
269,-1.33
272,-1.33
274,-1.34
277,-1.34
280,-1.34
283,-1.34
286,-1.33
288,-1.32
291,-1.31
294,-1.30
297,-1.29
300,-1.27
303,-1.26
306,-1.25
309,-1.24
312,-1.24
316,-1.23
319,-1.23
322,-1.23
325,-1.23
328,-1.14
332,-1.13
335,-1.14
338,-1.14
342,-1.14
345,-1.14
349,-1.14
352,-1.14
356,-1.14
359,-1.13
363,-1.13
366,-1.12
370,-1.11
374,-1.10
377,-1.10
381,-1.09
385,-1.08
389,-1.08
393,-1.00
397,-0.97
401,-0.97
405,-0.97
409,-0.98
413,-0.98
417,-1.02
421,-1.08
425,-1.08
430,-1.06
434,-1.04
438,-1.02
443,-0.98
447,-0.94
451,-0.88
456,-0.83
460,-0.76
465,-0.70
470,-0.64
474,-0.58
479,-0.53
484,-0.49
489,-0.44
494,-0.41
499,-0.44
504,-0.46
509,-0.44
514,-0.43
519,-0.42
524,-0.43
529,-0.44
535,-0.46
540,-0.49
545,-0.53
551,-0.70
556,-0.74
562,-0.78
568,-0.83
573,-0.87
579,-0.90
585,-0.93
591,-0.94
596,-0.95
602,-0.94
608,-0.93
615,-0.92
621,-0.89
627,-0.73
633,-0.72
639,-0.75
646,-0.60
652,-0.53
659,-0.48
665,-0.43
672,-0.36
679,-0.39
686,-0.50
692,-0.46
699,-0.40
706,-0.42
713,-0.50
721,-0.51
728,-0.52
735,-0.55
742,-0.58
750,-0.58
757,-0.53
765,-0.45
773,-0.47
780,-0.48
788,-0.35
796,-0.31
804,-0.21
812,-0.18
820,-0.07
828,-0.01
837,0.03
845,0.03
853,0.03
862,0.11
871,0.11
879,0.11
888,0.10
897,0.09
906,0.08
915,0.08
924,0.08
933,0.07
943,0.08
952,0.13
962,0.08
971,0.05
981,-0.00
991,0.01
1001,-0.00
1011,-0.06
1021,-0.04
1031,-0.02
1041,-0.08
1052,-0.09
1062,-0.10
1073,-0.06
1084,-0.01
1094,0.07
1105,0.20
1116,0.25
1128,0.24
1139,0.25
1150,0.29
1162,0.28
1173,0.28
1185,0.23
1197,0.27
1209,0.30
1221,0.38
1233,0.41
1246,0.49
1258,0.58
1271,0.62
1283,0.77
1296,0.93
1309,1.08
1322,1.36
1335,1.52
1349,1.55
1362,1.61
1376,1.63
1390,1.66
1404,1.70
1418,1.76
1432,1.89
1446,1.96
1461,2.04
1475,2.08
1490,2.12
1505,2.14
1520,2.21
1535,2.31
1550,2.43
1566,2.45
1582,2.49
1597,2.55
1613,2.62
1629,2.68
1646,2.65
1662,2.68
1679,2.68
1696,2.70
1713,2.66
1730,2.64
1747,2.60
1764,2.59
1782,2.54
1800,2.45
1818,2.36
1836,2.42
1854,2.54
1873,2.64
1892,2.66
1911,2.71
1930,2.70
1949,2.75
1969,2.94
1988,3.04
2008,3.23
2028,3.41
2048,3.53
2069,3.74
2090,3.89
2111,3.93
2132,3.88
2153,3.85
2175,3.91
2196,3.90
2218,3.90
2240,3.91
2263,3.83
2285,3.77
2308,3.79
2331,3.81
2355,3.75
2378,3.83
2402,3.91
2426,4.09
2450,4.23
2475,4.19
2500,4.22
2525,4.31
2550,4.38
2575,4.42
2601,4.45
2627,4.70
2653,4.96
2680,5.05
2707,5.34
2734,5.48
2761,5.58
2789,5.63
2817,5.69
2845,5.70
2873,5.70
2902,5.60
2931,5.75
2960,5.95
2990,6.05
3020,6.07
3050,6.20
3080,6.22
3111,6.28
3142,6.45
3174,6.47
3206,6.45
3238,6.39
3270,6.45
3303,6.35
3336,6.11
3369,6.12
3403,6.11
3437,6.05
3471,6.06
3506,5.99
3541,5.75
3576,5.57
3612,5.36
3648,4.99
3685,4.70
3721,4.41
3759,3.78
3796,3.45
3834,3.17
3873,2.77
3911,2.50
3950,2.27
3990,1.96
4030,1.75
4070,1.66
4111,1.60
4152,1.40
4193,1.24
4235,1.02
4278,0.72
4321,0.35
4364,0.08
4407,-0.19
4451,-0.59
4496,-0.82
4541,-1.04
4586,-0.78
4632,-0.46
4679,-0.18
4725,0.13
4773,0.52
4820,0.93
4868,1.49
4917,2.00
4966,2.32
5016,2.75
5066,3.22
5117,3.52
5168,3.68
5220,3.94
5272,2.59
5325,1.28
5378,-0.10
5432,-2.18
5486,-3.08
5541,-3.38
5596,-3.78
5652,-4.18
5709,-5.45
5766,-6.28
5823,-6.53
5882,-6.23
5940,-5.92
6000,-6.02
6060,-6.08
6120,-6.35
6182,-6.86
6244,-6.94
6306,-7.07
6369,-6.95
6433,-6.79
6497,-6.60
6562,-6.41
6628,-6.13
6694,-6.10
6761,-6.12
6828,-6.03
6897,-5.97
6966,-5.85
7035,-5.78
7106,-5.68
7177,-5.45
7249,-5.43
7321,-5.63
7394,-5.90
7468,-6.23
7543,-6.56
7618,-6.67
7694,-6.75
7771,-6.98
7849,-7.25
7928,-7.54
8007,-7.95
8087,-8.38
8168,-8.63
8250,-8.90
8332,-9.22
8415,-9.25
8499,-9.17
8584,-8.28
8670,-7.89
8757,-7.23
8845,-6.24
8933,-5.44
9022,-4.72
9113,-3.51
9204,-2.62
9296,-1.95
9389,-1.42
9483,-0.79
9577,-0.33
9673,-0.07
9770,0.02
9868,-0.65
9966,-1.00
10066,-1.80
10167,-2.72
10268,-3.24
10371,-3.82
10475,-4.23
10579,-5.37
10685,-5.88
10792,-6.56
10900,-7.04
11009,-7.09
11119,-7.18
11230,-8.03
11343,-8.50
11456,-8.98
11571,-9.40
11686,-8.80
11803,-7.60
11921,-6.49
12040,-6.47
12161,-6.17
12282,-5.26
12405,-4.55
12529,-4.18
12655,-3.99
12781,-4.15
12909,-4.19
13038,-4.86
13168,-5.04
13300,-4.31
13433,-4.69
13567,-4.46
13703,-7.40
13840,-9.73
13978,-10.99
14118,-11.15
14259,-10.03
14402,-7.38
14546,-5.54
14692,-5.40
14838,-5.76
14987,-6.72
15137,-7.63
15288,-8.46
15441,-9.54
15595,-11.31
15751,-12.10
15909,-11.32
16068,-10.45
16229,-9.97
16391,-9.52
16555,-8.25
16720,-7.11
16888,-6.85
17056,-7.16
17227,-6.69
17399,-6.60
17573,-5.86
17749,-5.95
17926,-7.79
18106,-9.04
18287,-9.47
18470,-9.23
18654,-7.04
18841,-5.46
19029,-2.28
19220,-2.90
19412,-3.16
19606,-3.83
19802,-4.26
20000,-4.32
