frequency,raw
20,-5.17
21,-4.80
22,-4.54
23,-4.14
24,-3.90
25,-3.61
26,-3.38
27,-3.18
28,-3.07
29,-2.98
30,-2.66
31,-2.46
32,-2.47
33,-2.23
34,-2.30
35,-2.11
36,-1.92
37,-1.83
38,-1.82
39,-1.72
40,-1.63
41,-1.51
42,-1.60
43,-1.43
44,-1.40
45,-1.33
46,-1.05
47,-1.13
48,-1.13
49,-1.13
50,-0.91
51,-0.93
52,-0.83
53,-1.03
54,-0.97
55,-1.13
56,-1.43
57,-1.72
58,-2.00
59,-2.02
60,-1.80
61,-1.54
62,-1.46
63,-1.42
64,-1.15
65,-1.07
66,-0.73
67,-0.81
68,-0.75
69,-0.59
70,-0.67
71,-0.19
72,-0.45
73,-0.38
74,-0.23
75,-0.23
76,-0.22
77,-0.13
78,-0.03
79,-0.03
80,-0.03
81,-0.03
82,0.13
83,0.21
84,0.07
85,-0.07
86,-0.07
87,0.17
88,0.17
89,0.17
90,0.17
91,0.17
92,0.18
93,0.37
94,0.42
95,0.29
96,0.27
97,0.27
98,0.26
99,0.25
100,0.13
101,0.08
102,0.19
104,0.27
105,0.25
106,0.22
107,0.20
108,0.24
109,0.39
110,0.32
111,0.22
112,0.21
113,0.20
114,0.19
115,0.19
117,0.19
118,0.20
119,0.20
120,0.21
121,0.21
123,0.22
124,0.23
125,0.24
126,0.24
128,0.25
129,0.26
130,0.26
131,0.27
133,0.27
134,0.28
135,0.28
137,0.28
138,0.29
140,0.29
141,0.29
142,0.29
144,0.29
145,0.29
147,0.29
148,0.29
150,0.29
151,0.29
153,0.29
154,0.29
156,0.29
157,0.29
159,0.29
160,0.29
162,0.43
164,0.32
165,0.41
167,0.35
169,0.28
170,0.27
172,0.26
174,0.26
175,0.25
177,0.25
179,0.25
181,0.25
183,0.26
184,0.26
186,0.28
188,0.29
190,0.31
192,0.32
194,0.34
196,0.35
198,0.37
200,0.38
202,0.38
204,0.39
206,0.39
208,0.39
210,0.39
212,0.38
214,0.38
216,0.38
218,0.37
221,0.37
223,0.37
225,0.37
227,0.37
229,0.37
232,0.38
234,0.39
236,0.40
239,0.42
241,0.48
244,0.60
246,0.45
248,0.40
251,0.41
253,0.43
256,0.44
259,0.45
261,0.46
264,0.46
266,0.46
269,0.45
272,0.45
274,0.45
277,0.44
280,0.44
283,0.45
286,0.45
288,0.46
291,0.47
294,0.53
297,0.62
300,0.47
303,0.42
306,0.43
309,0.44
312,0.45
316,0.45
319,0.23
322,0.24
325,0.34
328,0.35
332,0.47
335,0.40
338,0.25
342,0.25
345,0.24
349,0.25
352,0.25
356,0.25
359,0.25
363,0.32
366,0.36
370,0.20
374,0.18
377,0.19
381,0.20
385,0.20
389,0.23
393,0.29
397,0.18
401,0.11
405,0.11
409,0.11
413,0.10
417,0.10
421,0.10
425,0.11
430,0.17
434,0.17
438,0.07
443,-0.00
447,-0.01
451,0.09
456,0.16
460,0.28
465,0.34
470,0.24
474,0.28
479,0.19
484,0.28
489,0.40
494,0.34
499,0.31
504,0.29
509,0.35
514,0.41
519,0.36
524,0.36
529,0.38
535,0.43
540,0.37
545,0.26
551,0.21
556,0.16
562,0.11
568,0.06
573,0.02
579,-0.02
585,-0.04
591,-0.06
596,-0.06
602,-0.06
608,-0.05
615,-0.03
621,-0.06
627,-0.08
633,-0.14
639,-0.12
646,-0.08
652,-0.04
659,0.01
665,0.06
672,0.11
679,0.16
686,0.20
692,0.24
699,0.27
706,0.29
713,0.29
721,0.28
728,0.26
735,0.24
742,0.21
750,0.18
757,0.16
765,0.08
773,0.01
780,-0.09
788,-0.10
796,-0.10
804,-0.10
812,-0.07
820,0.01
828,0.01
837,0.02
845,0.01
853,0.01
862,0.01
871,0.05
879,0.09
888,0.04
897,-0.04
906,-0.04
915,-0.04
924,-0.04
933,-0.04
943,-0.02
952,-0.08
962,-0.14
971,-0.13
981,-0.12
991,-0.11
1001,0.01
1011,0.05
1021,-0.05
1031,-0.06
1041,0.04
1052,0.07
1062,-0.09
1073,-0.11
1084,-0.09
1094,-0.07
1105,-0.09
1116,-0.03
1128,0.06
1139,0.01
1150,-0.05
1162,0.09
1173,0.13
1185,0.18
1197,0.12
1209,0.14
1221,0.11
1233,0.13
1246,0.12
1258,0.09
1271,-0.01
1283,-0.03
1296,-0.03
1309,-0.02
1322,0.03
1335,0.04
1349,-0.06
1362,0.05
1376,0.13
1390,0.20
1404,0.29
1418,0.34
1432,0.41
1446,0.50
1461,0.62
1475,0.74
1490,0.94
1505,1.15
1520,1.08
1535,1.29
1550,1.44
1566,1.52
1582,1.64
1597,1.66
1613,1.89
1629,2.14
1646,2.35
1662,2.43
1679,2.50
1696,2.74
1713,2.87
1730,3.00
1747,3.17
1764,3.57
1782,3.70
1800,3.73
1818,3.65
1836,3.53
1854,3.42
1873,3.39
1892,3.28
1911,3.22
1930,3.20
1949,3.26
1969,3.14
1988,3.09
2008,2.89
2028,2.66
2048,2.55
2069,2.43
2090,2.47
2111,2.45
2132,2.47
2153,2.49
2175,2.33
2196,2.28
2218,2.09
2240,2.14
2263,2.33
2285,2.83
2308,3.55
2331,3.97
2355,4.57
2378,5.11
2402,5.42
2426,5.84
2450,6.46
2475,6.70
2500,6.62
2525,6.67
2550,6.93
2575,6.52
2601,6.42
2627,6.82
2653,6.69
2680,6.92
2707,7.23
2734,7.74
2761,8.17
2789,8.10
2817,8.38
2845,8.58
2873,8.59
2902,8.55
2931,8.57
2960,8.64
2990,8.60
3020,8.46
3050,8.52
3080,8.70
3111,8.87
3142,8.91
3174,8.80
3206,8.77
3238,8.73
3270,8.75
3303,8.80
3336,9.00
3369,9.14
3403,9.11
3437,9.35
3471,9.46
3506,9.44
3541,9.32
3576,9.28
3612,9.22
3648,9.17
3685,8.77
3721,8.44
3759,8.12
3796,7.87
3834,7.76
3873,7.71
3911,7.69
3950,7.45
3990,7.22
4030,6.73
4070,6.63
4111,6.45
4152,6.29
4193,6.15
4235,5.94
4278,5.88
4321,5.77
4364,5.70
4407,5.41
4451,5.09
4496,4.57
4541,4.30
4586,3.87
4632,3.19
4679,2.65
4725,2.22
4773,1.44
4820,0.38
4868,-0.62
4917,-1.77
4966,-2.88
5016,-3.67
5066,-4.57
5117,-4.39
