frequency,raw
20,1.89
21,1.87
22,1.89
23,2.06
24,1.81
25,2.50
26,2.35
27,2.35
28,2.35
29,2.44
30,2.54
31,2.54
32,2.54
33,2.31
34,2.64
35,2.64
36,2.64
37,2.64
38,2.76
39,2.58
40,2.83
41,2.83
42,2.83
43,2.83
44,2.83
45,2.83
46,2.83
47,2.83
48,2.83
49,2.83
50,2.83
51,2.83
52,2.83
53,2.83
54,2.83
55,2.83
56,2.83
57,2.83
58,2.83
59,2.83
60,2.83
61,2.83
62,2.90
63,2.97
64,2.73
65,2.73
66,2.73
67,2.73
68,2.73
69,2.73
70,2.73
71,2.73
72,2.73
73,2.65
74,2.43
75,2.80
76,2.73
77,2.54
78,2.54
79,2.54
80,2.54
81,2.54
82,2.54
83,2.54
84,2.54
85,2.54
86,2.48
87,2.35
88,2.60
89,2.64
90,2.64
91,2.64
92,2.64
93,2.64
94,2.64
95,2.64
96,2.54
97,2.54
98,2.43
99,2.46
100,2.58
101,2.43
102,2.03
104,2.33
105,2.27
106,1.97
107,1.89
108,1.80
109,1.75
110,1.73
111,1.76
112,1.73
113,1.60
114,1.42
115,1.49
117,1.65
118,1.65
119,1.39
120,1.21
121,1.18
123,1.33
124,1.34
125,1.35
126,1.35
128,1.56
129,1.64
130,1.54
131,1.47
133,1.48
134,1.48
135,1.55
137,1.78
138,1.60
140,1.52
141,1.69
142,1.64
144,1.52
145,1.69
147,2.05
148,2.05
150,1.88
151,1.88
153,1.90
154,1.98
156,2.06
157,1.88
159,1.43
160,1.32
162,1.16
164,1.03
165,0.96
167,0.78
169,0.59
170,0.56
172,0.50
174,0.75
175,0.78
177,0.50
179,0.34
181,0.51
183,0.64
184,0.92
186,1.08
188,0.93
190,1.10
192,1.02
194,0.87
196,0.67
198,0.79
200,0.85
202,0.62
204,0.53
206,0.53
208,0.53
210,0.52
212,0.43
214,0.40
216,0.26
218,0.28
221,0.28
223,0.00
225,-0.22
227,-0.17
229,-0.16
232,-0.13
234,-0.34
236,-0.50
239,-0.60
241,-0.70
244,-0.73
246,-0.69
248,-0.80
251,-1.06
253,-1.24
256,-1.18
259,-1.17
261,-1.24
264,-1.42
266,-1.58
269,-1.60
272,-1.67
274,-1.67
277,-1.82
280,-1.91
283,-2.11
286,-2.38
288,-2.27
291,-1.99
294,-2.37
297,-2.47
300,-2.17
303,-2.19
306,-2.41
309,-2.40
312,-2.31
316,-2.23
319,-2.54
322,-2.63
325,-2.48
328,-2.39
332,-2.39
335,-2.39
338,-2.39
342,-2.28
345,-2.29
349,-2.49
352,-2.49
356,-2.60
359,-2.60
363,-2.38
366,-2.16
370,-2.16
374,-2.38
377,-2.32
381,-2.15
385,-2.14
389,-2.14
393,-2.14
397,-2.13
401,-2.04
405,-1.92
409,-2.01
413,-1.93
417,-1.93
421,-2.09
425,-2.09
430,-2.00
434,-2.05
438,-2.21
443,-2.26
447,-2.27
451,-2.27
456,-2.43
460,-2.50
465,-2.44
470,-2.38
474,-2.25
479,-2.26
484,-2.40
489,-2.50
494,-2.60
499,-3.02
504,-3.30
509,-3.61
514,-3.82
519,-3.84
524,-3.72
529,-3.74
535,-3.65
540,-3.45
545,-3.29
551,-3.32
556,-3.36
562,-3.35
568,-3.29
573,-3.12
579,-3.02
585,-3.01
591,-2.83
596,-2.78
602,-2.74
608,-2.59
615,-2.59
621,-2.53
627,-2.42
633,-2.49
639,-2.46
646,-2.21
652,-2.17
659,-2.21
665,-2.14
672,-2.00
679,-1.82
686,-1.63
692,-1.60
699,-1.47
706,-1.51
713,-1.51
721,-1.36
728,-1.37
735,-1.31
742,-1.31
750,-1.27
757,-1.30
765,-1.32
773,-1.37
780,-1.39
788,-1.28
796,-1.26
804,-1.26
812,-1.27
820,-1.21
828,-1.15
837,-1.10
845,-1.02
853,-0.89
862,-0.78
871,-0.76
879,-0.81
888,-0.68
897,-0.55
906,-0.55
915,-0.45
924,-0.44
933,-0.36
943,-0.19
952,-0.08
962,-0.10
971,-0.13
981,-0.12
991,-0.07
1001,0.01
1011,0.09
1021,0.15
1031,0.17
1041,0.20
1052,0.24
1062,0.28
1073,0.32
1084,0.37
1094,0.43
1105,0.48
1116,0.55
1128,0.67
1139,0.75
1150,0.70
1162,0.67
1173,0.73
1185,0.77
1197,0.77
1209,0.90
1221,0.97
1233,0.95
1246,0.99
1258,1.09
1271,1.17
1283,1.19
1296,1.25
1309,1.09
1322,0.97
1335,0.96
1349,0.99
1362,1.09
1376,1.20
1390,1.22
1404,1.26
1418,1.26
1432,1.30
1446,1.34
1461,1.41
1475,1.44
1490,1.47
1505,1.52
1520,1.60
1535,1.68
1550,1.75
1566,1.69
1582,1.69
1597,1.75
1613,1.81
1629,1.88
1646,1.94
1662,2.01
1679,2.08
1696,2.09
1713,2.13
1730,2.21
1747,2.26
1764,2.29
1782,2.39
1800,2.35
1818,2.33
1836,2.31
1854,2.27
1873,2.20
1892,2.15
1911,2.23
1930,2.27
1949,2.32
1969,2.31
1988,2.41
2008,2.55
2028,2.63
2048,2.61
2069,2.69
2090,2.69
2111,2.79
2132,2.86
2153,3.01
2175,3.13
2196,3.22
2218,3.27
2240,3.42
2263,3.49
2285,3.54
2308,3.51
2331,3.53
2355,3.62
2378,3.69
2402,3.75
2426,3.81
2450,3.86
2475,3.99
2500,4.11
2525,4.21
2550,4.19
2575,4.34
2601,4.66
2627,4.82
2653,4.91
2680,5.11
2707,5.25
2734,5.39
2761,5.43
2789,5.56
2817,5.71
2845,5.78
2873,5.89
2902,6.04
2931,6.09
2960,6.14
2990,6.19
3020,6.23
3050,6.34
3080,6.46
3111,6.67
3142,6.81
3174,6.78
3206,6.81
3238,6.79
3270,6.85
3303,6.85
3336,6.76
3369,6.51
3403,6.07
3437,5.61
3471,5.20
3506,4.76
3541,4.03
3576,3.92
3612,3.75
3648,3.94
3685,4.54
3721,4.89
3759,4.42
3796,3.74
3834,2.80
3873,2.39
3911,2.41
3950,2.01
3990,2.04
4030,1.90
4070,2.06
4111,2.14
4152,2.17
4193,2.31
4235,2.83
4278,2.84
4321,3.22
4364,3.33
4407,3.27
4451,3.87
4496,4.26
4541,4.34
4586,4.13
4632,3.69
4679,3.22
4725,3.00
4773,2.74
4820,2.40
4868,1.92
4917,1.52
4966,1.01
5016,0.62
5066,0.29
5117,-0.04
5168,-0.40
5220,-0.75
5272,-1.05
5325,-1.35
5378,-1.60
5432,-1.53
5486,-1.63
5541,-1.99
5596,-2.19
5652,-2.52
5709,-2.83
5766,-3.05
5823,-3.32
5882,-3.49
5940,-3.61
6000,-3.91
6060,-4.18
6120,-4.86
6182,-5.28
6244,-5.78
6306,-6.33
6369,-6.88
6433,-7.02
6497,-7.06
6562,-7.14
6628,-6.97
6694,-7.70
6761,-9.78
6828,-10.73
6897,-11.87
6966,-12.73
7035,-12.14
7106,-12.94
7177,-12.76
7249,-11.71
7321,-11.08
7394,-11.27
7468,-11.77
7543,-12.58
7618,-13.46
7694,-15.43
7771,-16.23
7849,-16.12
7928,-15.54
8007,-14.97
8087,-13.75
8168,-12.48
8250,-11.14
8332,-10.19
8415,-9.61
8499,-8.15
8584,-5.83
8670,-5.61
8757,-5.03
8845,-4.46
8933,-3.53
9022,-3.06
9113,-2.46
9204,-1.55
9296,-0.69
9389,-1.53
9483,-0.73
9577,0.09
9673,-1.96
9770,-2.58
9868,-3.52
9966,-3.42
10066,-2.81
10167,-2.36
10268,-2.10
10371,-2.38
10475,-3.28
10579,-3.89
10685,-4.00
10792,-3.80
10900,-3.99
11009,-4.20
11119,-3.76
11230,-3.67
11343,-3.94
11456,-4.22
11571,-4.97
11686,-6.52
11803,-10.11
11921,-10.94
12040,-15.49
12161,-17.06
12282,-16.72
12405,-16.33
12529,-15.69
12655,-15.09
12781,-14.92
12909,-14.94
13038,-15.80
13168,-17.52
13300,-18.06
13433,-17.63
13567,-18.00
13703,-19.14
13840,-19.45
13978,-17.77
14118,-17.98
14259,-18.72
14402,-19.03
14546,-17.43
14692,-16.75
14838,-17.61
14987,-18.66
15137,-20.20
15288,-21.48
15441,-22.08
15595,-22.49
15751,-21.14
15909,-20.70
16068,-21.04
16229,-21.29
16391,-21.50
16555,-20.70
16720,-19.29
16888,-17.92
17056,-20.35
17227,-23.23
17399,-23.31
17573,-23.44
17749,-25.16
17926,-23.98
18106,-22.55
18287,-21.11
18470,-20.60
18654,-17.64
18841,-14.02
19029,-12.26
19220,-13.61
19412,-16.54
19606,-19.19
19802,-21.18
20000,-23.32
