frequency,raw
20,2.27
21,2.81
22,2.96
23,3.31
24,3.23
25,3.33
26,3.23
27,3.51
28,3.03
29,3.03
30,2.70
31,2.90
32,3.09
33,2.85
34,2.47
35,2.38
36,2.21
37,2.02
38,2.00
39,2.02
40,2.02
41,2.02
42,1.94
43,2.12
44,2.09
45,2.19
46,2.22
47,2.22
48,2.18
49,2.32
50,2.32
51,2.32
52,2.33
53,2.42
54,2.42
55,2.54
56,2.52
57,2.50
58,2.62
59,2.62
60,2.63
61,2.57
62,2.52
63,2.52
64,2.52
65,2.52
66,2.52
67,2.52
68,2.52
69,2.44
70,2.35
71,2.32
72,2.32
73,2.32
74,2.32
75,2.32
76,2.27
77,2.19
78,2.12
79,2.12
80,2.12
81,2.06
82,1.99
83,1.92
84,1.92
85,1.87
86,1.82
87,1.72
88,1.66
89,1.62
90,1.62
91,1.60
92,1.52
93,1.44
94,1.42
95,1.38
96,1.32
97,1.22
98,1.20
99,1.16
100,1.08
101,1.06
102,1.04
104,0.92
105,0.89
106,0.78
107,0.74
108,0.72
109,0.69
110,0.59
111,0.54
112,0.45
113,0.44
114,0.44
115,0.43
117,0.32
118,0.24
119,0.24
120,0.25
121,0.26
123,0.20
124,0.17
125,0.18
126,0.19
128,0.10
129,0.10
130,0.10
131,0.11
133,0.11
134,0.04
135,0.02
137,-0.02
138,-0.07
140,-0.07
141,-0.07
142,-0.07
144,-0.07
145,-0.14
147,-0.27
148,-0.27
150,-0.27
151,-0.27
153,-0.32
154,-0.37
156,-0.37
157,-0.37
159,-0.37
160,-0.40
162,-0.47
164,-0.49
165,-0.57
167,-0.68
169,-0.74
170,-0.85
172,-0.97
174,-1.01
175,-1.01
177,-1.02
179,-1.02
181,-1.02
183,-1.01
184,-1.00
186,-0.99
188,-0.97
190,-0.96
192,-0.94
194,-0.93
196,-0.91
198,-0.90
200,-0.89
202,-0.88
204,-0.88
206,-0.88
208,-0.88
210,-0.88
212,-0.90
214,-1.04
216,-1.09
218,-1.09
221,-1.10
223,-1.10
225,-1.10
227,-1.10
229,-1.10
232,-1.19
234,-1.21
236,-1.27
239,-1.25
241,-1.28
244,-1.31
246,-1.29
248,-1.27
251,-1.25
253,-1.24
256,-1.23
259,-1.22
261,-1.21
264,-1.28
266,-1.31
269,-1.32
272,-1.32
274,-1.32
277,-1.32
280,-1.32
283,-1.32
286,-1.35
288,-1.41
291,-1.40
294,-1.43
297,-1.47
300,-1.46
303,-1.53
306,-1.54
309,-1.53
312,-1.52
316,-1.56
319,-1.62
322,-1.62
325,-1.62
328,-1.66
332,-1.73
335,-1.82
338,-1.83
342,-1.83
345,-1.83
349,-1.83
352,-1.92
356,-2.02
359,-2.02
363,-2.08
366,-2.11
370,-2.10
374,-2.09
377,-2.09
381,-2.18
385,-2.27
389,-2.27
393,-2.27
397,-2.26
401,-2.26
405,-2.28
409,-2.37
413,-2.42
417,-2.48
421,-2.47
425,-2.54
430,-2.56
434,-2.54
438,-2.51
443,-2.54
447,-2.54
451,-2.57
456,-2.52
460,-2.46
465,-2.44
470,-2.46
474,-2.39
479,-2.33
484,-2.28
489,-2.24
494,-2.20
499,-2.19
504,-2.29
509,-2.26
514,-2.22
519,-2.18
524,-2.22
529,-2.33
535,-2.46
540,-2.52
545,-2.52
551,-2.57
556,-2.62
562,-2.67
568,-2.72
573,-2.77
579,-2.80
585,-2.83
591,-2.84
596,-2.84
602,-2.84
608,-2.83
615,-2.81
621,-2.79
627,-2.77
633,-2.74
639,-2.71
646,-2.67
652,-2.64
659,-2.62
665,-2.55
672,-2.37
679,-2.32
686,-2.26
692,-2.23
699,-2.31
706,-2.22
713,-2.19
721,-2.20
728,-2.12
735,-2.14
742,-2.07
750,-2.09
757,-2.03
765,-1.90
773,-1.86
780,-1.87
788,-1.83
796,-1.75
804,-1.59
812,-1.57
820,-1.58
828,-1.40
837,-1.36
845,-1.32
853,-1.16
862,-1.13
871,-1.03
879,-0.87
888,-0.90
897,-0.90
906,-0.71
915,-0.66
924,-0.54
933,-0.54
943,-0.51
952,-0.37
962,-0.29
971,-0.26
981,-0.09
991,0.09
1001,-0.01
1011,-0.12
1021,-0.17
1031,-0.19
1041,-0.07
1052,-0.13
1062,-0.27
1073,-0.26
1084,-0.27
1094,-0.33
1105,-0.12
1116,0.12
1128,-0.21
1139,-0.20
1150,-0.10
1162,0.06
1173,0.14
1185,0.10
1197,0.11
1209,0.17
1221,0.21
1233,0.23
1246,0.30
1258,0.36
1271,0.35
1283,0.47
1296,0.66
1309,0.98
1322,1.17
1335,1.37
1349,1.57
1362,1.69
1376,1.41
1390,1.15
1404,0.76
1418,0.66
1432,0.76
1446,1.11
1461,1.47
1475,1.74
1490,2.04
1505,2.41
1520,2.71
1535,2.97
1550,3.13
1566,3.30
1582,3.50
1597,3.63
1613,3.86
1629,4.15
1646,4.33
1662,4.59
1679,4.88
1696,5.20
1713,5.42
1730,5.60
1747,5.88
1764,6.16
1782,6.45
1800,6.75
1818,6.90
1836,7.11
1854,7.42
1873,7.54
1892,7.69
1911,7.97
1930,8.17
1949,8.25
1969,8.50
1988,8.70
2008,8.67
2028,8.72
2048,8.81
2069,8.84
2090,8.84
2111,8.89
2132,8.79
2153,8.80
2175,8.85
2196,8.92
2218,9.04
2240,9.12
2263,9.00
2285,9.06
2308,9.30
2331,9.53
2355,9.66
2378,9.68
2402,9.81
2426,9.97
2450,10.09
2475,10.01
2500,10.05
2525,9.93
2550,10.05
2575,10.22
2601,10.46
2627,10.59
2653,10.88
2680,11.21
2707,11.29
2734,11.67
2761,12.10
2789,12.17
2817,12.25
2845,12.52
2873,12.82
2902,13.11
2931,13.40
2960,13.77
2990,14.05
3020,14.32
3050,14.57
3080,14.84
3111,15.19
3142,15.57
3174,15.79
3206,16.01
3238,16.28
3270,16.42
3303,16.57
3336,16.74
3369,16.73
3403,16.69
3437,16.65
3471,16.50
3506,16.24
3541,15.92
3576,15.59
3612,15.24
3648,14.95
3685,14.58
3721,14.10
3759,13.67
3796,13.18
3834,12.42
3873,11.84
3911,11.33
3950,10.53
3990,9.91
4030,9.33
4070,8.63
4111,7.86
4152,7.28
4193,6.74
4235,6.12
4278,5.50
4321,5.07
4364,4.54
4407,3.97
4451,3.60
4496,3.16
4541,2.55
4586,2.16
4632,1.78
4679,1.16
4725,0.78
4773,0.47
4820,0.03
4868,-0.31
4917,-0.61
4966,-0.91
5016,-1.20
5066,-1.58
5117,-1.86
5168,-2.17
5220,-2.46
5272,-2.36
5325,-2.39
5378,-2.92
5432,-3.27
5486,-3.41
5541,-2.48
5596,-1.99
5652,-1.25
5709,-0.57
5766,0.56
5823,1.08
5882,1.72
5940,2.27
6000,2.52
6060,3.02
6120,2.83
6182,2.70
6244,2.56
6306,2.38
6369,2.01
6433,1.75
6497,1.65
6562,1.33
6628,0.88
6694,0.06
6761,-0.84
6828,-1.61
6897,-2.18
6966,-2.79
7035,-3.33
7106,-3.76
