frequency,raw
20,-6.54
21,-5.96
22,-5.37
23,-4.94
24,-4.54
25,-3.97
26,-3.49
27,-3.30
28,-2.94
29,-2.65
30,-2.55
31,-2.36
32,-2.21
33,-2.05
34,-1.93
35,-1.85
36,-1.75
37,-1.75
38,-1.65
39,-1.65
40,-1.65
41,-1.55
42,-1.59
43,-1.65
44,-1.69
45,-1.65
46,-1.65
47,-1.65
48,-1.65
49,-1.65
50,-1.65
51,-1.65
52,-1.65
53,-1.75
54,-1.90
55,-1.95
56,-2.10
57,-2.15
58,-2.15
59,-2.25
60,-2.25
61,-2.25
62,-2.25
63,-2.25
64,-2.28
65,-2.38
66,-2.45
67,-2.45
68,-2.45
69,-2.45
70,-2.45
71,-2.40
72,-2.35
73,-2.35
74,-2.35
75,-2.45
76,-2.45
77,-2.44
78,-2.35
79,-2.35
80,-2.35
81,-2.35
82,-2.35
83,-2.35
84,-2.35
85,-2.35
86,-2.35
87,-2.38
88,-2.45
89,-2.45
90,-2.45
91,-2.45
92,-2.45
93,-2.44
94,-2.44
95,-2.45
96,-2.45
97,-2.45
98,-2.46
99,-2.47
100,-2.49
101,-2.51
102,-2.53
104,-2.55
105,-2.57
106,-2.62
107,-2.74
108,-2.76
109,-2.77
110,-2.79
111,-2.80
112,-2.81
113,-2.82
114,-2.83
115,-2.83
117,-2.83
118,-2.83
119,-2.82
120,-2.81
121,-2.81
123,-2.80
124,-2.78
125,-2.76
126,-2.87
128,-2.86
129,-2.88
130,-2.87
131,-2.76
133,-2.89
134,-2.87
135,-2.82
137,-2.83
138,-2.93
140,-2.93
141,-2.93
142,-2.93
144,-3.01
145,-3.07
147,-3.03
148,-3.03
150,-3.03
151,-3.03
153,-3.03
154,-3.03
156,-3.06
157,-3.16
159,-3.17
160,-3.09
162,-3.25
164,-3.38
165,-3.34
167,-3.34
169,-3.35
170,-3.36
172,-3.36
174,-3.37
175,-3.37
177,-3.38
179,-3.38
181,-3.38
183,-3.37
184,-3.36
186,-3.35
188,-3.33
190,-3.31
192,-3.24
194,-3.31
196,-3.37
198,-3.36
200,-3.35
202,-3.49
204,-3.48
206,-3.44
208,-3.44
210,-3.39
212,-3.39
214,-3.62
216,-3.71
218,-3.67
221,-3.66
223,-3.66
225,-3.64
227,-3.60
229,-3.67
232,-3.75
234,-3.74
236,-3.73
239,-3.71
241,-3.69
244,-3.67
246,-3.65
248,-3.63
251,-3.61
253,-3.60
256,-3.58
259,-3.58
261,-3.57
264,-3.57
266,-3.57
269,-3.57
272,-3.58
274,-3.58
277,-3.58
280,-3.58
283,-3.58
286,-3.57
288,-3.57
291,-3.56
294,-3.54
297,-3.53
300,-3.52
303,-3.51
306,-3.50
309,-3.46
312,-3.45
316,-3.58
319,-3.57
322,-3.59
325,-3.59
328,-3.49
332,-3.48
335,-3.48
338,-3.48
342,-3.57
345,-3.58
349,-3.58
352,-3.58
356,-3.58
359,-3.63
363,-3.67
366,-3.63
370,-3.56
374,-3.55
377,-3.54
381,-3.53
385,-3.53
389,-3.52
393,-3.48
397,-3.42
401,-3.42
405,-3.42
409,-3.42
413,-3.38
417,-3.33
421,-3.33
425,-3.32
430,-3.31
434,-3.19
438,-3.16
443,-3.12
447,-3.08
451,-3.03
456,-2.83
460,-2.71
465,-2.59
470,-2.48
474,-2.33
479,-2.17
484,-2.13
489,-2.06
494,-1.95
499,-1.92
504,-1.84
509,-1.68
514,-1.67
519,-1.66
524,-1.66
529,-1.61
535,-1.57
540,-1.53
545,-1.57
551,-1.60
556,-1.57
562,-1.57
568,-1.46
573,-1.50
579,-1.54
585,-1.56
591,-1.50
596,-1.41
602,-1.28
608,-1.27
615,-1.18
621,-1.03
627,-0.96
633,-0.87
639,-0.76
646,-0.64
652,-0.47
659,-0.27
665,-0.16
672,-0.11
679,0.04
686,0.09
692,0.13
699,0.19
706,0.27
713,0.27
721,0.18
728,-0.01
735,-0.33
742,-0.68
750,-0.93
757,-1.27
765,-1.69
773,-1.76
780,-1.66
788,-1.49
796,-1.39
804,-1.10
812,-0.85
820,-0.63
828,-0.44
837,-0.27
845,-0.10
853,-0.07
862,0.00
871,0.22
879,0.24
888,0.19
897,0.16
906,0.15
915,0.15
924,0.14
933,0.14
943,0.14
952,0.18
962,0.21
971,0.08
981,0.07
991,0.05
1001,-0.01
1011,-0.06
1021,-0.05
1031,-0.01
1041,-0.18
1052,-0.17
1062,-0.09
1073,-0.22
1084,-0.27
1094,-0.27
1105,-0.35
1116,-0.44
1128,-0.50
1139,-0.54
1150,-0.60
1162,-0.68
1173,-0.62
1185,-0.61
1197,-0.69
1209,-0.72
1221,-0.69
1233,-0.70
1246,-0.75
1258,-0.77
1271,-0.78
1283,-0.76
1296,-0.71
1309,-0.71
1322,-0.65
1335,-0.64
1349,-0.64
1362,-0.64
1376,-0.69
1390,-0.69
1404,-0.69
1418,-0.69
1432,-0.66
1446,-0.63
1461,-0.52
1475,-0.50
1490,-0.45
1505,-0.42
1520,-0.33
1535,-0.26
1550,-0.19
1566,-0.12
1582,-0.05
1597,0.01
1613,0.07
1629,0.13
1646,0.20
1662,0.33
1679,0.40
1696,0.27
1713,0.29
1730,0.42
1747,0.66
1764,0.75
1782,0.85
1800,0.86
1818,0.72
1836,0.78
1854,0.83
1873,0.90
1892,1.04
1911,1.12
1930,1.21
