frequency,raw
20.00,-2.57
20.20,-2.53
20.40,-2.49
20.61,-2.45
20.81,-2.41
21.02,-2.37
21.23,-2.37
21.44,-2.38
21.66,-2.38
21.87,-2.39
22.09,-2.36
22.31,-2.29
22.54,-2.22
22.76,-2.14
22.99,-2.07
23.22,-2.05
23.45,-2.02
23.69,-2.00
23.92,-1.98
24.16,-1.94
24.40,-1.89
24.65,-1.84
24.89,-1.79
25.14,-1.78
25.39,-1.81
25.65,-1.84
25.91,-1.86
26.16,-1.82
26.43,-1.74
26.69,-1.66
26.96,-1.58
27.23,-1.55
27.50,-1.52
27.77,-1.49
28.05,-1.47
28.33,-1.50
28.62,-1.52
28.90,-1.54
29.19,-1.50
29.48,-1.41
29.78,-1.33
30.08,-1.27
30.38,-1.28
30.68,-1.28
30.99,-1.29
31.30,-1.25
31.61,-1.22
31.93,-1.18
32.24,-1.17
32.57,-1.17
32.89,-1.17
33.22,-1.15
33.55,-1.11
33.89,-1.08
34.23,-1.04
34.57,-1.01
34.92,-0.97
35.27,-0.96
35.62,-0.96
35.97,-0.96
36.33,-0.96
36.70,-0.96
37.06,-0.96
37.43,-0.96
37.81,-0.96
38.19,-0.96
38.57,-0.96
38.95,-0.96
39.34,-0.97
39.74,-0.97
40.14,-0.96
40.54,-0.92
40.94,-0.88
41.35,-0.87
41.76,-0.86
42.18,-0.86
42.60,-0.86
43.03,-0.86
43.46,-0.86
43.90,-0.86
44.33,-0.86
44.78,-0.86
45.23,-0.89
45.68,-0.96
46.13,-1.00
46.60,-1.01
47.06,-1.01
47.53,-0.93
48.01,-0.86
48.49,-0.86
48.97,-0.86
49.46,-0.86
49.96,-0.86
50.46,-0.86
50.96,-0.86
51.47,-0.86
51.99,-0.86
52.51,-0.86
53.03,-0.86
53.56,-0.77
54.10,-0.71
54.64,-0.78
55.18,-0.79
55.74,-0.70
56.29,-0.67
56.86,-0.69
57.42,-0.61
58.00,-0.50
58.58,-0.35
59.16,-0.23
59.76,-0.19
60.35,-0.14
60.96,-0.07
61.57,-0.09
62.18,-0.14
62.80,-0.20
63.43,-0.24
64.07,-0.26
64.71,-0.26
65.35,-0.26
66.01,-0.26
66.67,-0.26
67.33,-0.26
68.01,-0.26
68.69,-0.33
69.37,-0.36
70.07,-0.37
70.77,-0.36
71.48,-0.36
72.19,-0.37
72.91,-0.39
73.64,-0.46
74.38,-0.47
75.12,-0.44
75.87,-0.49
76.63,-0.54
77.40,-0.56
78.17,-0.56
78.95,-0.56
79.74,-0.66
80.54,-0.67
81.35,-0.67
82.16,-0.74
82.98,-0.76
83.81,-0.76
84.65,-0.77
85.50,-0.76
86.35,-0.71
87.22,-0.66
88.09,-0.65
88.97,-0.54
89.86,-0.55
90.76,-0.57
91.66,-0.53
92.58,-0.40
93.51,-0.24
94.44,-0.13
95.39,-0.07
96.34,0.03
97.30,0.14
98.28,0.24
99.26,0.39
100.25,0.55
101.25,0.66
102.27,0.74
103.29,0.83
104.32,0.92
105.37,1.03
106.42,1.18
107.48,1.31
108.56,1.38
109.64,1.44
110.74,1.56
111.85,1.59
112.97,1.58
114.10,1.74
115.24,1.79
116.39,1.77
117.55,1.80
118.73,1.87
119.92,1.94
121.12,2.01
122.33,2.07
123.55,2.12
124.79,2.12
126.03,2.13
127.29,2.14
128.57,2.14
129.85,2.15
131.15,2.16
132.46,2.15
133.79,2.09
135.12,2.07
136.48,2.07
137.84,2.07
139.22,2.07
140.61,2.08
142.02,2.08
143.44,2.08
144.87,2.05
146.32,2.00
147.78,1.98
149.26,1.97
150.75,1.92
152.26,1.88
153.78,1.82
155.32,1.72
156.88,1.59
158.44,1.46
160.03,1.32
161.63,1.21
163.24,1.11
164.88,1.00
166.53,1.00
168.19,1.13
169.87,1.30
171.57,1.54
173.29,1.73
175.02,1.87
176.77,1.96
178.54,2.02
180.32,2.03
182.13,2.04
183.95,2.05
185.79,2.06
187.65,2.08
189.52,2.09
191.42,2.10
193.33,2.12
195.27,2.13
197.22,2.13
199.19,2.08
201.18,2.06
203.19,2.01
205.23,1.97
207.28,1.97
209.35,1.97
211.44,1.97
213.56,1.97
215.69,1.96
217.85,1.96
220.03,1.95
222.23,1.95
224.45,1.88
226.70,1.85
228.96,1.86
231.25,1.86
233.57,1.87
235.90,1.84
238.26,1.79
240.64,1.73
243.05,1.73
245.48,1.75
247.93,1.78
250.41,1.80
252.92,1.81
255.45,1.80
258.00,1.75
260.58,1.74
263.19,1.74
265.82,1.74
268.48,1.62
271.16,1.55
273.87,1.53
276.61,1.46
279.38,1.43
282.17,1.43
284.99,1.41
287.84,1.30
290.72,1.25
293.63,1.27
296.57,1.28
299.53,1.21
302.53,1.17
305.55,1.12
308.61,1.12
311.69,1.07
314.81,1.04
317.96,1.03
321.14,1.02
324.35,0.94
327.59,0.89
330.87,0.75
334.18,0.64
337.52,0.51
340.90,0.34
344.30,0.09
347.75,-0.14
351.23,-0.36
354.74,-0.51
358.28,-0.71
361.87,-0.98
365.49,-1.18
369.14,-1.33
372.83,-1.43
376.56,-1.54
380.33,-1.61
384.13,-1.64
387.97,-1.63
391.85,-1.68
395.77,-1.72
399.73,-1.73
403.72,-1.73
407.76,-1.73
411.84,-1.77
415.96,-1.83
420.12,-1.84
424.32,-1.83
428.56,-1.89
432.85,-1.92
437.18,-1.96
441.55,-1.95
445.96,-1.90
450.42,-1.88
454.93,-1.80
459.48,-1.73
464.07,-1.67
468.71,-1.65
473.40,-1.66
478.13,-1.61
482.91,-1.55
487.74,-1.61
492.62,-1.62
497.55,-1.56
502.52,-1.41
507.55,-1.46
512.62,-1.52
517.75,-1.49
522.93,-1.48
528.16,-1.49
533.44,-1.55
538.77,-1.54
544.16,-1.48
549.60,-1.59
555.10,-1.77
560.65,-1.94
566.25,-1.92
571.92,-1.87
577.64,-1.82
583.41,-1.88
589.25,-2.03
595.14,-2.09
601.09,-2.13
607.10,-2.25
613.17,-2.54
619.30,-2.68
625.50,-2.75
631.75,-2.87
638.07,-2.92
644.45,-2.98
650.89,-3.01
657.40,-3.04
663.98,-3.09
670.62,-3.11
677.32,-2.98
684.10,-2.82
690.94,-2.75
697.85,-2.61
704.83,-2.42
711.87,-2.34
718.99,-2.25
726.18,-2.22
733.44,-2.02
740.78,-1.90
748.19,-1.87
755.67,-1.75
763.23,-2.02
770.86,-2.11
778.57,-1.98
786.35,-2.04
794.22,-2.13
802.16,-2.01
810.18,-1.87
818.28,-1.84
826.46,-1.88
834.73,-1.93
