frequency,raw
20.00,-19.97
20.20,-19.83
20.40,-19.69
20.61,-19.55
20.81,-19.41
21.02,-19.27
21.23,-19.14
21.44,-19.02
21.66,-18.89
21.87,-18.76
22.09,-18.65
22.31,-18.55
22.54,-18.45
22.76,-18.35
22.99,-18.24
23.22,-18.05
23.45,-17.85
23.69,-17.65
23.92,-17.45
24.16,-17.29
24.40,-17.13
24.65,-16.98
24.89,-16.83
25.14,-16.68
25.39,-16.54
25.65,-16.40
25.91,-16.26
26.16,-16.14
26.43,-16.03
26.69,-15.93
26.96,-15.82
27.23,-15.69
27.50,-15.55
27.77,-15.42
28.05,-15.28
28.33,-15.12
28.62,-14.95
28.90,-14.79
29.19,-14.64
29.48,-14.51
29.78,-14.38
30.08,-14.25
30.38,-14.12
30.68,-13.99
30.99,-13.86
31.30,-13.70
31.61,-13.54
31.93,-13.38
32.24,-13.24
32.57,-13.12
32.89,-12.99
33.22,-12.84
33.55,-12.68
33.89,-12.52
34.23,-12.37
34.57,-12.22
34.92,-12.08
35.27,-11.90
35.62,-11.72
35.97,-11.54
36.33,-11.42
36.70,-11.30
37.06,-11.18
37.43,-11.06
37.81,-10.94
38.19,-10.80
38.57,-10.63
38.95,-10.46
39.34,-10.33
39.74,-10.20
40.14,-10.06
40.54,-9.93
40.94,-9.79
41.35,-9.61
41.76,-9.42
42.18,-9.25
42.60,-9.13
43.03,-9.00
43.46,-8.88
43.90,-8.77
44.33,-8.65
44.78,-8.54
45.23,-8.38
45.68,-8.19
46.13,-8.03
46.60,-7.92
47.06,-7.81
47.53,-7.67
48.01,-7.53
48.49,-7.41
48.97,-7.30
49.46,-7.11
49.96,-6.93
50.46,-6.80
50.96,-6.69
51.47,-6.52
51.99,-6.34
52.51,-6.19
53.03,-6.04
53.56,-5.93
54.10,-5.81
54.64,-5.67
55.18,-5.54
55.74,-5.43
56.29,-5.29
56.86,-5.14
57.42,-5.02
58.00,-4.91
58.58,-4.74
59.16,-4.57
59.76,-4.42
60.35,-4.28
60.96,-4.15
61.57,-4.05
62.18,-3.95
62.80,-3.81
63.43,-3.69
64.07,-3.57
64.71,-3.43
65.35,-3.32
66.01,-3.23
66.67,-3.14
67.33,-3.03
68.01,-2.91
68.69,-2.77
69.37,-2.63
70.07,-2.51
70.77,-2.45
71.48,-2.36
72.19,-2.26
72.91,-2.15
73.64,-2.00
74.38,-1.89
75.12,-1.82
75.87,-1.66
76.63,-1.60
77.40,-1.54
78.17,-1.44
78.95,-1.29
79.74,-1.20
80.54,-1.18
81.35,-1.10
82.16,-0.93
82.98,-0.90
83.81,-0.87
84.65,-0.72
85.50,-0.65
86.35,-0.70
87.22,-0.67
88.09,-0.40
88.97,-0.52
89.86,-0.55
90.76,-0.41
91.66,-0.24
92.58,-0.20
93.51,-0.28
94.44,-0.27
95.39,-0.18
96.34,-0.17
97.30,-0.16
98.28,-0.13
99.26,-0.06
100.25,0.05
101.25,0.13
102.27,0.16
103.29,0.18
104.32,0.23
105.37,0.32
106.42,0.36
107.48,0.40
108.56,0.40
109.64,0.40
110.74,0.49
111.85,0.41
112.97,0.55
114.10,0.79
115.24,0.87
116.39,0.73
117.55,0.73
118.73,0.95
119.92,1.05
121.12,1.05
122.33,1.19
123.55,1.27
124.79,1.30
126.03,1.32
127.29,1.38
128.57,1.43
129.85,1.47
131.15,1.55
132.46,1.62
133.79,1.65
135.12,1.66
136.48,1.73
137.84,1.76
139.22,1.82
140.61,1.85
142.02,1.74
143.44,1.88
144.87,2.14
146.32,2.04
147.78,1.94
149.26,2.08
150.75,2.20
152.26,2.25
153.78,2.29
155.32,2.39
156.88,2.47
158.44,2.49
160.03,2.57
161.63,2.57
163.24,2.57
164.88,2.56
166.53,2.53
168.19,2.45
169.87,2.30
171.57,2.20
173.29,2.07
175.02,2.01
176.77,2.36
178.54,2.40
180.32,2.28
182.13,2.33
183.95,2.53
185.79,2.66
187.65,2.77
189.52,2.87
191.42,2.95
193.33,3.05
195.27,3.19
197.22,3.29
199.19,3.41
201.18,3.47
203.19,3.53
205.23,3.67
207.28,3.68
209.35,3.65
211.44,3.72
213.56,3.93
215.69,4.05
217.85,4.06
220.03,4.06
222.23,4.16
224.45,4.32
226.70,4.46
228.96,4.65
231.25,4.82
233.57,4.83
235.90,4.86
238.26,4.95
240.64,5.03
243.05,5.20
245.48,5.41
247.93,5.48
250.41,5.51
252.92,5.54
255.45,5.73
258.00,5.88
260.58,6.04
263.19,6.04
265.82,6.11
268.48,6.17
271.16,6.22
273.87,6.28
276.61,6.33
279.38,6.47
282.17,6.61
284.99,6.74
287.84,6.85
290.72,6.95
293.63,6.97
296.57,7.12
299.53,7.19
302.53,7.29
305.55,7.33
308.61,7.34
311.69,7.41
314.81,7.47
317.96,7.52
321.14,7.55
324.35,7.56
327.59,7.56
330.87,7.62
334.18,7.58
337.52,7.55
340.90,7.47
344.30,7.39
347.75,7.33
351.23,7.32
354.74,7.25
358.28,7.14
361.87,7.02
365.49,6.91
369.14,6.87
372.83,6.82
376.56,6.73
380.33,6.69
384.13,6.61
387.97,6.50
391.85,6.22
395.77,5.91
399.73,5.82
403.72,5.70
407.76,5.61
411.84,5.52
415.96,5.32
420.12,5.08
424.32,4.66
428.56,4.28
432.85,4.08
437.18,4.00
441.55,3.93
445.96,3.87
450.42,3.65
454.93,3.22
459.48,3.17
464.07,2.92
468.71,2.62
473.40,2.44
478.13,2.31
482.91,2.17
487.74,1.94
492.62,1.70
497.55,1.77
502.52,1.79
507.55,1.44
512.62,1.17
517.75,1.23
522.93,1.21
528.16,1.12
533.44,1.06
538.77,0.86
544.16,0.70
549.60,0.78
555.10,0.52
560.65,0.13
566.25,-0.12
571.92,-0.15
577.64,-0.05
583.41,-0.41
589.25,-0.70
595.14,-0.82
601.09,-0.96
607.10,-1.24
613.17,-1.49
619.30,-1.46
625.50,-1.49
631.75,-1.73
638.07,-2.26
644.45,-2.64
650.89,-2.53
657.40,-2.86
663.98,-3.38
670.62,-3.03
677.32,-3.04
684.10,-3.34
690.94,-3.19
697.85,-3.26
704.83,-3.26
711.87,-3.02
718.99,-2.83
726.18,-2.79
733.44,-2.89
740.78,-3.18
748.19,-3.46
755.67,-3.66
763.23,-3.47
770.86,-3.51
778.57,-3.70
786.35,-3.64
794.22,-3.23
802.16,-3.04
810.18,-2.98
818.28,-2.80
826.46,-2.72
834.73,-2.93
843.08,-2.71
851.51,-2.13
860.02,-2.07
868.62,-2.19
877.31,-2.15
886.08,-1.67
894.94,-1.47
903.89,-1.65
