frequency,raw
20,-3.69
21,-3.41
22,-2.63
23,-2.13
24,-1.76
25,-1.19
26,-0.74
27,-0.85
28,-0.15
29,-0.19
30,0.71
31,0.88
32,1.33
33,1.37
34,1.78
35,1.98
36,2.29
37,2.32
38,2.96
39,2.41
40,2.98
41,2.87
42,3.30
43,3.03
44,3.55
45,3.66
46,3.40
47,3.67
48,3.45
49,4.24
50,3.64
51,4.07
52,4.02
53,3.90
54,4.16
55,3.87
56,4.26
57,4.26
58,3.99
59,4.15
60,4.36
61,4.36
62,4.36
63,4.36
64,4.11
65,4.45
66,4.45
67,4.45
68,4.45
69,4.47
70,4.68
71,4.36
72,4.36
73,4.36
74,4.36
75,4.36
76,4.54
77,4.26
78,4.12
79,4.16
80,4.16
81,4.34
82,4.01
83,3.97
84,4.00
85,3.86
86,3.78
87,3.70
88,3.77
89,3.80
90,3.51
91,3.40
92,3.49
93,3.57
94,3.20
95,3.03
96,3.35
97,3.37
98,3.09
99,3.11
100,3.22
101,3.08
102,2.93
104,2.73
105,2.54
106,2.39
107,2.26
108,2.04
109,2.03
110,2.23
111,2.20
112,1.98
113,1.97
114,1.96
115,1.96
117,2.21
118,2.05
119,1.91
120,2.14
121,2.43
123,2.28
124,2.29
125,2.35
126,2.40
128,2.70
129,2.78
130,2.68
131,2.61
133,2.45
134,2.56
135,2.89
137,2.93
138,2.71
140,2.76
141,2.93
142,2.88
144,2.77
145,2.82
147,3.01
148,3.13
150,3.15
151,3.12
153,3.12
154,3.12
156,2.92
157,2.89
159,2.75
160,2.72
162,2.54
164,2.22
165,2.10
167,1.76
169,1.68
170,1.53
172,1.52
174,1.87
175,2.00
177,2.06
179,2.04
181,2.00
183,2.21
184,2.23
186,2.24
188,2.25
190,2.27
192,2.28
194,2.30
196,2.39
198,2.38
200,2.24
202,2.25
204,2.29
206,2.25
208,2.14
210,2.25
212,2.25
214,2.27
216,2.28
218,2.26
221,2.14
223,2.15
225,2.15
227,2.07
229,2.04
232,1.98
234,1.96
236,1.95
239,1.90
241,1.87
244,1.84
246,1.80
248,1.78
251,1.76
253,1.72
256,1.73
259,1.71
261,1.64
264,1.58
266,1.53
269,1.44
272,1.31
274,1.22
277,1.17
280,1.12
283,0.98
286,0.87
288,0.89
291,0.85
294,0.72
297,0.81
300,1.06
303,1.04
306,0.86
309,0.86
312,0.87
316,0.72
319,0.63
322,0.80
325,0.94
328,0.82
332,0.43
335,0.48
338,0.71
342,0.85
345,0.81
349,0.68
352,0.68
356,0.52
359,0.39
363,0.54
366,0.41
370,0.43
374,1.00
377,0.97
381,0.82
385,0.83
389,0.70
393,0.66
397,0.93
401,0.93
405,0.93
409,0.88
413,0.75
417,0.88
421,0.88
425,0.93
430,1.14
434,1.06
438,1.05
443,1.32
447,1.36
451,1.39
456,1.38
460,1.62
465,1.70
470,1.66
474,1.71
479,1.73
484,1.73
489,1.81
494,1.98
499,2.01
504,2.04
509,2.05
514,2.07
519,2.07
524,2.07
529,2.06
535,2.04
540,2.01
545,1.97
551,1.92
556,1.87
562,1.82
568,1.77
573,1.72
579,1.69
585,1.49
591,1.48
596,1.51
602,1.55
608,1.56
615,1.58
621,1.50
627,1.43
633,1.63
639,1.69
646,1.53
652,1.58
659,1.62
665,1.67
672,1.65
679,1.66
686,1.63
692,1.67
699,1.66
706,1.61
713,1.55
721,1.51
728,1.50
735,1.38
742,1.35
750,1.26
757,1.19
765,1.17
773,1.15
780,1.18
788,1.15
796,0.91
804,0.87
812,0.98
820,1.11
828,1.06
837,0.96
845,0.99
853,0.98
862,0.78
871,0.71
879,0.74
888,0.74
897,0.69
906,0.62
915,0.56
924,0.50
933,0.41
943,0.25
952,0.13
962,0.06
971,0.10
981,0.26
991,0.17
1001,-0.02
1011,-0.29
1021,-0.42
1031,-0.31
1041,-0.34
1052,-0.32
1062,-0.17
1073,0.09
1084,0.31
1094,0.49
1105,0.51
1116,0.47
1128,0.60
1139,0.56
1150,0.45
1162,0.55
1173,0.63
1185,0.56
1197,0.58
1209,0.64
1221,0.72
1233,0.82
1246,0.88
1258,1.05
1271,0.91
1283,1.04
1296,1.33
1309,1.27
1322,1.25
1335,1.49
1349,1.75
1362,1.86
1376,1.94
1390,1.97
1404,2.16
1418,1.96
1432,2.10
1446,2.57
1461,2.51
1475,2.53
1490,2.84
1505,3.12
1520,3.36
1535,3.60
1550,3.80
1566,3.96
1582,4.30
1597,4.38
1613,4.50
1629,4.67
1646,4.94
1662,5.10
1679,5.24
1696,5.33
1713,5.49
1730,5.57
1747,5.66
1764,5.76
1782,5.86
1800,5.96
1818,6.03
1836,6.01
1854,6.12
1873,6.18
1892,6.18
1911,6.21
1930,6.21
1949,6.21
1969,6.25
1988,6.22
2008,6.23
2028,6.27
2048,6.35
2069,6.33
2090,6.42
2111,6.50
2132,6.58
2153,6.68
2175,6.77
2196,6.86
2218,6.91
2240,7.06
2263,7.14
2285,7.23
2308,7.36
2331,7.47
2355,7.57
2378,7.70
2402,7.85
2426,7.96
2450,7.98
2475,8.02
2500,8.11
2525,8.16
2550,8.28
2575,8.37
2601,8.53
2627,8.62
2653,8.69
2680,8.91
2707,9.05
2734,9.03
2761,9.12
2789,9.23
2817,9.34
2845,9.42
2873,9.48
2902,9.57
2931,9.62
2960,9.72
2990,9.80
3020,9.79
3050,9.89
3080,9.98
3111,10.05
3142,10.10
3174,10.13
3206,10.02
3238,10.05
3270,10.14
3303,10.07
3336,9.94
3369,9.69
3403,9.43
3437,9.20
3471,9.12
3506,9.02
3541,8.93
3576,8.78
3612,8.61
3648,8.28
3685,7.76
3721,7.33
3759,6.84
3796,6.28
3834,5.61
3873,5.23
3911,4.92
3950,4.60
3990,4.41
4030,4.22
4070,4.12
4111,4.36
4152,4.70
4193,4.97
4235,5.13
4278,5.19
4321,5.17
4364,5.09
4407,4.93
4451,4.77
4496,4.81
4541,4.82
4586,4.89
4632,4.85
4679,4.61
4725,4.38
4773,3.93
4820,3.54
4868,3.17
4917,2.94
4966,2.74
5016,2.44
5066,2.10
5117,1.62
5168,1.17
5220,0.88
5272,0.75
5325,0.95
5378,1.09
5432,1.17
5486,1.16
5541,0.84
5596,0.90
5652,0.97
5709,1.03
5766,1.16
5823,1.27
5882,1.42
5940,1.46
6000,1.66
6060,1.57
6120,1.62
6182,1.56
6244,1.28
6306,1.03
6369,0.88
6433,0.46
6497,0.08
6562,-0.11
6628,-0.21
6694,-0.35
6761,-0.30
6828,-0.25
6897,-0.26
6966,-0.24
7035,-0.10
7106,0.12
7177,0.12
7249,0.13
7321,0.18
7394,0.14
7468,0.02
7543,-0.10
7618,-0.10
7694,-0.57
7771,-0.08
7849,0.48
7928,1.67
8007,1.83
8087,1.65
8168,1.41
8250,2.25
8332,3.15
