frequency,raw
20.00,-0.77
20.20,-0.81
20.40,-0.85
20.61,-0.89
20.81,-0.93
21.02,-0.96
21.23,-0.88
21.44,-0.79
21.66,-0.71
21.87,-0.62
22.09,-0.54
22.31,-0.48
22.54,-0.41
22.76,-0.35
22.99,-0.28
23.22,-0.32
23.45,-0.37
23.69,-0.41
23.92,-0.46
24.16,-0.47
24.40,-0.47
24.65,-0.47
24.89,-0.47
25.14,-0.44
25.39,-0.39
25.65,-0.35
25.91,-0.30
26.16,-0.28
26.43,-0.28
26.69,-0.27
26.96,-0.27
27.23,-0.27
27.50,-0.27
27.77,-0.27
28.05,-0.27
28.33,-0.27
28.62,-0.27
28.90,-0.27
29.19,-0.33
29.48,-0.42
29.78,-0.50
30.08,-0.51
30.38,-0.26
30.68,-0.02
30.99,0.23
31.30,0.15
31.61,0.05
31.93,-0.05
32.24,-0.07
32.57,-0.07
32.89,-0.07
33.22,-0.07
33.55,-0.07
33.89,-0.07
34.23,-0.07
34.57,-0.07
34.92,-0.07
35.27,-0.07
35.62,-0.07
35.97,-0.07
36.33,-0.07
36.70,-0.07
37.06,-0.05
37.43,0.05
37.81,0.16
38.19,0.14
38.57,-0.01
38.95,-0.16
39.34,-0.14
39.74,-0.10
40.14,-0.05
40.54,0.01
40.94,0.07
41.35,0.11
41.76,0.14
42.18,0.14
42.60,0.08
43.03,0.03
43.46,-0.04
43.90,-0.11
44.33,0.06
44.78,0.31
45.23,0.39
45.68,0.30
46.13,0.22
46.60,0.18
47.06,0.15
47.53,0.25
48.01,0.34
48.49,0.34
48.97,0.34
49.46,0.53
49.96,0.73
50.46,0.46
50.96,0.14
51.47,0.32
51.99,0.53
52.51,0.54
53.03,0.54
53.56,0.54
54.10,0.54
54.64,0.54
55.18,0.54
55.74,0.54
56.29,0.54
56.86,0.54
57.42,0.54
58.00,0.54
58.58,0.39
59.16,0.33
59.76,0.53
60.35,0.62
60.96,0.64
61.57,0.79
62.18,0.83
62.80,0.61
63.43,0.54
64.07,0.54
64.71,0.54
65.35,0.60
66.01,0.70
66.67,0.66
67.33,0.45
68.01,0.08
68.69,0.40
69.37,0.48
70.07,0.34
70.77,0.11
71.48,-0.00
72.19,0.03
72.91,0.29
73.64,-0.09
74.38,-0.22
75.12,-0.12
75.87,-0.40
76.63,-0.31
77.40,-0.21
78.17,-0.13
78.95,0.04
79.74,-0.20
80.54,-0.22
81.35,-0.11
82.16,-0.04
82.98,-0.21
83.81,0.02
84.65,0.06
85.50,0.03
86.35,0.21
87.22,0.55
88.09,0.41
88.97,0.62
89.86,0.65
90.76,0.69
91.66,0.54
92.58,0.49
93.51,0.73
94.44,0.90
95.39,0.92
96.34,1.08
97.30,1.10
98.28,1.04
99.26,1.33
100.25,1.40
101.25,1.20
102.27,1.39
103.29,1.48
104.32,1.56
105.37,1.58
106.42,1.59
107.48,1.57
108.56,1.54
109.64,1.52
110.74,1.50
111.85,1.48
112.97,1.47
114.10,1.47
115.24,1.44
116.39,1.32
117.55,1.25
118.73,1.46
119.92,1.58
121.12,1.59
122.33,1.60
123.55,1.61
124.79,1.61
126.03,1.53
127.29,1.54
128.57,1.65
129.85,1.74
131.15,1.75
132.46,1.75
133.79,1.70
135.12,1.60
136.48,1.77
137.84,1.87
139.22,1.87
140.61,1.87
142.02,1.87
143.44,1.84
144.87,1.74
146.32,1.82
147.78,1.95
149.26,1.97
150.75,1.97
152.26,2.06
153.78,2.09
155.32,1.94
156.88,1.87
158.44,1.92
160.03,1.97
161.63,1.95
163.24,1.88
164.88,1.73
166.53,1.64
168.19,1.59
169.87,1.65
171.57,1.68
173.29,1.76
175.02,1.83
176.77,1.82
178.54,1.70
180.32,1.68
182.13,1.70
183.95,1.62
185.79,1.58
187.65,1.65
189.52,1.62
191.42,1.59
193.33,1.57
195.27,1.60
197.22,1.56
199.19,1.41
201.18,1.28
203.19,1.29
205.23,1.29
207.28,1.24
209.35,1.15
211.44,1.07
213.56,1.00
215.69,0.87
217.85,0.72
220.03,0.55
222.23,0.45
224.45,0.44
226.70,0.36
228.96,0.24
231.25,0.25
233.57,0.22
235.90,0.17
238.26,0.18
240.64,0.20
243.05,0.26
245.48,0.36
247.93,0.50
250.41,0.62
252.92,0.77
255.45,0.94
258.00,1.12
260.58,1.27
263.19,1.32
265.82,1.44
268.48,1.52
271.16,1.52
273.87,1.52
276.61,1.52
279.38,1.52
282.17,1.52
284.99,1.53
287.84,1.54
290.72,1.55
293.63,1.56
296.57,1.57
299.53,1.50
302.53,1.46
305.55,1.41
308.61,1.39
311.69,1.35
314.81,1.31
317.96,1.23
321.14,1.16
324.35,1.11
327.59,1.00
330.87,0.88
334.18,0.76
337.52,0.69
340.90,0.61
344.30,0.46
347.75,0.33
351.23,0.20
354.74,0.01
358.28,-0.28
361.87,-0.35
365.49,-0.33
369.14,-0.43
372.83,-0.53
376.56,-0.64
380.33,-0.77
384.13,-0.87
387.97,-1.02
391.85,-1.24
395.77,-1.37
399.73,-1.41
403.72,-1.61
407.76,-1.87
411.84,-2.11
415.96,-2.19
420.12,-2.25
424.32,-2.34
428.56,-2.54
432.85,-2.70
437.18,-2.71
441.55,-2.93
445.96,-3.07
450.42,-3.22
454.93,-3.22
459.48,-3.23
464.07,-3.49
468.71,-3.74
473.40,-3.71
478.13,-3.68
482.91,-3.53
487.74,-3.57
492.62,-3.75
497.55,-4.01
502.52,-4.27
507.55,-4.23
512.62,-3.95
517.75,-3.72
522.93,-4.19
528.16,-4.42
533.44,-4.05
538.77,-3.96
544.16,-4.09
549.60,-4.76
555.10,-5.17
560.65,-4.95
566.25,-4.75
571.92,-4.69
577.64,-5.12
583.41,-4.97
589.25,-5.22
595.14,-5.25
601.09,-5.07
607.10,-5.29
613.17,-5.13
619.30,-4.72
625.50,-4.81
631.75,-5.14
638.07,-5.16
644.45,-5.04
650.89,-4.88
657.40,-4.79
663.98,-4.70
670.62,-4.51
677.32,-4.43
684.10,-4.19
690.94,-3.94
697.85,-3.78
704.83,-3.56
711.87,-3.50
718.99,-3.45
726.18,-3.17
733.44,-3.09
740.78,-3.10
748.19,-2.90
755.67,-2.78
763.23,-2.74
770.86,-2.69
778.57,-2.56
786.35,-2.41
794.22,-2.26
802.16,-2.15
810.18,-2.00
818.28,-1.87
826.46,-1.79
834.73,-1.67
843.08,-1.56
851.51,-1.47
860.02,-1.34
868.62,-1.25
877.31,-1.14
886.08,-1.05
894.94,-0.97
903.89,-0.84
912.93,-0.78
922.06,-0.70
931.28,-0.61
940.59,-0.51
950.00,-0.45
959.50,-0.36
969.09,-0.26
978.78,-0.12
988.57,-0.06
998.46,-0.01
1008.44,0.09
1018.53,0.19
1028.71,0.23
1039.00,0.26
1049.39,0.37
1059.88,0.43
1070.48,0.48
1081.19,0.53
1092.00,0.58
1102.92,0.72
1113.95,0.80
1125.09,0.86
1136.34,0.94
1147.70,1.02
1159.18,1.10
1170.77,1.20
1182.48,1.26
1194.30,1.31
1206.25,1.35
1218.31,1.39
1230.49,1.45
1242.80,1.52
1255.22,1.57
1267.78,1.56
1280.45,1.67
1293.26,1.83
1306.19,2.00
1319.25,2.15
1332.45,2.30
1345.77,2.41
1359.23,2.46
1372.82,2.61
1386.55,2.79
1400.41,2.93
1414.42,3.07
1428.56,3.25
1442.85,3.28
1457.28,3.23
1471.85,3.22
1486.57,3.23
1501.43,3.27
1516.45,3.33
1531.61,3.34
1546.93,3.22
1562.40,3.34
1578.02,3.52
1593.80,3.46
1609.74,3.53
1625.84,3.62
1642.10,3.75
1658.52,3.88
1675.10,4.00
1691.85,4.05
1708.77,4.39
1725.86,4.52
1743.12,4.55
1760.55,4.63
1778.15,4.73
1795.94,4.67
1813.90,4.80
1832.03,5.06
1850.36,5.06
1868.86,4.95
1887.55,4.93
1906.42,5.16
1925.49,5.25
1944.74,5.12
1964.19,4.98
1983.83,5.33
2003.67,5.68
2023.71,5.98
2043.94,6.21
2064.38,6.37
2085.03,6.58
2105.88,6.77
2126.94,6.99
2148.20,7.23
2169.69,7.41
2191.38,7.63
2213.30,7.81
2235.43,7.93
2257.78,7.99
2280.36,8.06
2303.17,8.13
2326.20,8.13
2349.46,8.17
2372.95,8.22
2396.68,8.20
2420.65,8.07
2444.86,8.05
2469.31,8.01
2494.00,7.95
2518.94,7.94
2544.13,7.93
2569.57,7.92
2595.27,7.94
2621.22,7.99
2647.43,8.03
2673.90,7.95
2700.64,7.92
2727.65,7.93
2754.93,7.89
2782.48,7.88
2810.30,7.84
2838.40,7.83
2866.79,7.75
2895.46,7.67
2924.41,7.59
2953.65,7.59
2983.19,7.57
3013.02,7.50
3043.15,7.57
3073.58,7.78
3104.32,7.81
3135.36,7.67
3166.72,7.62
3198.38,7.53
3230.37,7.44
3262.67,7.42
3295.30,7.48
3328.25,7.48
3361.53,7.28
3395.15,7.05
3429.10,6.85
3463.39,6.58
3498.03,6.23
3533.01,5.95
3568.34,5.58
3604.02,4.90
3640.06,4.43
3676.46,4.05
3713.22,3.68
3750.36,3.60
3787.86,3.37
3825.74,3.18
3864.00,3.10
3902.64,3.25
3941.66,3.07
3981.08,2.72
4020.89,2.31
4061.10,1.81
4101.71,1.23
4142.73,0.63
4184.15,0.12
4226.00,-0.45
4268.26,-0.91
4310.94,-1.22
4354.05,-1.56
4397.59,-1.45
4441.56,-1.31
4485.98,-1.52
4530.84,-1.72
4576.15,-1.90
4621.91,-2.33
4668.13,-2.92
4714.81,-3.31
4761.96,-3.48
4809.58,-3.60
4857.67,-3.83
4906.25,-3.94
4955.31,-4.10
5004.87,-4.33
5054.91,-4.54
5105.46,-4.68
5156.52,-4.82
5208.08,-4.83
5260.16,-4.67
5312.77,-4.41
5365.89,-4.20
5419.55,-4.12
5473.75,-4.03
5528.49,-4.09
5583.77,-4.01
5639.61,-3.86
5696.00,-3.51
5752.96,-2.71
5810.49,-2.20
5868.60,-1.56
5927.28,-0.64
5986.56,-0.08
6046.42,0.26
6106.89,0.81
6167.96,1.09
6229.64,1.34
6291.93,1.59
6354.85,1.77
6418.40,1.86
6482.58,2.06
6547.41,2.20
6612.88,2.14
6679.01,2.06
6745.80,1.79
6813.26,1.45
6881.39,0.98
6950.21,0.37
7019.71,-0.26
7089.91,-0.73
7160.81,-1.13
7232.41,-1.70
7304.74,-2.20
7377.79,-2.67
7451.56,-3.05
7526.08,-3.46
7601.34,-3.37
7677.35,-2.80
7754.13,-2.63
7831.67,-2.75
7909.98,-2.67
7989.08,-2.05
8068.98,-1.67
8149.67,-1.39
8231.16,-0.67
8313.47,0.10
8396.61,0.69
8480.57,1.65
8565.38,2.15
8651.03,2.41
8737.54,2.65
8824.92,2.96
8913.17,3.28
9002.30,3.71
9092.32,3.35
9183.25,2.98
9275.08,2.62
9367.83,2.18
9461.51,1.77
9556.12,1.10
9651.68,-0.35
9748.20,-1.51
9845.68,-1.79
9944.14,-1.74
10043.58,-1.69
10144.02,-1.94
10245.46,-2.38
10347.91,-3.23
10451.39,-4.05
10555.91,-4.01
10661.46,-3.28
10768.08,-2.77
10875.76,-2.85
10984.52,-3.44
11094.36,-4.62
11205.31,-5.74
11317.36,-6.84
11430.53,-7.63
11544.84,-8.82
11660.29,-9.96
11776.89,-11.13
11894.66,-12.35
12013.60,-12.68
12133.74,-13.03
12255.08,-14.06
12377.63,-15.86
12501.41,-16.99
12626.42,-17.65
12752.68,-18.04
12880.21,-17.30
13009.01,-17.37
13139.10,-16.25
13270.49,-15.69
13403.20,-14.88
13537.23,-13.99
13672.60,-12.35
13809.33,-11.35
13947.42,-9.80
14086.90,-8.86
14227.77,-8.41
14370.04,-7.85
14513.74,-6.84
14658.88,-5.58
14805.47,-4.69
14953.52,-4.61
15103.06,-5.21
15254.09,-5.71
15406.63,-6.58
15560.70,-7.45
15716.30,-7.79
15873.47,-7.98
16032.20,-7.38
16192.52,-6.78
16354.45,-5.91
16517.99,-4.95
16683.17,-3.93
16850.01,-3.26
17018.51,-2.45
17188.69,-1.99
17360.58,-1.87
17534.18,-1.98
17709.53,-2.12
17886.62,-2.20
18065.49,-2.25
18246.14,-2.21
18428.60,-2.12
18612.89,-1.86
18799.02,-1.53
18987.01,-1.13
19176.88,-1.42
19368.65,-1.86
19562.33,-2.77
19757.96,-4.24
19955.54,-5.28
