frequency,raw
20.00,-13.24
20.20,-13.18
20.40,-13.13
20.61,-13.07
20.81,-13.01
21.02,-12.95
21.23,-12.82
21.44,-12.69
21.66,-12.56
21.87,-12.43
22.09,-12.31
22.31,-12.21
22.54,-12.12
22.76,-12.02
22.99,-11.92
23.22,-11.84
23.45,-11.75
23.69,-11.66
23.92,-11.58
24.16,-11.50
24.40,-11.42
24.65,-11.34
24.89,-11.26
25.14,-11.19
25.39,-11.13
25.65,-11.07
25.91,-11.00
26.16,-10.94
26.43,-10.89
26.69,-10.83
26.96,-10.77
27.23,-10.69
27.50,-10.60
27.77,-10.52
28.05,-10.43
28.33,-10.31
28.62,-10.20
28.90,-10.08
29.19,-9.99
29.48,-9.92
29.78,-9.84
30.08,-9.77
30.38,-9.71
30.68,-9.64
30.99,-9.57
31.30,-9.50
31.61,-9.44
31.93,-9.37
32.24,-9.28
32.57,-9.18
32.89,-9.09
33.22,-9.02
33.55,-8.95
33.89,-8.88
34.23,-8.83
34.57,-8.79
34.92,-8.74
35.27,-8.65
35.62,-8.55
35.97,-8.45
36.33,-8.39
36.70,-8.33
37.06,-8.27
37.43,-8.19
37.81,-8.12
38.19,-8.04
38.57,-7.97
38.95,-7.89
39.34,-7.83
39.74,-7.77
40.14,-7.71
40.54,-7.64
40.94,-7.58
41.35,-7.50
41.76,-7.42
42.18,-7.35
42.60,-7.31
43.03,-7.27
43.46,-7.22
43.90,-7.18
44.33,-7.10
44.78,-7.01
45.23,-6.97
45.68,-6.97
46.13,-6.94
46.60,-6.85
47.06,-6.76
47.53,-6.72
48.01,-6.67
48.49,-6.67
48.97,-6.67
49.46,-6.59
49.96,-6.51
50.46,-6.49
50.96,-6.47
51.47,-6.42
51.99,-6.37
52.51,-6.33
53.03,-6.29
53.56,-6.22
54.10,-6.16
54.64,-6.11
55.18,-6.07
55.74,-6.06
56.29,-6.00
56.86,-5.89
57.42,-5.86
58.00,-5.86
58.58,-5.80
59.16,-5.76
59.76,-5.74
60.35,-5.71
60.96,-5.66
61.57,-5.66
62.18,-5.66
62.80,-5.66
63.43,-5.62
64.07,-5.56
64.71,-5.56
65.35,-5.56
66.01,-5.56
66.67,-5.49
67.33,-5.43
68.01,-5.36
68.69,-5.29
69.37,-5.23
70.07,-5.16
70.77,-5.10
71.48,-5.04
72.19,-4.98
72.91,-4.93
73.64,-4.86
74.38,-4.80
75.12,-4.74
75.87,-4.65
76.63,-4.52
77.40,-4.46
78.17,-4.43
78.95,-4.27
79.74,-4.26
80.54,-4.26
81.35,-4.22
82.16,-4.13
82.98,-4.05
83.81,-4.05
84.65,-3.95
85.50,-3.88
86.35,-3.85
87.22,-3.83
88.09,-3.76
88.97,-3.65
89.86,-3.65
90.76,-3.65
91.66,-3.65
92.58,-3.59
93.51,-3.49
94.44,-3.44
95.39,-3.44
96.34,-3.45
97.30,-3.45
98.28,-3.44
99.26,-3.36
100.25,-3.29
101.25,-3.31
102.27,-3.31
103.29,-3.27
104.32,-3.26
105.37,-3.24
106.42,-3.20
107.48,-3.23
108.56,-3.25
109.64,-3.21
110.74,-3.18
111.85,-3.22
112.97,-3.24
114.10,-3.12
115.24,-3.12
116.39,-3.07
117.55,-3.02
118.73,-3.01
119.92,-3.01
121.12,-3.01
122.33,-2.94
123.55,-2.88
124.79,-2.78
126.03,-2.75
127.29,-2.76
128.57,-2.78
129.85,-2.75
131.15,-2.64
132.46,-2.55
133.79,-2.52
135.12,-2.53
136.48,-2.53
137.84,-2.54
139.22,-2.47
140.61,-2.35
142.02,-2.30
143.44,-2.31
144.87,-2.32
146.32,-2.33
147.78,-2.34
149.26,-2.19
150.75,-2.10
152.26,-2.11
153.78,-2.12
155.32,-2.12
156.88,-2.12
158.44,-2.12
160.03,-2.12
161.63,-2.19
163.24,-2.24
164.88,-2.31
166.53,-2.25
168.19,-2.19
169.87,-2.14
171.57,-2.15
173.29,-2.16
175.02,-2.16
176.77,-2.18
178.54,-2.18
180.32,-2.10
182.13,-1.99
183.95,-1.92
185.79,-1.93
187.65,-1.92
189.52,-1.90
191.42,-1.89
193.33,-1.88
195.27,-1.86
197.22,-1.85
199.19,-1.83
201.18,-1.83
203.19,-1.82
205.23,-1.82
207.28,-1.82
209.35,-1.82
211.44,-1.83
213.56,-1.83
215.69,-1.83
217.85,-1.84
220.03,-1.84
222.23,-1.84
224.45,-1.84
226.70,-1.84
228.96,-1.84
231.25,-1.83
233.57,-1.82
235.90,-1.81
238.26,-1.79
240.64,-1.76
243.05,-1.78
245.48,-1.82
247.93,-1.81
250.41,-1.80
252.92,-1.78
255.45,-1.77
258.00,-1.76
260.58,-1.75
263.19,-1.75
265.82,-1.75
268.48,-1.76
271.16,-1.76
273.87,-1.76
276.61,-1.77
279.38,-1.77
282.17,-1.76
284.99,-1.76
287.84,-1.75
290.72,-1.74
293.63,-1.73
296.57,-1.71
299.53,-1.70
302.53,-1.69
305.55,-1.70
308.61,-1.76
311.69,-1.76
314.81,-1.76
317.96,-1.76
321.14,-1.76
324.35,-1.76
327.59,-1.76
330.87,-1.76
334.18,-1.79
337.52,-1.86
340.90,-1.87
344.30,-1.87
347.75,-1.87
351.23,-1.87
354.74,-1.86
358.28,-1.86
361.87,-1.85
365.49,-1.85
369.14,-1.84
372.83,-1.83
376.56,-1.82
380.33,-1.88
384.13,-1.92
387.97,-1.99
391.85,-2.00
395.77,-2.00
399.73,-2.00
403.72,-2.00
407.76,-2.01
411.84,-2.01
415.96,-2.08
420.12,-2.11
424.32,-2.11
428.56,-2.12
432.85,-2.17
437.18,-2.16
441.55,-2.12
445.96,-2.08
450.42,-2.05
454.93,-2.06
459.48,-2.01
464.07,-1.94
468.71,-1.89
473.40,-1.83
478.13,-1.83
482.91,-1.82
487.74,-1.79
492.62,-1.75
497.55,-1.72
502.52,-1.70
507.55,-1.68
512.62,-1.69
517.75,-1.74
