frequency,raw
20,2.84
21,3.25
22,3.74
23,4.10
24,4.45
25,4.86
26,5.11
27,5.43
28,5.73
29,6.06
30,6.23
31,6.50
32,6.70
33,6.90
34,7.14
35,7.37
36,7.54
37,7.77
38,7.86
39,7.97
40,8.17
41,8.24
42,8.37
43,8.50
44,8.62
45,8.67
46,8.77
47,8.87
48,8.87
49,8.97
50,9.08
51,9.18
52,9.18
53,9.28
54,9.28
55,9.38
56,9.38
57,9.38
58,9.38
59,9.48
60,9.48
61,9.48
62,9.58
63,9.58
64,9.58
65,9.58
66,9.58
67,9.58
68,9.58
69,9.58
70,9.58
71,9.58
72,9.58
73,9.58
74,9.58
75,9.58
76,9.58
77,9.58
78,9.58
79,9.58
80,9.58
81,9.58
82,9.58
83,9.58
84,9.58
85,9.58
86,9.58
87,9.58
88,9.58
89,9.58
90,9.58
91,9.58
92,9.58
93,9.59
94,9.59
95,9.58
96,9.58
97,9.58
98,9.57
99,9.56
100,9.54
101,9.52
102,9.40
104,9.28
105,9.26
106,9.23
107,9.21
108,9.18
109,9.16
110,9.14
111,9.13
112,9.11
113,9.11
114,9.10
115,9.10
117,9.09
118,8.96
119,8.91
120,8.91
121,8.92
123,8.93
124,8.94
125,8.94
126,8.95
128,8.96
129,8.96
130,8.97
131,8.98
133,8.78
134,8.78
135,8.79
137,8.79
138,8.79
140,8.80
141,8.80
142,8.80
144,8.64
145,8.60
147,8.60
148,8.60
150,8.60
151,8.60
153,8.60
154,8.60
156,8.50
157,8.50
159,8.40
160,8.40
162,8.31
164,8.24
165,8.19
167,8.18
169,8.18
170,8.17
172,8.11
174,8.06
175,8.05
177,8.05
179,7.96
181,7.95
183,7.91
184,7.87
186,7.88
188,7.89
190,7.90
192,7.82
194,7.74
196,7.75
198,7.76
200,7.72
202,7.68
204,7.56
206,7.48
208,7.49
210,7.42
212,7.37
214,7.28
216,7.24
218,7.15
221,6.94
223,6.95
225,6.97
227,6.98
229,6.87
232,6.94
234,6.93
236,6.90
239,6.91
241,6.84
244,6.85
246,6.87
248,6.82
251,6.71
253,6.72
256,6.74
259,6.79
261,6.85
264,6.91
266,6.95
269,7.04
272,7.18
274,7.27
277,7.41
280,7.44
283,7.44
286,7.45
288,7.46
291,7.47
