frequency,raw
20,-1.45
21,-1.26
22,-0.85
23,-0.60
24,-0.54
25,-0.39
26,-0.21
27,-0.04
28,0.12
29,0.42
30,0.46
31,0.57
32,0.67
33,0.66
34,0.83
35,0.97
36,0.98
37,1.17
38,1.17
39,1.15
40,1.35
41,1.35
42,1.47
43,1.47
44,1.52
45,1.65
46,1.67
47,1.67
48,1.67
49,1.67
50,1.87
51,1.87
52,1.87
53,1.87
54,1.96
55,1.97
56,1.97
57,2.07
58,2.07
59,2.07
60,2.17
61,2.17
62,2.17
63,2.17
64,2.17
65,2.28
66,2.28
67,2.28
68,2.28
69,2.28
70,2.28
71,2.38
72,2.38
73,2.38
74,2.38
75,2.38
76,2.38
77,2.38
78,2.38
79,2.38
80,2.38
81,2.38
82,2.34
83,2.27
84,2.28
85,2.25
86,2.17
87,2.18
88,2.28
89,2.28
90,2.28
91,2.28
92,2.28
93,2.28
94,2.28
95,2.47
96,2.48
97,2.47
98,2.47
99,2.45
100,2.44
101,2.42
102,2.40
104,2.32
105,2.26
106,2.23
107,2.21
108,2.18
109,2.11
110,2.04
111,2.03
112,2.01
113,1.96
114,1.90
115,1.83
117,1.76
118,1.70
119,1.66
120,1.61
121,1.62
123,1.63
124,1.63
125,1.56
126,1.53
128,1.56
129,1.56
130,1.57
131,1.57
133,1.58
134,1.58
135,1.59
137,1.59
138,1.59
140,1.59
141,1.59
142,1.60
144,1.60
145,1.60
147,1.59
148,1.59
150,1.59
151,1.59
153,1.59
154,1.60
156,1.60
157,1.60
159,1.60
160,1.57
162,1.49
164,1.39
165,1.37
167,1.28
169,1.18
170,1.17
172,1.16
174,1.11
175,1.03
177,1.02
179,1.05
181,1.05
183,1.06
184,1.10
186,1.10
188,0.99
190,0.91
192,0.92
194,0.95
196,0.85
198,0.86
200,0.81
202,0.77
204,0.68
206,0.67
208,0.71
210,0.84
212,0.92
214,1.05
216,1.22
218,1.56
221,2.03
223,2.23
225,2.39
227,2.56
229,2.66
232,2.59
234,2.53
236,2.53
239,2.45
241,2.48
244,2.44
246,2.41
248,2.34
251,2.25
253,2.18
256,2.07
259,1.99
261,1.90
264,1.79
266,1.76
269,1.66
272,1.60
274,1.55
277,1.42
280,1.31
283,1.25
286,1.17
288,1.11
291,0.92
294,0.79
297,0.79
300,0.77
303,0.65
306,0.60
309,0.51
312,0.41
316,0.27
319,0.14
322,0.08
325,0.03
328,-0.10
332,-0.28
335,-0.36
338,-0.45
342,-0.51
345,-0.64
349,-0.77
352,-0.89
356,-0.96
359,-0.96
363,-1.07
366,-1.14
370,-1.24
374,-1.34
377,-1.40
381,-1.42
385,-1.41
389,-1.49
393,-1.51
397,-1.53
401,-1.67
405,-1.71
409,-1.71
413,-1.72
417,-1.72
421,-1.75
425,-1.81
430,-1.88
434,-1.88
438,-1.85
