frequency,raw
20.00,-1.79
20.20,-1.71
20.40,-1.63
20.61,-1.55
20.81,-1.46
21.02,-1.38
21.23,-1.30
21.44,-1.21
21.66,-1.13
21.87,-1.04
22.09,-0.97
22.31,-0.93
22.54,-0.88
22.76,-0.84
22.99,-0.79
23.22,-0.74
23.45,-0.68
23.69,-0.63
23.92,-0.58
24.16,-0.51
24.40,-0.43
24.65,-0.36
24.89,-0.28
25.14,-0.21
25.39,-0.15
25.65,-0.08
25.91,-0.01
26.16,0.05
26.43,0.10
26.69,0.16
26.96,0.21
27.23,0.25
27.50,0.30
27.77,0.34
28.05,0.38
28.33,0.43
28.62,0.49
28.90,0.54
29.19,0.59
29.48,0.64
29.78,0.69
30.08,0.74
30.38,0.78
30.68,0.81
30.99,0.85
31.30,0.90
31.61,0.95
31.93,1.01
32.24,1.07
32.57,1.13
32.89,1.20
33.22,1.24
33.55,1.28
33.89,1.31
34.23,1.35
34.57,1.38
34.92,1.42
35.27,1.46
35.62,1.50
35.97,1.54
36.33,1.57
36.70,1.60
37.06,1.64
37.43,1.67
37.81,1.71
38.19,1.75
38.57,1.79
38.95,1.83
39.34,1.89
39.74,1.95
40.14,2.00
40.54,2.01
40.94,2.03
41.35,2.10
41.76,2.18
42.18,2.23
42.60,2.23
43.03,2.23
43.46,2.25
43.90,2.27
44.33,2.32
44.78,2.38
45.23,2.41
45.68,2.42
46.13,2.44
46.60,2.49
47.06,2.53
47.53,2.53
48.01,2.53
48.49,2.58
48.97,2.63
49.46,2.68
49.96,2.73
50.46,2.73
50.96,2.73
51.47,2.73
51.99,2.73
52.51,2.73
53.03,2.73
53.56,2.78
54.10,2.82
54.64,2.83
55.18,2.83
55.74,2.83
56.29,2.83
56.86,2.83
57.42,2.87
58.00,2.93
58.58,2.93
59.16,2.93
59.76,2.93
60.35,2.93
60.96,2.93
61.57,2.93
62.18,2.93
62.80,2.93
63.43,2.93
64.07,2.93
64.71,2.93
65.35,2.93
66.01,2.93
66.67,2.93
67.33,2.93
68.01,2.93
68.69,3.00
69.37,3.03
70.07,3.04
70.77,3.19
71.48,3.24
72.19,3.26
72.91,3.35
73.64,3.41
74.38,3.50
75.12,3.60
75.87,3.63
76.63,3.70
77.40,3.74
78.17,3.74
78.95,3.74
79.74,3.74
80.54,3.69
81.35,3.64
82.16,3.64
82.98,3.64
83.81,3.48
84.65,3.44
85.50,3.48
86.35,3.54
87.22,3.56
88.09,3.55
88.97,3.68
89.86,3.67
90.76,3.62
91.66,3.77
92.58,3.87
93.51,3.84
94.44,3.86
95.39,3.93
96.34,3.93
97.30,3.96
98.28,4.08
99.26,4.13
100.25,4.09
101.25,4.09
102.27,4.13
103.29,4.14
104.32,4.13
105.37,4.11
106.42,4.09
107.48,4.06
108.56,4.04
109.64,4.02
110.74,4.00
111.85,3.98
