frequency,raw
20.00,-11.43
20.20,-11.24
20.40,-11.05
20.61,-10.87
20.81,-10.68
21.02,-10.51
21.23,-10.47
21.44,-10.44
21.66,-10.40
21.87,-10.37
22.09,-10.29
22.31,-10.16
22.54,-10.03
22.76,-9.90
22.99,-9.77
23.22,-9.78
23.45,-9.79
23.69,-9.81
23.92,-9.82
24.16,-9.67
24.40,-9.42
24.65,-9.18
24.89,-8.93
25.14,-8.79
25.39,-8.73
25.65,-8.66
25.91,-8.59
26.16,-8.47
26.43,-8.31
26.69,-8.15
26.96,-8.00
27.23,-7.87
27.50,-7.74
27.77,-7.62
28.05,-7.50
28.33,-7.41
28.62,-7.32
28.90,-7.22
29.19,-7.11
29.48,-7.00
29.78,-6.88
30.08,-6.77
30.38,-6.68
30.68,-6.59
30.99,-6.50
31.30,-6.36
31.61,-6.21
31.93,-6.06
32.24,-5.97
32.57,-5.89
32.89,-5.82
33.22,-5.72
33.55,-5.62
33.89,-5.51
34.23,-5.39
34.57,-5.27
34.92,-5.14
35.27,-5.18
35.62,-5.27
35.97,-5.36
36.33,-5.10
36.70,-4.81
37.06,-4.55
37.43,-4.43
37.81,-4.30
38.19,-4.32
38.57,-4.47
38.95,-4.62
39.34,-4.47
39.74,-4.28
40.14,-4.16
40.54,-4.17
40.94,-4.18
41.35,-3.88
41.76,-3.53
42.18,-3.37
42.60,-3.48
43.03,-3.56
43.46,-3.35
43.90,-3.14
44.33,-2.98
44.78,-2.82
45.23,-2.90
45.68,-3.19
46.13,-3.28
46.60,-2.91
47.06,-2.58
47.53,-2.54
48.01,-2.49
48.49,-2.45
48.97,-2.40
49.46,-2.42
49.96,-2.45
50.46,-2.50
50.96,-2.55
51.47,-2.23
51.99,-1.88
52.51,-2.09
53.03,-2.29
53.56,-2.07
54.10,-1.88
54.64,-1.83
55.18,-1.77
55.74,-1.72
56.29,-1.79
56.86,-1.97
57.42,-1.84
58.00,-1.59
58.58,-1.59
59.16,-1.64
59.76,-1.83
60.35,-1.61
60.96,-1.10
61.57,-1.24
62.18,-1.38
62.80,-1.38
63.43,-1.38
64.07,-1.38
64.71,-1.36
65.35,-1.25
66.01,-1.08
66.67,-1.35
67.33,-1.48
68.01,-1.48
68.69,-1.48
69.37,-1.48
70.07,-1.48
70.77,-1.48
71.48,-1.48
72.19,-1.42
72.91,-1.21
73.64,-1.44
74.38,-1.70
75.12,-1.89
75.87,-1.85
76.63,-1.74
77.40,-1.81
78.17,-1.96
78.95,-1.80
79.74,-1.64
80.54,-1.59
81.35,-1.59
82.16,-1.56
82.98,-1.38
83.81,-1.24
84.65,-1.39
85.50,-1.49
86.35,-1.48
87.22,-1.48
88.09,-1.48
88.97,-1.48
89.86,-1.48
90.76,-1.48
91.66,-1.48
92.58,-1.48
93.51,-1.48
94.44,-1.48
95.39,-1.48
96.34,-1.54
97.30,-1.74
98.28,-1.85
99.26,-1.66
100.25,-1.63
101.25,-1.65
102.27,-1.66
103.29,-1.67
104.32,-1.69
105.37,-1.72
106.42,-1.74
107.48,-1.65
108.56,-1.52
109.64,-1.74
110.74,-1.92
111.85,-1.95
112.97,-1.96
114.10,-1.96
115.24,-1.96
116.39,-1.96
117.55,-1.96
118.73,-1.95
119.92,-2.24
121.12,-2.33
122.33,-2.11
123.55,-1.85
124.79,-1.75
126.03,-2.07
127.29,-2.09
128.57,-2.10
129.85,-2.09
131.15,-2.09
132.46,-2.08
133.79,-2.08
135.12,-2.09
136.48,-2.15
137.84,-2.22
139.22,-2.25
140.61,-2.27
142.02,-2.27
143.44,-2.27
144.87,-2.27
146.32,-2.27
147.78,-2.27
149.26,-2.27
150.75,-2.27
152.26,-2.27
153.78,-2.27
155.32,-2.26
156.88,-2.13
158.44,-2.04
160.03,-2.26
161.63,-2.50
163.24,-2.67
164.88,-2.59
166.53,-2.50
168.19,-2.38
169.87,-2.21
171.57,-2.40
173.29,-2.55
175.02,-2.61
176.77,-2.61
178.54,-2.61
180.32,-2.61
182.13,-2.60
183.95,-2.59
185.79,-2.83
187.65,-2.91
189.52,-2.71
191.42,-2.48
193.33,-2.40
195.27,-2.59
197.22,-2.78
199.19,-2.86
201.18,-2.75
203.19,-2.74
205.23,-3.00
207.28,-3.01
209.35,-2.95
211.44,-3.13
213.56,-3.04
215.69,-3.14
217.85,-3.37
220.03,-3.21
222.23,-3.25
224.45,-3.68
226.70,-3.81
228.96,-3.59
231.25,-3.59
233.57,-3.58
235.90,-3.56
238.26,-3.69
240.64,-3.78
243.05,-3.28
245.48,-3.04
247.93,-3.26
250.41,-3.25
252.92,-3.19
255.45,-2.90
258.00,-2.99
260.58,-3.10
263.19,-3.11
265.82,-2.82
268.48,-2.72
271.16,-2.93
273.87,-3.02
276.61,-3.02
279.38,-3.02
282.17,-3.02
284.99,-3.01
287.84,-2.91
290.72,-2.53
293.63,-2.74
296.57,-2.76
299.53,-2.75
302.53,-2.74
305.55,-2.99
308.61,-3.02
311.69,-2.65
314.81,-2.61
317.96,-2.61
321.14,-2.61
324.35,-2.61
327.59,-2.61
330.87,-2.59
334.18,-2.41
337.52,-2.63
340.90,-2.79
344.30,-2.67
347.75,-2.62
351.23,-2.62
354.74,-2.61
358.28,-2.61
361.87,-2.60
365.49,-2.60
369.14,-2.59
372.83,-2.58
376.56,-2.57
380.33,-2.57
384.13,-2.59
387.97,-2.64
391.85,-2.71
395.77,-2.80
399.73,-3.02
403.72,-3.01
407.76,-2.91
411.84,-3.05
415.96,-3.02
420.12,-2.81
424.32,-2.85
428.56,-2.95
432.85,-2.85
437.18,-2.64
441.55,-2.45
445.96,-2.33
450.42,-2.50
454.93,-2.55
459.48,-2.51
464.07,-2.42
468.71,-2.37
473.40,-2.30
478.13,-2.39
482.91,-2.43
487.74,-2.41
492.62,-2.47
497.55,-2.59
502.52,-2.78
507.55,-2.81
512.62,-2.84
517.75,-2.91
522.93,-2.97
528.16,-3.06
533.44,-3.17
538.77,-3.34
544.16,-3.49
549.60,-3.63
555.10,-3.78
560.65,-3.93
566.25,-4.07
571.92,-4.26
577.64,-4.46
583.41,-4.61
589.25,-4.74
595.14,-4.87
601.09,-4.99
607.10,-5.04
613.17,-5.09
619.30,-5.18
625.50,-5.23
631.75,-5.25
638.07,-5.32
644.45,-5.37
650.89,-5.38
657.40,-5.29
663.98,-5.15
670.62,-5.22
677.32,-5.16
684.10,-5.02
690.94,-4.99
697.85,-4.63
704.83,-4.54
711.87,-4.53
718.99,-4.46
726.18,-4.43
733.44,-4.50
740.78,-4.37
748.19,-4.22
755.67,-4.10
763.23,-3.98
770.86,-3.88
778.57,-3.76
786.35,-3.65
794.22,-3.54
802.16,-3.36
810.18,-3.15
818.28,-3.00
826.46,-2.95
834.73,-2.82
843.08,-2.64
851.51,-2.51
860.02,-2.44
868.62,-2.27
877.31,-2.08
886.08,-1.88
894.94,-1.73
903.89,-1.59
912.93,-1.53
922.06,-1.42
931.28,-1.28
940.59,-1.09
950.00,-0.92
959.50,-0.78
969.09,-0.57
978.78,-0.39
988.57,-0.21
998.46,-0.03
1008.44,0.13
1018.53,0.31
1028.71,0.53
1039.00,0.72
1049.39,0.85
1059.88,1.02
1070.48,1.21
1081.19,1.35
1092.00,1.52
1102.92,1.66
1113.95,1.88
1125.09,2.00
1136.34,2.14
1147.70,2.28
1159.18,2.43
1170.77,2.58
1182.48,2.74
1194.30,2.89
1206.25,3.00
1218.31,3.12
1230.49,3.25
1242.80,3.33
1255.22,3.38
1267.78,3.39
1280.45,3.43
1293.26,3.45
1306.19,3.39
1319.25,3.35
1332.45,3.43
1345.77,3.60
1359.23,3.77
1372.82,3.80
1386.55,3.85
1400.41,3.93
1414.42,3.95
1428.56,3.90
1442.85,3.84
1457.28,3.79
1471.85,3.76
1486.57,3.70
1501.43,3.62
1516.45,3.55
1531.61,3.48
1546.93,3.41
1562.40,3.33
1578.02,3.21
1593.80,3.12
1609.74,3.09
1625.84,3.04
1642.10,3.01
1658.52,3.02
1675.10,3.03
1691.85,2.94
1708.77,2.90
1725.86,2.93
1743.12,3.01
1760.55,3.11
1778.15,3.14
1795.94,3.21
1813.90,3.29
1832.03,3.35
1850.36,3.41
1868.86,3.48
1887.55,3.53
1906.42,3.56
1925.49,3.55
1944.74,3.47
1964.19,3.28
1983.83,3.09
2003.67,3.03
2023.71,3.06
2043.94,3.03
2064.38,3.01
2085.03,2.96
2105.88,2.89
2126.94,2.85
2148.20,2.77
2169.69,2.60
2191.38,2.50
2213.30,2.47
2235.43,2.36
2257.78,2.18
2280.36,2.08
2303.17,1.97
2326.20,1.82
2349.46,1.78
2372.95,1.73
2396.68,1.69
2420.65,1.42
2444.86,1.21
2469.31,1.04
2494.00,0.90
2518.94,0.81
2544.13,0.67
2569.57,0.59
2595.27,0.47
2621.22,0.48
2647.43,0.49
2673.90,0.44
2700.64,0.45
2727.65,0.41
2754.93,0.34
2782.48,0.35
2810.30,0.33
2838.40,0.30
2866.79,0.22
2895.46,0.18
2924.41,0.16
2953.65,0.03
2983.19,0.01
3013.02,0.05
3043.15,0.16
3073.58,0.26
3104.32,0.32
3135.36,0.33
3166.72,0.44
3198.38,0.61
3230.37,0.58
3262.67,0.54
3295.30,0.58
3328.25,0.66
3361.53,0.66
3395.15,0.69
3429.10,0.48
3463.39,0.18
3498.03,-0.07
3533.01,-0.26
3568.34,-0.43
3604.02,-0.71
3640.06,-0.97
3676.46,-1.30
3713.22,-1.80
3750.36,-2.18
3787.86,-2.68
3825.74,-3.24
3864.00,-3.68
3902.64,-4.24
3941.66,-4.70
3981.08,-5.23
4020.89,-5.62
4061.10,-5.96
4101.71,-6.26
4142.73,-6.51
4184.15,-6.75
4226.00,-7.04
4268.26,-7.40
4310.94,-7.69
