frequency,raw
20.00,6.35
20.20,6.38
20.40,6.42
20.61,6.45
20.81,6.49
21.02,6.52
21.23,6.54
21.44,6.56
21.66,6.58
21.87,6.60
22.09,6.63
22.31,6.68
22.54,6.73
22.76,6.78
22.99,6.83
23.22,6.83
23.45,6.82
23.69,6.82
23.92,6.81
24.16,6.84
24.40,6.89
24.65,6.93
24.89,6.98
25.14,7.00
25.39,7.00
25.65,7.01
25.91,7.01
26.16,7.03
26.43,7.05
26.69,7.08
26.96,7.11
27.23,7.13
27.50,7.16
27.77,7.19
28.05,7.21
28.33,7.20
28.62,7.20
28.90,7.19
29.19,7.21
29.48,7.25
29.78,7.28
30.08,7.32
30.38,7.36
30.68,7.39
30.99,7.43
31.30,7.42
31.61,7.42
31.93,7.41
32.24,7.41
32.57,7.40
32.89,7.39
33.22,7.42
33.55,7.46
33.89,7.50
34.23,7.51
34.57,7.51
34.92,7.51
35.27,7.54
35.62,7.58
35.97,7.62
36.33,7.62
36.70,7.61
37.06,7.61
37.43,7.60
37.81,7.59
38.19,7.61
38.57,7.66
38.95,7.70
39.34,7.71
39.74,7.71
40.14,7.71
40.54,7.71
40.94,7.71
41.35,7.71
41.76,7.71
42.18,7.71
42.60,7.71
43.03,7.71
43.46,7.71
43.90,7.71
44.33,7.71
44.78,7.71
45.23,7.71
45.68,7.71
46.13,7.71
46.60,7.71
47.06,7.71
47.53,7.71
48.01,7.71
48.49,7.71
48.97,7.71
49.46,7.71
49.96,7.71
50.46,7.71
50.96,7.71
51.47,7.71
51.99,7.71
52.51,7.71
53.03,7.71
53.56,7.71
54.10,7.71
54.64,7.71
55.18,7.71
55.74,7.71
56.29,7.71
56.86,7.71
57.42,7.71
58.00,7.71
58.58,7.71
59.16,7.71
59.76,7.72
60.35,7.69
60.96,7.64
61.57,7.62
62.18,7.61
62.80,7.61
63.43,7.58
64.07,7.52
64.71,7.46
65.35,7.42
66.01,7.41
66.67,7.34
67.33,7.28
68.01,7.21
68.69,7.14
69.37,7.11
70.07,7.12
70.77,7.19
71.48,7.21
72.19,7.23
72.91,7.30
73.64,7.31
74.38,7.35
75.12,7.41
75.87,7.41
76.63,7.41
77.40,7.41
78.17,7.41
78.95,7.41
79.74,7.36
80.54,7.30
81.35,7.20
82.16,7.05
82.98,7.01
83.81,6.86
84.65,6.65
85.50,6.47
86.35,6.31
87.22,6.14
88.09,5.97
88.97,5.78
89.86,5.55
90.76,5.31
91.66,5.07
92.58,4.88
93.51,4.72
94.44,4.56
95.39,4.43
96.34,4.34
97.30,4.29
98.28,4.38
99.26,4.53
100.25,4.78
101.25,5.03
102.27,5.43
103.29,5.66
104.32,5.88
105.37,6.12
106.42,6.39
107.48,6.55
108.56,6.71
109.64,6.86
110.74,6.95
111.85,7.03
112.97,7.07
114.10,7.16
115.24,7.29
116.39,7.32
117.55,7.34
118.73,7.41
119.92,7.54
121.12,7.59
122.33,7.64
123.55,7.68
124.79,7.68
126.03,7.69
127.29,7.74
128.57,7.74
129.85,7.71
131.15,7.71
132.46,7.72
133.79,7.72
135.12,7.73
136.48,7.73
137.84,7.73
139.22,7.73
140.61,7.74
142.02,7.74
143.44,7.74
144.87,7.74
146.32,7.74
147.78,7.74
149.26,7.74
150.75,7.74
152.26,7.71
153.78,7.65
155.32,7.64
156.88,7.59
158.44,7.44
160.03,7.27
161.63,7.13
163.24,7.03
164.88,6.94
166.53,6.92
168.19,7.00
169.87,7.13
171.57,7.27
173.29,7.31
175.02,7.36
176.77,7.39
178.54,7.39
180.32,7.36
182.13,7.32
183.95,7.31
185.79,7.32
187.65,7.34
189.52,7.35
191.42,7.36
193.33,7.34
195.27,7.31
197.22,7.31
199.19,7.26
201.18,7.22
203.19,7.23
205.23,7.23
207.28,7.23
209.35,7.23
211.44,7.23
213.56,7.22
215.69,7.14
217.85,7.09
220.03,7.04
222.23,6.99
224.45,6.88
226.70,6.81
228.96,6.72
231.25,6.67
233.57,6.63
235.90,6.56
238.26,6.48
240.64,6.37
243.05,6.31
245.48,6.22
247.93,6.08
250.41,6.06
252.92,6.01
255.45,5.85
258.00,5.79
260.58,5.71
263.19,5.61
265.82,5.52
268.48,5.46
271.16,5.37
273.87,5.26
276.61,5.15
279.38,5.01
282.17,4.99
284.99,4.97
287.84,4.86
290.72,4.69
293.63,4.46
296.57,4.34
299.53,4.29
302.53,4.19
305.55,4.01
308.61,3.87
311.69,3.77
314.81,3.60
317.96,3.38
321.14,3.24
324.35,3.10
327.59,3.00
330.87,2.86
334.18,2.69
337.52,2.53
340.90,2.38
344.30,2.20
347.75,2.04
351.23,1.97
354.74,1.95
358.28,1.84
361.87,1.73
365.49,1.60
369.14,1.58
372.83,1.59
376.56,1.53
380.33,1.46
384.13,1.40
387.97,1.40
391.85,1.41
395.77,1.42
399.73,1.43
403.72,1.43
407.76,1.35
411.84,1.31
415.96,1.24
420.12,1.19
424.32,1.06
428.56,0.98
432.85,0.88
437.18,0.77
441.55,0.71
445.96,0.73
450.42,0.81
454.93,0.87
459.48,0.88
464.07,0.86
468.71,0.84
473.40,0.93
478.13,1.03
482.91,1.09
487.74,1.13
492.62,1.17
497.55,1.24
502.52,1.38
507.55,1.47
512.62,1.54
517.75,1.64
522.93,1.74
528.16,1.75
533.44,1.81
538.77,1.88
544.16,1.87
549.60,1.91
555.10,1.87
560.65,1.82
566.25,1.77
571.92,1.75
577.64,1.78
583.41,1.77
589.25,1.75
595.14,1.74
601.09,1.70
607.10,1.66
613.17,1.59
619.30,1.55
625.50,1.49
631.75,1.39
638.07,1.34
644.45,1.23
650.89,1.09
657.40,0.95
663.98,0.81
670.62,0.71
677.32,0.65
684.10,0.57
690.94,0.51
697.85,0.40
704.83,0.38
711.87,0.38
718.99,0.46
726.18,0.54
733.44,0.54
740.78,0.55
748.19,0.58
755.67,0.56
763.23,0.53
770.86,0.59
778.57,0.60
786.35,0.59
794.22,0.67
802.16,0.67
810.18,0.60
818.28,0.49
826.46,0.42
834.73,0.40
843.08,0.29
851.51,0.18
860.02,0.11
868.62,0.03
877.31,-0.08
886.08,-0.20
894.94,-0.23
903.89,-0.24
912.93,-0.25
922.06,-0.25
931.28,-0.25
940.59,-0.25
950.00,-0.17
959.50,-0.14
969.09,-0.14
978.78,-0.10
988.57,-0.03
998.46,-0.00
1008.44,-0.00
1018.53,-0.05
1028.71,-0.04
1039.00,-0.01
1049.39,0.11
1059.88,0.17
1070.48,0.27
1081.19,0.41
1092.00,0.51
1102.92,0.57
1113.95,0.64
1125.09,0.70
1136.34,0.77
1147.70,0.86
1159.18,0.93
1170.77,0.92
1182.48,0.91
1194.30,0.96
1206.25,0.92
1218.31,0.89
1230.49,0.85
1242.80,0.80
1255.22,0.81
1267.78,0.76
1280.45,0.84
1293.26,0.98
1306.19,1.09
1319.25,1.19
1332.45,1.33
1345.77,1.45
1359.23,1.54
1372.82,1.61
1386.55,1.67
1400.41,1.69
1414.42,1.71
1428.56,1.75
1442.85,1.86
1457.28,1.87
1471.85,1.90
1486.57,1.99
1501.43,2.02
1516.45,2.07
1531.61,2.14
1546.93,2.21
1562.40,2.20
1578.02,2.25
1593.80,2.24
1609.74,2.36
1625.84,2.37
1642.10,2.41
1658.52,2.47
1675.10,2.54
1691.85,2.61
1708.77,2.65
1725.86,2.68
1743.12,2.76
1760.55,2.85
1778.15,2.91
1795.94,2.96
1813.90,3.06
1832.03,3.11
1850.36,3.18
1868.86,3.22
1887.55,3.21
1906.42,3.27
1925.49,3.32
1944.74,3.31
1964.19,3.29
1983.83,3.28
2003.67,3.23
2023.71,3.09
2043.94,3.03
2064.38,3.00
2085.03,2.99
2105.88,2.94
2126.94,2.92
2148.20,2.93
2169.69,2.89
2191.38,2.79
2213.30,2.77
2235.43,2.74
2257.78,2.74
2280.36,2.80
2303.17,2.85
2326.20,2.84
2349.46,2.78
2372.95,2.78
2396.68,2.76
2420.65,2.61
2444.86,2.87
2469.31,3.32
2494.00,3.79
2518.94,4.27
2544.13,4.70
2569.57,4.96
2595.27,5.04
2621.22,5.08
2647.43,5.14
2673.90,5.25
2700.64,5.34
2727.65,5.40
2754.93,5.49
2782.48,5.55
2810.30,5.61
2838.40,5.64
2866.79,5.67
2895.46,5.66
2924.41,5.72
2953.65,5.83
2983.19,5.98
3013.02,6.14
3043.15,6.38
3073.58,6.50
3104.32,6.50
3135.36,6.65
3166.72,6.84
3198.38,6.84
3230.37,6.85
3262.67,6.96
3295.30,6.97
3328.25,6.97
3361.53,7.07
3395.15,7.05
3429.10,6.99
3463.39,7.01
3498.03,6.87
3533.01,6.74
3568.34,6.62
3604.02,6.29
3640.06,5.93
3676.46,5.62
3713.22,5.14
3750.36,4.52
3787.86,3.85
3825.74,3.22
3864.00,2.30
3902.64,1.35
3941.66,0.71
3981.08,0.26
4020.89,-0.12
4061.10,-0.64
4101.71,-1.60
4142.73,-2.51
4184.15,-3.22
4226.00,-4.25
4268.26,-5.45
4310.94,-6.38
4354.05,-6.76
4397.59,-7.05
4441.56,-7.10
4485.98,-6.49
4530.84,-5.62
4576.15,-5.03
4621.91,-4.51
4668.13,-4.81
4714.81,-5.08
4761.96,-5.31
4809.58,-5.12
4857.67,-4.78
4906.25,-4.36
4955.31,-3.77
5004.87,-2.92
5054.91,-2.31
5105.46,-1.90
5156.52,-1.38
5208.08,-1.09
5260.16,-1.03
5312.77,-0.95
5365.89,-0.93
5419.55,-0.96
5473.75,-1.02
5528.49,-1.12
5583.77,-1.26
5639.61,-1.49
5696.00,-1.79
5752.96,-1.98
5810.49,-2.10
5868.60,-2.12
5927.28,-2.10
5986.56,-2.12
6046.42,-2.31
6106.89,-2.49
6167.96,-2.50
6229.64,-2.73
6291.93,-3.10
6354.85,-3.16
6418.40,-3.22
6482.58,-3.36
6547.41,-3.08
6612.88,-3.14
6679.01,-3.39
6745.80,-3.38
6813.26,-3.45
6881.39,-4.05
6950.21,-4.38
7019.71,-4.37
7089.91,-4.25
7160.81,-4.27
7232.41,-4.71
7304.74,-5.00
7377.79,-5.15
7451.56,-5.44
7526.08,-5.82
7601.34,-6.12
7677.35,-6.23
7754.13,-6.30
7831.67,-6.24
7909.98,-6.06
7989.08,-5.80
8068.98,-5.51
8149.67,-5.15
8231.16,-4.68
8313.47,-4.11
8396.61,-3.67
8480.57,-3.16
8565.38,-2.85
8651.03,-2.66
8737.54,-2.50
8824.92,-2.38
8913.17,-2.26
9002.30,-2.07
9092.32,-1.73
9183.25,-1.42
9275.08,-1.03
9367.83,-0.68
9461.51,-0.52
9556.12,-0.48
9651.68,-0.71
9748.20,-1.31
9845.68,-2.02
9944.14,-2.38
10043.58,-3.10
10144.02,-3.55
10245.46,-3.75
10347.91,-3.90
10451.39,-3.75
10555.91,-3.61
10661.46,-3.57
10768.08,-3.48
10875.76,-3.45
10984.52,-3.43
11094.36,-3.30
11205.31,-3.08
11317.36,-2.78
11430.53,-2.43
11544.84,-1.90
11660.29,-1.40
11776.89,-1.36
11894.66,-1.57
12013.60,-1.73
12133.74,-2.07
12255.08,-2.57
12377.63,-3.57
12501.41,-4.53
12626.42,-5.75
12752.68,-7.58
12880.21,-9.10
13009.01,-10.99
13139.10,-13.36
13270.49,-14.34
13403.20,-13.59
13537.23,-12.23
13672.60,-14.10
13809.33,-17.19
13947.42,-20.29
14086.90,-22.54
14227.77,-21.74
14370.04,-20.61
14513.74,-20.92
14658.88,-19.76
14805.47,-18.35
14953.52,-16.48
15103.06,-16.83
15254.09,-18.08
15406.63,-19.79
15560.70,-21.99
15716.30,-23.40
15873.47,-24.78
16032.20,-26.05
16192.52,-26.83
16354.45,-26.98
16517.99,-26.49
16683.17,-25.45
16850.01,-24.72
17018.51,-23.62
17188.69,-22.78
17360.58,-22.04
17534.18,-21.87
17709.53,-21.91
17886.62,-21.47
18065.49,-20.18
18246.14,-19.10
18428.60,-19.96
18612.89,-20.77
18799.02,-19.55
18987.01,-18.55
19176.88,-19.36
19368.65,-20.82
19562.33,-22.40
19757.96,-23.63
19955.54,-24.29
