frequency,raw
20.00,-8.94
20.20,-8.82
20.40,-8.69
20.61,-8.57
20.81,-8.44
21.02,-8.32
21.23,-8.23
21.44,-8.14
21.66,-8.05
21.87,-7.95
22.09,-7.85
22.31,-7.73
22.54,-7.62
22.76,-7.50
22.99,-7.39
23.22,-7.30
23.45,-7.22
23.69,-7.13
23.92,-7.05
24.16,-6.93
24.40,-6.81
24.65,-6.68
24.89,-6.55
25.14,-6.46
25.39,-6.38
25.65,-6.30
25.91,-6.23
26.16,-6.15
26.43,-6.06
26.69,-5.98
26.96,-5.89
27.23,-5.78
27.50,-5.67
27.77,-5.55
28.05,-5.45
28.33,-5.40
28.62,-5.34
28.90,-5.29
29.19,-5.21
29.48,-5.12
29.78,-5.04
30.08,-4.93
30.38,-4.79
30.68,-4.65
30.99,-4.51
31.30,-4.44
31.61,-4.38
31.93,-4.31
32.24,-4.28
32.57,-4.24
32.89,-4.21
33.22,-4.11
33.55,-3.97
33.89,-3.83
34.23,-3.75
34.57,-3.70
34.92,-3.64
35.27,-3.57
35.62,-3.50
35.97,-3.43
36.33,-3.36
36.70,-3.29
37.06,-3.22
37.43,-3.13
37.81,-3.04
38.19,-2.96
38.57,-2.89
38.95,-2.82
39.34,-2.75
39.74,-2.69
40.14,-2.62
40.54,-2.54
40.94,-2.46
41.35,-2.42
41.76,-2.38
42.18,-2.34
42.60,-2.29
43.03,-2.23
43.46,-2.16
43.90,-2.09
44.33,-2.05
44.78,-2.02
45.23,-1.96
45.68,-1.85
46.13,-1.75
46.60,-1.67
47.06,-1.59
47.53,-1.62
48.01,-1.64
48.49,-1.57
48.97,-1.49
49.46,-1.45
49.96,-1.40
50.46,-1.35
50.96,-1.30
51.47,-1.25
51.99,-1.20
52.51,-1.15
53.03,-1.10
53.56,-1.05
54.10,-1.00
54.64,-0.95
55.18,-0.91
55.74,-0.91
56.29,-0.92
56.86,-0.94
57.42,-0.83
58.00,-0.68
58.58,-0.72
59.16,-0.73
59.76,-0.65
60.35,-0.57
60.96,-0.50
61.57,-0.51
62.18,-0.54
62.80,-0.55
63.43,-0.50
64.07,-0.42
64.71,-0.37
65.35,-0.34
66.01,-0.31
66.67,-0.32
67.33,-0.33
68.01,-0.33
68.69,-0.36
69.37,-0.32
70.07,-0.25
70.77,-0.24
71.48,-0.24
72.19,-0.24
72.91,-0.24
73.64,-0.24
74.38,-0.24
75.12,-0.25
75.87,-0.34
76.63,-0.34
77.40,-0.36
78.17,-0.41
78.95,-0.43
79.74,-0.43
80.54,-0.43
81.35,-0.43
82.16,-0.45
82.98,-0.57
83.81,-0.55
84.65,-0.51
85.50,-0.52
86.35,-0.55
87.22,-0.51
88.09,-0.44
88.97,-0.43
89.86,-0.43
90.76,-0.42
91.66,-0.43
92.58,-0.41
93.51,-0.30
94.44,-0.22
95.39,-0.23
96.34,-0.22
97.30,-0.26
98.28,-0.31
99.26,-0.28
100.25,-0.28
101.25,-0.30
102.27,-0.31
103.29,-0.32
104.32,-0.32
105.37,-0.30
106.42,-0.30
107.48,-0.31
108.56,-0.29
109.64,-0.25
110.74,-0.21
111.85,-0.21
112.97,-0.18
114.10,-0.11
115.24,-0.11
116.39,-0.14
117.55,-0.14
118.73,-0.05
119.92,-0.02
121.12,-0.00
122.33,0.07
123.55,0.12
124.79,0.11
126.03,0.12
127.29,0.12
128.57,0.13
129.85,0.14
131.15,0.14
132.46,0.15
133.79,0.15
135.12,0.15
136.48,0.16
137.84,0.16
139.22,0.16
140.61,0.16
142.02,0.16
143.44,0.16
144.87,0.16
146.32,0.10
147.78,0.07
149.26,0.01
150.75,-0.03
152.26,-0.03
153.78,-0.03
155.32,-0.03
156.88,-0.03
158.44,-0.07
160.03,-0.12
161.63,-0.19
163.24,-0.24
164.88,-0.31
166.53,-0.37
168.19,-0.40
169.87,-0.38
171.57,-0.33
173.29,-0.28
175.02,-0.26
176.77,-0.27
178.54,-0.27
180.32,-0.26
182.13,-0.26
183.95,-0.25
185.79,-0.24
187.65,-0.22
189.52,-0.30
191.42,-0.29
193.33,-0.28
195.27,-0.32
197.22,-0.34
199.19,-0.33
201.18,-0.32
203.19,-0.36
205.23,-0.41
