frequency,raw
20.00,5.21
20.20,5.23
20.40,5.25
20.61,5.27
20.81,5.29
21.02,5.31
21.23,5.33
21.44,5.35
21.66,5.38
21.87,5.40
22.09,5.41
22.31,5.41
22.54,5.41
22.76,5.41
22.99,5.41
23.22,5.41
23.45,5.41
23.69,5.41
23.92,5.41
24.16,5.43
24.40,5.45
24.65,5.48
24.89,5.50
25.14,5.52
25.39,5.55
25.65,5.58
25.91,5.60
26.16,5.61
26.43,5.61
26.69,5.61
26.96,5.61
27.23,5.61
27.50,5.61
27.77,5.61
28.05,5.61
28.33,5.61
28.62,5.61
28.90,5.61
29.19,5.63
29.48,5.66
29.78,5.69
30.08,5.71
30.38,5.71
30.68,5.71
30.99,5.71
31.30,5.71
31.61,5.71
31.93,5.71
32.24,5.71
32.57,5.71
32.89,5.71
33.22,5.73
33.55,5.77
33.89,5.80
34.23,5.81
34.57,5.81
34.92,5.81
35.27,5.81
35.62,5.81
35.97,5.81
36.33,5.81
36.70,5.81
37.06,5.81
37.43,5.81
37.81,5.81
38.19,5.81
38.57,5.81
38.95,5.81
39.34,5.81
39.74,5.81
40.14,5.82
40.54,5.86
40.94,5.90
41.35,5.91
41.76,5.91
42.18,5.91
42.60,5.91
43.03,5.91
43.46,5.91
43.90,5.91
44.33,5.91
44.78,5.91
45.23,5.91
45.68,5.91
46.13,5.91
46.60,5.91
47.06,5.91
47.53,5.91
48.01,5.91
48.49,5.91
48.97,5.91
49.46,5.91
49.96,5.91
50.46,5.91
50.96,5.91
51.47,5.96
51.99,6.01
52.51,6.01
53.03,6.01
53.56,6.01
54.10,6.01
54.64,6.01
55.18,6.01
55.74,6.01
56.29,6.01
56.86,6.01
57.42,6.01
58.00,6.01
58.58,6.01
59.16,6.01
59.76,6.01
60.35,6.01
60.96,6.01
61.57,5.98
62.18,5.94
62.80,5.92
63.43,5.91
64.07,5.91
64.71,5.91
65.35,5.91
66.01,5.91
66.67,5.91
67.33,5.91
68.01,5.91
68.69,5.85
69.37,5.78
70.07,5.71
70.77,5.71
71.48,5.71
72.19,5.69
72.91,5.62
73.64,5.61
74.38,5.61
75.12,5.61
75.87,5.61
76.63,5.56
77.40,5.56
78.17,5.61
78.95,5.61
79.74,5.64
80.54,5.68
81.35,5.70
82.16,5.67
82.98,5.61
83.81,5.56
84.65,5.48
85.50,5.43
86.35,5.37
87.22,5.30
88.09,5.25
88.97,5.21
89.86,5.21
90.76,5.13
91.66,5.04
92.58,5.01
93.51,4.95
94.44,4.85
95.39,4.81
96.34,4.76
97.30,4.65
98.28,4.58
99.26,4.53
100.25,4.45
101.25,4.40
102.27,4.44
103.29,4.42
104.32,4.44
105.37,4.51
106.42,4.47
107.48,4.42
108.56,4.49
109.64,4.55
110.74,4.60
111.85,4.72
112.97,4.73
114.10,4.80
115.24,4.83
116.39,4.83
117.55,4.83
118.73,4.84
119.92,4.89
121.12,4.96
122.33,5.02
123.55,5.07
124.79,5.08
126.03,5.07
127.29,5.10
128.57,5.12
129.85,5.09
131.15,5.09
132.46,5.10
133.79,5.12
135.12,5.12
136.48,5.10
137.84,4.97
139.22,4.94
140.61,4.93
142.02,4.94
143.44,4.95
144.87,4.88
146.32,4.78
147.78,4.71
149.26,4.62
150.75,4.54
152.26,4.44
153.78,4.29
155.32,4.17
156.88,4.04
158.44,3.91
160.03,3.77
161.63,3.58
163.24,3.42
164.88,3.22
166.53,3.02
168.19,2.93
169.87,2.90
171.57,3.00
173.29,3.08
175.02,3.13
176.77,3.25
178.54,3.19
180.32,3.17
182.13,3.11
183.95,2.99
185.79,2.95
187.65,2.87
189.52,2.76
191.42,2.66
193.33,2.54
195.27,2.41
197.22,2.34
199.19,2.26
201.18,2.12
203.19,1.94
205.23,1.77
207.28,1.62
209.35,1.54
211.44,1.48
213.56,1.36
215.69,1.22
217.85,1.10
220.03,0.96
222.23,0.83
224.45,0.71
226.70,0.58
228.96,0.43
231.25,0.29
233.57,0.11
235.90,-0.03
238.26,-0.19
240.64,-0.36
243.05,-0.50
245.48,-0.62
247.93,-0.80
250.41,-0.93
252.92,-1.04
255.45,-1.17
258.00,-1.28
260.58,-1.39
263.19,-1.53
265.82,-1.67
268.48,-1.77
271.16,-1.91
273.87,-2.05
276.61,-2.17
279.38,-2.26
282.17,-2.27
284.99,-2.25
287.84,-2.24
290.72,-2.32
293.63,-2.46
296.57,-2.34
299.53,-2.27
302.53,-2.17
305.55,-2.20
308.61,-2.31
311.69,-2.46
314.81,-2.69
317.96,-2.90
321.14,-3.07
324.35,-3.28
327.59,-3.49
330.87,-3.63
334.18,-3.77
337.52,-3.95
340.90,-4.15
344.30,-4.32
347.75,-4.43
351.23,-4.56
354.74,-4.70
358.28,-4.84
361.87,-4.95
365.49,-5.07
369.14,-5.14
372.83,-5.21
376.56,-5.33
380.33,-5.46
384.13,-5.53
387.97,-5.59
391.85,-5.63
395.77,-5.70
399.73,-5.76
403.72,-5.81
407.76,-5.91
411.84,-5.93
415.96,-5.91
420.12,-5.96
424.32,-5.94
428.56,-5.90
432.85,-5.89
437.18,-5.87
441.55,-5.83
445.96,-5.79
450.42,-5.74
454.93,-5.60
459.48,-5.52
464.07,-5.38
468.71,-5.30
473.40,-5.21
478.13,-5.06
482.91,-5.02
487.74,-4.92
492.62,-4.80
497.55,-4.73
502.52,-4.64
507.55,-4.59
512.62,-4.51
517.75,-4.38
522.93,-4.31
528.16,-4.33
533.44,-4.35
538.77,-4.33
544.16,-4.35
549.60,-4.32
555.10,-4.29
560.65,-4.23
566.25,-4.25
571.92,-4.20
577.64,-4.06
583.41,-4.08
589.25,-4.23
595.14,-4.17
601.09,-3.92
607.10,-3.91
613.17,-3.79
619.30,-3.69
625.50,-3.69
631.75,-3.55
638.07,-3.28
644.45,-3.19
650.89,-3.16
657.40,-3.14
663.98,-2.98
670.62,-2.66
677.32,-2.56
684.10,-2.55
690.94,-2.43
697.85,-2.15
704.83,-2.03
711.87,-2.02
718.99,-2.04
726.18,-1.99
733.44,-1.78
740.78,-1.71
748.19,-1.72
755.67,-1.78
763.23,-1.72
770.86,-1.47
778.57,-1.47
786.35,-1.55
794.22,-1.44
802.16,-1.30
810.18,-1.22
818.28,-1.12
826.46,-1.05
834.73,-1.03
843.08,-0.98
851.51,-0.85
860.02,-0.70
868.62,-0.70
877.31,-0.70
886.08,-0.66
894.94,-0.58
903.89,-0.45
912.93,-0.45
922.06,-0.44
931.28,-0.34
940.59,-0.27
