frequency,raw
20.00,1.12
20.20,1.12
20.40,1.12
20.61,1.11
20.81,1.11
21.02,1.11
21.23,1.11
21.44,1.11
21.66,1.10
21.87,1.10
22.09,1.10
22.31,1.10
22.54,1.10
22.76,1.10
22.99,1.10
23.22,1.10
23.45,1.10
23.69,1.11
23.92,1.11
24.16,1.11
24.40,1.11
24.65,1.12
24.89,1.12
25.14,1.12
25.39,1.13
25.65,1.13
25.91,1.13
26.16,1.13
26.43,1.13
26.69,1.13
26.96,1.14
27.23,1.13
27.50,1.13
27.77,1.13
28.05,1.13
28.33,1.12
28.62,1.12
28.90,1.11
29.19,1.10
29.48,1.10
29.78,1.09
30.08,1.09
30.38,1.08
30.68,1.08
30.99,1.07
31.30,1.07
31.61,1.07
31.93,1.07
32.24,1.08
32.57,1.08
32.89,1.09
33.22,1.10
33.55,1.11
33.89,1.12
34.23,1.13
34.57,1.14
34.92,1.15
35.27,1.16
35.62,1.17
35.97,1.18
36.33,1.19
36.70,1.20
37.06,1.20
37.43,1.20
37.81,1.20
38.19,1.20
38.57,1.19
38.95,1.19
39.34,1.18
39.74,1.17
40.14,1.16
40.54,1.16
40.94,1.15
41.35,1.14
41.76,1.13
42.18,1.13
42.60,1.13
43.03,1.13
43.46,1.13
43.90,1.13
44.33,1.13
44.78,1.13
45.23,1.14
45.68,1.14
46.13,1.14
46.60,1.15
47.06,1.15
47.53,1.15
48.01,1.15
48.49,1.15
48.97,1.14
49.46,1.13
49.96,1.13
50.46,1.12
50.96,1.11
51.47,1.10
51.99,1.09
52.51,1.08
53.03,1.07
53.56,1.07
54.10,1.07
54.64,1.07
55.18,1.07
55.74,1.07
56.29,1.08
56.86,1.08
57.42,1.09
58.00,1.09
58.58,1.10
59.16,1.10
59.76,1.11
60.35,1.11
60.96,1.11
61.57,1.12
62.18,1.12
62.80,1.12
63.43,1.12
64.07,1.12
64.71,1.12
65.35,1.12
66.01,1.12
66.67,1.12
67.33,1.12
68.01,1.12
68.69,1.11
69.37,1.11
70.07,1.10
70.77,1.10
71.48,1.10
72.19,1.09
72.91,1.09
73.64,1.09
74.38,1.10
75.12,1.10
75.87,1.11
76.63,1.12
77.40,1.13
78.17,1.14
78.95,1.15
79.74,1.15
80.54,1.16
81.35,1.16
82.16,1.15
82.98,1.15
83.81,1.14
84.65,1.13
85.50,1.11
86.35,1.10
87.22,1.09
88.09,1.08
88.97,1.07
89.86,1.06
90.76,1.06
91.66,1.06
92.58,1.08
93.51,1.09
94.44,1.10
95.39,1.11
96.34,1.10
97.30,1.09
98.28,1.08
99.26,1.07
100.25,1.07
101.25,1.08
102.27,1.10
103.29,1.10
104.32,1.11
105.37,1.12
106.42,1.11
107.48,1.09
108.56,1.07
109.64,1.06
110.74,1.06
111.85,1.06
112.97,1.08
114.10,1.09
115.24,1.10
116.39,1.11
117.55,1.12
118.73,1.12
119.92,1.13
121.12,1.13
122.33,1.13
123.55,1.13
124.79,1.13
126.03,1.13
127.29,1.13
128.57,1.12
129.85,1.12
131.15,1.11
132.46,1.10
133.79,1.10
135.12,1.10
136.48,1.11
137.84,1.11
139.22,1.11
140.61,1.11
142.02,1.10
143.44,1.10
144.87,1.09
146.32,1.09
147.78,1.09
149.26,1.09
150.75,1.10
152.26,1.10
153.78,1.09
155.32,1.08
156.88,1.06
158.44,1.04
160.03,1.02
161.63,1.01
163.24,1.01
164.88,1.02
166.53,1.03
168.19,1.04
169.87,1.04
171.57,1.04
173.29,1.04
175.02,1.04
176.77,1.03
178.54,1.03
180.32,1.03
182.13,1.03
183.95,1.03
185.79,1.03
187.65,1.03
189.52,1.03
191.42,1.03
193.33,1.03
195.27,1.03
197.22,1.02
199.19,1.00
201.18,0.98
203.19,0.97
205.23,0.95
207.28,0.94
209.35,0.93
211.44,0.93
213.56,0.92
215.69,0.91
217.85,0.90
220.03,0.90
222.23,0.90
224.45,0.90
226.70,0.91
228.96,0.92
231.25,0.92
233.57,0.93
235.90,0.93
238.26,0.92
240.64,0.91
243.05,0.89
245.48,0.88
247.93,0.86
250.41,0.86
252.92,0.86
255.45,0.86
258.00,0.86
260.58,0.86
263.19,0.87
265.82,0.87
268.48,0.88
271.16,0.88
273.87,0.88
276.61,0.87
279.38,0.86
282.17,0.85
284.99,0.84
287.84,0.83
290.72,0.83
293.63,0.82
296.57,0.81
299.53,0.80
302.53,0.79
305.55,0.79
308.61,0.78
311.69,0.78
314.81,0.78
317.96,0.77
321.14,0.76
324.35,0.75
327.59,0.74
330.87,0.73
334.18,0.73
337.52,0.73
340.90,0.73
344.30,0.72
347.75,0.72
351.23,0.70
354.74,0.69
358.28,0.67
361.87,0.66
365.49,0.64
369.14,0.63
372.83,0.62
376.56,0.60
380.33,0.59
384.13,0.58
387.97,0.58
391.85,0.57
395.77,0.56
399.73,0.54
403.72,0.53
407.76,0.52
