frequency,raw
20.00,8.16
20.20,8.16
20.40,8.17
20.61,8.17
20.81,8.18
21.02,8.18
21.23,8.18
21.44,8.18
21.66,8.19
21.87,8.19
22.09,8.20
22.31,8.22
22.54,8.23
22.76,8.25
22.99,8.26
23.22,8.28
23.45,8.29
23.69,8.30
23.92,8.31
24.16,8.31
24.40,8.30
24.65,8.29
24.89,8.28
25.14,8.27
25.39,8.26
25.65,8.26
25.91,8.27
26.16,8.28
26.43,8.30
26.69,8.33
26.96,8.36
27.23,8.39
27.50,8.41
27.77,8.42
28.05,8.42
28.33,8.41
28.62,8.40
28.90,8.38
29.19,8.36
29.48,8.34
29.78,8.31
30.08,8.29
30.38,8.26
30.68,8.24
30.99,8.23
31.30,8.23
31.61,8.24
31.93,8.25
32.24,8.27
32.57,8.28
32.89,8.28
33.22,8.29
33.55,8.28
33.89,8.28
34.23,8.27
34.57,8.26
34.92,8.26
35.27,8.26
35.62,8.26
35.97,8.25
36.33,8.24
36.70,8.22
37.06,8.20
37.43,8.18
37.81,8.17
38.19,8.16
38.57,8.15
38.95,8.15
39.34,8.14
39.74,8.14
40.14,8.14
40.54,8.14
40.94,8.14
41.35,8.14
41.76,8.15
42.18,8.16
42.60,8.17
43.03,8.18
43.46,8.18
43.90,8.17
44.33,8.16
44.78,8.14
45.23,8.11
45.68,8.09
46.13,8.08
46.60,8.09
47.06,8.09
47.53,8.09
48.01,8.07
48.49,8.05
48.97,8.03
49.46,8.01
49.96,7.98
50.46,7.94
50.96,7.90
51.47,7.88
51.99,7.89
52.51,7.91
53.03,7.94
53.56,7.96
54.10,7.98
54.64,7.99
55.18,7.98
55.74,7.95
56.29,7.91
56.86,7.85
57.42,7.79
58.00,7.73
58.58,7.70
59.16,7.67
59.76,7.67
60.35,7.68
60.96,7.69
61.57,7.71
62.18,7.72
62.80,7.71
63.43,7.67
64.07,7.62
64.71,7.57
65.35,7.54
66.01,7.53
66.67,7.51
67.33,7.49
68.01,7.47
68.69,7.44
69.37,7.41
70.07,7.38
70.77,7.35
71.48,7.34
72.19,7.32
72.91,7.31
73.64,7.27
74.38,7.23
75.12,7.19
75.87,7.16
76.63,7.13
77.40,7.10
78.17,7.08
78.95,7.05
79.74,7.02
80.54,6.97
81.35,6.93
82.16,6.90
82.98,6.89
83.81,6.88
84.65,6.87
85.50,6.84
86.35,6.81
87.22,6.78
88.09,6.73
88.97,6.69
