frequency,raw
20.00,6.45
20.20,6.50
20.40,6.54
20.61,6.58
20.81,6.62
21.02,6.66
21.23,6.69
21.44,6.73
21.66,6.77
21.87,6.81
22.09,6.85
22.31,6.90
22.54,6.95
22.76,7.00
22.99,7.05
23.22,7.09
23.45,7.14
23.69,7.19
23.92,7.23
24.16,7.28
24.40,7.32
24.65,7.36
24.89,7.40
25.14,7.43
25.39,7.47
25.65,7.51
25.91,7.56
26.16,7.61
26.43,7.66
26.69,7.71
26.96,7.77
27.23,7.82
27.50,7.86
27.77,7.89
28.05,7.92
28.33,7.94
28.62,7.96
28.90,7.97
29.19,7.99
29.48,8.01
29.78,8.03
30.08,8.04
30.38,8.06
30.68,8.09
30.99,8.12
31.30,8.16
31.61,8.19
31.93,8.22
32.24,8.25
32.57,8.27
32.89,8.29
33.22,8.31
33.55,8.33
33.89,8.36
34.23,8.38
34.57,8.40
34.92,8.43
35.27,8.45
35.62,8.47
35.97,8.49
36.33,8.51
36.70,8.52
37.06,8.54
37.43,8.55
37.81,8.57
38.19,8.59
38.57,8.61
38.95,8.62
39.34,8.63
39.74,8.64
40.14,8.66
40.54,8.67
40.94,8.70
41.35,8.73
41.76,8.76
42.18,8.80
42.60,8.83
43.03,8.86
43.46,8.87
43.90,8.87
44.33,8.85
44.78,8.83
45.23,8.81
45.68,8.81
46.13,8.81
46.60,8.82
47.06,8.83
47.53,8.83
48.01,8.83
48.49,8.84
48.97,8.84
49.46,8.84
49.96,8.83
50.46,8.82
50.96,8.82
51.47,8.82
51.99,8.84
52.51,8.85
53.03,8.86
53.56,8.86
54.10,8.87
54.64,8.88
55.18,8.89
55.74,8.91
56.29,8.91
56.86,8.90
57.42,8.88
58.00,8.85
58.58,8.81
59.16,8.77
59.76,8.74
60.35,8.71
60.96,8.69
61.57,8.69
62.18,8.69
62.80,8.69
63.43,8.70
64.07,8.70
64.71,8.70
65.35,8.70
66.01,8.70
66.67,8.68
67.33,8.66
68.01,8.64
68.69,8.62
69.37,8.60
70.07,8.58
70.77,8.56
71.48,8.53
72.19,8.50
72.91,8.47
73.64,8.45
74.38,8.42
75.12,8.40
75.87,8.38
76.63,8.36
77.40,8.34
78.17,8.34
78.95,8.33
79.74,8.32
80.54,8.30
81.35,8.27
82.16,8.24
82.98,8.22
83.81,8.19
84.65,8.16
85.50,8.12
86.35,8.09
87.22,8.06
88.09,8.04
88.97,8.02
89.86,8.01
90.76,7.99
91.66,7.97
92.58,7.94
93.51,7.91
94.44,7.86
95.39,7.82
96.34,7.77
97.30,7.73
98.28,7.69
99.26,7.66
100.25,7.63
101.25,7.61
102.27,7.58
103.29,7.56
104.32,7.53
105.37,7.50
106.42,7.46
107.48,7.41
108.56,7.35
109.64,7.30
110.74,7.25
111.85,7.20
112.97,7.16
114.10,7.12
115.24,7.09
116.39,7.05
117.55,7.02
118.73,6.97
119.92,6.92
121.12,6.87
122.33,6.81
123.55,6.75
124.79,6.70
126.03,6.65
127.29,6.61
128.57,6.56
129.85,6.52
131.15,6.48
132.46,6.44
133.79,6.40
135.12,6.36
136.48,6.32
137.84,6.27
139.22,6.23
140.61,6.18
142.02,6.14
143.44,6.09
144.87,6.04
146.32,5.99
147.78,5.93
149.26,5.88
150.75,5.83
152.26,5.78
153.78,5.75
155.32,5.72
156.88,5.70
158.44,5.67
160.03,5.63
161.63,5.59
163.24,5.54
164.88,5.49
166.53,5.44
168.19,5.39
169.87,5.34
171.57,5.29
173.29,5.23
175.02,5.15
176.77,5.08
178.54,5.00
180.32,4.93
182.13,4.87
183.95,4.82
185.79,4.78
187.65,4.74
189.52,4.70
191.42,4.64
193.33,4.59
195.27,4.54
197.22,4.48
199.19,4.44
201.18,4.40
203.19,4.36
205.23,4.31
207.28,4.24
209.35,4.17
211.44,4.09
213.56,4.01
215.69,3.95
217.85,3.88
220.03,3.84
222.23,3.79
224.45,3.75
226.70,3.69
228.96,3.63
231.25,3.58
233.57,3.52
235.90,3.47
238.26,3.41
240.64,3.35
243.05,3.29
245.48,3.23
247.93,3.18
250.41,3.13
252.92,3.08
255.45,3.02
258.00,2.96
260.58,2.91
263.19,2.85
265.82,2.79
268.48,2.73
271.16,2.67
273.87,2.61
276.61,2.55
279.38,2.49
282.17,2.43
284.99,2.38
287.84,2.33
290.72,2.27
293.63,2.21
296.57,2.14
299.53,2.07
302.53,2.00
305.55,1.95
308.61,1.90
311.69,1.87
314.81,1.84
317.96,1.81
321.14,1.78
324.35,1.74
327.59,1.70
330.87,1.66
334.18,1.61
337.52,1.55
340.90,1.49
344.30,1.43
347.75,1.37
351.23,1.31
354.74,1.26
358.28,1.21
361.87,1.16
365.49,1.11
369.14,1.06
372.83,1.01
376.56,0.96
380.33,0.92
384.13,0.88
387.97,0.84
391.85,0.81
395.77,0.77
399.73,0.73
403.72,0.69
407.76,0.65
411.84,0.61
415.96,0.57
420.12,0.54
424.32,0.50
428.56,0.47
432.85,0.43
437.18,0.38
441.55,0.32
445.96,0.27
450.42,0.22
454.93,0.18
459.48,0.13
464.07,0.09
468.71,0.04
473.40,-0.00
478.13,-0.04
482.91,-0.08
487.74,-0.12
492.62,-0.16
497.55,-0.20
502.52,-0.25
507.55,-0.29
512.62,-0.33
517.75,-0.37
522.93,-0.41
528.16,-0.44
533.44,-0.48
538.77,-0.51
544.16,-0.54
549.60,-0.56
555.10,-0.59
560.65,-0.61
566.25,-0.63
571.92,-0.65
577.64,-0.68
583.41,-0.71
589.25,-0.74
595.14,-0.77
601.09,-0.80
607.10,-0.82
613.17,-0.84
619.30,-0.86
625.50,-0.88
631.75,-0.89
638.07,-0.92
644.45,-0.95
650.89,-0.98
657.40,-1.00
663.98,-1.02
670.62,-1.04
677.32,-1.04
684.10,-1.05
690.94,-1.06
697.85,-1.07
704.83,-1.09
711.87,-1.09
718.99,-1.09
726.18,-1.09
733.44,-1.09
740.78,-1.09
748.19,-1.10
755.67,-1.09
763.23,-1.09
770.86,-1.08
778.57,-1.07
786.35,-1.06
794.22,-1.05
802.16,-1.03
810.18,-1.01
818.28,-0.99
826.46,-0.97
834.73,-0.94
843.08,-0.90
851.51,-0.86
860.02,-0.82
868.62,-0.78
877.31,-0.75
886.08,-0.73
894.94,-0.69
903.89,-0.66
912.93,-0.61
922.06,-0.57
931.28,-0.52
940.59,-0.46
950.00,-0.40
959.50,-0.33
969.09,-0.25
978.78,-0.17
988.57,-0.10
998.46,-0.01
1008.44,0.07
1018.53,0.16
1028.71,0.25
1039.00,0.34
1049.39,0.42
1059.88,0.49
1070.48,0.53
1081.19,0.55
1092.00,0.55
1102.92,0.50
1113.95,0.44
1125.09,0.41
1136.34,0.40
1147.70,0.43
1159.18,0.53
1170.77,0.65
1182.48,0.79
1194.30,0.94
1206.25,1.09
1218.31,1.23
1230.49,1.36
1242.80,1.48
1255.22,1.60
1267.78,1.71
1280.45,1.82
1293.26,1.91
1306.19,2.01
1319.25,2.10
1332.45,2.20
1345.77,2.29
1359.23,2.40
1372.82,2.50
1386.55,2.60
1400.41,2.69
1414.42,2.79
1428.56,2.89
1442.85,2.99
1457.28,3.10
1471.85,3.20
1486.57,3.31
1501.43,3.41
1516.45,3.51
1531.61,3.61
1546.93,3.71
1562.40,3.83
1578.02,3.94
1593.80,4.06
1609.74,4.19
1625.84,4.32
1642.10,4.46
1658.52,4.61
1675.10,4.77
1691.85,4.94
1708.77,5.10
1725.86,5.27
1743.12,5.45
1760.55,5.62
1778.15,5.79
1795.94,5.96
1813.90,6.13
1832.03,6.31
1850.36,6.48
1868.86,6.65
1887.55,6.82
1906.42,6.98
1925.49,7.15
1944.74,7.31
1964.19,7.47
1983.83,7.62
2003.67,7.77
2023.71,7.91
2043.94,8.05
2064.38,8.18
2085.03,8.31
2105.88,8.42
2126.94,8.52
2148.20,8.61
2169.69,8.69
2191.38,8.75
2213.30,8.80
2235.43,8.85
2257.78,8.87
2280.36,8.88
2303.17,8.88
2326.20,8.86
2349.46,8.82
2372.95,8.77
2396.68,8.72
2420.65,8.65
2444.86,8.57
2469.31,8.48
2494.00,8.38
2518.94,8.28
2544.13,8.16
2569.57,8.04
2595.27,7.92
2621.22,7.79
2647.43,7.65
2673.90,7.51
2700.64,7.37
2727.65,7.22
2754.93,7.07
2782.48,6.91
2810.30,6.76
2838.40,6.61
2866.79,6.46
2895.46,6.32
2924.41,6.17
2953.65,6.03
2983.19,5.89
3013.02,5.75
3043.15,5.61
3073.58,5.48
3104.32,5.35
3135.36,5.24
3166.72,5.14
3198.38,5.04
3230.37,4.97
3262.67,4.89
3295.30,4.82
3328.25,4.75
3361.53,4.67
3395.15,4.60
3429.10,4.53
3463.39,4.47
3498.03,4.41
3533.01,4.37
3568.34,4.32
3604.02,4.29
3640.06,4.26
3676.46,4.23
3713.22,4.20
3750.36,4.18
3787.86,4.16
3825.74,4.14
3864.00,4.12
3902.64,4.12
3941.66,4.12
3981.08,4.12
4020.89,4.13
4061.10,4.14
4101.71,4.15
4142.73,4.16
4184.15,4.17
4226.00,4.19
4268.26,4.20
4310.94,4.22
4354.05,4.24
4397.59,4.25
4441.56,4.27
4485.98,4.29
4530.84,4.31
4576.15,4.34
4621.91,4.36
4668.13,4.40
4714.81,4.44
4761.96,4.47
4809.58,4.51
4857.67,4.54
4906.25,4.57
4955.31,4.59
5004.87,4.61
5054.91,4.63
5105.46,4.64
5156.52,4.65
5208.08,4.65
5260.16,4.64
5312.77,4.63
5365.89,4.61
5419.55,4.58
5473.75,4.54
5528.49,4.49
5583.77,4.43
5639.61,4.36
5696.00,4.29
5752.96,4.21
5810.49,4.13
5868.60,4.04
5927.28,3.96
5986.56,3.87
6046.42,3.79
6106.89,3.71
6167.96,3.63
