frequency,raw
20.00,14.81
20.20,14.92
20.40,15.02
20.61,15.11
20.81,15.20
21.02,15.28
21.23,15.36
21.44,15.44
21.66,15.52
21.87,15.60
22.09,15.69
22.31,15.77
22.54,15.86
22.76,15.95
22.99,16.03
23.22,16.11
23.45,16.19
23.69,16.26
23.92,16.33
24.16,16.39
24.40,16.45
24.65,16.50
24.89,16.56
25.14,16.61
25.39,16.67
25.65,16.74
25.91,16.81
26.16,16.89
26.43,16.98
26.69,17.06
26.96,17.13
27.23,17.20
27.50,17.24
27.77,17.27
28.05,17.29
28.33,17.29
28.62,17.28
28.90,17.27
29.19,17.28
29.48,17.29
29.78,17.35
30.08,17.43
30.38,17.54
30.68,17.65
30.99,17.73
31.30,17.80
31.61,17.85
31.93,17.87
32.24,17.90
32.57,17.92
32.89,17.94
33.22,17.95
33.55,17.96
33.89,17.94
34.23,17.91
34.57,17.85
34.92,17.79
35.27,17.76
35.62,17.74
35.97,17.75
36.33,17.79
36.70,17.84
37.06,17.89
37.43,17.95
37.81,18.00
38.19,18.05
38.57,18.09
38.95,18.11
39.34,18.12
39.74,18.11
40.14,18.10
40.54,18.09
40.94,18.08
41.35,18.06
41.76,18.04
42.18,18.03
42.60,18.01
43.03,17.99
43.46,17.99
43.90,17.99
44.33,18.01
44.78,18.02
45.23,18.03
45.68,18.04
46.13,18.05
46.60,18.06
47.06,18.07
47.53,18.07
48.01,18.07
48.49,18.06
48.97,18.06
49.46,18.05
49.96,18.04
50.46,18.03
50.96,18.03
51.47,18.01
51.99,18.00
52.51,17.98
53.03,17.96
53.56,17.93
54.10,17.89
54.64,17.86
55.18,17.84
55.74,17.83
56.29,17.83
56.86,17.84
57.42,17.85
58.00,17.86
58.58,17.85
59.16,17.84
59.76,17.82
60.35,17.80
60.96,17.77
61.57,17.74
62.18,17.71
62.80,17.68
63.43,17.65
64.07,17.62
64.71,17.59
65.35,17.56
66.01,17.54
66.67,17.52
67.33,17.51
68.01,17.50
68.69,17.50
69.37,17.49
70.07,17.47
70.77,17.44
71.48,17.39
72.19,17.34
72.91,17.27
73.64,17.22
74.38,17.17
75.12,17.12
75.87,17.07
76.63,17.03
77.40,16.98
78.17,16.95
78.95,16.91
79.74,16.87
80.54,16.83
81.35,16.79
82.16,16.75
82.98,16.70
83.81,16.66
84.65,16.61
85.50,16.56
86.35,16.51
87.22,16.47
88.09,16.43
88.97,16.38
89.86,16.32
90.76,16.26
91.66,16.19
92.58,16.13
93.51,16.08
94.44,16.02
95.39,15.98
96.34,15.93
97.30,15.89
98.28,15.84
99.26,15.79
100.25,15.73
101.25,15.66
102.27,15.59
103.29,15.53
104.32,15.47
105.37,15.41
106.42,15.37
107.48,15.32
108.56,15.27
109.64,15.21
110.74,15.14
111.85,15.06
112.97,14.97
114.10,14.89
115.24,14.82
116.39,14.80
117.55,14.78
118.73,14.74
119.92,14.67
121.12,14.59
122.33,14.48
123.55,14.37
124.79,14.26
126.03,14.17
127.29,14.09
128.57,14.01
129.85,13.93
131.15,13.85
132.46,13.77
133.79,13.69
