frequency,raw
20.00,-0.84
20.20,-0.82
20.40,-0.78
20.61,-0.72
20.81,-0.67
21.02,-0.63
21.23,-0.58
21.44,-0.52
21.66,-0.46
21.87,-0.41
22.09,-0.37
22.31,-0.32
22.54,-0.27
22.76,-0.21
22.99,-0.15
23.22,-0.11
23.45,-0.06
23.69,-0.01
23.92,0.05
24.16,0.11
24.40,0.15
24.65,0.19
24.89,0.24
25.14,0.30
25.39,0.36
25.65,0.41
25.91,0.45
26.16,0.50
26.43,0.55
26.69,0.60
26.96,0.65
27.23,0.70
27.50,0.76
27.77,0.80
28.05,0.84
28.33,0.89
28.62,0.93
28.90,0.97
29.19,1.02
29.48,1.06
29.78,1.10
30.08,1.15
30.38,1.19
30.68,1.23
30.99,1.28
31.30,1.32
31.61,1.35
31.93,1.40
32.24,1.43
32.57,1.48
32.89,1.51
33.22,1.56
33.55,1.59
33.89,1.64
34.23,1.67
34.57,1.73
34.92,1.76
35.27,1.81
35.62,1.84
35.97,1.89
36.33,1.93
36.70,1.97
37.06,2.01
37.43,2.05
37.81,2.10
38.19,2.14
38.57,2.19
38.95,2.22
39.34,2.27
39.74,2.30
40.14,2.34
40.54,2.38
40.94,2.41
41.35,2.45
41.76,2.49
42.18,2.52
42.60,2.57
43.03,2.60
43.46,2.64
43.90,2.68
44.33,2.71
44.78,2.74
45.23,2.77
45.68,2.80
46.13,2.83
46.60,2.86
47.06,2.89
47.53,2.90
48.01,2.95
48.49,2.96
48.97,2.99
49.46,3.02
49.96,3.03
50.46,3.06
50.96,3.08
51.47,3.08
51.99,3.12
52.51,3.12
53.03,3.12
53.56,3.13
54.10,3.16
54.64,3.16
55.18,3.16
55.74,3.16
56.29,3.16
56.86,3.16
57.42,3.16
58.00,3.16
58.58,3.16
59.16,3.14
59.76,3.12
60.35,3.12
60.96,3.12
61.57,3.09
62.18,3.08
62.80,3.08
63.43,3.04
64.07,3.03
64.71,3.02
65.35,2.99
66.01,2.98
66.67,2.95
67.33,2.94
68.01,2.90
68.69,2.88
69.37,2.86
70.07,2.82
70.77,2.82
71.48,2.77
72.19,2.77
72.91,2.73
73.64,2.73
74.38,2.69
75.12,2.68
75.87,2.64
76.63,2.62
77.40,2.59
78.17,2.56
78.95,2.51
79.74,2.48
80.54,2.45
81.35,2.43
82.16,2.39
82.98,2.36
83.81,2.34
84.65,2.30
85.50,2.29
86.35,2.25
87.22,2.23
88.09,2.21
88.97,2.17
89.86,2.16
90.76,2.12
91.66,2.10
92.58,2.08
93.51,2.04
94.44,2.04
95.39,1.99
96.34,1.98
97.30,1.95
98.28,1.91
99.26,1.86
100.25,1.86
101.25,1.82
102.27,1.78
103.29,1.74
104.32,1.71
105.37,1.69
106.42,1.65
107.48,1.62
108.56,1.59
109.64,1.56
110.74,1.54
111.85,1.51
112.97,1.47
114.10,1.43
115.24,1.39
116.39,1.39
117.55,1.34
118.73,1.30
119.92,1.30
121.12,1.26
122.33,1.21
123.55,1.18
124.79,1.15
126.03,1.10
127.29,1.07
128.57,1.04
129.85,1.00
131.15,0.96
132.46,0.93
133.79,0.90
135.12,0.87
136.48,0.84
137.84,0.79
139.22,0.76
140.61,0.73
142.02,0.69
143.44,0.65
144.87,0.62
146.32,0.58
147.78,0.54
149.26,0.51
150.75,0.48
152.26,0.43
153.78,0.40
155.32,0.37
156.88,0.32
158.44,0.29
160.03,0.26
161.63,0.20
163.24,0.17
164.88,0.14
166.53,0.09
168.19,0.04
169.87,0.01
171.57,-0.04
173.29,-0.07
175.02,-0.12
176.77,-0.15
178.54,-0.17
180.32,-0.17
182.13,-0.17
183.95,-0.22
185.79,-0.24
187.65,-0.28
189.52,-0.32
191.42,-0.35
193.33,-0.39
195.27,-0.43
197.22,-0.44
199.19,-0.49
201.18,-0.52
203.19,-0.56
205.23,-0.60
207.28,-0.63
209.35,-0.65
211.44,-0.69
213.56,-0.70
215.69,-0.75
217.85,-0.80
220.03,-0.83
222.23,-0.87
224.45,-0.89
226.70,-0.91
228.96,-0.95
231.25,-0.98
233.57,-1.01
235.90,-1.04
238.26,-1.07
240.64,-1.10
