frequency,raw
20,12.63
21,13.02
22,13.50
23,13.92
24,14.30
25,14.63
26,14.31
27,12.74
28,12.97
29,13.22
30,13.45
31,13.67
32,13.83
33,13.95
34,13.98
35,13.24
36,12.79
37,12.92
38,13.04
39,13.16
40,13.25
41,13.30
42,13.41
43,13.38
44,12.93
45,12.55
46,12.57
47,12.59
48,12.64
49,12.69
50,12.73
51,12.74
52,12.73
53,12.69
54,12.62
55,12.50
56,12.35
57,12.31
58,12.31
59,12.36
60,12.36
61,12.37
62,12.36
63,12.31
64,12.27
65,12.24
66,12.22
67,12.22
68,12.15
69,12.01
70,11.81
71,11.68
72,11.61
73,11.57
74,11.57
75,11.57
76,11.57
77,11.57
78,11.57
79,11.52
80,11.50
81,11.45
82,11.43
83,11.38
84,11.37
85,11.30
86,11.14
87,10.83
88,10.58
89,10.33
90,10.20
91,10.15
92,10.12
93,10.08
94,10.08
95,10.06
96,10.03
97,9.98
98,9.91
99,9.86
100,9.81
101,9.78
102,9.75
104,9.70
105,9.68
106,9.63
107,9.55
108,9.45
109,9.35
110,9.24
111,9.12
112,9.00
113,8.91
114,8.83
115,8.81
117,8.74
118,8.72
119,8.68
120,8.65
121,8.63
123,8.56
124,8.51
125,8.47
126,8.45
128,8.37
129,8.33
130,8.28
131,8.24
133,8.17
134,8.13
135,8.07
137,7.91
138,7.81
140,7.63
141,7.53
142,7.47
144,7.32
145,7.28
147,7.21
148,7.16
150,7.09
151,7.06
153,6.97
154,6.94
156,6.88
157,6.85
159,6.79
160,6.77
162,6.70
164,6.63
165,6.60
167,6.52
169,6.43
170,6.39
172,6.32
174,6.25
175,6.23
177,6.16
179,6.11
181,6.05
183,5.99
184,5.96
186,5.90
188,5.85
190,5.80
192,5.74
194,5.67
196,5.62
198,5.57
200,5.52
202,5.46
204,5.40
206,5.34
208,5.29
210,5.22
212,5.16
214,5.11
216,5.05
218,5.00
221,4.92
223,4.88
225,4.83
227,4.78
229,4.74
232,4.67
234,4.62
236,4.55
239,4.46
241,4.41
244,4.32
246,4.27
248,4.22
251,4.16
253,4.15
256,4.10
259,4.04
261,3.97
264,3.90
266,3.85
269,3.80
272,3.73
274,3.66
277,3.62
280,3.56
283,3.49
286,3.43
288,3.40
291,3.34
294,3.26
297,3.20
300,3.17
303,3.11
306,3.08
309,3.05
312,3.00
316,2.94
319,2.88
322,2.82
325,2.75
328,2.68
332,2.61
335,2.56
338,2.50
342,2.45
345,2.40
349,2.34
352,2.31
356,2.24
359,2.20
363,2.12
366,2.08
370,2.02
374,1.96
377,1.94
381,1.86
385,1.80
389,1.74
393,1.69
397,1.66
401,1.61
405,1.57
409,1.52
413,1.49
417,1.43
421,1.38
425,1.35
430,1.29
434,1.24
438,1.19
443,1.14
447,1.10
451,1.05
456,1.01
460,0.99
465,0.93
470,0.87
474,0.82
479,0.77
484,0.73
489,0.70
494,0.67
499,0.64
504,0.58
509,0.54
514,0.50
519,0.47
524,0.42
529,0.41
535,0.37
540,0.33
545,0.29
551,0.26
556,0.21
562,0.17
568,0.14
573,0.11
579,0.09
585,0.05
591,0.02
596,-0.01
602,-0.04
608,-0.07
615,-0.11
621,-0.14
627,-0.17
633,-0.20
639,-0.23
646,-0.26
652,-0.28
659,-0.33
665,-0.33
672,-0.33
679,-0.37
686,-0.37
692,-0.41
699,-0.42
706,-0.47
713,-0.47
721,-0.47
728,-0.47
735,-0.47
742,-0.49
750,-0.52
757,-0.56
765,-0.61
773,-0.61
780,-0.61
788,-0.61
796,-0.61
804,-0.61
812,-0.61
820,-0.56
828,-0.56
837,-0.56
845,-0.51
853,-0.51
862,-0.51
871,-0.56
879,-0.60
888,-0.61
897,-0.61
906,-0.59
915,-0.54
924,-0.49
933,-0.44
943,-0.39
952,-0.33
962,-0.26
971,-0.21
981,-0.13
991,-0.05
1001,0.01
1011,0.10
1021,0.18
1031,0.28
1041,0.36
1052,0.46
1062,0.58
1073,0.70
1084,0.81
1094,0.91
1105,1.03
1116,1.16
1128,1.29
1139,1.42
1150,1.56
1162,1.69
1173,1.83
1185,1.99
1197,2.11
1209,2.26
1221,2.38
1233,2.52
1246,2.64
1258,2.79
1271,2.91
1283,3.05
1296,3.20
1309,3.34
1322,3.47
1335,3.62
1349,3.74
1362,3.88
1376,4.00
1390,4.14
1404,4.27
1418,4.42
1432,4.54
1446,4.69
1461,4.84
1475,4.95
1490,5.11
1505,5.26
1520,5.38
1535,5.53
1550,5.67
1566,5.79
1582,5.95
1597,6.07
1613,6.23
1629,6.41
1646,6.59
1662,6.77
1679,6.95
1696,7.13
1713,7.33
1730,7.50
1747,7.68
1764,7.87
1782,8.06
1800,8.28
1818,8.51
1836,8.72
1854,8.93
1873,9.16
1892,9.38
1911,9.58
1930,9.79
1949,10.03
1969,10.25
1988,10.47
2008,10.70
2028,10.92
2048,11.18
2069,11.42
2090,11.65
2111,11.85
2132,12.06
2153,12.26
2175,12.43
2196,12.61
2218,12.79
2240,12.93
2263,13.09
2285,13.21
2308,13.33
2331,13.45
2355,13.50
2378,13.53
2402,13.56
2426,13.57
2450,13.57
2475,13.53
2500,13.48
2525,13.40
2550,13.35
2575,13.25
2601,13.19
2627,13.08
2653,12.97
2680,12.86
2707,12.75
2734,12.67
2761,12.56
2789,12.45
2817,12.34
2845,12.24
2873,12.15
2902,12.06
2931,12.00
2960,11.94
2990,11.87
3020,11.82
3050,11.79
3080,11.75
3111,11.71
3142,11.72
3174,11.78
3206,11.81
3238,11.87
3270,11.94
3303,11.99
3336,12.07
3369,12.15
3403,12.24
3437,12.32
3471,12.43
3506,12.56
3541,12.69
3576,12.78
3612,12.86
3648,12.90
3685,12.94
