frequency,raw
20.00,-0.30
20.20,-0.30
20.40,-0.24
20.61,-0.16
20.81,-0.09
21.02,-0.03
21.23,0.04
21.44,0.10
21.66,0.18
21.87,0.26
22.09,0.31
22.31,0.39
22.54,0.46
22.76,0.52
22.99,0.58
23.22,0.65
23.45,0.71
23.69,0.75
23.92,0.80
24.16,0.87
24.40,0.94
24.65,0.99
24.89,1.04
25.14,1.10
25.39,1.16
25.65,1.22
25.91,1.25
26.16,1.31
26.43,1.36
26.69,1.41
26.96,1.45
27.23,1.50
27.50,1.56
27.77,1.61
28.05,1.64
28.33,1.70
28.62,1.73
28.90,1.78
29.19,1.81
29.48,1.85
29.78,1.89
30.08,1.93
30.38,1.98
30.68,2.01
30.99,2.07
31.30,2.10
31.61,2.15
31.93,2.21
32.24,2.26
32.57,2.32
32.89,2.36
33.22,2.40
33.55,2.46
33.89,2.49
34.23,2.54
34.57,2.57
34.92,2.63
35.27,2.66
35.62,2.71
35.97,2.75
36.33,2.78
36.70,2.83
37.06,2.86
37.43,2.89
37.81,2.92
38.19,2.94
38.57,2.97
38.95,2.99
39.34,3.01
39.74,3.05
40.14,3.06
40.54,3.10
40.94,3.11
41.35,3.15
41.76,3.15
42.18,3.20
42.60,3.20
43.03,3.24
43.46,3.25
43.90,3.29
44.33,3.29
44.78,3.34
45.23,3.34
45.68,3.35
46.13,3.39
46.60,3.39
47.06,3.43
47.53,3.43
48.01,3.46
48.49,3.48
48.97,3.52
49.46,3.53
49.96,3.57
50.46,3.57
50.96,3.58
51.47,3.62
51.99,3.62
52.51,3.63
53.03,3.67
53.56,3.67
54.10,3.71
54.64,3.71
55.18,3.71
55.74,3.76
56.29,3.76
56.86,3.81
57.42,3.81
58.00,3.81
58.58,3.85
59.16,3.85
59.76,3.85
60.35,3.90
60.96,3.90
61.57,3.90
62.18,3.92
62.80,3.95
63.43,3.95
64.07,3.99
64.71,3.99
65.35,3.99
66.01,3.99
66.67,3.99
67.33,4.04
68.01,4.04
68.69,4.04
69.37,4.04
