frequency,raw
20.00,-3.15
20.20,-3.12
20.40,-3.11
20.61,-3.06
20.81,-3.03
21.02,-2.98
21.23,-2.94
21.44,-2.91
21.66,-2.85
21.87,-2.82
22.09,-2.77
22.31,-2.74
22.54,-2.68
22.76,-2.65
22.99,-2.62
23.22,-2.59
23.45,-2.56
23.69,-2.50
23.92,-2.45
24.16,-2.40
24.40,-2.35
24.65,-2.31
24.89,-2.28
25.14,-2.27
25.39,-2.23
25.65,-2.23
25.91,-2.19
26.16,-2.15
26.43,-2.12
26.69,-2.07
26.96,-2.03
27.23,-2.00
27.50,-1.95
27.77,-1.91
28.05,-1.86
28.33,-1.83
28.62,-1.79
28.90,-1.74
29.19,-1.70
29.48,-1.66
29.78,-1.63
30.08,-1.57
30.38,-1.54
30.68,-1.49
30.99,-1.46
31.30,-1.42
31.61,-1.37
31.93,-1.33
32.24,-1.29
32.57,-1.25
32.89,-1.20
33.22,-1.17
33.55,-1.14
33.89,-1.12
34.23,-1.09
34.57,-1.07
34.92,-1.07
35.27,-1.07
35.62,-1.07
35.97,-1.07
36.33,-1.03
36.70,-1.02
37.06,-1.02
37.43,-1.02
37.81,-1.02
38.19,-0.99
38.57,-0.98
38.95,-0.98
39.34,-0.98
39.74,-0.98
40.14,-0.98
40.54,-0.98
40.94,-0.94
41.35,-0.93
41.76,-0.93
42.18,-0.93
42.60,-0.93
43.03,-0.93
43.46,-0.93
43.90,-0.93
44.33,-0.93
44.78,-0.93
45.23,-0.93
45.68,-0.93
46.13,-0.93
46.60,-0.93
47.06,-0.93
47.53,-0.93
48.01,-0.93
48.49,-0.93
48.97,-0.93
49.46,-0.93
49.96,-0.91
50.46,-0.88
50.96,-0.86
51.47,-0.83
51.99,-0.79
52.51,-0.74
53.03,-0.72
53.56,-0.70
54.10,-0.70
54.64,-0.70
55.18,-0.70
55.74,-0.70
56.29,-0.70
56.86,-0.70
57.42,-0.65
58.00,-0.64
58.58,-0.61
59.16,-0.58
59.76,-0.56
60.35,-0.51
60.96,-0.51
61.57,-0.47
62.18,-0.44
62.80,-0.41
63.43,-0.38
64.07,-0.35
64.71,-0.32
65.35,-0.28
66.01,-0.24
66.67,-0.23
67.33,-0.20
68.01,-0.19
68.69,-0.19
69.37,-0.19
70.07,-0.14
70.77,-0.14
71.48,-0.14
72.19,-0.14
72.91,-0.09
73.64,-0.09
74.38,-0.05
75.12,-0.05
75.87,-0.03
76.63,-0.00
77.40,0.01
78.17,0.05
78.95,0.07
79.74,0.09
80.54,0.13
81.35,0.14
82.16,0.14
82.98,0.14
83.81,0.14
84.65,0.15
85.50,0.19
86.35,0.19
87.22,0.21
88.09,0.23
88.97,0.23
89.86,0.23
90.76,0.23
91.66,0.23
92.58,0.23
93.51,0.23
94.44,0.23
95.39,0.23
96.34,0.23
97.30,0.23
98.28,0.23
99.26,0.23
100.25,0.23
101.25,0.21
102.27,0.21
103.29,0.21
104.32,0.19
105.37,0.19
106.42,0.19
107.48,0.19
108.56,0.19
109.64,0.19
110.74,0.14
111.85,0.14
112.97,0.14
114.10,0.14
115.24,0.14
116.39,0.12
117.55,0.09
118.73,0.09
119.92,0.09
121.12,0.09
122.33,0.06
123.55,0.05
124.79,0.05
126.03,0.05
127.29,0.04
128.57,0.00
129.85,0.00
131.15,-0.00
132.46,-0.05
133.79,-0.05
135.12,-0.05
136.48,-0.07
137.84,-0.09
139.22,-0.09
140.61,-0.09
142.02,-0.14
143.44,-0.14
144.87,-0.14
146.32,-0.14
147.78,-0.14
149.26,-0.16
150.75,-0.19
152.26,-0.19
153.78,-0.18
155.32,-0.19
156.88,-0.19
158.44,-0.19
160.03,-0.19
161.63,-0.19
163.24,-0.23
164.88,-0.23
166.53,-0.24
168.19,-0.28
169.87,-0.28
171.57,-0.29
173.29,-0.33
175.02,-0.33
176.77,-0.35
178.54,-0.37
180.32,-0.39
182.13,-0.42
183.95,-0.43
185.79,-0.47
187.65,-0.47
189.52,-0.51
191.42,-0.53
193.33,-0.56
195.27,-0.59
197.22,-0.61
199.19,-0.65
201.18,-0.69
203.19,-0.70
205.23,-0.74
207.28,-0.78
209.35,-0.79
211.44,-0.84
213.56,-0.84
215.69,-0.88
217.85,-0.89
220.03,-0.93
222.23,-0.95
224.45,-0.98
226.70,-1.01
228.96,-1.02
231.25,-1.07
233.57,-1.08
235.90,-1.12
238.26,-1.15
240.64,-1.16
243.05,-1.20
245.48,-1.21
247.93,-1.25
250.41,-1.26
252.92,-1.30
255.45,-1.32
258.00,-1.35
260.58,-1.40
263.19,-1.41
265.82,-1.44
268.48,-1.49
271.16,-1.53
273.87,-1.56
276.61,-1.59
279.38,-1.63
