frequency,raw
20.00,4.26
20.20,4.28
20.40,4.30
20.61,4.32
20.81,4.34
21.02,4.36
21.23,4.41
21.44,4.46
21.66,4.51
21.87,4.56
22.09,4.61
22.31,4.64
22.54,4.68
22.76,4.72
22.99,4.76
23.22,4.79
23.45,4.83
23.69,4.86
23.92,4.90
24.16,4.93
24.40,4.97
24.65,5.01
24.89,5.04
25.14,5.08
25.39,5.12
25.65,5.16
25.91,5.20
26.16,5.22
26.43,5.24
26.69,5.25
26.96,5.27
27.23,5.28
27.50,5.30
27.77,5.32
28.05,5.33
28.33,5.36
28.62,5.38
28.90,5.40
29.19,5.42
29.48,5.43
29.78,5.45
30.08,5.46
30.38,5.44
30.68,5.43
30.99,5.41
31.30,5.41
31.61,5.41
31.93,5.41
32.24,5.41
32.57,5.40
32.89,5.39
33.22,5.39
33.55,5.40
33.89,5.41
34.23,5.41
34.57,5.41
34.92,5.41
35.27,5.43
35.62,5.45
35.97,5.47
36.33,5.48
36.70,5.49
37.06,5.50
37.43,5.50
37.81,5.50
38.19,5.50
38.57,5.50
38.95,5.50
39.34,5.50
39.74,5.50
40.14,5.50
40.54,5.50
40.94,5.50
41.35,5.49
41.76,5.47
42.18,5.45
42.60,5.44
43.03,5.43
43.46,5.44
43.90,5.46
44.33,5.47
44.78,5.49
45.23,5.50
45.68,5.50
46.13,5.50
46.60,5.50
47.06,5.50
47.53,5.50
48.01,5.50
48.49,5.50
48.97,5.50
49.46,5.50
49.96,5.50
50.46,5.50
50.96,5.50
51.47,5.50
51.99,5.50
52.51,5.50
53.03,5.50
53.56,5.50
54.10,5.50
54.64,5.50
55.18,5.49
55.74,5.48
56.29,5.46
56.86,5.44
57.42,5.42
58.00,5.40
58.58,5.38
59.16,5.35
59.76,5.33
60.35,5.32
60.96,5.32
61.57,5.29
62.18,5.27
62.80,5.25
63.43,5.22
64.07,5.18
64.71,5.14
65.35,5.11
66.01,5.06
66.67,5.01
67.33,4.97
68.01,4.92
68.69,4.86
69.37,4.80
70.07,4.74
70.77,4.68
71.48,4.63
72.19,4.58
72.91,4.56
73.64,4.53
74.38,4.49
75.12,4.44
75.87,4.37
76.63,4.35
77.40,4.34
78.17,4.35
78.95,4.38
79.74,4.38
80.54,4.38
81.35,4.39
82.16,4.41
82.98,4.45
83.81,4.50
84.65,4.54
85.50,4.60
86.35,4.67
87.22,4.74
88.09,4.80
88.97,4.88
89.86,4.93
90.76,5.02
91.66,5.09
