frequency,raw
20.00,2.50
20.20,2.50
20.40,2.50
20.61,2.50
20.81,2.54
21.02,2.54
21.23,2.54
21.44,2.59
21.66,2.59
21.87,2.59
22.09,2.59
22.31,2.59
22.54,2.59
22.76,2.59
22.99,2.59
23.22,2.59
23.45,2.59
23.69,2.59
23.92,2.59
24.16,2.59
24.40,2.59
24.65,2.59
24.89,2.59
25.14,2.59
25.39,2.59
25.65,2.59
25.91,2.59
26.16,2.59
26.43,2.59
26.69,2.59
26.96,2.59
27.23,2.63
27.50,2.65
27.77,2.68
28.05,2.73
28.33,2.76
28.62,2.79
28.90,2.82
29.19,2.85
29.48,2.89
29.78,2.91
30.08,2.93
30.38,2.95
30.68,2.98
30.99,2.99
31.30,2.98
31.61,2.98
31.93,2.98
32.24,2.98
32.57,2.98
32.89,2.98
33.22,2.98
33.55,3.01
33.89,3.02
34.23,3.02
34.57,3.00
34.92,3.02
35.27,3.03
35.62,3.06
35.97,3.06
36.33,3.06
36.70,3.06
37.06,3.06
37.43,3.06
37.81,3.11
38.19,3.11
38.57,3.11
38.95,3.11
39.34,3.11
39.74,3.11
40.14,3.11
40.54,3.13
40.94,3.13
41.35,3.11
41.76,3.11
42.18,3.11
42.60,3.11
43.03,3.11
43.46,3.09
43.90,3.06
44.33,3.06
44.78,3.06
45.23,3.06
45.68,3.04
46.13,3.03
46.60,3.02
47.06,3.02
47.53,3.02
48.01,3.02
48.49,3.02
48.97,3.02
49.46,3.02
49.96,3.02
50.46,3.02
50.96,3.02
51.47,2.98
51.99,2.97
52.51,2.93
53.03,2.93
53.56,2.89
54.10,2.89
54.64,2.89
55.18,2.89
55.74,2.89
56.29,2.89
56.86,2.89
57.42,2.89
58.00,2.89
58.58,2.89
59.16,2.92
59.76,2.93
60.35,2.93
60.96,2.93
61.57,2.93
62.18,2.98
62.80,2.98
63.43,3.01
64.07,3.02
64.71,3.02
65.35,3.02
66.01,3.02
66.67,3.02
67.33,3.02
68.01,3.02
68.69,3.02
69.37,3.02
70.07,3.02
70.77,3.02
71.48,3.02
72.19,3.02
72.91,3.02
73.64,3.02
74.38,3.02
75.12,3.02
75.87,3.04
76.63,3.09
77.40,3.15
78.17,3.23
78.95,3.29
79.74,3.39
80.54,3.45
81.35,3.56
82.16,3.62
82.98,3.72
83.81,3.80
84.65,3.90
85.50,4.01
86.35,4.10
87.22,4.19
88.09,4.29
88.97,4.38
89.86,4.48
90.76,4.58
91.66,4.68
92.58,4.79
93.51,4.89
94.44,4.99
95.39,5.10
96.34,5.22
97.30,5.33
98.28,5.45
99.26,5.55
100.25,5.63
101.25,5.72
102.27,5.78
103.29,5.84
104.32,5.90
105.37,5.94
106.42,5.97
107.48,6.01
108.56,6.02
109.64,6.05
110.74,6.10
111.85,6.12
112.97,6.14
114.10,6.14
115.24,6.18
116.39,6.18
117.55,6.18
118.73,6.18
119.92,6.21
121.12,6.25
122.33,6.27
123.55,6.31
124.79,6.31
126.03,6.31
127.29,6.31
128.57,6.28
129.85,6.25
131.15,6.20
132.46,6.14
133.79,6.07
135.12,6.03
136.48,5.99
137.84,5.94
139.22,5.92
140.61,5.90
142.02,5.88
143.44,5.88
144.87,5.88
146.32,5.88
147.78,5.88
149.26,5.88
150.75,5.88
152.26,5.88
153.78,5.86
155.32,5.81
156.88,5.76
158.44,5.71
160.03,5.66
161.63,5.62
163.24,5.56
164.88,5.51
166.53,5.47
168.19,5.45
169.87,5.45
171.57,5.42
173.29,5.42
175.02,5.40
176.77,5.40
178.54,5.39
180.32,5.34
182.13,5.29
183.95,5.21
185.79,5.15
187.65,5.07
189.52,5.00
191.42,4.93
193.33,4.86
195.27,4.82
197.22,4.80
199.19,4.80
201.18,4.80
203.19,4.75
205.23,4.72
207.28,4.68
209.35,4.63
211.44,4.54
213.56,4.49
215.69,4.42
217.85,4.34
220.03,4.30
222.23,4.26
224.45,4.21
226.70,4.18
228.96,4.15
231.25,4.11
233.57,4.03
235.90,3.97
238.26,3.87
240.64,3.80
243.05,3.71
245.48,3.65
247.93,3.59
250.41,3.51
252.92,3.45
255.45,3.39
258.00,3.34
260.58,3.27
263.19,3.21
265.82,3.13
268.48,3.06
271.16,2.96
273.87,2.87
276.61,2.82
279.38,2.75
282.17,2.69
284.99,2.62
287.84,2.55
290.72,2.48
293.63,2.40
296.57,2.32
299.53,2.22
302.53,2.13
305.55,2.05
308.61,2.00
311.69,1.91
314.81,1.83
317.96,1.75
321.14,1.64
324.35,1.58
327.59,1.50
330.87,1.42
334.18,1.35
337.52,1.26
340.90,1.18
344.30,1.12
347.75,1.05
351.23,1.00
354.74,0.93
358.28,0.85
361.87,0.78
365.49,0.71
369.14,0.66
372.83,0.62
376.56,0.57
380.33,0.49
384.13,0.44
387.97,0.38
391.85,0.31
395.77,0.27
399.73,0.24
403.72,0.20
407.76,0.16
411.84,0.13
415.96,0.12
420.12,0.12
424.32,0.12
428.56,0.12
432.85,0.12
437.18,0.16
441.55,0.18
445.96,0.21
450.42,0.26
454.93,0.31
459.48,0.34
464.07,0.38
468.71,0.42
473.40,0.44
478.13,0.49
482.91,0.51
487.74,0.54
492.62,0.55
497.55,0.55
502.52,0.55
507.55,0.55
512.62,0.55
517.75,0.51
522.93,0.51
528.16,0.47
533.44,0.46
538.77,0.46
544.16,0.46
549.60,0.46
555.10,0.46
560.65,0.46
566.25,0.46
571.92,0.46
577.64,0.51
583.41,0.53
589.25,0.55
595.14,0.55
601.09,0.55
607.10,0.55
613.17,0.56
619.30,0.59
625.50,0.66
631.75,0.72
638.07,0.79
644.45,0.85
650.89,0.93
657.40,0.99
663.98,1.05
670.62,1.09
677.32,1.16
684.10,1.22
690.94,1.29
697.85,1.35
704.83,1.41
711.87,1.44
718.99,1.49
726.18,1.52
