frequency,raw
20.00,-3.90
20.20,-3.87
20.40,-3.85
20.61,-3.81
20.81,-3.78
21.02,-3.74
21.23,-3.70
21.44,-3.67
21.66,-3.64
21.87,-3.60
22.09,-3.57
22.31,-3.55
22.54,-3.51
22.76,-3.48
22.99,-3.45
23.22,-3.41
23.45,-3.36
23.69,-3.35
23.92,-3.32
24.16,-3.31
24.40,-3.27
24.65,-3.25
24.89,-3.22
25.14,-3.21
25.39,-3.18
25.65,-3.17
25.91,-3.13
26.16,-3.11
26.43,-3.08
26.69,-3.07
26.96,-3.04
27.23,-3.01
27.50,-2.99
27.77,-2.97
28.05,-2.94
28.33,-2.91
28.62,-2.90
28.90,-2.85
29.19,-2.84
29.48,-2.80
29.78,-2.76
30.08,-2.75
30.38,-2.71
30.68,-2.69
30.99,-2.66
31.30,-2.62
31.61,-2.62
31.93,-2.57
32.24,-2.55
32.57,-2.52
32.89,-2.50
33.22,-2.48
33.55,-2.45
33.89,-2.43
34.23,-2.41
34.57,-2.39
34.92,-2.37
35.27,-2.34
35.62,-2.34
35.97,-2.29
36.33,-2.29
36.70,-2.25
37.06,-2.25
37.43,-2.20
37.81,-2.20
38.19,-2.16
38.57,-2.15
38.95,-2.13
39.34,-2.11
39.74,-2.07
40.14,-2.06
40.54,-2.02
40.94,-2.01
41.35,-1.99
41.76,-1.97
42.18,-1.95
42.60,-1.92
43.03,-1.92
43.46,-1.87
43.90,-1.87
44.33,-1.85
44.78,-1.83
45.23,-1.83
45.68,-1.80
46.13,-1.78
46.60,-1.78
47.06,-1.74
47.53,-1.73
48.01,-1.73
48.49,-1.69
48.97,-1.69
49.46,-1.69
49.96,-1.66
50.46,-1.64
50.96,-1.64
51.47,-1.64
51.99,-1.62
52.51,-1.59
53.03,-1.59
53.56,-1.59
54.10,-1.59
54.64,-1.56
55.18,-1.55
55.74,-1.55
56.29,-1.55
56.86,-1.55
57.42,-1.55
58.00,-1.55
58.58,-1.55
59.16,-1.50
59.76,-1.50
60.35,-1.50
60.96,-1.50
61.57,-1.50
62.18,-1.45
62.80,-1.45
63.43,-1.45
64.07,-1.41
64.71,-1.41
65.35,-1.41
66.01,-1.41
66.67,-1.36
67.33,-1.36
68.01,-1.36
68.69,-1.36
69.37,-1.36
70.07,-1.32
70.77,-1.31
71.48,-1.31
72.19,-1.31
72.91,-1.31
73.64,-1.31
74.38,-1.27
75.12,-1.27
75.87,-1.27
76.63,-1.27
77.40,-1.27
78.17,-1.27
78.95,-1.27
79.74,-1.26
80.54,-1.24
81.35,-1.22
82.16,-1.22
82.98,-1.22
83.81,-1.22
84.65,-1.22
85.50,-1.22
86.35,-1.22
87.22,-1.22
88.09,-1.22
88.97,-1.22
89.86,-1.24
90.76,-1.24
91.66,-1.27
92.58,-1.27
93.51,-1.27
94.44,-1.27
95.39,-1.27
96.34,-1.27
97.30,-1.27
98.28,-1.27
99.26,-1.27
100.25,-1.27
101.25,-1.27
102.27,-1.27
103.29,-1.27
104.32,-1.28
105.37,-1.31
106.42,-1.31
107.48,-1.31
108.56,-1.31
109.64,-1.31
110.74,-1.31
111.85,-1.31
112.97,-1.31
114.10,-1.31
115.24,-1.31
116.39,-1.34
117.55,-1.36
118.73,-1.36
119.92,-1.36
121.12,-1.36
122.33,-1.36
123.55,-1.36
124.79,-1.41
126.03,-1.41
127.29,-1.41
128.57,-1.41
129.85,-1.42
131.15,-1.45
132.46,-1.45
133.79,-1.45
135.12,-1.48
136.48,-1.50
137.84,-1.50
139.22,-1.50
140.61,-1.51
142.02,-1.55
143.44,-1.55
144.87,-1.55
146.32,-1.55
147.78,-1.59
149.26,-1.59
150.75,-1.59
152.26,-1.59
153.78,-1.63
155.32,-1.64
156.88,-1.64
158.44,-1.64
160.03,-1.64
161.63,-1.69
163.24,-1.69
164.88,-1.69
166.53,-1.73
168.19,-1.73
169.87,-1.73
171.57,-1.74
173.29,-1.78
175.02,-1.78
176.77,-1.78
178.54,-1.83
180.32,-1.83
182.13,-1.83
183.95,-1.87
185.79,-1.87
187.65,-1.87
189.52,-1.92
191.42,-1.92
193.33,-1.92
195.27,-1.97
197.22,-1.97
199.19,-1.97
201.18,-1.99
203.19,-2.01
205.23,-2.01
207.28,-2.04
209.35,-2.06
211.44,-2.06
213.56,-2.08
215.69,-2.11
217.85,-2.11
220.03,-2.13
222.23,-2.15
224.45,-2.15
226.70,-2.18
228.96,-2.20
231.25,-2.20
233.57,-2.20
235.90,-2.25
238.26,-2.25
240.64,-2.25
243.05,-2.25
245.48,-2.29
247.93,-2.29
250.41,-2.29
252.92,-2.29
255.45,-2.34
258.00,-2.34
260.58,-2.34
263.19,-2.34
265.82,-2.36
268.48,-2.39
271.16,-2.39
273.87,-2.39
276.61,-2.39
279.38,-2.40
282.17,-2.43
284.99,-2.43
287.84,-2.43
290.72,-2.43
293.63,-2.48
296.57,-2.48
299.53,-2.48
302.53,-2.48
305.55,-2.48
308.61,-2.50
311.69,-2.52
314.81,-2.52
317.96,-2.52
321.14,-2.52
324.35,-2.54
327.59,-2.57
330.87,-2.57
334.18,-2.57
337.52,-2.57
340.90,-2.57
344.30,-2.59
347.75,-2.62
351.23,-2.62
354.74,-2.62
358.28,-2.62
361.87,-2.62
365.49,-2.62
369.14,-2.62
372.83,-2.62
376.56,-2.62
380.33,-2.62
384.13,-2.62
387.97,-2.62
391.85,-2.64
395.77,-2.64
399.73,-2.64
403.72,-2.64
407.76,-2.62
411.84,-2.62
415.96,-2.62
420.12,-2.62
424.32,-2.62
428.56,-2.62
432.85,-2.62
437.18,-2.62
441.55,-2.62
445.96,-2.62
450.42,-2.62
454.93,-2.62
459.48,-2.59
464.07,-2.59
468.71,-2.57
473.40,-2.57
478.13,-2.57
482.91,-2.57
487.74,-2.57
492.62,-2.57
497.55,-2.57
502.52,-2.55
507.55,-2.52
512.62,-2.52
517.75,-2.52
522.93,-2.49
528.16,-2.48
533.44,-2.48
538.77,-2.48
544.16,-2.43
549.60,-2.43
555.10,-2.41
560.65,-2.39
566.25,-2.39
571.92,-2.34
577.64,-2.34
583.41,-2.31
589.25,-2.29
595.14,-2.27
601.09,-2.25
607.10,-2.20
613.17,-2.20
619.30,-2.17
625.50,-2.15
631.75,-2.11
638.07,-2.10
644.45,-2.06
650.89,-2.03
657.40,-2.00
663.98,-1.97
670.62,-1.94
677.32,-1.91
684.10,-1.87
690.94,-1.85
697.85,-1.82
704.83,-1.78
711.87,-1.73
718.99,-1.70
726.18,-1.67
733.44,-1.64
740.78,-1.59
748.19,-1.55
755.67,-1.52
763.23,-1.48
770.86,-1.44
778.57,-1.40
786.35,-1.36
794.22,-1.32
802.16,-1.29
810.18,-1.23
818.28,-1.20
826.46,-1.15
834.73,-1.09
843.08,-1.06
851.51,-1.00
860.02,-0.94
868.62,-0.88
877.31,-0.83
886.08,-0.78
894.94,-0.73
903.89,-0.64
912.93,-0.59
922.06,-0.53
931.28,-0.45
940.59,-0.39
950.00,-0.32
959.50,-0.26
969.09,-0.20
978.78,-0.13
988.57,-0.07
998.46,-0.01
1008.44,0.06
1018.53,0.11
1028.71,0.18
1039.00,0.24
1049.39,0.30
1059.88,0.36
1070.48,0.43
1081.19,0.48
1092.00,0.52
1102.92,0.59
1113.95,0.66
1125.09,0.72
1136.34,0.80
1147.70,0.86
1159.18,0.93
1170.77,1.01
1182.48,1.09
1194.30,1.17
1206.25,1.24
1218.31,1.32
1230.49,1.41
1242.80,1.48
1255.22,1.58
1267.78,1.64
1280.45,1.73
1293.26,1.81
1306.19,1.87
1319.25,1.92
1332.45,2.00
1345.77,2.03
1359.23,2.06
1372.82,2.08
1386.55,2.08
1400.41,2.08
1414.42,2.08
1428.56,2.08
1442.85,2.04
1457.28,2.03
1471.85,1.99
1486.57,1.97
1501.43,1.94
1516.45,1.90
1531.61,1.85
1546.93,1.82
1562.40,1.79
1578.02,1.76
1593.80,1.71
1609.74,1.67
1625.84,1.67
1642.10,1.62
1658.52,1.62
1675.10,1.62
1691.85,1.62
1708.77,1.62
1725.86,1.67
1743.12,1.67
1760.55,1.67
1778.15,1.67
1795.94,1.69
1813.90,1.70
1832.03,1.71
1850.36,1.71
1868.86,1.71
1887.55,1.71
1906.42,1.71
1925.49,1.71
1944.74,1.71
1964.19,1.71
1983.83,1.71
2003.67,1.71
2023.71,1.71
2043.94,1.71
2064.38,1.71
2085.03,1.73
2105.88,1.76
2126.94,1.78
2148.20,1.81
2169.69,1.84
2191.38,1.92
2213.30,1.98
2235.43,2.03
2257.78,2.13
2280.36,2.22
2303.17,2.33
2326.20,2.46
2349.46,2.61
2372.95,2.74
2396.68,2.90
2420.65,3.06
2444.86,3.21
2469.31,3.37
2494.00,3.52
2518.94,3.68
2544.13,3.83
2569.57,3.97
2595.27,4.12
2621.22,4.27
2647.43,4.40
2673.90,4.54
2700.64,4.67
2727.65,4.78
2754.93,4.89
2782.48,5.02
2810.30,5.08
2838.40,5.17
2866.79,5.23
2895.46,5.28
2924.41,5.30
2953.65,5.34
2983.19,5.34
3013.02,5.31
3043.15,5.30
3073.58,5.26
3104.32,5.23
3135.36,5.20
3166.72,5.15
3198.38,5.10
3230.37,5.04
3262.67,4.98
3295.30,4.93
3328.25,4.85
3361.53,4.76
3395.15,4.66
3429.10,4.57
3463.39,4.44
3498.03,4.29
3533.01,4.15
3568.34,3.96
3604.02,3.76
3640.06,3.51
3676.46,3.22
3713.22,2.86
3750.36,2.48
3787.86,2.01
3825.74,1.55
3864.00,1.03
3902.64,0.51
3941.66,0.01
3981.08,-0.43
4020.89,-0.83
4061.10,-1.17
4101.71,-1.42
4142.73,-1.60
4184.15,-1.75
4226.00,-1.85
4268.26,-1.92
4310.94,-1.99
4354.05,-2.07
4397.59,-2.18
4441.56,-2.28
4485.98,-2.42
4530.84,-2.58
4576.15,-2.75
4621.91,-2.91
4668.13,-3.11
4714.81,-3.28
4761.96,-3.44
4809.58,-3.62
4857.67,-3.79
4906.25,-3.95
4955.31,-4.11
5004.87,-4.26
5054.91,-4.42
5105.46,-4.57
5156.52,-4.71
5208.08,-4.83
5260.16,-4.91
5312.77,-4.95
5365.89,-4.91
5419.55,-4.79
5473.75,-4.59
5528.49,-4.26
5583.77,-3.88
5639.61,-3.43
5696.00,-2.94
5752.96,-2.43
5810.49,-1.96
5868.60,-1.53
5927.28,-1.19
5986.56,-0.97
6046.42,-0.83
6106.89,-0.97
6167.96,-1.19
6229.64,-1.53
6291.93,-1.95
6354.85,-2.41
6418.40,-2.92
6482.58,-3.45
6547.41,-3.95
6612.88,-4.43
6679.01,-4.88
6745.80,-5.28
6813.26,-5.66
6881.39,-5.98
6950.21,-6.33
7019.71,-6.61
7089.91,-6.92
7160.81,-7.20
7232.41,-7.51
7304.74,-7.77
7377.79,-8.06
7451.56,-8.33
7526.08,-8.61
7601.34,-8.87
7677.35,-9.18
7754.13,-9.46
7831.67,-9.73
7909.98,-9.98
7989.08,-10.20
8068.98,-10.39
8149.67,-10.49
8231.16,-10.46
8313.47,-10.33
8396.61,-10.14
8480.57,-9.91
