frequency,raw
20.00,3.44
20.20,3.44
20.40,3.44
20.61,3.45
20.81,3.48
21.02,3.48
21.23,3.48
21.44,3.48
21.66,3.48
21.87,3.48
22.09,3.48
22.31,3.48
22.54,3.48
22.76,3.48
22.99,3.44
23.22,3.44
23.45,3.44
23.69,3.41
23.92,3.39
24.16,3.37
24.40,3.34
24.65,3.28
24.89,3.25
25.14,3.20
25.39,3.17
25.65,3.11
25.91,3.08
26.16,3.05
26.43,3.02
26.69,3.00
26.96,2.97
27.23,2.97
27.50,2.97
27.77,2.97
28.05,2.97
28.33,2.97
28.62,2.97
28.90,3.00
29.19,3.00
29.48,2.98
29.78,2.97
30.08,2.97
30.38,2.95
30.68,2.93
30.99,2.89
31.30,2.86
31.61,2.81
31.93,2.78
32.24,2.74
32.57,2.69
32.89,2.66
33.22,2.63
33.55,2.58
33.89,2.54
34.23,2.51
34.57,2.46
34.92,2.43
35.27,2.39
35.62,2.34
35.97,2.30
36.33,2.26
36.70,2.22
37.06,2.17
37.43,2.12
37.81,2.08
38.19,2.03
38.57,2.00
38.95,1.94
39.34,1.91
39.74,1.86
40.14,1.83
40.54,1.80
40.94,1.76
41.35,1.74
41.76,1.70
42.18,1.67
42.60,1.62
43.03,1.62
43.46,1.58
43.90,1.58
44.33,1.53
44.78,1.53
45.23,1.52
45.68,1.48
46.13,1.48
46.60,1.44
47.06,1.42
47.53,1.39
48.01,1.34
48.49,1.31
48.97,1.25
49.46,1.22
49.96,1.19
50.46,1.16
50.96,1.16
51.47,1.16
51.99,1.16
52.51,1.17
53.03,1.20
53.56,1.22
54.10,1.26
54.64,1.30
55.18,1.34
55.74,1.37
56.29,1.40
56.86,1.46
57.42,1.51
58.00,1.55
58.58,1.60
59.16,1.66
59.76,1.73
60.35,1.81
60.96,1.90
61.57,1.98
62.18,2.08
62.80,2.17
63.43,2.29
64.07,2.43
64.71,2.55
65.35,2.68
66.01,2.81
66.67,2.94
67.33,3.06
68.01,3.20
68.69,3.32
69.37,3.44
70.07,3.55
70.77,3.66
71.48,3.77
72.19,3.86
72.91,3.96
73.64,4.04
74.38,4.14
75.12,4.23
75.87,4.31
76.63,4.39
77.40,4.47
78.17,4.55
78.95,4.62
79.74,4.67
80.54,4.72
81.35,4.77
82.16,4.82
82.98,4.87
83.81,4.90
84.65,4.94
85.50,4.97
86.35,5.02
87.22,5.05
88.09,5.07
88.97,5.11
89.86,5.11
90.76,5.11
91.66,5.11
92.58,5.14
93.51,5.11
94.44,5.11
95.39,5.11
96.34,5.08
97.30,5.07
98.28,5.02
99.26,5.00
100.25,4.95
101.25,4.90
102.27,4.86
103.29,4.81
104.32,4.75
105.37,4.69
106.42,4.62
107.48,4.56
108.56,4.49
109.64,4.44
110.74,4.36
111.85,4.28
112.97,4.21
114.10,4.14
115.24,4.08
116.39,4.02
117.55,3.96
118.73,3.89
119.92,3.83
121.12,3.77
122.33,3.71
123.55,3.65
124.79,3.59
126.03,3.54
127.29,3.46
128.57,3.37
129.85,3.28
131.15,3.20
132.46,3.09
133.79,2.98
135.12,2.88
136.48,2.79
137.84,2.68
139.22,2.57
140.61,2.46
142.02,2.36
143.44,2.27
144.87,2.16
146.32,2.05
147.78,1.97
149.26,1.86
150.75,1.71
152.26,1.59
153.78,1.49
155.32,1.35
156.88,1.24
158.44,1.09
160.03,0.98
161.63,0.83
