frequency,raw
20.00,2.17
20.20,2.21
20.40,2.25
20.61,2.29
20.81,2.33
21.02,2.38
21.23,2.43
21.44,2.49
21.66,2.55
21.87,2.61
22.09,2.66
22.31,2.72
22.54,2.77
22.76,2.82
22.99,2.88
23.22,2.94
23.45,2.99
23.69,3.05
23.92,3.11
24.16,3.17
24.40,3.23
24.65,3.29
24.89,3.35
25.14,3.41
25.39,3.47
25.65,3.54
25.91,3.61
26.16,3.67
26.43,3.74
26.69,3.81
26.96,3.88
27.23,3.95
27.50,4.03
27.77,4.10
28.05,4.17
28.33,4.24
28.62,4.31
28.90,4.38
29.19,4.45
29.48,4.52
29.78,4.59
30.08,4.66
30.38,4.72
30.68,4.79
30.99,4.86
31.30,4.92
31.61,4.98
31.93,5.04
32.24,5.09
32.57,5.14
32.89,5.19
33.22,5.24
33.55,5.29
33.89,5.34
34.23,5.39
34.57,5.42
34.92,5.46
35.27,5.50
35.62,5.54
35.97,5.58
36.33,5.61
36.70,5.64
37.06,5.68
37.43,5.71
37.81,5.73
38.19,5.77
38.57,5.80
38.95,5.84
39.34,5.87
39.74,5.90
40.14,5.93
40.54,5.95
40.94,5.98
41.35,6.01
41.76,6.04
42.18,6.07
42.60,6.11
43.03,6.14
43.46,6.17
43.90,6.19
44.33,6.22
44.78,6.25
45.23,6.28
45.68,6.30
46.13,6.32
46.60,6.33
47.06,6.34
47.53,6.35
48.01,6.36
48.49,6.36
48.97,6.36
49.46,6.34
49.96,6.32
50.46,6.31
50.96,6.29
51.47,6.27
51.99,6.24
52.51,6.21
53.03,6.19
53.56,6.16
54.10,6.13
54.64,6.09
55.18,6.05
55.74,6.02
56.29,6.00
56.86,5.97
57.42,5.94
58.00,5.92
58.58,5.90
59.16,5.87
59.76,5.85
60.35,5.84
60.96,5.84
61.57,5.82
62.18,5.81
62.80,5.80
63.43,5.80
64.07,5.80
64.71,5.76
65.35,5.73
66.01,5.69
66.67,5.63
67.33,5.57
68.01,5.52
68.69,5.43
69.37,5.32
70.07,5.19
70.77,5.04
71.48,4.86
72.19,4.67
72.91,4.46
73.64,4.21
74.38,3.94
75.12,3.65
75.87,3.36
76.63,3.03
77.40,2.71
78.17,2.38
78.95,2.04
79.74,1.73
80.54,1.42
81.35,1.14
82.16,0.90
82.98,0.67
83.81,0.51
84.65,0.39
85.50,0.30
86.35,0.26
87.22,0.26
88.09,0.29
88.97,0.38
89.86,0.50
90.76,0.67
91.66,0.87
92.58,1.11
93.51,1.36
94.44,1.64
95.39,1.94
96.34,2.25
97.30,2.58
98.28,2.89
99.26,3.20
100.25,3.49
101.25,3.77
102.27,4.00
103.29,4.22
104.32,4.45
105.37,4.66
106.42,4.84
107.48,5.01
108.56,5.17
109.64,5.30
110.74,5.43
111.85,5.54
112.97,5.64
114.10,5.74
115.24,5.82
116.39,5.89
117.55,5.96
118.73,6.03
119.92,6.09
121.12,6.13
122.33,6.17
123.55,6.20
124.79,6.23
126.03,6.23
127.29,6.26
128.57,6.27
129.85,6.27
131.15,6.27
132.46,6.24
133.79,6.23
135.12,6.21
136.48,6.17
137.84,6.14
139.22,6.10
140.61,6.05
142.02,6.01
143.44,5.97
144.87,5.92
146.32,5.85
147.78,5.80
149.26,5.73
150.75,5.67
152.26,5.60
153.78,5.53
155.32,5.47
156.88,5.41
158.44,5.33
160.03,5.29
161.63,5.22
163.24,5.16
164.88,5.10
166.53,5.04
168.19,4.98
169.87,4.92
171.57,4.88
173.29,4.81
175.02,4.75
176.77,4.70
178.54,4.64
180.32,4.58
182.13,4.50
183.95,4.44
185.79,4.37
187.65,4.30
189.52,4.23
191.42,4.15
193.33,4.07
195.27,3.99
197.22,3.90
199.19,3.81
201.18,3.72
203.19,3.62
205.23,3.53
207.28,3.44
209.35,3.31
211.44,3.19
213.56,3.08
215.69,2.96
217.85,2.85
220.03,2.72
222.23,2.59
224.45,2.46
226.70,2.32
228.96,2.18
231.25,2.04
233.57,1.90
235.90,1.75
238.26,1.61
240.64,1.46
243.05,1.32
245.48,1.17
247.93,1.01
250.41,0.84
252.92,0.68
255.45,0.52
258.00,0.35
260.58,0.18
263.19,-0.01
265.82,-0.21
268.48,-0.38
271.16,-0.58
273.87,-0.77
276.61,-0.95
279.38,-1.14
282.17,-1.32
284.99,-1.50
287.84,-1.67
290.72,-1.84
293.63,-2.01
296.57,-2.20
299.53,-2.37
302.53,-2.53
305.55,-2.69
308.61,-2.84
311.69,-3.00
314.81,-3.15
317.96,-3.30
321.14,-3.42
324.35,-3.54
327.59,-3.65
330.87,-3.75
334.18,-3.87
337.52,-3.98
340.90,-4.07
344.30,-4.17
347.75,-4.25
351.23,-4.34
354.74,-4.41
358.28,-4.49
361.87,-4.54
365.49,-4.59
369.14,-4.63
372.83,-4.68
376.56,-4.69
380.33,-4.69
384.13,-4.69
387.97,-4.69
391.85,-4.69
395.77,-4.66
399.73,-4.61
403.72,-4.58
407.76,-4.53
411.84,-4.47
415.96,-4.39
420.12,-4.32
424.32,-4.24
428.56,-4.14
432.85,-4.05
437.18,-3.95
441.55,-3.83
445.96,-3.70
450.42,-3.58
454.93,-3.45
459.48,-3.32
464.07,-3.18
468.71,-3.03
473.40,-2.87
478.13,-2.73
482.91,-2.58
