frequency,raw
20.00,-6.95
20.20,-6.86
20.40,-6.76
20.61,-6.61
20.81,-6.46
21.02,-6.32
21.23,-6.15
21.44,-5.99
21.66,-5.83
21.87,-5.66
22.09,-5.52
22.31,-5.35
22.54,-5.20
22.76,-5.06
22.99,-4.90
23.22,-4.75
23.45,-4.59
23.69,-4.44
23.92,-4.28
24.16,-4.15
24.40,-3.99
24.65,-3.84
24.89,-3.73
25.14,-3.57
25.39,-3.45
25.65,-3.31
25.91,-3.18
26.16,-3.04
26.43,-2.89
26.69,-2.78
26.96,-2.62
27.23,-2.51
27.50,-2.36
27.77,-2.23
28.05,-2.12
28.33,-2.01
28.62,-1.90
28.90,-1.79
29.19,-1.67
29.48,-1.55
29.78,-1.44
30.08,-1.31
30.38,-1.22
30.68,-1.11
30.99,-1.02
31.30,-0.92
31.61,-0.83
31.93,-0.73
32.24,-0.66
32.57,-0.55
32.89,-0.48
33.22,-0.38
33.55,-0.32
33.89,-0.22
34.23,-0.15
34.57,-0.09
34.92,-0.01
35.27,0.06
35.62,0.12
35.97,0.20
36.33,0.26
36.70,0.31
37.06,0.40
37.43,0.44
37.81,0.50
38.19,0.56
38.57,0.62
38.95,0.66
39.34,0.71
39.74,0.74
40.14,0.80
40.54,0.83
40.94,0.88
41.35,0.91
41.76,0.94
42.18,0.98
42.60,1.03
43.03,1.06
43.46,1.10
43.90,1.12
44.33,1.17
44.78,1.19
45.23,1.22
45.68,1.26
46.13,1.28
46.60,1.31
47.06,1.35
47.53,1.37
48.01,1.40
48.49,1.45
48.97,1.47
49.46,1.50
49.96,1.54
50.46,1.58
50.96,1.61
51.47,1.65
51.99,1.68
52.51,1.73
53.03,1.76
53.56,1.79
54.10,1.82
54.64,1.87
55.18,1.91
55.74,1.94
56.29,1.97
56.86,2.03
57.42,2.06
58.00,2.09
58.58,2.12
59.16,2.15
59.76,2.19
60.35,2.24
60.96,2.24
61.57,2.29
62.18,2.33
62.80,2.33
63.43,2.37
64.07,2.38
64.71,2.39
65.35,2.43
66.01,2.43
66.67,2.47
67.33,2.47
68.01,2.47
68.69,2.52
69.37,2.52
70.07,2.52
70.77,2.52
71.48,2.52
72.19,2.52
72.91,2.52
73.64,2.52
74.38,2.52
75.12,2.52
75.87,2.52
76.63,2.52
77.40,2.52
78.17,2.52
