frequency,raw
20.00,9.00
20.20,9.01
20.40,9.05
20.61,9.09
20.81,9.12
21.02,9.17
21.23,9.20
21.44,9.23
21.66,9.26
21.87,9.31
22.09,9.34
22.31,9.37
22.54,9.40
22.76,9.44
22.99,9.46
23.22,9.49
23.45,9.52
23.69,9.55
23.92,9.57
24.16,9.61
24.40,9.62
24.65,9.65
24.89,9.65
25.14,9.70
25.39,9.70
25.65,9.74
25.91,9.74
26.16,9.74
26.43,9.78
26.69,9.78
26.96,9.78
27.23,9.82
27.50,9.83
27.77,9.83
28.05,9.83
28.33,9.83
28.62,9.85
28.90,9.85
29.19,9.87
29.48,9.87
29.78,9.87
30.08,9.87
30.38,9.87
30.68,9.87
30.99,9.85
31.30,9.83
31.61,9.83
31.93,9.83
32.24,9.83
32.57,9.83
32.89,9.81
33.22,9.78
33.55,9.78
33.89,9.78
34.23,9.77
34.57,9.74
34.92,9.74
35.27,9.70
35.62,9.70
35.97,9.69
36.33,9.65
36.70,9.65
37.06,9.61
37.43,9.61
37.81,9.57
38.19,9.57
38.57,9.52
38.95,9.52
39.34,9.48
39.74,9.46
40.14,9.44
40.54,9.40
40.94,9.39
41.35,9.35
41.76,9.33
42.18,9.31
42.60,9.27
43.03,9.26
43.46,9.22
43.90,9.20
44.33,9.17
44.78,9.14
45.23,9.11
45.68,9.09
46.13,9.05
46.60,9.04
47.06,9.00
47.53,9.00
48.01,8.96
48.49,8.95
48.97,8.92
49.46,8.89
49.96,8.87
50.46,8.85
50.96,8.83
51.47,8.79
51.99,8.79
52.51,8.77
53.03,8.74
53.56,8.74
54.10,8.70
54.64,8.70
55.18,8.68
55.74,8.66
56.29,8.66
56.86,8.63
57.42,8.61
58.00,8.61
58.58,8.61
59.16,8.59
59.76,8.57
60.35,8.57
60.96,8.57
61.57,8.57
62.18,8.57
62.80,8.57
63.43,8.57
64.07,8.57
64.71,8.57
65.35,8.57
66.01,8.57
66.67,8.57
67.33,8.57
68.01,8.57
68.69,8.57
69.37,8.57
70.07,8.60
70.77,8.61
71.48,8.61
72.19,8.61
72.91,8.61
73.64,8.66
74.38,8.66
75.12,8.66
75.87,8.66
76.63,8.70
77.40,8.70
78.17,8.70
78.95,8.74
79.74,8.74
80.54,8.74
81.35,8.76
82.16,8.79
82.98,8.79
83.81,8.79
84.65,8.82
85.50,8.83
86.35,8.83
87.22,8.83
88.09,8.87
88.97,8.87
89.86,8.87
90.76,8.87
91.66,8.87
92.58,8.92
93.51,8.92
94.44,8.92
95.39,8.92
96.34,8.92
97.30,8.92
98.28,8.92
99.26,8.92
100.25,8.94
101.25,8.92
102.27,8.92
103.29,8.92
104.32,8.92
105.37,8.92
106.42,8.92
107.48,8.92
108.56,8.92
109.64,8.90
110.74,8.87
111.85,8.87
112.97,8.87
114.10,8.87
115.24,8.86
116.39,8.83
117.55,8.83
118.73,8.83
119.92,8.82
121.12,8.79
122.33,8.79
123.55,8.79
124.79,8.74
126.03,8.74
127.29,8.74
128.57,8.71
129.85,8.70
131.15,8.70
132.46,8.66
133.79,8.66
135.12,8.66
136.48,8.61
137.84,8.61
139.22,8.57
140.61,8.57
142.02,8.53
143.44,8.53
144.87,8.48
146.32,8.48
147.78,8.44
149.26,8.43
150.75,8.40
152.26,8.35
153.78,8.34
155.32,8.31
156.88,8.27
158.44,8.23
160.03,8.20
161.63,8.17
163.24,8.14
164.88,8.09
166.53,8.05
168.19,8.02
169.87,7.97
171.57,7.94
173.29,7.89
175.02,7.85
176.77,7.81
178.54,7.76
180.32,7.72
182.13,7.67
183.95,7.61
185.79,7.55
187.65,7.51
189.52,7.46
191.42,7.42
193.33,7.36
195.27,7.29
197.22,7.24
199.19,7.17
201.18,7.12
203.19,7.06
205.23,6.99
207.28,6.94
209.35,6.88
211.44,6.82
213.56,6.76
215.69,6.70
217.85,6.66
220.03,6.61
222.23,6.58
224.45,6.55
226.70,6.53
228.96,6.49
231.25,6.49
233.57,6.49
235.90,6.47
238.26,6.47
240.64,6.47
243.05,6.47
245.48,6.49
247.93,6.49
250.41,6.49
252.92,6.49
255.45,6.53
258.00,6.53
260.58,6.53
263.19,6.53
265.82,6.53
268.48,6.55
271.16,6.55
273.87,6.55
276.61,6.53
279.38,6.53
282.17,6.53
284.99,6.49
287.84,6.48
290.72,6.45
293.63,6.39
