frequency,raw
20.00,-24.59
20.20,-24.48
20.40,-24.37
20.61,-24.26
20.81,-24.15
21.02,-24.04
21.23,-23.93
21.44,-23.82
21.66,-23.71
21.87,-23.60
22.09,-23.49
22.31,-23.38
22.54,-23.27
22.76,-23.16
22.99,-23.06
23.22,-22.87
23.45,-22.68
23.69,-22.49
23.92,-22.30
24.16,-22.12
24.40,-21.93
24.65,-21.75
24.89,-21.57
25.14,-21.39
25.39,-21.21
25.65,-21.03
25.91,-20.85
26.16,-20.67
26.43,-20.50
26.69,-20.33
26.96,-20.16
27.23,-19.98
27.50,-19.81
27.77,-19.63
28.05,-19.46
28.33,-19.28
28.62,-19.11
28.90,-18.93
29.19,-18.76
29.48,-18.58
29.78,-18.41
30.08,-18.23
30.38,-18.05
30.68,-17.86
30.99,-17.68
31.30,-17.50
31.61,-17.31
31.93,-17.13
32.24,-16.95
32.57,-16.76
32.89,-16.57
33.22,-16.38
33.55,-16.18
33.89,-15.98
34.23,-15.79
34.57,-15.60
34.92,-15.41
35.27,-15.20
35.62,-15.00
35.97,-14.79
36.33,-14.58
36.70,-14.37
37.06,-14.15
37.43,-13.95
37.81,-13.75
38.19,-13.54
38.57,-13.32
38.95,-13.11
39.34,-12.90
39.74,-12.69
40.14,-12.48
40.54,-12.26
40.94,-12.04
41.35,-11.82
41.76,-11.60
42.18,-11.39
42.60,-11.18
43.03,-10.97
43.46,-10.76
43.90,-10.54
44.33,-10.34
44.78,-10.14
45.23,-9.94
45.68,-9.75
46.13,-9.55
46.60,-9.35
47.06,-9.15
47.53,-8.95
48.01,-8.75
48.49,-8.53
48.97,-8.31
49.46,-8.09
49.96,-7.87
50.46,-7.64
50.96,-7.42
51.47,-7.21
51.99,-7.00
52.51,-6.78
53.03,-6.56
53.56,-6.33
54.10,-6.10
54.64,-5.87
55.18,-5.64
55.74,-5.41
56.29,-5.17
56.86,-4.93
57.42,-4.70
58.00,-4.46
58.58,-4.23
59.16,-4.00
59.76,-3.77
60.35,-3.54
60.96,-3.33
61.57,-3.11
62.18,-2.90
62.80,-2.68
63.43,-2.46
64.07,-2.24
64.71,-2.04
65.35,-1.84
66.01,-1.63
66.67,-1.45
67.33,-1.27
68.01,-1.10
