frequency,raw
20.00,1.29
20.20,1.30
20.40,1.30
20.61,1.34
20.81,1.34
21.02,1.34
21.23,1.38
21.44,1.39
21.66,1.39
21.87,1.39
22.09,1.39
22.31,1.43
22.54,1.43
22.76,1.43
22.99,1.43
23.22,1.43
23.45,1.48
23.69,1.48
23.92,1.48
24.16,1.48
24.40,1.48
24.65,1.48
24.89,1.50
25.14,1.53
25.39,1.53
25.65,1.53
25.91,1.53
26.16,1.53
26.43,1.53
26.69,1.53
26.96,1.53
27.23,1.53
27.50,1.53
27.77,1.53
28.05,1.53
28.33,1.53
28.62,1.53
28.90,1.53
29.19,1.53
29.48,1.53
29.78,1.53
30.08,1.53
30.38,1.53
30.68,1.53
30.99,1.53
31.30,1.53
31.61,1.53
31.93,1.55
32.24,1.55
32.57,1.55
32.89,1.55
33.22,1.55
33.55,1.53
33.89,1.53
34.23,1.53
34.57,1.53
34.92,1.53
35.27,1.53
35.62,1.50
35.97,1.50
36.33,1.49
36.70,1.48
37.06,1.48
37.43,1.48
37.81,1.48
38.19,1.48
38.57,1.48
38.95,1.48
39.34,1.48
39.74,1.48
40.14,1.48
40.54,1.43
40.94,1.43
41.35,1.43
41.76,1.43
42.18,1.39
42.60,1.39
43.03,1.39
43.46,1.35
43.90,1.34
44.33,1.34
44.78,1.32
45.23,1.30
45.68,1.30
46.13,1.25
46.60,1.25
47.06,1.25
47.53,1.21
48.01,1.20
48.49,1.20
48.97,1.20
49.46,1.17
49.96,1.16
50.46,1.16
50.96,1.16
51.47,1.16
51.99,1.16
52.51,1.16
53.03,1.16
53.56,1.16
54.10,1.16
54.64,1.16
55.18,1.16
55.74,1.16
56.29,1.16
56.86,1.16
57.42,1.16
58.00,1.16
58.58,1.16
59.16,1.16
59.76,1.16
60.35,1.13
60.96,1.11
61.57,1.11
62.18,1.11
62.80,1.11
63.43,1.07
64.07,1.06
64.71,1.06
65.35,1.06
66.01,1.02
66.67,1.02
67.33,1.02
68.01,1.02
68.69,0.97
69.37,0.97
70.07,0.97
70.77,0.97
71.48,0.97
72.19,0.97
72.91,0.95
73.64,0.93
74.38,0.92
75.12,0.92
75.87,0.92
76.63,0.92
77.40,0.92
78.17,0.92
78.95,0.92
79.74,0.92
80.54,0.92
81.35,0.92
82.16,0.92
82.98,0.92
83.81,0.92
84.65,0.91
85.50,0.90
86.35,0.88
87.22,0.88
88.09,0.88
88.97,0.88
89.86,0.88
90.76,0.88
91.66,0.88
92.58,0.88
93.51,0.88
94.44,0.88
95.39,0.88
96.34,0.88
97.30,0.88
98.28,0.88
99.26,0.88
100.25,0.88
101.25,0.88
102.27,0.88
103.29,0.88
104.32,0.91
105.37,0.92
106.42,0.92
107.48,0.92
108.56,0.92
109.64,0.92
110.74,0.88
111.85,0.88
112.97,0.88
114.10,0.87
115.24,0.83
116.39,0.83
117.55,0.83
118.73,0.83
119.92,0.83
121.12,0.83
122.33,0.83
123.55,0.85
124.79,0.88
126.03,0.88
127.29,0.88
128.57,0.88
129.85,0.88
131.15,0.88
132.46,0.88
133.79,0.88
135.12,0.88
136.48,0.88
137.84,0.88
139.22,0.88
140.61,0.88
142.02,0.88
143.44,0.88
144.87,0.88
146.32,0.88
147.78,0.88
149.26,0.88
150.75,0.88
152.26,0.88
153.78,0.88
155.32,0.88
156.88,0.88
158.44,0.88
160.03,0.88
161.63,0.88
163.24,0.88
164.88,0.88
166.53,0.88
168.19,0.86
169.87,0.85
171.57,0.83
173.29,0.83
175.02,0.83
176.77,0.83
178.54,0.83
180.32,0.83
