frequency,raw
20.00,-1.14
20.20,-1.16
20.40,-1.11
20.61,-1.10
20.81,-1.07
21.02,-1.04
21.23,-1.02
21.44,-0.97
21.66,-0.97
21.87,-0.93
22.09,-0.93
22.31,-0.88
22.54,-0.88
22.76,-0.83
22.99,-0.83
23.22,-0.79
23.45,-0.79
23.69,-0.74
23.92,-0.74
24.16,-0.69
24.40,-0.69
24.65,-0.65
24.89,-0.65
25.14,-0.62
25.39,-0.60
25.65,-0.60
25.91,-0.55
26.16,-0.55
26.43,-0.55
26.69,-0.51
26.96,-0.51
27.23,-0.50
27.50,-0.46
27.77,-0.46
28.05,-0.42
28.33,-0.42
28.62,-0.38
28.90,-0.37
29.19,-0.37
29.48,-0.32
29.78,-0.32
30.08,-0.30
30.38,-0.28
30.68,-0.28
30.99,-0.23
31.30,-0.23
31.61,-0.23
31.93,-0.21
32.24,-0.18
32.57,-0.18
32.89,-0.18
33.22,-0.15
33.55,-0.14
33.89,-0.14
34.23,-0.14
34.57,-0.09
34.92,-0.09
35.27,-0.09
35.62,-0.06
35.97,-0.04
36.33,-0.04
36.70,-0.04
37.06,-0.04
37.43,-0.02
37.81,0.00
38.19,0.00
38.57,0.00
38.95,0.00
39.34,0.00
39.74,0.00
40.14,0.00
40.54,0.03
40.94,0.05
41.35,0.05
41.76,0.05
42.18,0.05
42.60,0.05
43.03,0.10
43.46,0.10
43.90,0.10
44.33,0.14
44.78,0.14
45.23,0.15
45.68,0.19
46.13,0.19
46.60,0.22
47.06,0.24
47.53,0.24
48.01,0.28
48.49,0.28
48.97,0.28
49.46,0.33
49.96,0.33
50.46,0.33
50.96,0.38
51.47,0.38
51.99,0.38
52.51,0.38
53.03,0.40
53.56,0.42
54.10,0.42
54.64,0.42
55.18,0.42
55.74,0.47
56.29,0.47
56.86,0.47
57.42,0.47
58.00,0.47
58.58,0.47
59.16,0.47
59.76,0.48
60.35,0.49
60.96,0.52
61.57,0.52
62.18,0.52
62.80,0.52
63.43,0.52
64.07,0.52
64.71,0.52
65.35,0.55
66.01,0.56
66.67,0.56
67.33,0.56
68.01,0.56
68.69,0.61
69.37,0.61
70.07,0.61
70.77,0.62
71.48,0.66
72.19,0.66
72.91,0.66
73.64,0.66
74.38,0.66
75.12,0.66
75.87,0.66
76.63,0.63
77.40,0.61
78.17,0.61
78.95,0.61
79.74,0.61
80.54,0.61
81.35,0.56
82.16,0.56
82.98,0.56
83.81,0.52
84.65,0.52
85.50,0.52
86.35,0.52
87.22,0.47
88.09,0.47
88.97,0.47
89.86,0.44
90.76,0.42
91.66,0.42
92.58,0.42
93.51,0.38
94.44,0.38
95.39,0.38
96.34,0.38
97.30,0.35
98.28,0.33
99.26,0.33
100.25,0.33
101.25,0.33
102.27,0.33
103.29,0.33
104.32,0.33
105.37,0.33
106.42,0.33
107.48,0.30
108.56,0.28
109.64,0.28
110.74,0.28
111.85,0.28
112.97,0.28
114.10,0.28
115.24,0.24
116.39,0.24
117.55,0.24
118.73,0.24
119.92,0.24
121.12,0.24
122.33,0.22
123.55,0.19
124.79,0.19
126.03,0.19
127.29,0.19
128.57,0.19
129.85,0.15
131.15,0.14
132.46,0.14
133.79,0.14
135.12,0.14
136.48,0.14
137.84,0.10
139.22,0.10
140.61,0.10
142.02,0.10
143.44,0.10
144.87,0.10
146.32,0.08
147.78,0.07
149.26,0.05
150.75,0.05
152.26,0.05
153.78,0.05
155.32,0.05
156.88,0.05
158.44,0.03
160.03,0.00
161.63,0.00
163.24,0.00
164.88,0.00
166.53,0.00
168.19,-0.03
169.87,-0.04
171.57,-0.04
173.29,-0.04
175.02,-0.04
176.77,-0.09
178.54,-0.09
180.32,-0.09
182.13,-0.14
183.95,-0.14
185.79,-0.14
187.65,-0.18
189.52,-0.19
191.42,-0.23
193.33,-0.23
195.27,-0.28
197.22,-0.32
199.19,-0.33
201.18,-0.37
203.19,-0.41
205.23,-0.42
207.28,-0.46
209.35,-0.50
211.44,-0.54
213.56,-0.57
215.69,-0.62
217.85,-0.65
220.03,-0.68
222.23,-0.74
224.45,-0.77
226.70,-0.80
228.96,-0.83
231.25,-0.86
233.57,-0.88
235.90,-0.90
238.26,-0.93
240.64,-0.93
243.05,-0.93
245.48,-0.97
247.93,-0.97
250.41,-0.97
252.92,-0.95
255.45,-0.93
258.00,-0.93
260.58,-0.92
263.19,-0.88
265.82,-0.88
268.48,-0.83
271.16,-0.82
273.87,-0.79
276.61,-0.74
279.38,-0.73
282.17,-0.69
284.99,-0.65
287.84,-0.63
290.72,-0.60
293.63,-0.55
296.57,-0.54
299.53,-0.51
302.53,-0.48
305.55,-0.46
308.61,-0.42
311.69,-0.41
314.81,-0.37
317.96,-0.33
321.14,-0.32
324.35,-0.28
327.59,-0.28
330.87,-0.23
334.18,-0.23
337.52,-0.18
340.90,-0.18
344.30,-0.14
347.75,-0.14
351.23,-0.09
354.74,-0.07
358.28,-0.04
361.87,-0.03
365.49,0.00
369.14,0.03
372.83,0.05
376.56,0.08
380.33,0.10
384.13,0.10
387.97,0.10
391.85,0.12
395.77,0.10
399.73,0.10
403.72,0.10
407.76,0.07
411.84,0.05
415.96,0.00
420.12,-0.02
424.32,-0.07
428.56,-0.11
432.85,-0.17
437.18,-0.24
441.55,-0.30
445.96,-0.38
450.42,-0.45
454.93,-0.53
459.48,-0.59
464.07,-0.66
468.71,-0.72
473.40,-0.77
478.13,-0.83
482.91,-0.86
487.74,-0.91
492.62,-0.93
497.55,-0.93
502.52,-0.95
507.55,-0.93
512.62,-0.93
517.75,-0.90
522.93,-0.86
528.16,-0.81
533.44,-0.75
538.77,-0.68
544.16,-0.62
549.60,-0.57
555.10,-0.50
560.65,-0.44
566.25,-0.37
571.92,-0.31
577.64,-0.25
583.41,-0.19
589.25,-0.12
595.14,-0.06
601.09,-0.02
607.10,0.02
613.17,0.05
619.30,0.10
625.50,0.10
631.75,0.10
638.07,0.14
644.45,0.14
650.89,0.10
657.40,0.10
663.98,0.07
670.62,0.02
677.32,-0.04
684.10,-0.11
690.94,-0.19
697.85,-0.29
704.83,-0.36
711.87,-0.47
718.99,-0.53
726.18,-0.61
733.44,-0.67
740.78,-0.71
748.19,-0.74
755.67,-0.74
763.23,-0.74
770.86,-0.72
778.57,-0.67
786.35,-0.62
794.22,-0.56
802.16,-0.46
810.18,-0.37
818.28,-0.26
826.46,-0.15
834.73,-0.04
843.08,0.06
851.51,0.17
860.02,0.27
868.62,0.37
877.31,0.45
886.08,0.50
894.94,0.54
903.89,0.56
912.93,0.56
922.06,0.56
931.28,0.52
940.59,0.48
950.00,0.43
959.50,0.37
969.09,0.29
978.78,0.20
988.57,0.11
998.46,0.02
1008.44,-0.08
1018.53,-0.19
1028.71,-0.25
1039.00,-0.34
1049.39,-0.40
1059.88,-0.46
1070.48,-0.51
1081.19,-0.55
1092.00,-0.55
1102.92,-0.55
1113.95,-0.56
1125.09,-0.55
1136.34,-0.55
1147.70,-0.55
1159.18,-0.55
1170.77,-0.55
1182.48,-0.60
1194.30,-0.64
1206.25,-0.67
1218.31,-0.75
1230.49,-0.82
1242.80,-0.90
1255.22,-0.98
1267.78,-1.06
1280.45,-1.13
1293.26,-1.19
1306.19,-1.23
1319.25,-1.25
1332.45,-1.30
1345.77,-1.30
1359.23,-1.30
1372.82,-1.32
1386.55,-1.30
1400.41,-1.30
1414.42,-1.30
1428.56,-1.30
1442.85,-1.28
1457.28,-1.25
1471.85,-1.19
1486.57,-1.14
1501.43,-1.09
1516.45,-1.03
1531.61,-0.95
1546.93,-0.90
1562.40,-0.83
1578.02,-0.77
1593.80,-0.73
1609.74,-0.68
1625.84,-0.63
1642.10,-0.56
1658.52,-0.49
1675.10,-0.42
1691.85,-0.34
1708.77,-0.26
1725.86,-0.18
1743.12,-0.08
1760.55,-0.01
1778.15,0.10
1795.94,0.18
1813.90,0.31
1832.03,0.44
1850.36,0.58
1868.86,0.71
1887.55,0.86
1906.42,1.02
1925.49,1.17
1944.74,1.35
1964.19,1.52
1983.83,1.69
2003.67,1.87
2023.71,2.04
2043.94,2.23
2064.38,2.42
2085.03,2.62
2105.88,2.84
2126.94,3.03
2148.20,3.25
