frequency,raw
20,-20.50
21,-19.40
22,-18.08
23,-16.46
24,-14.53
25,-13.76
26,-13.20
27,-13.20
28,-13.43
29,-14.27
30,-15.26
31,-15.79
32,-16.07
33,-16.58
34,-16.45
35,-15.97
36,-15.49
37,-14.87
38,-14.27
39,-13.77
40,-12.95
41,-12.39
42,-11.69
43,-11.21
44,-10.80
45,-10.45
46,-10.12
47,-9.80
48,-9.63
49,-9.50
50,-9.31
51,-9.31
52,-9.14
53,-8.98
54,-8.66
55,-8.52
56,-8.34
57,-8.19
58,-7.97
59,-7.69
60,-7.53
61,-7.26
62,-7.07
63,-6.75
64,-6.55
65,-6.38
66,-6.21
67,-6.01
68,-5.71
69,-5.54
70,-5.42
71,-5.35
72,-5.09
73,-5.07
74,-4.91
75,-4.77
76,-4.77
77,-4.49
78,-4.44
79,-4.44
80,-4.44
81,-4.38
82,-4.24
83,-4.12
84,-4.12
85,-4.12
86,-4.12
87,-4.06
88,-3.93
89,-3.80
90,-3.79
91,-3.79
92,-3.79
93,-3.79
94,-3.67
95,-3.55
96,-3.47
97,-3.47
98,-3.47
99,-3.47
100,-3.47
101,-3.47
102,-3.47
104,-3.47
105,-3.40
106,-3.29
107,-3.18
108,-3.15
109,-3.15
110,-3.15
111,-3.15
112,-3.15
113,-3.15
114,-3.15
115,-3.15
117,-3.15
118,-3.15
119,-3.15
120,-3.15
121,-3.15
123,-3.15
124,-3.15
125,-3.15
126,-3.15
128,-3.15
129,-3.15
130,-3.15
131,-3.15
133,-3.15
134,-3.15
135,-3.15
137,-3.15
138,-3.15
140,-3.15
141,-3.15
142,-3.15
144,-3.15
145,-3.15
147,-3.15
148,-3.15
150,-3.15
151,-3.15
153,-3.15
154,-3.15
156,-3.15
157,-3.15
159,-3.15
160,-3.15
162,-3.15
164,-3.15
165,-3.15
167,-3.15
169,-3.15
170,-3.15
172,-3.15
174,-3.15
175,-3.15
177,-3.15
179,-3.15
181,-3.15
183,-3.15
184,-3.15
186,-3.15
188,-3.15
190,-3.15
192,-3.15
194,-3.15
196,-3.15
198,-3.15
200,-3.15
202,-3.15
204,-3.15
206,-3.15
208,-3.15
210,-3.15
212,-3.15
214,-3.15
216,-3.15
218,-3.15
221,-3.15
223,-3.15
225,-3.15
227,-3.15
229,-3.15
232,-3.15
234,-3.15
236,-3.15
239,-3.27
241,-3.31
244,-3.34
246,-3.43
248,-3.47
251,-3.47
253,-3.47
256,-3.47
259,-3.47
261,-3.47
264,-3.47
266,-3.47
269,-3.47
272,-3.47
274,-3.47
277,-3.47
280,-3.47
283,-3.47
286,-3.47
288,-3.47
291,-3.40
294,-3.31
297,-3.31
300,-3.22
303,-3.15
306,-3.15
309,-3.15
312,-3.15
316,-3.15
319,-3.15
322,-3.15
325,-3.15
328,-3.15
332,-3.15
335,-3.15
338,-3.15
342,-3.15
345,-3.15
349,-3.15
352,-3.15
356,-3.15
359,-3.15
363,-3.15
366,-3.15
370,-3.15
374,-3.15
377,-3.15
381,-3.15
385,-3.15
389,-3.15
393,-3.15
397,-3.15
401,-3.15
405,-3.15
409,-3.12
413,-3.01
417,-2.98
421,-2.96
425,-2.85
430,-2.82
434,-2.82
438,-2.82
443,-2.82
447,-2.82
451,-2.82
456,-2.82
460,-2.82
465,-2.82
470,-2.82
474,-2.82
479,-2.82
484,-2.82
489,-2.82
494,-2.82
499,-2.82
504,-2.82
509,-2.82
514,-2.82
519,-2.82
524,-2.82
529,-2.82
535,-2.82
540,-2.82
545,-2.82
551,-2.82
556,-2.82
562,-2.82
568,-2.82
573,-2.82
579,-2.82
585,-2.81
591,-2.70
596,-2.66
602,-2.65
608,-2.54
615,-2.50
621,-2.50
627,-2.50
633,-2.50
639,-2.50
646,-2.50
652,-2.50
659,-2.50
665,-2.50
672,-2.50
679,-2.43
686,-2.31
692,-2.21
699,-2.17
706,-2.17
713,-2.17
721,-2.17
728,-2.17
735,-2.17
742,-2.07
750,-1.95
757,-1.85
765,-1.85
773,-1.85
780,-1.85
788,-1.85
796,-1.85
804,-1.81
812,-1.70
820,-1.59
828,-1.52
837,-1.52
845,-1.42
853,-1.31
862,-1.20
871,-1.20
879,-1.13
888,-1.02
897,-0.90
906,-0.88
915,-0.84
924,-0.73
933,-0.62
943,-0.55
952,-0.55
962,-0.32
971,-0.23
981,-0.22
991,-0.10
1001,0.01
1011,0.12
1021,0.23
1031,0.34
1041,0.45
1052,0.57
1062,0.68
1073,0.85
1084,1.07
1094,1.07
1105,1.18
1116,1.41
1128,1.65
1139,1.79
1150,1.92
1162,2.16
1173,2.29
1185,2.44
1197,2.67
1209,2.89
1221,3.11
1233,3.34
1246,3.57
1258,3.79
1271,4.02
1283,4.23
1296,4.54
1309,4.85
1322,5.07
1335,5.29
1349,5.53
1362,5.75
1376,6.18
1390,6.58
1404,6.92
1418,7.26
1432,7.53
1446,7.77
1461,8.24
1475,8.67
1490,9.10
1505,9.44
1520,9.86
1535,10.27
1550,10.60
1566,11.05
1582,11.51
1597,11.93
1613,12.38
1629,12.89
1646,13.44
1662,13.77
1679,14.20
1696,14.62
1713,14.96
1730,15.38
1747,15.79
1764,16.11
1782,16.56
1800,16.91
1818,17.13
1836,17.35
1854,17.57
1873,17.82
1892,18.16
1911,18.34
1930,18.45
1949,18.56
1969,18.77
1988,18.91
2008,18.91
2028,19.11
2048,19.23
2069,19.23
2090,19.23
2111,19.23
2132,19.23
2153,19.23
2175,19.23
2196,19.17
2218,18.95
2240,18.91
2263,18.91
2285,18.91
2308,18.80
2331,18.69
2355,18.58
2378,18.58
2402,18.58
2426,18.58
2450,18.58
2475,18.50
2500,18.39
2525,18.28
2550,18.26
2575,18.26
2601,18.26
2627,18.26
2653,18.26
2680,18.26
2707,18.26
2734,18.19
2761,18.08
2789,17.96
2817,17.93
2845,17.93
2873,17.93
2902,17.93
2931,17.84
2960,17.62
2990,17.61
3020,17.55
