frequency,raw
20,-22.93
21,-21.99
22,-21.37
23,-20.70
24,-20.06
25,-19.60
26,-18.99
27,-18.57
28,-18.09
29,-17.62
30,-17.22
31,-16.93
32,-16.61
33,-16.28
34,-15.96
35,-15.63
36,-15.31
37,-14.98
38,-14.66
39,-14.42
40,-14.25
41,-14.01
42,-13.69
43,-13.48
44,-13.36
45,-13.04
46,-12.88
47,-12.71
48,-12.40
49,-12.33
50,-12.10
51,-12.01
52,-11.74
53,-11.60
54,-11.42
55,-11.27
56,-11.09
57,-11.09
58,-10.77
59,-10.71
60,-10.52
61,-10.44
62,-10.32
63,-10.14
64,-10.12
65,-9.95
66,-9.79
67,-9.77
68,-9.60
69,-9.47
70,-9.47
71,-9.43
72,-9.28
73,-9.15
74,-9.15
75,-9.13
76,-8.84
77,-8.82
78,-8.82
79,-8.72
80,-8.57
81,-8.50
82,-8.50
83,-8.48
84,-8.35
85,-8.21
86,-8.17
87,-8.11
88,-7.98
89,-7.86
90,-7.85
91,-7.85
92,-7.81
93,-7.68
94,-7.56
95,-7.52
96,-7.52
97,-7.52
98,-7.52
99,-7.41
100,-7.20
101,-7.20
102,-7.20
104,-7.20
105,-7.12
106,-7.02
107,-6.91
108,-6.88
109,-6.88
110,-6.88
111,-6.88
112,-6.88
113,-6.78
114,-6.68
115,-6.58
117,-6.55
118,-6.55
119,-6.52
120,-6.43
121,-6.33
123,-6.23
124,-6.23
125,-6.23
126,-6.23
128,-6.19
129,-6.10
130,-6.01
131,-5.92
133,-5.90
134,-5.90
135,-5.90
137,-5.90
138,-5.82
140,-5.74
141,-5.74
142,-5.66
144,-5.58
145,-5.58
147,-5.58
148,-5.58
150,-5.58
151,-5.58
153,-5.47
154,-5.39
156,-5.25
157,-5.25
159,-5.25
160,-5.25
162,-5.25
164,-5.25
165,-5.25
167,-5.13
169,-4.99
170,-4.93
172,-4.93
174,-4.93
175,-4.93
177,-4.93
179,-4.93
181,-4.87
183,-4.77
184,-4.77
186,-4.72
188,-4.61
190,-4.61
192,-4.61
194,-4.61
196,-4.61
198,-4.61
200,-4.61
202,-4.61
204,-4.61
206,-4.54
208,-4.43
210,-4.33
212,-4.28
214,-4.28
216,-4.28
218,-4.28
221,-4.28
223,-4.28
225,-4.28
227,-4.26
229,-4.16
232,-4.12
234,-4.08
236,-3.98
239,-3.96
241,-3.96
244,-3.96
246,-3.96
248,-3.96
251,-3.96
253,-3.96
256,-3.87
259,-3.79
261,-3.79
264,-3.69
266,-3.63
269,-3.63
272,-3.63
274,-3.63
277,-3.63
280,-3.63
283,-3.63
286,-3.63
288,-3.63
291,-3.63
294,-3.61
297,-3.49
300,-3.47
303,-3.43
306,-3.32
309,-3.31
312,-3.31
316,-3.31
319,-3.31
322,-3.31
325,-3.31
328,-3.31
332,-3.31
335,-3.31
338,-3.31
342,-3.31
345,-3.31
349,-3.31
352,-3.31
356,-3.31
359,-3.31
363,-3.31
366,-3.31
370,-3.28
374,-3.16
377,-3.07
381,-2.98
385,-2.98
389,-3.09
393,-3.09
397,-2.98
401,-2.98
405,-2.98
409,-2.98
413,-2.98
417,-2.98
421,-2.98
425,-2.98
430,-2.98
434,-2.98
438,-2.98
443,-2.98
447,-2.98
451,-2.98
456,-2.98
460,-2.98
465,-2.98
470,-2.98
474,-2.92
479,-2.82
484,-2.82
489,-2.73
494,-2.71
499,-2.82
504,-2.71
509,-2.66
514,-2.66
519,-2.66
524,-2.66
529,-2.66
535,-2.66
540,-2.66
545,-2.66
551,-2.66
556,-2.66
562,-2.61
568,-2.50
573,-2.40
579,-2.34
585,-2.34
591,-2.34
596,-2.34
602,-2.33
608,-2.21
615,-2.08
621,-2.01
627,-2.01
633,-2.01
639,-2.01
646,-2.01
652,-1.91
659,-1.79
665,-1.69
672,-1.69
679,-1.69
686,-1.69
692,-1.69
699,-1.69
706,-1.69
713,-1.69
721,-1.59
728,-1.52
735,-1.52
742,-1.42
750,-1.36
757,-1.36
765,-1.36
773,-1.36
780,-1.36
788,-1.36
796,-1.36
804,-1.36
812,-1.36
820,-1.36
828,-1.32
837,-1.20
845,-1.09
853,-1.04
862,-1.04
871,-1.04
879,-1.04
888,-1.02
897,-0.90
906,-0.79
915,-0.71
924,-0.71
933,-0.62
943,-0.50
952,-0.39
962,-0.39
971,-0.33
981,-0.22
991,-0.10
1001,0.01
1011,0.12
1021,0.23
1031,0.26
1041,0.32
1052,0.56
1062,0.58
1073,0.68
1084,0.91
1094,1.01
1105,1.13
1116,1.24
1128,1.36
1139,1.47
1150,1.56
1162,1.56
1173,1.64
1185,1.75
1197,1.87
1209,1.88
1221,1.88
1233,1.88
1246,1.88
1258,1.88
1271,1.88
1283,1.88
1296,1.88
1309,1.88
1322,1.88
1335,1.88
1349,1.88
1362,1.88
1376,1.88
1390,1.88
1404,1.88
1418,1.88
1432,1.88
1446,1.88
1461,1.88
1475,1.81
1490,1.69
1505,1.58
1520,1.56
1535,1.56
1550,1.56
1566,1.35
1582,1.23
1597,1.23
1613,1.12
1629,1.01
1646,0.87
1662,0.66
1679,0.43
1696,0.23
1713,0.12
1730,-0.09
1747,-0.35
1764,-0.68
1782,-1.02
1800,-1.31
1818,-1.54
1836,-1.87
1854,-2.20
1873,-2.55
1892,-2.89
1911,-3.23
1930,-3.59
1949,-4.03
1969,-4.49
1988,-4.89
2008,-5.23
2028,-5.56
2048,-5.95
2069,-6.40
2090,-6.63
2111,-6.99
2132,-7.42
2153,-7.75
2175,-8.10
2196,-8.39
2218,-8.62
2240,-8.84
2263,-9.07
2285,-9.29
2308,-9.52
2331,-9.74
2355,-9.96
2378,-10.07
2402,-10.26
2426,-10.50
2450,-10.83
2475,-11.09
2500,-11.35
2525,-11.69
2550,-12.02
2575,-12.40
2601,-12.85
2627,-13.19
2653,-13.53
2680,-13.88
2707,-14.33
2734,-14.71
2761,-15.06
2789,-15.52
2817,-15.97
2845,-16.48
2873,-17.15
2902,-17.73
2931,-18.29
2960,-18.85
2990,-19.53
3020,-20.14
3050,-20.69
3080,-21.13
3111,-21.52
3142,-21.79
3174,-21.79
3206,-21.71
3238,-21.49
3270,-21.05
3303,-20.50
3336,-19.98
3369,-19.54
3403,-18.98
3437,-18.41
3471,-17.87
3506,-17.41
3541,-16.97
3576,-16.54
3612,-16.20
3648,-15.78
3685,-15.36
3721,-15.03
3759,-14.69
3796,-14.36
3834,-14.02
3873,-13.68
3911,-13.23
3950,-12.68
3990,-12.22
4030,-11.70
4070,-11.14
4111,-10.58
4152,-10.01
4193,-9.46
4235,-8.90
4278,-8.43
4321,-8.02
4364,-7.69
4407,-7.25
4451,-6.92
4496,-6.69
4541,-6.47
4586,-6.24
4632,-6.04
4679,-5.93
4725,-5.73
4773,-5.54
4820,-5.43
4868,-5.32
4917,-5.25
4966,-5.25
5016,-5.25
5066,-5.25
5117,-5.25
5168,-5.25
5220,-5.33
5272,-5.44
5325,-5.56
5378,-5.58
5432,-5.62
5486,-5.73
5541,-5.84
5596,-5.95
5652,-6.07
5709,-6.18
5766,-6.23
5823,-6.23
5882,-6.23
5940,-6.30
6000,-6.39
6060,-6.39
6120,-6.30
6182,-6.23
6244,-6.23
6306,-6.13
6369,-5.96
6433,-5.74
6497,-5.51
6562,-5.29
6628,-5.06
6694,-4.84
6761,-4.61
6828,-4.39
6897,-4.16
6966,-3.94
7035,-3.75
7106,-3.64
7177,-3.43
7249,-3.31
7321,-3.30
7394,-3.08
7468,-2.98
7543,-2.98
7618,-2.98
7694,-2.98
7771,-2.98
7849,-2.98
7928,-3.08
8007,-3.23
8087,-3.45
8168,-3.68
8250,-3.90
8332,-4.14
8415,-4.70
8499,-5.20
8584,-5.65
8670,-6.10
8757,-6.71
8845,-7.32
8933,-7.77
9022,-8.22
9113,-8.76
9204,-9.43
9296,-9.89
9389,-10.40
9483,-10.96
9577,-11.52
9673,-12.15
9770,-12.81
9868,-13.37
9966,-13.93
10066,-14.49
10167,-15.06
10268,-15.61
10371,-16.13
10475,-16.58
10579,-16.92
10685,-17.15
10792,-17.25
10900,-17.14
11009,-16.88
11119,-16.51
11230,-15.95
11343,-15.38
11456,-14.79
11571,-14.11
11686,-13.54
11803,-12.98
11921,-12.41
12040,-11.85
12161,-11.35
12282,-10.90
12405,-10.45
12529,-10.00
12655,-9.59
12781,-9.37
12909,-9.14
13038,-8.92
13168,-8.69
13300,-8.56
13433,-8.50
13567,-8.50
13703,-8.50
13840,-8.56
13978,-8.68
14118,-8.90
14259,-9.20
14402,-9.56
14546,-10.01
14692,-10.46
14838,-10.91
14987,-11.36
15137,-12.00
15288,-12.72
15441,-13.51
15595,-14.29
15751,-15.14
15909,-16.06
16068,-17.19
16229,-18.31
16391,-19.46
16555,-20.69
16720,-21.84
16888,-22.97
17056,-24.09
17227,-25.11
17399,-26.07
17573,-26.97
17749,-27.65
17926,-28.32
18106,-28.97
18287,-29.30
18470,-29.71
18654,-30.11
18841,-30.34
19029,-30.65
19220,-30.95
19412,-31.17
19606,-31.30
19802,-31.41
20000,-31.52
