frequency,raw
20,-9.54
21,-8.99
22,-8.47
23,-8.01
24,-7.60
25,-7.10
26,-6.74
27,-6.32
28,-5.91
29,-5.65
30,-5.29
31,-4.92
32,-4.56
33,-4.21
34,-4.03
35,-3.71
36,-3.55
37,-3.38
38,-3.38
39,-3.14
40,-3.06
41,-3.06
42,-2.95
43,-2.73
44,-2.73
45,-2.49
46,-2.41
47,-2.17
48,-2.08
49,-1.76
50,-1.63
51,-1.43
52,-1.35
53,-1.13
54,-1.06
55,-0.79
56,-0.79
57,-0.49
58,-0.46
59,-0.41
60,-0.22
61,-0.14
62,-0.01
63,0.17
64,0.19
65,0.36
66,0.51
67,0.51
68,0.55
69,0.71
70,0.84
71,0.84
72,0.90
73,1.16
74,1.16
75,1.17
76,1.32
77,1.46
78,1.48
79,1.48
80,1.57
81,1.71
82,1.81
83,1.81
84,1.81
85,1.81
86,1.90
87,2.03
88,2.13
89,2.13
90,2.13
91,2.13
92,2.13
93,2.14
94,2.26
95,2.38
96,2.46
97,2.46
98,2.46
99,2.46
100,2.46
101,2.46
102,2.46
104,2.46
105,2.46
106,2.46
107,2.46
108,2.46
109,2.46
110,2.46
111,2.46
112,2.46
113,2.46
114,2.46
115,2.46
117,2.46
118,2.46
119,2.46
120,2.46
121,2.46
123,2.46
124,2.46
125,2.46
126,2.46
128,2.46
129,2.46
130,2.46
131,2.46
133,2.46
134,2.46
135,2.46
137,2.46
138,2.46
140,2.46
141,2.46
142,2.46
144,2.46
145,2.46
147,2.46
148,2.46
150,2.46
151,2.46
153,2.46
154,2.46
156,2.46
157,2.46
159,2.46
160,2.46
162,2.46
164,2.46
165,2.46
167,2.46
169,2.46
170,2.46
172,2.46
174,2.46
175,2.46
177,2.46
179,2.46
181,2.46
183,2.46
184,2.46
186,2.46
188,2.46
190,2.46
192,2.46
194,2.46
196,2.46
198,2.46
200,2.46
202,2.46
204,2.46
206,2.39
208,2.29
210,2.29
212,2.23
214,2.13
216,2.13
218,2.13
221,2.13
223,2.13
225,2.13
227,2.13
229,2.13
232,2.13
234,2.13
236,2.13
239,2.01
241,1.92
244,1.81
246,1.81
248,1.81
251,1.81
253,1.81
256,1.81
259,1.81
261,1.81
264,1.81
266,1.81
269,1.81
272,1.81
274,1.81
277,1.81
280,1.81
283,1.81
286,1.81
288,1.81
291,1.81
294,1.81
297,1.81
300,1.81
303,1.81
