frequency,raw
20,-3.73
21,-2.79
22,-2.17
23,-1.51
24,-1.08
25,-0.57
26,-0.12
27,0.32
28,0.71
29,1.11
30,1.37
31,1.70
32,1.94
33,2.27
34,2.58
35,2.75
36,2.92
37,3.21
38,3.35
39,3.56
40,3.65
41,3.89
42,3.89
43,4.10
44,4.21
45,4.21
46,4.37
47,4.54
48,4.54
49,4.60
50,4.83
51,4.86
52,4.86
53,4.86
54,5.05
55,5.19
56,5.19
57,5.19
58,5.21
59,5.40
60,5.51
61,5.51
62,5.51
63,5.51
64,5.51
65,5.51
66,5.53
67,5.70
68,5.83
69,5.80
70,5.71
71,5.83
72,5.83
73,5.83
74,5.83
75,5.83
76,5.83
77,5.83
78,5.83
79,5.83
80,5.83
81,5.83
82,5.83
83,5.85
84,5.98
85,6.12
86,6.16
87,6.16
88,6.16
89,6.16
90,6.16
91,6.16
92,6.16
93,6.16
94,6.16
95,6.16
96,6.16
97,6.16
98,6.16
99,6.22
100,6.31
101,6.20
102,6.16
104,6.16
105,6.16
106,6.16
107,6.16
108,6.16
109,6.16
110,6.16
111,6.16
112,6.16
113,6.16
114,6.16
115,6.16
117,6.16
118,6.16
119,6.16
120,6.16
121,6.16
123,6.16
124,6.16
125,6.16
126,6.16
128,6.12
129,6.03
130,6.00
131,6.00
133,5.85
134,5.83
135,5.83
137,5.83
138,5.83
140,5.83
141,5.83
142,5.83
144,5.83
145,5.83
147,5.83
148,5.83
150,5.83
151,5.83
153,5.83
154,5.83
156,5.83
157,5.83
159,5.78
160,5.71
162,5.78
164,5.83
165,5.83
167,5.83
169,5.83
170,5.83
172,5.70
174,5.67
175,5.67
177,5.54
179,5.51
181,5.51
183,5.51
184,5.51
186,5.51
188,5.51
190,5.51
192,5.51
194,5.51
196,5.51
198,5.51
200,5.51
202,5.51
204,5.51
206,5.51
208,5.51
210,5.51
212,5.45
214,5.35
216,5.35
218,5.29
221,5.19
223,5.19
225,5.19
227,5.19
229,5.19
232,5.19
234,5.19
236,5.19
239,5.19
241,5.19
244,5.19
246,5.19
248,5.19
251,5.16
253,5.07
256,5.02
259,4.97
261,4.88
264,4.86
266,4.86
269,4.86
272,4.86
274,4.86
277,4.86
280,4.86
283,4.86
286,4.82
288,4.74
291,4.63
294,4.54
297,4.54
300,4.54
303,4.54
306,4.54
309,4.54
312,4.54
316,4.54
319,4.54
322,4.46
325,4.35
328,4.25
332,4.21
335,4.21
338,4.21
342,4.21
345,4.21
349,4.21
352,4.21
356,4.21
359,4.21
363,4.21
366,4.21
370,4.21
374,4.21
377,4.21
381,4.18
385,4.06
389,4.05
393,3.99
397,3.89
401,3.89
405,3.89
409,3.89
413,3.89
417,3.89
421,3.89
425,3.89
430,3.79
434,3.68
438,3.58
443,3.56
447,3.56
451,3.56
456,3.56
460,3.51
465,3.39
470,3.27
474,3.24
479,3.24
484,3.24
489,3.24
494,3.19
499,3.08
504,3.08
509,3.02
514,2.92
519,2.92
524,2.92
529,2.92
535,2.92
540,2.92
545,2.89
551,2.77
556,2.67
562,2.59
568,2.59
573,2.59
579,2.59
585,2.59
591,2.59
596,2.59
602,2.58
608,2.47
615,2.43
621,2.39
627,2.28
633,2.27
639,2.27
646,2.27
652,2.27
659,2.27
665,2.27
672,2.15
679,2.03
686,1.94
692,1.94
699,1.94
706,1.94
713,1.94
721,1.94
728,1.94
735,1.94
742,1.84
750,1.72
757,1.62
765,1.62
773,1.62
780,1.62
788,1.62
796,1.62
804,1.58
812,1.47
820,1.36
828,1.29
837,1.29
845,1.29
853,1.24
862,1.12
871,1.00
879,0.97
888,0.97
897,0.97
906,0.80
915,0.64
924,0.64
933,0.55
943,0.43
952,0.32
962,0.32
971,0.26
981,0.15
991,0.03
1001,-0.00
1011,-0.06
1021,-0.28
1031,-0.33
1041,-0.33
1052,-0.33
1062,-0.52
1073,-0.65
1084,-0.65
1094,-0.65
1105,-0.71
1116,-0.82
1128,-0.94
1139,-0.98
1150,-0.98
1162,-0.98
1173,-0.98
1185,-0.98
1197,-0.98
1209,-0.98
1221,-0.93
1233,-0.82
1246,-0.70
1258,-0.65
1271,-0.65
1283,-0.65
1296,-0.65
1309,-0.65
1322,-0.65
1335,-0.74
1349,-0.85
1362,-0.96
1376,-1.08
1390,-1.25
1404,-1.47
1418,-1.70
1432,-1.92
1446,-2.14
1461,-2.37
1475,-2.66
1490,-3.00
1505,-3.34
1520,-3.59
1535,-3.81
1550,-4.03
1566,-4.26
1582,-4.44
1597,-4.54
1613,-4.54
1629,-4.61
1646,-4.69
1662,-4.58
1679,-4.47
1696,-4.32
1713,-4.10
1730,-3.69
1747,-3.33
1764,-3.11
1782,-2.78
1800,-2.44
1818,-2.10
1836,-1.88
1854,-1.66
1873,-1.43
1892,-1.20
1911,-1.06
1930,-0.92
1949,-0.70
1969,-0.46
1988,-0.29
2008,-0.17
2028,0.04
2048,0.26
2069,0.49
2090,0.60
2111,0.78
2132,0.99
2153,1.10
2175,1.21
2196,1.35
2218,1.58
2240,1.62
2263,1.71
2285,1.92
2308,1.94
2331,2.05
2355,2.27
2378,2.27
2402,2.33
2426,2.45
2450,2.56
2475,2.59
2500,2.59
2525,2.59
2550,2.59
2575,2.63
2601,2.75
2627,2.75
2653,2.70
2680,2.59
2707,2.59
2734,2.59
2761,2.59
2789,2.59
2817,2.59
2845,2.59
2873,2.59
2902,2.59
2931,2.59
2960,2.59
2990,2.48
3020,2.37
3050,2.27
3080,2.27
3111,2.27
3142,2.23
3174,2.00
3206,1.94
3238,1.87
3270,1.65
3303,1.62
3336,1.52
3369,1.30
3403,1.29
3437,1.17
3471,0.96
3506,0.85
3541,0.66
3576,0.44
3612,0.21
3648,0.07
3685,-0.11
3721,-0.44
3759,-0.69
3796,-0.91
3834,-1.13
3873,-1.36
3911,-1.58
3950,-1.81
3990,-2.03
4030,-2.33
4070,-2.64
4111,-2.87
4152,-3.01
4193,-3.12
4235,-3.23
4278,-3.44
4321,-3.57
4364,-3.57
4407,-3.57
4451,-3.45
4496,-3.25
4541,-3.25
4586,-3.10
4632,-2.92
4679,-2.92
4725,-2.75
4773,-2.56
4820,-2.45
4868,-2.34
4917,-2.18
4966,-1.95
5016,-1.73
5066,-1.50
5117,-1.27
5168,-1.05
5220,-0.90
5272,-0.76
5325,-0.54
5378,-0.31
5432,-0.09
5486,0.14
5541,0.36
5596,0.68
5652,1.13
5709,1.36
5766,1.71
5823,2.14
5882,2.48
5940,2.82
6000,3.18
6060,3.63
6120,4.08
6182,4.45
6244,4.68
6306,5.11
6369,5.45
6433,5.68
6497,5.90
6562,6.13
6628,6.35
6694,6.58
6761,6.88
6828,7.19
6897,7.41
6966,7.64
7035,7.82
7106,7.93
7177,8.15
7249,8.37
7321,8.59
7394,8.71
7468,8.88
7543,9.08
7618,9.08
7694,9.23
7771,9.40
7849,9.40
7928,9.40
8007,9.40
8087,9.40
8168,9.40
8250,9.40
8332,9.39
8415,9.17
8499,9.08
8584,9.04
8670,8.82
8757,8.59
8845,8.37
8933,8.14
9022,7.92
9113,7.65
9204,7.31
9296,7.08
9389,6.80
9483,6.46
9577,6.13
9673,5.79
9770,5.45
9868,5.12
9966,4.70
10066,4.31
10167,4.09
10268,3.86
10371,3.68
10475,3.57
10579,3.56
10685,3.56
10792,3.56
10900,3.56
11009,3.70
11119,3.93
11230,4.15
11343,4.38
11456,4.57
11571,4.68
11686,4.89
11803,5.11
11921,5.34
12040,5.46
12161,5.63
12282,5.83
12405,5.83
12529,5.83
12655,5.83
12781,5.83
12909,5.67
13038,5.48
13168,5.36
13300,5.16
13433,4.84
13567,4.39
13703,4.05
13840,3.65
13978,3.21
14118,2.88
14259,2.47
14402,2.06
14546,1.84
14692,1.44
14838,1.06
14987,0.84
15137,0.42
15288,0.06
15441,-0.16
15595,-0.60
15751,-0.93
15909,-1.17
16068,-1.51
16229,-1.85
16391,-2.16
16555,-2.38
16720,-2.61
16888,-2.87
17056,-3.20
17227,-3.44
17399,-3.67
17573,-3.89
17749,-4.12
17926,-4.34
18106,-4.57
18287,-4.79
18470,-4.94
18654,-5.08
18841,-5.30
19029,-5.44
19220,-5.52
19412,-5.52
19606,-5.52
19802,-5.52
20000,-5.52
