frequency,raw
20,12.23
21,12.17
22,11.91
23,11.91
24,11.91
25,11.66
26,11.58
27,11.58
28,11.51
29,11.26
30,11.26
31,11.26
32,11.10
33,10.93
34,10.93
35,10.93
36,10.78
37,10.61
38,10.61
39,10.61
40,10.57
41,10.29
42,10.29
43,10.29
44,10.14
45,9.96
46,9.96
47,9.96
48,9.96
49,9.90
50,9.67
51,9.64
52,9.64
53,9.64
54,9.61
55,9.40
56,9.31
57,9.31
58,9.31
59,9.26
60,9.07
61,8.99
62,8.99
63,8.99
64,8.99
65,8.98
66,8.80
67,8.66
68,8.66
69,8.66
70,8.66
71,8.66
72,8.63
73,8.48
74,8.34
75,8.34
76,8.34
77,8.34
78,8.34
79,8.23
80,8.18
81,8.11
82,8.01
83,8.01
84,8.01
85,8.01
86,7.92
87,7.79
88,7.69
89,7.69
90,7.69
91,7.69
92,7.69
93,7.69
94,7.69
95,7.61
96,7.53
97,7.53
98,7.42
99,7.37
100,7.37
101,7.37
102,7.37
104,7.37
105,7.37
106,7.35
107,7.24
108,7.13
109,7.04
110,7.04
111,7.04
112,7.04
113,7.04
114,7.04
115,7.04
117,6.88
118,6.78
119,6.72
120,6.72
121,6.72
123,6.72
124,6.72
125,6.72
126,6.72
128,6.68
129,6.59
130,6.50
131,6.41
133,6.39
134,6.39
135,6.39
137,6.39
138,6.39
140,6.39
141,6.39
142,6.31
144,6.16
145,6.08
147,6.07
148,6.07
150,6.07
151,6.07
153,6.07
154,6.07
156,6.07
157,6.07
159,6.07
160,6.07
162,5.96
164,5.82
165,5.75
167,5.74
169,5.74
170,5.74
172,5.74
174,5.74
175,5.74
177,5.74
179,5.65
181,5.52
183,5.42
184,5.42
186,5.42
188,5.42
190,5.42
192,5.42
194,5.42
196,5.42
198,5.42
200,5.37
202,5.25
204,5.14
206,5.10
208,5.10
210,5.10
212,5.10
214,5.10
216,5.10
218,5.10
221,5.05
223,4.95
225,4.85
227,4.77
229,4.77
232,4.77
234,4.77
236,4.77
239,4.77
241,4.72
244,4.61
246,4.61
248,4.56
251,4.45
253,4.45
256,4.45
259,4.45
261,4.45
264,4.45
266,4.42
269,4.29
272,4.16
274,4.12
277,4.12
280,4.12
283,4.12
286,4.12
288,4.12
291,4.12
294,4.10
297,3.98
300,4.05
303,4.12
306,4.12
309,4.12
312,4.12
316,4.12
319,4.12
322,4.12
325,4.12
328,4.12
332,4.12
335,4.12
338,4.12
342,4.12
345,4.12
349,4.12
352,4.12
356,4.12
359,4.12
363,4.12
366,4.12
370,4.12
374,4.12
377,4.05
381,3.93
385,3.81
389,3.80
393,3.80
397,3.80
401,3.80
405,3.80
409,3.80
413,3.80
417,3.72
421,3.61
425,3.50
430,3.47
434,3.47
438,3.47
443,3.47
447,3.42
451,3.32
456,3.19
460,3.15
465,3.15
470,3.15
474,3.15
479,3.13
484,3.01
489,2.89
494,2.83
499,2.83
504,2.83
509,2.83
514,2.83
519,2.83
524,2.83
529,2.82
535,2.69
540,2.58
545,2.50
551,2.50
556,2.50
562,2.50
568,2.50
573,2.40
579,2.28
585,2.18
591,2.18
596,2.18
602,2.18
608,2.18
615,2.18
621,2.18
627,2.18
633,2.00
639,1.85
646,1.85
652,1.85
659,1.85
665,1.85
672,1.74
679,1.62
686,1.53
692,1.53
699,1.53
706,1.53
713,1.53
721,1.43
728,1.32
735,1.21
742,1.20
750,1.20
757,1.20
765,1.08
773,0.97
780,0.88
788,0.88
796,0.88
804,0.88
812,0.88
820,0.88
828,0.88
837,0.88
845,0.77
853,0.66
862,0.56
871,0.56
879,0.56
888,0.56
897,0.56
906,0.47
915,0.36
924,0.25
933,0.23
943,0.23
952,0.23
962,0.23
971,0.17
981,0.07
991,0.07
1001,-0.01
1011,-0.09
1021,-0.09
1031,-0.09
1041,-0.09
1052,-0.09
1062,-0.19
1073,-0.31
1084,-0.42
1094,-0.42
1105,-0.42
1116,-0.42
1128,-0.42
1139,-0.49
1150,-0.60
1162,-0.72
1173,-0.74
1185,-0.74
1197,-0.74
1209,-0.74
1221,-0.74
1233,-0.74
1246,-0.86
1258,-0.97
1271,-1.07
1283,-1.07
1296,-1.07
1309,-1.07
1322,-1.07
1335,-1.07
1349,-1.11
1362,-1.21
1376,-1.33
1390,-1.39
1404,-1.39
1418,-1.39
1432,-1.39
1446,-1.39
1461,-1.39
1475,-1.39
1490,-1.42
1505,-1.53
1520,-1.64
1535,-1.71
1550,-1.71
1566,-1.71
1582,-1.71
1597,-1.71
1613,-1.71
1629,-1.71
1646,-1.71
1662,-1.71
1679,-1.71
1696,-1.71
1713,-1.71
1730,-1.71
1747,-1.76
1764,-1.86
1782,-1.98
1800,-2.04
1818,-2.04
1836,-2.04
1854,-2.04
1873,-2.04
1892,-2.04
1911,-2.04
1930,-2.04
1949,-2.04
1969,-2.04
1988,-2.04
2008,-2.04
2028,-2.04
2048,-2.04
2069,-2.04
2090,-2.04
2111,-2.04
2132,-2.04
2153,-2.04
2175,-2.04
2196,-2.04
2218,-2.04
2240,-2.04
2263,-2.04
2285,-2.04
2308,-2.04
2331,-2.04
2355,-2.04
2378,-2.04
2402,-2.04
2426,-2.04
2450,-2.04
2475,-2.04
2500,-2.04
2525,-2.04
2550,-2.04
2575,-2.04
2601,-2.04
2627,-2.04
2653,-2.04
2680,-2.04
2707,-2.04
2734,-2.04
2761,-2.04
2789,-2.04
2817,-2.04
2845,-2.04
2873,-2.04
2902,-2.04
2931,-2.04
2960,-2.04
2990,-2.04
3020,-2.10
3050,-2.21
3080,-2.32
3111,-2.36
3142,-2.36
3174,-2.36
3206,-2.36
3238,-2.36
3270,-2.36
3303,-2.36
3336,-2.46
3369,-2.68
3403,-2.69
3437,-2.69
3471,-2.69
3506,-2.69
3541,-2.69
3576,-2.71
3612,-2.82
3648,-2.93
3685,-3.01
3721,-3.01
3759,-3.01
3796,-3.01
3834,-3.01
