frequency,raw
20.00,-0.73
20.20,-0.67
20.40,-0.60
20.61,-0.53
20.81,-0.46
21.02,-0.40
21.23,-0.33
21.44,-0.26
21.66,-0.20
21.87,-0.13
22.09,-0.07
22.31,-0.00
22.54,0.06
22.76,0.12
22.99,0.17
23.22,0.23
23.45,0.30
23.69,0.37
23.92,0.44
24.16,0.50
24.40,0.55
24.65,0.60
24.89,0.67
25.14,0.73
25.39,0.79
25.65,0.85
25.91,0.90
26.16,0.95
26.43,1.00
26.69,1.05
26.96,1.11
27.23,1.16
27.50,1.22
27.77,1.27
28.05,1.32
28.33,1.36
28.62,1.41
28.90,1.47
29.19,1.53
29.48,1.59
29.78,1.63
30.08,1.67
30.38,1.71
30.68,1.75
30.99,1.80
31.30,1.85
31.61,1.89
31.93,1.93
32.24,1.97
32.57,2.00
32.89,2.04
33.22,2.07
33.55,2.11
33.89,2.14
34.23,2.17
34.57,2.21
34.92,2.25
35.27,2.30
35.62,2.35
35.97,2.39
36.33,2.42
36.70,2.45
37.06,2.47
37.43,2.49
37.81,2.53
38.19,2.57
38.57,2.61
38.95,2.65
39.34,2.69
39.74,2.73
40.14,2.76
40.54,2.78
40.94,2.80
41.35,2.83
41.76,2.85
42.18,2.87
42.60,2.89
43.03,2.90
43.46,2.91
43.90,2.92
44.33,2.93
44.78,2.94
45.23,2.95
45.68,2.97
46.13,3.00
46.60,3.03
47.06,3.06
47.53,3.09
48.01,3.12
48.49,3.15
48.97,3.18
49.46,3.21
49.96,3.23
50.46,3.25
50.96,3.26
51.47,3.26
51.99,3.25
52.51,3.24
53.03,3.22
53.56,3.22
54.10,3.23
54.64,3.25
55.18,3.27
55.74,3.29
56.29,3.32
56.86,3.35
57.42,3.38
58.00,3.41
58.58,3.44
59.16,3.47
59.76,3.50
60.35,3.53
60.96,3.55
61.57,3.57
62.18,3.58
62.80,3.59
63.43,3.59
64.07,3.58
64.71,3.57
65.35,3.57
66.01,3.57
66.67,3.57
67.33,3.57
68.01,3.57
68.69,3.57
69.37,3.57
70.07,3.57
70.77,3.57
71.48,3.57
72.19,3.57
72.91,3.57
73.64,3.57
74.38,3.57
75.12,3.57
75.87,3.57
76.63,3.57
77.40,3.57
78.17,3.57
78.95,3.57
79.74,3.57
80.54,3.57
81.35,3.57
82.16,3.57
82.98,3.57
83.81,3.57
84.65,3.57
85.50,3.57
86.35,3.58
87.22,3.58
88.09,3.59
88.97,3.58
89.86,3.58
90.76,3.56
91.66,3.54
92.58,3.52
93.51,3.50
94.44,3.47
95.39,3.44
96.34,3.41
97.30,3.37
98.28,3.34
99.26,3.32
100.25,3.29
101.25,3.27
102.27,3.25
103.29,3.23
104.32,3.22
105.37,3.22
106.42,3.22
107.48,3.23
108.56,3.24
109.64,3.25
110.74,3.25
111.85,3.26
112.97,3.26
114.10,3.26
115.24,3.25
116.39,3.23
117.55,3.21
118.73,3.18
119.92,3.16
121.12,3.13
122.33,3.10
123.55,3.07
124.79,3.04
126.03,3.01
127.29,2.98
128.57,2.95
129.85,2.93
131.15,2.91
132.46,2.91
133.79,2.91
135.12,2.92
136.48,2.93
137.84,2.93
139.22,2.93
140.61,2.92
142.02,2.90
143.44,2.87
144.87,2.85
146.32,2.82
147.78,2.79
149.26,2.76
150.75,2.73
152.26,2.70
153.78,2.67
155.32,2.64
156.88,2.62
158.44,2.60
160.03,2.58
161.63,2.58
163.24,2.59
164.88,2.60
166.53,2.60
168.19,2.60
169.87,2.59
171.57,2.57
173.29,2.54
175.02,2.52
176.77,2.49
178.54,2.46
180.32,2.42
182.13,2.39
183.95,2.36
185.79,2.33
187.65,2.31
189.52,2.29
191.42,2.27
193.33,2.25
195.27,2.25
197.22,2.25
199.19,2.27
201.18,2.28
203.19,2.29
205.23,2.28
207.28,2.27
209.35,2.25
211.44,2.22
213.56,2.20
215.69,2.17
217.85,2.14
220.03,2.11
222.23,2.08
224.45,2.05
226.70,2.02
228.96,1.99
231.25,1.97
233.57,1.95
235.90,1.93
238.26,1.92
240.64,1.92
243.05,1.93
245.48,1.93
247.93,1.94
250.41,1.94
252.92,1.94
255.45,1.94
258.00,1.94
260.58,1.94
263.19,1.94
265.82,1.94
268.48,1.94
271.16,1.94
273.87,1.94
276.61,1.94
279.38,1.94
282.17,1.94
284.99,1.94
287.84,1.94
290.72,1.94
293.63,1.94
296.57,1.94
299.53,1.94
302.53,1.94
305.55,1.94
308.61,1.94
311.69,1.94
314.81,1.94
317.96,1.94
321.14,1.94
324.35,1.94
327.59,1.94
330.87,1.94
334.18,1.94
337.52,1.94
340.90,1.94
344.30,1.94
347.75,1.94
351.23,1.94
354.74,1.94
358.28,1.95
361.87,1.95
365.49,1.96
369.14,1.96
372.83,1.96
376.56,1.96
380.33,1.95
384.13,1.93
387.97,1.91
391.85,1.88
395.77,1.85
399.73,1.82
403.72,1.79
407.76,1.76
411.84,1.73
415.96,1.70
420.12,1.68
424.32,1.65
428.56,1.63
432.85,1.61
437.18,1.60
441.55,1.60
445.96,1.60
450.42,1.61
454.93,1.61
459.48,1.62
464.07,1.62
468.71,1.62
473.40,1.63
478.13,1.64
482.91,1.64
487.74,1.64
492.62,1.63
497.55,1.62
502.52,1.60
507.55,1.58
512.62,1.55
517.75,1.52
522.93,1.49
528.16,1.46
533.44,1.43
538.77,1.41
544.16,1.39
549.60,1.37
555.10,1.34
560.65,1.31
566.25,1.28
571.92,1.25
577.64,1.23
583.41,1.21
589.25,1.19
595.14,1.16
601.09,1.14
607.10,1.11
613.17,1.08
619.30,1.06
625.50,1.04
631.75,1.01
638.07,0.99
644.45,0.97
650.89,0.94
657.40,0.92
663.98,0.90
670.62,0.88
677.32,0.86
684.10,0.84
690.94,0.81
697.85,0.79
704.83,0.76
711.87,0.73
718.99,0.69
726.18,0.66
733.44,0.62
740.78,0.58
748.19,0.54
755.67,0.51
763.23,0.49
770.86,0.46
778.57,0.44
786.35,0.41
794.22,0.38
802.16,0.36
810.18,0.34
818.28,0.32
826.46,0.31
834.73,0.31
843.08,0.32
851.51,0.33
860.02,0.33
868.62,0.33
877.31,0.31
886.08,0.29
894.94,0.26
903.89,0.23
912.93,0.20
922.06,0.17
931.28,0.14
940.59,0.11
950.00,0.08
959.50,0.05
969.09,0.04
978.78,0.02
988.57,0.01
998.46,0.00
1008.44,-0.01
1018.53,-0.02
1028.71,-0.03
1039.00,-0.04
1049.39,-0.07
1059.88,-0.09
1070.48,-0.12
1081.19,-0.16
1092.00,-0.19
1102.92,-0.22
1113.95,-0.25
1125.09,-0.28
1136.34,-0.30
1147.70,-0.32
1159.18,-0.34
1170.77,-0.35
1182.48,-0.35
1194.30,-0.35
1206.25,-0.34
1218.31,-0.33
1230.49,-0.33
1242.80,-0.33
1255.22,-0.33
1267.78,-0.33
1280.45,-0.33
1293.26,-0.34
1306.19,-0.35
1319.25,-0.35
1332.45,-0.34
1345.77,-0.33
1359.23,-0.31
1372.82,-0.29
1386.55,-0.26
1400.41,-0.24
1414.42,-0.21
1428.56,-0.18
1442.85,-0.16
1457.28,-0.14
1471.85,-0.11
1486.57,-0.07
1501.43,-0.03
1516.45,0.00
1531.61,0.04
1546.93,0.08
1562.40,0.10
1578.02,0.12
1593.80,0.14
1609.74,0.17
1625.84,0.21
1642.10,0.25
1658.52,0.30
1675.10,0.34
1691.85,0.39
1708.77,0.44
1725.86,0.48
1743.12,0.51
1760.55,0.54
1778.15,0.55
1795.94,0.56
1813.90,0.58
1832.03,0.61
1850.36,0.64
1868.86,0.67
1887.55,0.69
1906.42,0.72
1925.49,0.74
1944.74,0.76
1964.19,0.78
1983.83,0.81
2003.67,0.85
2023.71,0.88
2043.94,0.90
2064.38,0.93
2085.03,0.95
2105.88,0.97
2126.94,0.99
2148.20,0.99
2169.69,0.99
2191.38,0.99
2213.30,0.98
2235.43,0.97
2257.78,0.97
2280.36,0.97
2303.17,0.97
2326.20,0.97
2349.46,0.97
2372.95,0.97
2396.68,0.97
2420.65,0.97
2444.86,0.97
2469.31,0.97
2494.00,0.97
2518.94,0.97
2544.13,0.97
2569.57,0.98
2595.27,0.99
2621.22,0.99
2647.43,0.99
2673.90,0.99
2700.64,0.98
2727.65,0.96
2754.93,0.94
2782.48,0.91
2810.30,0.88
2838.40,0.85
2866.79,0.83
2895.46,0.81
2924.41,0.78
2953.65,0.75
2983.19,0.72
3013.02,0.68
3043.15,0.64
3073.58,0.61
3104.32,0.58
3135.36,0.55
3166.72,0.52
3198.38,0.48
3230.37,0.45
3262.67,0.40
3295.30,0.34
3328.25,0.29
3361.53,0.24
3395.15,0.19
3429.10,0.14
3463.39,0.10
3498.03,0.06
3533.01,0.02
3568.34,-0.01
3604.02,-0.03
3640.06,-0.05
3676.46,-0.06
3713.22,-0.05
3750.36,-0.04
3787.86,0.00
3825.74,0.06
3864.00,0.13
3902.64,0.21
3941.66,0.31
3981.08,0.43
4020.89,0.58
4061.10,0.74
4101.71,0.92
4142.73,1.13
4184.15,1.33
4226.00,1.55
4268.26,1.76
4310.94,1.98
4354.05,2.19
4397.59,2.40
4441.56,2.61
4485.98,2.82
4530.84,3.01
4576.15,3.18
4621.91,3.34
4668.13,3.48
4714.81,3.60
4761.96,3.70
4809.58,3.79
4857.67,3.85
4906.25,3.89
4955.31,3.91
5004.87,3.91
5054.91,3.89
5105.46,3.83
5156.52,3.74
5208.08,3.62
5260.16,3.48
5312.77,3.31
5365.89,3.11
5419.55,2.89
5473.75,2.63
5528.49,2.36
5583.77,2.04
5639.61,1.69
5696.00,1.31
5752.96,0.91
5810.49,0.48
5868.60,0.03
5927.28,-0.42
5986.56,-0.88
6046.42,-1.34
6106.89,-1.81
6167.96,-2.27
6229.64,-2.72
6291.93,-3.15
6354.85,-3.56
6418.40,-3.94
6482.58,-4.30
6547.41,-4.65
6612.88,-4.98
6679.01,-5.29
6745.80,-5.60
6813.26,-5.88
6881.39,-6.16
6950.21,-6.44
