frequency,raw
20.00,-6.50
20.20,-6.46
20.40,-6.41
20.61,-6.37
20.81,-6.32
21.02,-6.28
21.23,-6.24
21.44,-6.20
21.66,-6.16
21.87,-6.12
22.09,-6.09
22.31,-6.05
22.54,-6.02
22.76,-5.99
22.99,-5.97
23.22,-5.94
23.45,-5.91
23.69,-5.88
23.92,-5.83
24.16,-5.78
24.40,-5.75
24.65,-5.72
24.89,-5.68
25.14,-5.65
25.39,-5.62
25.65,-5.58
25.91,-5.54
26.16,-5.49
26.43,-5.44
26.69,-5.39
26.96,-5.35
27.23,-5.30
27.50,-5.27
27.77,-5.25
28.05,-5.23
28.33,-5.22
28.62,-5.21
28.90,-5.18
29.19,-5.16
29.48,-5.13
29.78,-5.11
30.08,-5.09
30.38,-5.07
30.68,-5.05
30.99,-5.02
31.30,-4.99
31.61,-4.96
31.93,-4.93
32.24,-4.90
32.57,-4.88
32.89,-4.85
33.22,-4.84
33.55,-4.82
33.89,-4.82
34.23,-4.81
34.57,-4.82
34.92,-4.83
35.27,-4.85
35.62,-4.86
35.97,-4.86
36.33,-4.86
36.70,-4.85
37.06,-4.83
37.43,-4.81
37.81,-4.79
38.19,-4.76
38.57,-4.73
38.95,-4.70
39.34,-4.67
39.74,-4.64
40.14,-4.61
40.54,-4.58
40.94,-4.55
41.35,-4.53
41.76,-4.51
42.18,-4.50
42.60,-4.49
43.03,-4.49
43.46,-4.50
43.90,-4.51
44.33,-4.51
44.78,-4.52
45.23,-4.53
45.68,-4.54
46.13,-4.54
46.60,-4.53
47.06,-4.52
47.53,-4.50
48.01,-4.48
48.49,-4.45
48.97,-4.42
49.46,-4.39
49.96,-4.36
50.46,-4.33
50.96,-4.30
51.47,-4.27
51.99,-4.24
52.51,-4.23
53.03,-4.21
53.56,-4.20
54.10,-4.19
54.64,-4.18
55.18,-4.17
55.74,-4.16
56.29,-4.15
56.86,-4.13
57.42,-4.10
58.00,-4.07
58.58,-4.04
59.16,-4.00
59.76,-3.97
60.35,-3.94
60.96,-3.92
61.57,-3.89
62.18,-3.87
62.80,-3.86
63.43,-3.85
64.07,-3.84
64.71,-3.84
65.35,-3.85
66.01,-3.86
66.67,-3.86
67.33,-3.86
68.01,-3.86
68.69,-3.86
69.37,-3.86
70.07,-3.86
70.77,-3.86
71.48,-3.86
72.19,-3.86
72.91,-3.86
73.64,-3.86
74.38,-3.86
75.12,-3.86
75.87,-3.86
76.63,-3.86
77.40,-3.86
78.17,-3.86
78.95,-3.86
79.74,-3.86
80.54,-3.86
81.35,-3.86
82.16,-3.86
82.98,-3.86
83.81,-3.86
84.65,-3.86
85.50,-3.86
86.35,-3.86
87.22,-3.86
88.09,-3.86
88.97,-3.86
89.86,-3.86
90.76,-3.86
91.66,-3.86
92.58,-3.86
93.51,-3.86
94.44,-3.86
95.39,-3.86
96.34,-3.86
97.30,-3.86
98.28,-3.86
99.26,-3.86
100.25,-3.86
101.25,-3.87
102.27,-3.87
103.29,-3.88
104.32,-3.88
105.37,-3.89
106.42,-3.88
107.48,-3.87
108.56,-3.85
109.64,-3.83
110.74,-3.80
111.85,-3.77
112.97,-3.75
114.10,-3.71
115.24,-3.68
116.39,-3.65
117.55,-3.62
118.73,-3.60
119.92,-3.57
121.12,-3.55
122.33,-3.54
123.55,-3.52
124.79,-3.52
126.03,-3.52
127.29,-3.53
128.57,-3.53
129.85,-3.54
131.15,-3.54
132.46,-3.54
133.79,-3.54
135.12,-3.54
136.48,-3.54
137.84,-3.54
139.22,-3.54
140.61,-3.54
142.02,-3.54
143.44,-3.54
144.87,-3.54
146.32,-3.54
147.78,-3.54
149.26,-3.54
150.75,-3.54
152.26,-3.54
153.78,-3.54
155.32,-3.54
156.88,-3.54
158.44,-3.54
160.03,-3.54
161.63,-3.54
163.24,-3.54
164.88,-3.54
166.53,-3.54
168.19,-3.54
169.87,-3.55
171.57,-3.55
173.29,-3.56
175.02,-3.56
176.77,-3.56
178.54,-3.55
180.32,-3.53
182.13,-3.51
183.95,-3.49
185.79,-3.46
187.65,-3.43
189.52,-3.40
191.42,-3.37
193.33,-3.33
195.27,-3.30
197.22,-3.28
199.19,-3.25
201.18,-3.23
203.19,-3.21
205.23,-3.20
207.28,-3.19
209.35,-3.19
211.44,-3.20
213.56,-3.21
215.69,-3.22
217.85,-3.22
220.03,-3.22
222.23,-3.22
224.45,-3.22
226.70,-3.22
228.96,-3.22
231.25,-3.22
233.57,-3.22
235.90,-3.22
238.26,-3.22
240.64,-3.22
243.05,-3.22
245.48,-3.22
247.93,-3.22
250.41,-3.22
252.92,-3.22
255.45,-3.22
258.00,-3.22
260.58,-3.22
263.19,-3.22
265.82,-3.22
268.48,-3.22
271.16,-3.22
273.87,-3.22
276.61,-3.22
279.38,-3.22
282.17,-3.22
284.99,-3.22
287.84,-3.22
290.72,-3.23
293.63,-3.23
296.57,-3.24
299.53,-3.24
302.53,-3.23
305.55,-3.21
308.61,-3.19
311.69,-3.17
314.81,-3.15
317.96,-3.12
321.14,-3.09
324.35,-3.05
327.59,-3.02
330.87,-2.99
334.18,-2.96
337.52,-2.94
340.90,-2.91
344.30,-2.89
347.75,-2.88
351.23,-2.87
354.74,-2.87
358.28,-2.87
361.87,-2.88
365.49,-2.89
369.14,-2.89
372.83,-2.89
376.56,-2.89
380.33,-2.89
384.13,-2.89
387.97,-2.89
391.85,-2.90
395.77,-2.91
399.73,-2.92
403.72,-2.92
407.76,-2.91
411.84,-2.90
415.96,-2.88
420.12,-2.86
424.32,-2.83
428.56,-2.80
432.85,-2.77
437.18,-2.74
441.55,-2.71
445.96,-2.68
450.42,-2.65
454.93,-2.62
459.48,-2.60
464.07,-2.58
468.71,-2.56
473.40,-2.55
478.13,-2.55
482.91,-2.56
487.74,-2.58
492.62,-2.59
497.55,-2.59
502.52,-2.57
507.55,-2.56
512.62,-2.54
517.75,-2.51
522.93,-2.48
528.16,-2.45
533.44,-2.42
538.77,-2.39
544.16,-2.36
549.60,-2.33
555.10,-2.31
560.65,-2.29
566.25,-2.28
571.92,-2.26
577.64,-2.24
583.41,-2.22
589.25,-2.20
595.14,-2.18
601.09,-2.16
607.10,-2.14
613.17,-2.12
619.30,-2.10
625.50,-2.07
631.75,-2.04
638.07,-2.00
644.45,-1.96
650.89,-1.92
657.40,-1.88
663.98,-1.84
670.62,-1.80
677.32,-1.78
684.10,-1.76
690.94,-1.74
697.85,-1.71
704.83,-1.67
711.87,-1.63
718.99,-1.58
726.18,-1.54
733.44,-1.51
740.78,-1.48
748.19,-1.45
755.67,-1.41
763.23,-1.38
770.86,-1.34
778.57,-1.29
786.35,-1.25
794.22,-1.21
802.16,-1.17
810.18,-1.12
818.28,-1.07
826.46,-1.03
834.73,-1.00
843.08,-0.97
851.51,-0.92
860.02,-0.86
868.62,-0.80
877.31,-0.75
886.08,-0.70
894.94,-0.65
903.89,-0.60
912.93,-0.55
922.06,-0.49
931.28,-0.44
940.59,-0.38
950.00,-0.31
959.50,-0.25
969.09,-0.20
978.78,-0.15
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.12
1028.71,0.18
1039.00,0.25
1049.39,0.32
1059.88,0.40
1070.48,0.47
1081.19,0.53
1092.00,0.60
1102.92,0.67
1113.95,0.74
1125.09,0.81
1136.34,0.87
1147.70,0.93
1159.18,0.99
1170.77,1.07
1182.48,1.13
1194.30,1.19
1206.25,1.24
1218.31,1.31
1230.49,1.38
1242.80,1.45
1255.22,1.51
1267.78,1.57
1280.45,1.63
1293.26,1.69
1306.19,1.74
1319.25,1.78
1332.45,1.81
1345.77,1.87
1359.23,1.93
1372.82,1.98
1386.55,2.02
1400.41,2.06
1414.42,2.08
1428.56,2.11
1442.85,2.12
1457.28,2.13
1471.85,2.12
1486.57,2.12
1501.43,2.12
1516.45,2.12
1531.61,2.11
1546.93,2.10
1562.40,2.07
1578.02,2.03
1593.80,1.98
1609.74,1.93
1625.84,1.87
1642.10,1.81
1658.52,1.76
1675.10,1.70
1691.85,1.64
1708.77,1.57
1725.86,1.48
1743.12,1.38
1760.55,1.27
1778.15,1.17
1795.94,1.06
1813.90,0.94
1832.03,0.83
1850.36,0.70
1868.86,0.56
1887.55,0.42
1906.42,0.28
1925.49,0.13
1944.74,-0.03
1964.19,-0.20
1983.83,-0.35
2003.67,-0.51
2023.71,-0.68
2043.94,-0.84
2064.38,-1.01
2085.03,-1.19
2105.88,-1.35
2126.94,-1.52
2148.20,-1.68
2169.69,-1.85
2191.38,-2.03
2213.30,-2.20
2235.43,-2.37
2257.78,-2.53
2280.36,-2.71
2303.17,-2.88
2326.20,-3.06
2349.46,-3.23
2372.95,-3.40
2396.68,-3.58
2420.65,-3.76
2444.86,-3.92
2469.31,-4.08
2494.00,-4.24
2518.94,-4.41
2544.13,-4.56
2569.57,-4.72
2595.27,-4.88
2621.22,-5.02
2647.43,-5.16
2673.90,-5.31
2700.64,-5.46
2727.65,-5.61
2754.93,-5.74
2782.48,-5.87
2810.30,-6.00
