frequency,raw
20.00,15.78
20.20,15.79
20.40,15.79
20.61,15.79
20.81,15.79
21.02,15.79
21.23,15.78
21.44,15.78
21.66,15.77
21.87,15.75
22.09,15.74
22.31,15.72
22.54,15.69
22.76,15.66
22.99,15.63
23.22,15.60
23.45,15.57
23.69,15.54
23.92,15.51
24.16,15.49
24.40,15.46
24.65,15.45
24.89,15.44
25.14,15.43
25.39,15.43
25.65,15.44
25.91,15.45
26.16,15.45
26.43,15.45
26.69,15.45
26.96,15.46
27.23,15.47
27.50,15.47
27.77,15.48
28.05,15.47
28.33,15.46
28.62,15.45
28.90,15.43
29.19,15.41
29.48,15.38
29.78,15.35
30.08,15.32
30.38,15.29
30.68,15.26
30.99,15.23
31.30,15.20
31.61,15.19
31.93,15.17
32.24,15.15
32.57,15.13
32.89,15.11
33.22,15.09
33.55,15.08
33.89,15.06
34.23,15.04
34.57,15.01
34.92,14.98
35.27,14.95
35.62,14.91
35.97,14.88
36.33,14.86
36.70,14.83
37.06,14.81
37.43,14.80
37.81,14.80
38.19,14.80
38.57,14.81
38.95,14.81
39.34,14.81
39.74,14.80
40.14,14.79
40.54,14.76
40.94,14.74
41.35,14.71
41.76,14.69
42.18,14.67
42.60,14.64
43.03,14.60
43.46,14.56
43.90,14.52
44.33,14.47
44.78,14.44
45.23,14.40
45.68,14.37
46.13,14.33
46.60,14.29
47.06,14.25
47.53,14.21
48.01,14.16
48.49,14.12
48.97,14.08
49.46,14.03
49.96,13.98
50.46,13.94
50.96,13.89
51.47,13.85
51.99,13.81
52.51,13.77
53.03,13.73
53.56,13.69
54.10,13.65
54.64,13.62
55.18,13.58
55.74,13.55
56.29,13.50
56.86,13.46
57.42,13.42
58.00,13.39
58.58,13.35
59.16,13.32
59.76,13.29
60.35,13.25
60.96,13.21
61.57,13.18
62.18,13.14
62.80,13.10
63.43,13.05
64.07,13.00
64.71,12.96
65.35,12.93
66.01,12.89
66.67,12.84
67.33,12.78
68.01,12.71
68.69,12.66
69.37,12.60
70.07,12.55
70.77,12.50
71.48,12.44
72.19,12.39
72.91,12.33
73.64,12.27
74.38,12.21
75.12,12.15
75.87,12.09
76.63,12.04
77.40,11.98
78.17,11.92
78.95,11.85
79.74,11.79
80.54,11.73
81.35,11.68
82.16,11.62
82.98,11.56
83.81,11.49
84.65,11.43
85.50,11.38
86.35,11.33
87.22,11.27
88.09,11.22
88.97,11.17
89.86,11.11
90.76,11.06
91.66,11.00
92.58,10.95
93.51,10.90
94.44,10.85
95.39,10.81
96.34,10.75
97.30,10.71
98.28,10.66
99.26,10.61
100.25,10.55
101.25,10.50
102.27,10.45
103.29,10.39
104.32,10.33
105.37,10.26
106.42,10.20
107.48,10.15
108.56,10.10
109.64,10.02
110.74,9.95
111.85,9.88
112.97,9.81
114.10,9.76
115.24,9.70
116.39,9.63
117.55,9.56
118.73,9.50
119.92,9.45
121.12,9.40
122.33,9.33
123.55,9.27
124.79,9.21
126.03,9.15
127.29,9.09
128.57,9.03
129.85,8.96
131.15,8.89
132.46,8.83
133.79,8.77
135.12,8.69
136.48,8.61
137.84,8.54
139.22,8.47
140.61,8.40
142.02,8.33
143.44,8.24
144.87,8.16
146.32,8.09
147.78,8.03
149.26,7.97
150.75,7.92
152.26,7.86
153.78,7.81
155.32,7.76
156.88,7.72
158.44,7.67
160.03,7.63
161.63,7.59
163.24,7.54
164.88,7.49
166.53,7.44
168.19,7.40
169.87,7.36
171.57,7.32
173.29,7.26
175.02,7.20
176.77,7.14
178.54,7.09
180.32,7.03
182.13,6.98
183.95,6.93
185.79,6.88
187.65,6.82
189.52,6.75
191.42,6.70
193.33,6.64
195.27,6.57
197.22,6.49
199.19,6.42
201.18,6.34
203.19,6.26
205.23,6.18
207.28,6.10
209.35,6.03
211.44,5.95
213.56,5.86
215.69,5.77
217.85,5.70
220.03,5.63
222.23,5.55
224.45,5.46
226.70,5.38
228.96,5.31
231.25,5.24
233.57,5.16
235.90,5.09
238.26,5.02
240.64,4.94
243.05,4.87
245.48,4.81
247.93,4.75
250.41,4.68
252.92,4.61
255.45,4.56
258.00,4.51
260.58,4.45
263.19,4.38
265.82,4.32
268.48,4.27
271.16,4.22
273.87,4.15
276.61,4.08
279.38,4.01
282.17,3.95
284.99,3.89
287.84,3.84
290.72,3.77
293.63,3.71
296.57,3.65
299.53,3.60
302.53,3.55
305.55,3.49
308.61,3.43
311.69,3.37
314.81,3.31
317.96,3.26
321.14,3.21
324.35,3.15
327.59,3.10
330.87,3.04
334.18,2.98
337.52,2.92
340.90,2.87
344.30,2.81
347.75,2.76
351.23,2.70
354.74,2.65
358.28,2.60
361.87,2.54
365.49,2.49
369.14,2.44
372.83,2.39
376.56,2.34
380.33,2.28
384.13,2.22
387.97,2.17
391.85,2.12
395.77,2.07
399.73,2.02
403.72,1.97
407.76,1.91
411.84,1.86
415.96,1.81
420.12,1.76
424.32,1.70
428.56,1.64
432.85,1.58
437.18,1.53
441.55,1.47
445.96,1.41
450.42,1.35
454.93,1.29
459.48,1.23
464.07,1.17
468.71,1.12
473.40,1.08
478.13,1.04
482.91,1.00
487.74,0.95
492.62,0.91
497.55,0.87
502.52,0.83
507.55,0.79
512.62,0.76
517.75,0.73
522.93,0.71
528.16,0.68
533.44,0.66
538.77,0.62
544.16,0.58
549.60,0.54
555.10,0.49
560.65,0.45
566.25,0.41
571.92,0.37
577.64,0.35
583.41,0.32
589.25,0.31
595.14,0.29
601.09,0.27
607.10,0.25
613.17,0.22
619.30,0.19
625.50,0.16
631.75,0.14
638.07,0.12
644.45,0.09
650.89,0.07
657.40,0.04
663.98,0.01
670.62,-0.02
677.32,-0.05
684.10,-0.08
690.94,-0.10
697.85,-0.12
704.83,-0.13
711.87,-0.14
718.99,-0.14
726.18,-0.13
733.44,-0.12
740.78,-0.11
748.19,-0.11
755.67,-0.11
763.23,-0.11
770.86,-0.11
778.57,-0.11
786.35,-0.11
794.22,-0.11
802.16,-0.11
810.18,-0.11
818.28,-0.11
826.46,-0.11
834.73,-0.11
843.08,-0.11
851.51,-0.11
860.02,-0.11
868.62,-0.11
877.31,-0.11
886.08,-0.11
894.94,-0.12
903.89,-0.12
912.93,-0.13
922.06,-0.14
931.28,-0.13
940.59,-0.13
950.00,-0.11
959.50,-0.09
969.09,-0.08
978.78,-0.06
988.57,-0.04
998.46,-0.01
1008.44,0.03
1018.53,0.07
1028.71,0.11
1039.00,0.15
1049.39,0.21
1059.88,0.26
1070.48,0.32
1081.19,0.37
1092.00,0.43
1102.92,0.50
1113.95,0.55
1125.09,0.60
1136.34,0.67
1147.70,0.74
1159.18,0.81
1170.77,0.89
1182.48,0.96
1194.30,1.04
1206.25,1.12
1218.31,1.20
1230.49,1.29
1242.80,1.39
1255.22,1.48
1267.78,1.57
1280.45,1.66
1293.26,1.78
1306.19,1.89
1319.25,2.00
1332.45,2.11
1345.77,2.24
1359.23,2.38
1372.82,2.51
1386.55,2.64
1400.41,2.77
1414.42,2.90
1428.56,3.04
1442.85,3.19
1457.28,3.34
1471.85,3.51
1486.57,3.69
1501.43,3.86
1516.45,4.03
1531.61,4.21
1546.93,4.39
1562.40,4.56
1578.02,4.74
1593.80,4.92
1609.74,5.12
1625.84,5.30
1642.10,5.49
1658.52,5.69
1675.10,5.90
1691.85,6.11
1708.77,6.32
1725.86,6.53
1743.12,6.74
1760.55,6.95
1778.15,7.16
1795.94,7.38
1813.90,7.61
1832.03,7.83
1850.36,8.03
1868.86,8.23
1887.55,8.42
1906.42,8.59
1925.49,8.75
1944.74,8.89
1964.19,9.03
1983.83,9.17
2003.67,9.29
2023.71,9.39
2043.94,9.49
2064.38,9.58
2085.03,9.66
2105.88,9.74
2126.94,9.81
2148.20,9.86
2169.69,9.89
2191.38,9.91
2213.30,9.92
2235.43,9.94
2257.78,9.94
2280.36,9.92
2303.17,9.90
2326.20,9.87
2349.46,9.81
2372.95,9.74
2396.68,9.68
2420.65,9.60
2444.86,9.53
2469.31,9.44
2494.00,9.36
2518.94,9.27
2544.13,9.18
2569.57,9.09
2595.27,9.01
2621.22,8.92
2647.43,8.83
2673.90,8.73
2700.64,8.63
2727.65,8.53
2754.93,8.45
2782.48,8.38
2810.30,8.30
2838.40,8.23
2866.79,8.17
2895.46,8.11
2924.41,8.06
2953.65,8.02
2983.19,7.99
3013.02,7.96
3043.15,7.95
3073.58,7.96
3104.32,7.98
3135.36,8.00
3166.72,8.04
3198.38,8.08
3230.37,8.12
3262.67,8.17
3295.30,8.20
3328.25,8.23
3361.53,8.26
3395.15,8.28
3429.10,8.29
3463.39,8.29
3498.03,8.28
3533.01,8.25
3568.34,8.22
3604.02,8.17
3640.06,8.10
3676.46,8.02
3713.22,7.93
3750.36,7.84
3787.86,7.74
3825.74,7.63
3864.00,7.52
3902.64,7.40
3941.66,7.30
3981.08,7.19
4020.89,7.11
4061.10,7.02
4101.71,6.93
4142.73,6.86
4184.15,6.80
4226.00,6.76
4268.26,6.72
4310.94,6.69
4354.05,6.68
4397.59,6.68
4441.56,6.69
4485.98,6.70
4530.84,6.70
4576.15,6.71
4621.91,6.71
4668.13,6.70
4714.81,6.68
4761.96,6.66
4809.58,6.62
4857.67,6.56
4906.25,6.51
4955.31,6.43
5004.87,6.34
5054.91,6.25
5105.46,6.14
5156.52,6.01
5208.08,5.89
5260.16,5.76
5312.77,5.63
5365.89,5.50
5419.55,5.37
5473.75,5.24
5528.49,5.11
5583.77,4.98
5639.61,4.86
5696.00,4.74
5752.96,4.62
5810.49,4.50
5868.60,4.40
5927.28,4.28
5986.56,4.17
6046.42,4.06
6106.89,3.95
6167.96,3.84
6229.64,3.74
6291.93,3.64
6354.85,3.54
6418.40,3.44
6482.58,3.34
6547.41,3.21
6612.88,3.07
6679.01,2.93
6745.80,2.76
6813.26,2.59
6881.39,2.41
6950.21,2.21
7019.71,2.02
7089.91,1.82
7160.81,1.61
7232.41,1.41
7304.74,1.20
7377.79,0.99
7451.56,0.80
7526.08,0.62
7601.34,0.45
7677.35,0.31
7754.13,0.18
7831.67,0.08
7909.98,0.02
7989.08,-0.04
8068.98,-0.10
8149.67,-0.13
8231.16,-0.13
8313.47,-0.09
8396.61,-0.02
8480.57,0.07
8565.38,0.20
8651.03,0.35
8737.54,0.53
8824.92,0.73
8913.17,0.95
9002.30,1.18
9092.32,1.43
9183.25,1.70
9275.08,1.97
9367.83,2.26
9461.51,2.55
9556.12,2.84
9651.68,3.15
9748.20,3.45
9845.68,3.75
9944.14,4.03
10043.58,4.30
10144.02,4.58
10245.46,4.84
10347.91,5.09
10451.39,5.31
