frequency,raw
20.00,7.90
20.20,7.90
20.40,7.90
20.61,7.90
20.81,7.90
21.02,7.90
21.23,7.90
21.44,7.90
21.66,7.90
21.87,7.90
22.09,7.90
22.31,7.90
22.54,7.90
22.76,7.90
22.99,7.90
23.22,7.90
23.45,7.90
23.69,7.90
23.92,7.90
24.16,7.90
24.40,7.90
24.65,7.90
24.89,7.90
25.14,7.90
25.39,7.90
25.65,7.90
25.91,7.90
26.16,7.90
26.43,7.90
26.69,7.90
26.96,7.90
27.23,7.90
27.50,7.90
27.77,7.90
28.05,7.90
28.33,7.90
28.62,7.90
28.90,7.90
29.19,7.90
29.48,7.90
29.78,7.90
30.08,7.90
30.38,7.90
30.68,7.90
30.99,7.90
31.30,7.90
31.61,7.90
31.93,7.90
32.24,7.90
32.57,7.90
32.89,7.90
33.22,7.90
33.55,7.90
33.89,7.91
34.23,7.91
34.57,7.92
34.92,7.92
35.27,7.92
35.62,7.92
35.97,7.91
36.33,7.89
36.70,7.87
37.06,7.85
37.43,7.82
37.81,7.79
38.19,7.76
38.57,7.73
38.95,7.70
39.34,7.67
39.74,7.64
40.14,7.62
40.54,7.59
40.94,7.58
41.35,7.57
41.76,7.56
42.18,7.56
42.60,7.56
43.03,7.57
43.46,7.58
43.90,7.58
44.33,7.58
44.78,7.58
45.23,7.58
45.68,7.58
46.13,7.58
46.60,7.58
47.06,7.58
47.53,7.58
48.01,7.58
48.49,7.58
48.97,7.58
49.46,7.58
49.96,7.58
50.46,7.58
50.96,7.58
51.47,7.58
51.99,7.59
52.51,7.60
53.03,7.60
53.56,7.60
54.10,7.59
54.64,7.57
55.18,7.55
55.74,7.53
56.29,7.50
56.86,7.47
57.42,7.44
58.00,7.41
58.58,7.38
59.16,7.35
59.76,7.32
60.35,7.29
60.96,7.27
61.57,7.25
62.18,7.24
62.80,7.23
63.43,7.23
64.07,7.24
64.71,7.25
65.35,7.25
66.01,7.26
66.67,7.27
67.33,7.28
68.01,7.28
68.69,7.27
69.37,7.26
70.07,7.24
70.77,7.22
71.48,7.19
72.19,7.16
72.91,7.13
73.64,7.10
74.38,7.07
75.12,7.04
75.87,7.01
76.63,6.98
77.40,6.96
78.17,6.94
78.95,6.92
79.74,6.91
80.54,6.91
81.35,6.91
82.16,6.93
82.98,6.94
83.81,6.95
84.65,6.95
85.50,6.94
86.35,6.93
87.22,6.91
88.09,6.89
88.97,6.86
89.86,6.83
90.76,6.80
91.66,6.77
92.58,6.74
93.51,6.71
94.44,6.68
95.39,6.67
96.34,6.65
97.30,6.63
98.28,6.61
99.26,6.59
100.25,6.57
101.25,6.55
102.27,6.54
103.29,6.52
104.32,6.49
105.37,6.46
106.42,6.43
107.48,6.39
108.56,6.37
109.64,6.34
110.74,6.33
111.85,6.31
112.97,6.29
114.10,6.28
115.24,6.26
116.39,6.25
117.55,6.24
118.73,6.22
119.92,6.20
121.12,6.17
122.33,6.14
123.55,6.11
124.79,6.08
126.03,6.05
127.29,6.02
128.57,5.99
129.85,5.97
131.15,5.95
132.46,5.94
133.79,5.94
135.12,5.94
136.48,5.94
137.84,5.95
139.22,5.95
140.61,5.96
142.02,5.96
143.44,5.96
144.87,5.96
146.32,5.96
147.78,5.96
149.26,5.96
150.75,5.96
152.26,5.96
153.78,5.96
155.32,5.96
156.88,5.96
158.44,5.96
160.03,5.96
161.63,5.96
163.24,5.96
164.88,5.96
166.53,5.96
168.19,5.96
169.87,5.96
171.57,5.96
173.29,5.96
175.02,5.96
176.77,5.96
178.54,5.96
180.32,5.96
182.13,5.96
183.95,5.96
185.79,5.96
187.65,5.96
189.52,5.96
191.42,5.96
193.33,5.96
195.27,5.96
197.22,5.96
199.19,5.96
201.18,5.96
203.19,5.96
205.23,5.96
207.28,5.96
209.35,5.96
211.44,5.96
213.56,5.96
215.69,5.96
217.85,5.96
220.03,5.96
222.23,5.96
224.45,5.97
226.70,5.98
228.96,5.98
231.25,5.98
233.57,5.97
235.90,5.96
238.26,5.94
240.64,5.91
243.05,5.89
245.48,5.86
247.93,5.84
250.41,5.81
252.92,5.79
255.45,5.76
258.00,5.72
260.58,5.68
263.19,5.64
265.82,5.59
268.48,5.56
271.16,5.53
273.87,5.50
276.61,5.48
279.38,5.45
282.17,5.42
284.99,5.38
287.84,5.33
290.72,5.28
293.63,5.24
296.57,5.19
299.53,5.16
302.53,5.14
305.55,5.11
308.61,5.09
311.69,5.06
314.81,5.02
317.96,4.98
321.14,4.93
324.35,4.90
327.59,4.87
330.87,4.85
334.18,4.83
337.52,4.80
340.90,4.76
344.30,4.72
347.75,4.67
351.23,4.62
354.74,4.58
358.28,4.54
361.87,4.51
365.49,4.49
369.14,4.46
372.83,4.43
376.56,4.39
380.33,4.35
384.13,4.30
387.97,4.26
391.85,4.22
395.77,4.20
399.73,4.17
403.72,4.15
407.76,4.12
411.84,4.08
415.96,4.04
420.12,4.00
424.32,3.96
428.56,3.93
432.85,3.89
437.18,3.85
441.55,3.81
445.96,3.78
450.42,3.74
454.93,3.69
459.48,3.65
464.07,3.60
468.71,3.56
473.40,3.51
478.13,3.46
482.91,3.42
487.74,3.38
492.62,3.34
497.55,3.30
502.52,3.26
507.55,3.22
512.62,3.18
517.75,3.13
522.93,3.09
528.16,3.06
533.44,3.02
538.77,2.98
544.16,2.94
549.60,2.89
555.10,2.84
560.65,2.79
566.25,2.76
571.92,2.73
577.64,2.69
583.41,2.63
589.25,2.58
595.14,2.52
601.09,2.47
607.10,2.42
613.17,2.39
619.30,2.35
625.50,2.30
631.75,2.24
638.07,2.19
644.45,2.13
650.89,2.09
657.40,2.05
663.98,2.01
670.62,1.96
677.32,1.91
684.10,1.85
690.94,1.80
697.85,1.77
704.83,1.73
711.87,1.69
718.99,1.63
726.18,1.57
733.44,1.51
740.78,1.45
748.19,1.41
755.67,1.38
763.23,1.34
770.86,1.28
778.57,1.22
786.35,1.17
794.22,1.13
802.16,1.09
810.18,1.05
818.28,1.00
826.46,0.95
834.73,0.90
843.08,0.85
851.51,0.81
860.02,0.77
868.62,0.72
877.31,0.66
886.08,0.59
894.94,0.53
903.89,0.48
912.93,0.43
922.06,0.39
931.28,0.35
940.59,0.29
950.00,0.23
959.50,0.17
969.09,0.12
978.78,0.09
988.57,0.05
998.46,0.01
1008.44,-0.04
1018.53,-0.09
1028.71,-0.14
1039.00,-0.18
1049.39,-0.22
1059.88,-0.25
1070.48,-0.30
1081.19,-0.35
1092.00,-0.41
1102.92,-0.46
1113.95,-0.50
1125.09,-0.53
1136.34,-0.57
1147.70,-0.62
1159.18,-0.67
1170.77,-0.72
1182.48,-0.77
1194.30,-0.82
1206.25,-0.86
1218.31,-0.91
1230.49,-0.95
1242.80,-0.99
1255.22,-1.02
1267.78,-1.06
1280.45,-1.09
1293.26,-1.12
1306.19,-1.15
1319.25,-1.19
1332.45,-1.23
1345.77,-1.27
1359.23,-1.31
1372.82,-1.34
1386.55,-1.36
1400.41,-1.37
1414.42,-1.39
1428.56,-1.41
1442.85,-1.45
1457.28,-1.48
1471.85,-1.52
1486.57,-1.55
1501.43,-1.59
1516.45,-1.62
1531.61,-1.64
1546.93,-1.66
1562.40,-1.69
1578.02,-1.72
1593.80,-1.75
1609.74,-1.77
1625.84,-1.80
1642.10,-1.82
1658.52,-1.84
1675.10,-1.85
1691.85,-1.85
1708.77,-1.85
1725.86,-1.84
1743.12,-1.83
1760.55,-1.83
1778.15,-1.83
1795.94,-1.83
1813.90,-1.84
1832.03,-1.85
1850.36,-1.85
1868.86,-1.84
1887.55,-1.83
1906.42,-1.81
1925.49,-1.79
1944.74,-1.76
1964.19,-1.74
1983.83,-1.71
2003.67,-1.69
2023.71,-1.67
2043.94,-1.64
2064.38,-1.60
2085.03,-1.56
2105.88,-1.53
2126.94,-1.49
2148.20,-1.46
2169.69,-1.42
2191.38,-1.39
2213.30,-1.36
2235.43,-1.34
2257.78,-1.31
2280.36,-1.28
2303.17,-1.22
2326.20,-1.15
2349.46,-1.07
2372.95,-0.96
2396.68,-0.83
2420.65,-0.67
2444.86,-0.48
2469.31,-0.28
2494.00,-0.05
2518.94,0.21
2544.13,0.50
2569.57,0.81
2595.27,1.13
2621.22,1.45
2647.43,1.77
2673.90,2.08
2700.64,2.39
2727.65,2.68
2754.93,2.95
2782.48,3.20
2810.30,3.42
2838.40,3.61
2866.79,3.79
2895.46,3.95
2924.41,4.07
2953.65,4.18
2983.19,4.26
3013.02,4.32
3043.15,4.36
3073.58,4.37
3104.32,4.36
3135.36,4.33
3166.72,4.27
3198.38,4.19
3230.37,4.07
3262.67,3.93
3295.30,3.77
3328.25,3.60
3361.53,3.41
3395.15,3.20
3429.10,2.99
3463.39,2.76
3498.03,2.54
3533.01,2.31
3568.34,2.08
3604.02,1.86
3640.06,1.63
3676.46,1.43
3713.22,1.25
3750.36,1.08
3787.86,0.93
3825.74,0.81
3864.00,0.70
3902.64,0.61
3941.66,0.54
3981.08,0.48
4020.89,0.45
4061.10,0.44
4101.71,0.43
4142.73,0.42
4184.15,0.41
4226.00,0.41
4268.26,0.41
4310.94,0.41
4354.05,0.41
4397.59,0.39
4441.56,0.35
4485.98,0.31
4530.84,0.27
4576.15,0.20
4621.91,0.13
4668.13,0.06
4714.81,-0.02
4761.96,-0.10
4809.58,-0.20
4857.67,-0.30
4906.25,-0.41
4955.31,-0.54
5004.87,-0.68
5054.91,-0.83
5105.46,-1.00
5156.52,-1.17
5208.08,-1.35
5260.16,-1.52
5312.77,-1.70
5365.89,-1.88
5419.55,-2.08
5473.75,-2.28
5528.49,-2.49
5583.77,-2.68
5639.61,-2.88
5696.00,-3.08
5752.96,-3.27
5810.49,-3.44
5868.60,-3.60
5927.28,-3.77
5986.56,-3.94
6046.42,-4.11
6106.89,-4.28
6167.96,-4.45
6229.64,-4.62
6291.93,-4.78
6354.85,-4.92
6418.40,-5.06
6482.58,-5.20
6547.41,-5.36
6612.88,-5.53
6679.01,-5.72
6745.80,-5.93
6813.26,-6.14
6881.39,-6.35
6950.21,-6.58
7019.71,-6.83
7089.91,-7.07
7160.81,-7.32
7232.41,-7.57
7304.74,-7.82
7377.79,-8.08
7451.56,-8.35
7526.08,-8.60
7601.34,-8.85
7677.35,-9.09
7754.13,-9.32
7831.67,-9.55
7909.98,-9.76
7989.08,-9.98
8068.98,-10.22
8149.67,-10.45
8231.16,-10.68
8313.47,-10.91
8396.61,-11.14
8480.57,-11.36
8565.38,-11.58
8651.03,-11.77
8737.54,-11.95
8824.92,-12.10
8913.17,-12.24
9002.30,-12.35
9092.32,-12.43
9183.25,-12.46
9275.08,-12.45
9367.83,-12.38
9461.51,-12.25
9556.12,-12.04
9651.68,-11.75
9748.20,-11.39
9845.68,-10.94
9944.14,-10.43
10043.58,-9.83
10144.02,-9.17
10245.46,-8.46
10347.91,-7.72
10451.39,-6.96
10555.91,-6.18
10661.46,-5.43
10768.08,-4.70
10875.76,-4.01
10984.52,-3.38
11094.36,-2.83
11205.31,-2.35
11317.36,-1.93
11430.53,-1.59
11544.84,-1.33
