frequency,raw
20,-4.23
21,-3.73
22,-3.26
23,-2.81
24,-2.38
25,-1.98
26,-1.61
27,-1.25
28,-0.93
29,-0.62
30,-0.34
31,-0.13
32,0.08
33,0.26
34,0.43
35,0.60
36,0.73
37,0.87
38,0.99
39,1.12
40,1.22
41,1.34
42,1.45
43,1.56
44,1.65
45,1.74
46,1.85
47,1.94
48,2.04
49,2.12
50,2.19
51,2.28
52,2.36
53,2.43
54,2.51
55,2.58
56,2.62
57,2.68
58,2.74
59,2.80
60,2.85
61,2.92
62,2.97
63,3.02
64,3.06
65,3.11
66,3.15
67,3.18
68,3.21
69,3.22
70,3.25
71,3.27
72,3.28
73,3.29
74,3.29
75,3.28
76,3.27
77,3.27
78,3.27
79,3.27
80,3.27
81,3.27
82,3.27
83,3.27
84,3.27
85,3.27
86,3.26
87,3.25
88,3.24
89,3.24
90,3.25
91,3.27
92,3.29
93,3.32
94,3.35
95,3.38
96,3.42
97,3.45
98,3.49
99,3.52
100,3.55
101,3.57
102,3.59
104,3.61
105,3.61
106,3.61
107,3.60
108,3.59
109,3.61
110,3.61
111,3.61
112,3.61
113,3.59
114,3.57
115,3.54
117,3.51
118,3.48
119,3.45
120,3.41
121,3.38
123,3.35
124,3.32
125,3.29
126,3.27
128,3.25
129,3.24
130,3.24
131,3.25
133,3.26
134,3.27
135,3.27
137,3.27
138,3.28
140,3.29
141,3.29
142,3.28
144,3.27
145,3.25
147,3.23
148,3.20
150,3.17
151,3.13
153,3.11
154,3.09
156,3.05
157,3.02
159,2.98
160,2.94
162,2.90
164,2.88
165,2.84
167,2.81
169,2.78
170,2.73
172,2.68
174,2.63
175,2.57
177,2.52
179,2.45
181,2.39
183,2.33
184,2.28
186,2.23
188,2.19
190,2.15
192,2.11
194,2.07
196,2.04
198,2.01
200,1.97
202,1.91
204,1.86
206,1.82
208,1.80
210,1.79
212,1.78
214,1.78
216,1.78
218,1.78
221,1.78
223,1.79
225,1.82
227,1.86
229,1.91
232,1.96
234,2.01
236,2.05
239,2.10
241,2.15
244,2.20
246,2.24
248,2.29
