frequency,raw
20,0.88
21,0.93
22,0.98
23,1.02
24,1.05
25,1.09
26,1.12
27,1.14
28,1.16
29,1.18
30,1.19
31,1.19
32,1.18
33,1.17
34,1.17
35,1.17
36,1.17
37,1.17
38,1.17
39,1.17
40,1.17
41,1.17
42,1.17
43,1.17
44,1.17
45,1.17
46,1.17
47,1.17
48,1.17
49,1.17
50,1.17
51,1.17
52,1.17
53,1.17
54,1.16
55,1.14
56,1.14
57,1.15
58,1.16
59,1.18
60,1.20
61,1.23
62,1.26
63,1.29
64,1.33
65,1.36
66,1.40
67,1.43
68,1.46
69,1.48
70,1.50
71,1.53
72,1.54
73,1.54
74,1.52
75,1.49
76,1.47
77,1.44
78,1.41
79,1.38
80,1.35
81,1.31
82,1.28
83,1.25
84,1.22
85,1.19
86,1.17
87,1.15
88,1.14
89,1.14
90,1.15
91,1.16
92,1.17
93,1.17
94,1.17
95,1.17
96,1.17
97,1.17
98,1.17
99,1.17
100,1.17
101,1.17
102,1.17
104,1.17
105,1.17
106,1.17
107,1.17
108,1.17
109,1.17
110,1.17
111,1.17
112,1.17
113,1.17
114,1.17
115,1.17
117,1.17
118,1.17
119,1.17
120,1.17
121,1.17
123,1.17
124,1.17
125,1.17
126,1.17
128,1.17
129,1.17
130,1.17
131,1.17
133,1.17
134,1.17
135,1.17
137,1.17
138,1.17
140,1.17
141,1.17
142,1.17
144,1.17
145,1.17
147,1.17
148,1.18
150,1.19
151,1.19
153,1.18
154,1.16
156,1.14
157,1.12
159,1.09
160,1.05
162,1.02
164,0.99
165,0.96
167,0.94
169,0.91
170,0.88
172,0.85
174,0.81
175,0.78
177,0.75
179,0.73
181,0.71
183,0.68
184,0.65
186,0.62
188,0.59
190,0.57
192,0.55
194,0.53
196,0.51
198,0.48
200,0.46
202,0.44
204,0.42
206,0.39
208,0.35
210,0.32
212,0.29
214,0.25
216,0.23
218,0.20
221,0.19
223,0.17
225,0.17
227,0.18
229,0.20
232,0.21
234,0.21
236,0.21
239,0.19
241,0.17
244,0.15
246,0.12
248,0.09
251,0.05
253,0.02
256,-0.02
259,-0.05
261,-0.08
264,-0.10
266,-0.12
269,-0.14
272,-0.15
274,-0.15
277,-0.14
280,-0.13
283,-0.12
286,-0.11
288,-0.11
291,-0.12
294,-0.13
297,-0.15
300,-0.18
303,-0.21
306,-0.24
309,-0.27
312,-0.31
316,-0.34
319,-0.38
322,-0.40
325,-0.42
328,-0.43
332,-0.45
335,-0.46
338,-0.47
342,-0.49
345,-0.50
349,-0.52
352,-0.56
356,-0.59
359,-0.62
363,-0.66
366,-0.69
370,-0.72
374,-0.75
377,-0.77
381,-0.79
385,-0.80
389,-0.80
393,-0.80
397,-0.79
401,-0.78
405,-0.78
409,-0.78
413,-0.77
417,-0.76
421,-0.76
425,-0.76
430,-0.77
434,-0.78
438,-0.80
443,-0.83
447,-0.86
451,-0.89
456,-0.92
460,-0.96
465,-0.99
470,-1.03
474,-1.06
479,-1.08
484,-1.10
489,-1.12
494,-1.13
499,-1.13
504,-1.12
509,-1.11
514,-1.10
519,-1.10
524,-1.10
529,-1.10
535,-1.10
540,-1.10
545,-1.10
551,-1.10
556,-1.10
562,-1.10
568,-1.10
573,-1.10
579,-1.10
585,-1.10
591,-1.10
596,-1.10
602,-1.10
608,-1.10
615,-1.10
621,-1.10
