frequency,raw
20,1.19
21,1.24
22,1.30
23,1.34
24,1.39
25,1.43
26,1.47
27,1.50
28,1.53
29,1.55
30,1.57
31,1.59
32,1.62
33,1.64
34,1.65
35,1.63
36,1.60
37,1.57
38,1.54
39,1.52
40,1.49
41,1.46
42,1.45
43,1.44
44,1.45
45,1.47
46,1.49
47,1.52
48,1.56
49,1.63
50,1.71
51,1.79
52,1.88
53,1.95
54,1.99
55,2.02
56,2.03
57,2.04
58,2.04
59,2.04
60,2.02
61,2.00
62,1.98
63,1.97
64,1.95
65,1.94
66,1.93
67,1.92
68,1.92
69,1.92
70,1.91
71,1.88
72,1.85
73,1.82
74,1.79
75,1.75
76,1.72
77,1.69
78,1.66
79,1.63
80,1.60
81,1.59
82,1.57
83,1.57
84,1.57
85,1.59
86,1.59
87,1.59
88,1.59
89,1.59
90,1.59
91,1.59
92,1.59
93,1.59
94,1.59
95,1.59
96,1.59
97,1.59
98,1.59
99,1.59
100,1.59
101,1.59
102,1.59
104,1.59
105,1.59
106,1.59
107,1.59
108,1.60
109,1.60
110,1.61
111,1.62
112,1.62
113,1.61
114,1.59
115,1.57
117,1.54
118,1.51
119,1.47
120,1.42
121,1.39
123,1.36
124,1.34
125,1.33
126,1.33
128,1.33
129,1.35
130,1.38
131,1.41
133,1.45
134,1.50
135,1.54
137,1.57
138,1.60
140,1.63
141,1.63
142,1.63
144,1.60
145,1.57
147,1.54
148,1.50
150,1.47
151,1.44
153,1.40
154,1.37
156,1.34
157,1.31
159,1.28
160,1.27
162,1.27
164,1.27
165,1.27
167,1.27
169,1.26
170,1.24
172,1.21
174,1.18
175,1.15
177,1.12
179,1.08
181,1.05
183,1.03
184,1.01
186,0.99
188,0.96
190,0.93
192,0.91
194,0.89
196,0.87
198,0.85
200,0.82
202,0.78
204,0.75
206,0.71
208,0.68
210,0.66
212,0.63
214,0.61
216,0.60
218,0.60
221,0.60
223,0.61
225,0.62
227,0.63
229,0.63
232,0.64
234,0.64
236,0.63
239,0.62
241,0.60
244,0.57
246,0.54
248,0.51
251,0.48
253,0.45
256,0.41
259,0.38
261,0.35
264,0.32
266,0.30
269,0.29
272,0.28
274,0.29
277,0.30
280,0.31
283,0.31
286,0.30
288,0.28
291,0.25
294,0.22
297,0.19
300,0.16
303,0.12
306,0.09
309,0.05
312,0.03
316,0.01
319,-0.00
322,-0.02
325,-0.03
328,-0.04
332,-0.06
335,-0.07
338,-0.09
342,-0.12
345,-0.16
349,-0.19
352,-0.23
356,-0.26
359,-0.29
363,-0.32
366,-0.34
370,-0.35
374,-0.36
377,-0.36
381,-0.35
385,-0.35
389,-0.36
393,-0.38
397,-0.40
401,-0.43
405,-0.46
409,-0.50
413,-0.53
417,-0.56
421,-0.60
425,-0.62
430,-0.65
434,-0.67
438,-0.69
443,-0.69
447,-0.69
451,-0.69
456,-0.68
460,-0.68
465,-0.68
470,-0.68
474,-0.68
479,-0.68
484,-0.68
489,-0.68
494,-0.68
499,-0.68
504,-0.67
509,-0.66
514,-0.65
519,-0.65
524,-0.66
529,-0.68
535,-0.70
540,-0.72
545,-0.75
551,-0.78
556,-0.82
562,-0.85
568,-0.89
573,-0.92
579,-0.95
585,-0.98
591,-1.00
596,-1.01
602,-1.02
608,-1.03
615,-1.03
621,-1.03
627,-1.02
633,-1.01
639,-1.00
646,-0.98
652,-0.95
659,-0.92
665,-0.89
672,-0.85
679,-0.82
686,-0.78
692,-0.75
699,-0.72
706,-0.70
713,-0.68
721,-0.66
728,-0.65
735,-0.65
742,-0.66
750,-0.67
757,-0.69
765,-0.70
773,-0.70
780,-0.69
788,-0.68
796,-0.66
804,-0.64
812,-0.61
820,-0.58
828,-0.55
837,-0.51
845,-0.48
853,-0.45
862,-0.43
871,-0.41
879,-0.39
888,-0.36
897,-0.34
906,-0.32
915,-0.30
924,-0.28
933,-0.26
943,-0.24
952,-0.21
962,-0.18
971,-0.14
981,-0.09
991,-0.04
1001,0.00
1011,0.05
1021,0.08
1031,0.11
1041,0.14
1052,0.17
1062,0.21
1073,0.26
1084,0.31
1094,0.35
1105,0.39
1116,0.43
1128,0.47
1139,0.52
1150,0.56
1162,0.60
1173,0.65
1185,0.69
1197,0.74
1209,0.80
1221,0.85
1233,0.88
1246,0.92
1258,0.97
1271,1.04
1283,1.11
1296,1.17
1309,1.23
1322,1.28
1335,1.33
1349,1.38
1362,1.45
1376,1.52
1390,1.58
1404,1.62
1418,1.66
1432,1.71
1446,1.77
1461,1.82
1475,1.88
1490,1.91
1505,1.95
1520,2.00
1535,2.06
1550,2.12
1566,2.18
1582,2.23
1597,2.27
1613,2.31
1629,2.36
1646,2.41
1662,2.45
1679,2.50
1696,2.54
1713,2.58
1730,2.63
1747,2.68
1764,2.72
1782,2.75
1800,2.77
1818,2.79
1836,2.81
1854,2.84
1873,2.88
1892,2.92
1911,2.95
1930,2.99
1949,3.01
1969,3.04
1988,3.07
2008,3.10
2028,3.13
2048,3.16
2069,3.18
2090,3.19
2111,3.21
2132,3.22
2153,3.23
2175,3.24
2196,3.26
2218,3.28
2240,3.31
2263,3.34
2285,3.37
2308,3.39
2331,3.42
2355,3.45
2378,3.49
2402,3.54
2426,3.58
2450,3.62
2475,3.65
2500,3.68
2525,3.71
2550,3.73
2575,3.76
2601,3.80
2627,3.82
2653,3.85
2680,3.87
2707,3.89
2734,3.90
2761,3.91
2789,3.90
2817,3.89
2845,3.88
2873,3.87
2902,3.84
2931,3.80
2960,3.76
2990,3.71
3020,3.65
3050,3.57
3080,3.50
3111,3.42
3142,3.34
3174,3.25
3206,3.17
3238,3.08
3270,2.99
3303,2.91
3336,2.84
3369,2.78
3403,2.73
3437,2.70
3471,2.67
3506,2.65
3541,2.65
3576,2.66
3612,2.70
3648,2.75
3685,2.81
3721,2.87
3759,2.96
3796,3.05
3834,3.15
3873,3.24
3911,3.32
3950,3.42
3990,3.51
4030,3.60
4070,3.70
4111,3.79
4152,3.87
4193,3.94
4235,4.00
4278,4.06
4321,4.10
4364,4.14
4407,4.18
4451,4.22
4496,4.24
4541,4.24
4586,4.23
4632,4.22
4679,4.20
4725,4.16
4773,4.12
4820,4.07
4868,4.01
4917,3.94
4966,3.86
5016,3.76
5066,3.65
5117,3.52
5168,3.37
5220,3.22
5272,3.05
5325,2.86
5378,2.67
5432,2.47
5486,2.26
5541,2.05
5596,1.84
5652,1.63
5709,1.42
5766,1.21
5823,1.00
5882,0.82
5940,0.65
6000,0.48
6060,0.33
6120,0.19
6182,0.05
6244,-0.09
6306,-0.22
6369,-0.35
6433,-0.45
6497,-0.55
6562,-0.64
6628,-0.74
6694,-0.83
6761,-0.93
6828,-1.03
6897,-1.12
6966,-1.21
7035,-1.30
7106,-1.38
7177,-1.42
7249,-1.43
7321,-1.41
7394,-1.34
7468,-1.23
7543,-1.08
7618,-0.88
7694,-0.62
7771,-0.32
7849,0.02
7928,0.36
8007,0.69
8087,1.01
8168,1.30
8250,1.57
8332,1.81
8415,2.00
8499,2.14
8584,2.25
8670,2.31
8757,2.35
8845,2.36
8933,2.33
9022,2.28
9113,2.20
9204,2.08
9296,1.93
9389,1.75
9483,1.53
9577,1.26
9673,0.94
9770,0.58
9868,0.19
9966,-0.23
10066,-0.66
10167,-1.09
10268,-1.52
10371,-1.92
10475,-2.29
10579,-2.62
10685,-2.90
10792,-3.13
10900,-3.30
11009,-3.44
11119,-3.54
11230,-3.60
11343,-3.63
11456,-3.65
11571,-3.66
11686,-3.68
11803,-3.71
11921,-3.76
12040,-3.83
12161,-3.93
12282,-4.05
12405,-4.19
12529,-4.35
12655,-4.55
12781,-4.78
12909,-5.02
13038,-5.30
13168,-5.61
13300,-5.97
13433,-6.38
13567,-6.83
13703,-7.33
13840,-7.89
13978,-8.50
14118,-9.17
14259,-9.90
14402,-10.67
14546,-11.46
14692,-12.29
14838,-13.13
14987,-13.98
15137,-14.80
15288,-15.62
