frequency,raw
20,15.31
21,15.48
22,15.65
23,15.80
24,15.94
25,16.06
26,16.17
27,16.27
28,16.36
29,16.44
30,16.50
31,16.53
32,16.56
33,16.56
34,16.58
35,16.58
36,16.59
37,16.59
38,16.57
39,16.55
40,16.53
41,16.51
42,16.50
43,16.47
44,16.43
45,16.38
46,16.33
47,16.29
48,16.23
49,16.17
50,16.10
51,16.05
52,15.99
53,15.93
54,15.87
55,15.81
56,15.75
57,15.68
58,15.61
59,15.53
60,15.47
61,15.41
62,15.34
63,15.25
64,15.17
65,15.11
66,15.04
67,14.97
68,14.89
69,14.82
70,14.75
71,14.68
72,14.61
73,14.52
74,14.46
75,14.39
76,14.33
77,14.25
78,14.17
79,14.11
80,14.04
81,13.96
82,13.88
83,13.81
84,13.74
85,13.68
86,13.59
87,13.50
88,13.44
89,13.38
90,13.31
91,13.23
92,13.16
93,13.11
94,13.05
95,12.98
96,12.91
97,12.85
98,12.79
99,12.73
100,12.65
101,12.58
102,12.52
104,12.46
105,12.38
106,12.31
107,12.24
108,12.18
109,12.13
110,12.06
111,11.99
112,11.91
113,11.86
114,11.80
115,11.73
117,11.65
118,11.58
119,11.52
120,11.46
121,11.39
123,11.31
124,11.24
125,11.18
126,11.12
128,11.05
129,10.98
130,10.92
131,10.86
133,10.79
134,10.70
135,10.63
137,10.56
138,10.50
140,10.42
141,10.35
142,10.27
144,10.20
145,10.13
147,10.05
148,9.98
150,9.90
151,9.83
153,9.75
154,9.66
156,9.59
157,9.52
159,9.45
160,9.37
162,9.29
164,9.22
165,9.16
167,9.09
169,9.01
170,8.95
172,8.89
174,8.81
175,8.74
177,8.67
179,8.60
181,8.52
183,8.44
184,8.36
186,8.29
188,8.21
190,8.14
192,8.05
194,7.97
196,7.90
198,7.83
200,7.76
202,7.68
204,7.61
206,7.55
208,7.49
210,7.40
212,7.33
214,7.27
216,7.22
218,7.14
221,7.07
223,7.01
225,6.95
227,6.88
229,6.80
232,6.73
234,6.66
236,6.60
239,6.52
241,6.44
244,6.37
246,6.30
248,6.23
251,6.15
253,6.07
256,6.00
259,5.94
261,5.88
264,5.81
266,5.73
269,5.68
272,5.62
274,5.55
277,5.48
280,5.40
283,5.34
286,5.28
288,5.21
291,5.14
294,5.07
297,5.01
300,4.96
303,4.89
306,4.82
309,4.76
312,4.71
316,4.66
319,4.59
322,4.51
325,4.45
328,4.39
332,4.33
335,4.25
338,4.17
342,4.10
345,4.04
349,3.98
352,3.90
356,3.83
359,3.76
363,3.69
366,3.63
370,3.58
374,3.52
377,3.46
381,3.40
385,3.35
389,3.29
393,3.24
397,3.18
401,3.13
405,3.07
409,3.01
413,2.96
417,2.90
421,2.85
425,2.78
430,2.72
434,2.65
438,2.60
443,2.54
447,2.49
451,2.43
456,2.37
460,2.31
465,2.27
470,2.22
474,2.17
479,2.11
484,2.04
489,1.99
494,1.94
499,1.90
504,1.85
509,1.80
514,1.74
519,1.68
524,1.63
529,1.58
535,1.54
540,1.50
545,1.46
551,1.41
556,1.38
562,1.34
568,1.30
573,1.26
579,1.22
585,1.19
591,1.15
596,1.12
602,1.08
608,1.03
615,0.98
621,0.92
627,0.87
633,0.82
639,0.79
646,0.77
652,0.74
659,0.71
665,0.68
672,0.64
679,0.60
686,0.56
692,0.53
699,0.50
706,0.47
713,0.45
721,0.41
728,0.39
735,0.37
742,0.35
750,0.34
757,0.33
765,0.31
773,0.30
780,0.29
788,0.27
796,0.24
804,0.20
812,0.17
820,0.14
828,0.10
837,0.07
845,0.04
853,0.02
862,-0.00
871,-0.01
879,-0.02
888,-0.02
897,-0.01
906,-0.00
915,0.00
924,0.00
933,0.00
943,0.00
952,0.00
962,0.00
971,0.00
981,0.00
991,0.00
1001,-0.00
1011,-0.01
1021,-0.02
1031,-0.02
1041,-0.02
1052,-0.00
1062,0.02
1073,0.04
1084,0.07
1094,0.10
1105,0.13
1116,0.16
1128,0.18
1139,0.21
1150,0.25
1162,0.29
1173,0.33
1185,0.37
1197,0.39
1209,0.42
1221,0.45
1233,0.48
1246,0.52
1258,0.56
1271,0.61
1283,0.67
1296,0.73
1309,0.79
1322,0.85
1335,0.91
1349,0.98
1362,1.04
1376,1.10
1390,1.17
1404,1.25
1418,1.33
1432,1.41
1446,1.47
1461,1.53
1475,1.61
1490,1.68
1505,1.75
1520,1.82
1535,1.89
1550,1.97
1566,2.06
1582,2.14
1597,2.23
1613,2.32
1629,2.41
1646,2.52
1662,2.63
1679,2.73
1696,2.84
1713,2.94
1730,3.05
1747,3.15
1764,3.25
1782,3.36
1800,3.45
1818,3.55
1836,3.65
1854,3.76
1873,3.89
1892,4.04
1911,4.20
1930,4.39
1949,4.58
1969,4.80
1988,5.06
2008,5.34
2028,5.65
2048,5.97
2069,6.31
2090,6.67
2111,7.05
2132,7.44
2153,7.83
2175,8.23
2196,8.62
2218,9.02
2240,9.40
2263,9.79
2285,10.15
2308,10.51
2331,10.85
2355,11.18
2378,11.49
2402,11.77
2426,12.05
2450,12.31
2475,12.54
2500,12.73
2525,12.91
2550,13.08
2575,13.23
2601,13.36
2627,13.48
2653,13.59
2680,13.68
2707,13.75
2734,13.81
2761,13.85
2789,13.90
2817,13.94
2845,13.97
2873,13.99
2902,13.99
2931,13.98
2960,13.97
2990,13.93
3020,13.86
3050,13.80
3080,13.74
3111,13.66
3142,13.55
3174,13.45
3206,13.33
3238,13.21
3270,13.09
3303,12.95
3336,12.81
3369,12.67
3403,12.52
3437,12.34
3471,12.17
3506,12.00
3541,11.81
3576,11.61
3612,11.42
3648,11.21
3685,11.02
3721,10.84
3759,10.66
3796,10.49
3834,10.35
3873,10.24
3911,10.15
3950,10.08
3990,10.03
4030,10.01
4070,10.02
4111,10.05
4152,10.12
4193,10.26
4235,10.46
4278,10.71
4321,11.03
4364,11.40
4407,11.82
4451,12.29
4496,12.81
4541,13.34
4586,13.87
4632,14.41
4679,14.93
4725,15.41
4773,15.84
4820,16.22
4868,16.54
4917,16.79
4966,16.99
5016,17.12
5066,17.20
5117,17.25
5168,17.27
5220,17.26
5272,17.22
5325,17.15
5378,17.04
5432,16.89
5486,16.69
5541,16.40
5596,16.01
5652,15.52
5709,14.90
5766,14.17
5823,13.34
5882,12.41
5940,11.40
6000,10.33
6060,9.22
6120,8.08
6182,6.94
6244,5.84
6306,4.79
6369,3.78
6433,2.85
6497,1.98
6562,1.20
6628,0.49
6694,-0.16
6761,-0.78
6828,-1.37
6897,-1.93
6966,-2.46
7035,-2.94
7106,-3.39
7177,-3.82
7249,-4.22
7321,-4.60
7394,-4.96
7468,-5.29
7543,-5.60
7618,-5.90
7694,-6.20
7771,-6.47
7849,-6.73
7928,-6.97
8007,-7.20
8087,-7.41
8168,-7.63
8250,-7.83
8332,-8.03
8415,-8.20
8499,-8.33
8584,-8.45
8670,-8.55
8757,-8.63
8845,-8.69
8933,-8.72
9022,-8.72
9113,-8.69
9204,-8.63
9296,-8.51
9389,-8.31
9483,-8.02
9577,-7.64
9673,-7.15
9770,-6.56
9868,-5.92
9966,-5.20
10066,-4.44
10167,-3.65
10268,-2.83
10371,-2.02
10475,-1.25
10579,-0.52
10685,0.13
10792,0.72
10900,1.22
11009,1.64
11119,1.98
11230,2.26
11343,2.51
11456,2.72
11571,2.93
11686,3.13
11803,3.32
11921,3.48
12040,3.60
12161,3.66
12282,3.64
12405,3.50
12529,3.22
12655,2.82
12781,2.28
12909,1.62
13038,0.87
13168,0.03
13300,-0.86
13433,-1.77
13567,-2.67
13703,-3.55
13840,-4.39
13978,-5.15
14118,-5.83
14259,-6.43
14402,-6.97
14546,-7.47
14692,-8.01
14838,-8.63
14987,-9.40
15137,-10.36
15288,-11.53
15441,-12.92
15595,-14.52
15751,-16.30
15909,-18.22
16068,-20.22
16229,-22.24
16391,-24.24
16555,-26.14
16720,-27.91
16888,-29.48
17056,-30.82
17227,-31.92
17399,-32.76
17573,-33.36
17749,-33.74
17926,-33.95
18106,-34.02
18287,-34.27
18470,-34.42
18654,-34.47
18841,-34.44
19029,-34.30
19220,-34.07
19412,-33.75
19606,-33.34
19802,-32.83
20000,-32.22
