frequency,raw
20.00,14.32
20.20,14.32
20.40,14.32
20.61,14.32
20.81,14.32
21.02,14.32
21.23,14.32
21.44,14.32
21.66,14.32
21.87,14.32
22.09,14.32
22.31,14.32
22.54,14.32
22.76,14.32
22.99,14.32
23.22,14.32
23.45,14.32
23.69,14.32
23.92,14.32
24.16,14.32
24.40,14.32
24.65,14.32
24.89,14.32
25.14,14.32
25.39,14.32
25.65,14.32
25.91,14.32
26.16,14.32
26.43,14.32
26.69,14.32
26.96,14.32
27.23,14.32
27.50,14.32
27.77,14.32
28.05,14.32
28.33,14.32
28.62,14.32
28.90,14.32
29.19,14.32
29.48,14.32
29.78,14.32
30.08,14.32
30.38,14.32
30.68,14.32
30.99,14.32
31.30,14.32
31.61,14.32
31.93,14.32
32.24,14.32
32.57,14.32
32.89,14.32
33.22,14.32
33.55,14.32
33.89,14.32
34.23,14.32
34.57,14.32
34.92,14.32
35.27,14.32
35.62,14.33
35.97,14.33
36.33,14.33
36.70,14.34
37.06,14.34
37.43,14.34
37.81,14.34
38.19,14.34
38.57,14.34
38.95,14.34
39.34,14.34
39.74,14.33
40.14,14.33
40.54,14.32
40.94,14.31
41.35,14.30
41.76,14.29
42.18,14.28
42.60,14.27
43.03,14.26
43.46,14.24
43.90,14.22
44.33,14.21
44.78,14.20
45.23,14.18
45.68,14.17
46.13,14.15
46.60,14.14
47.06,14.12
47.53,14.10
48.01,14.09
48.49,14.08
48.97,14.06
49.46,14.05
49.96,14.03
50.46,14.03
50.96,14.02
51.47,14.02
51.99,14.01
52.51,14.00
53.03,14.00
53.56,13.99
54.10,13.99
54.64,13.98
55.18,13.98
55.74,13.97
56.29,13.97
56.86,13.96
57.42,13.95
58.00,13.93
58.58,13.91
59.16,13.89
59.76,13.87
60.35,13.85
60.96,13.83
61.57,13.81
62.18,13.79
62.80,13.77
63.43,13.76
64.07,13.75
64.71,13.74
65.35,13.72
66.01,13.70
66.67,13.68
67.33,13.66
68.01,13.64
68.69,13.62
69.37,13.60
70.07,13.58
70.77,13.56
71.48,13.55
72.19,13.53
72.91,13.50
73.64,13.49
74.38,13.47
75.12,13.45
75.87,13.43
76.63,13.41
77.40,13.38
78.17,13.35
78.95,13.33
79.74,13.30
80.54,13.27
81.35,13.25
82.16,13.24
82.98,13.22
83.81,13.21
84.65,13.19
85.50,13.16
86.35,13.12
87.22,13.08
88.09,13.05
88.97,13.00
89.86,12.96
90.76,12.92
91.66,12.88
92.58,12.86
93.51,12.84
94.44,12.82
95.39,12.80
96.34,12.77
97.30,12.72
98.28,12.68
99.26,12.64
100.25,12.61
101.25,12.58
102.27,12.57
103.29,12.56
104.32,12.54
105.37,12.50
106.42,12.45
107.48,12.40
108.56,12.35
109.64,12.30
110.74,12.26
111.85,12.22
112.97,12.17
114.10,12.13
115.24,12.07
116.39,12.05
117.55,12.00
118.73,11.95
119.92,11.90
121.12,11.87
122.33,11.84
123.55,11.81
124.79,11.76
126.03,11.72
127.29,11.69
128.57,11.66
129.85,11.60
131.15,11.55
132.46,11.51
133.79,11.47
135.12,11.42
136.48,11.38
137.84,11.31
139.22,11.26
140.61,11.20
142.02,11.12
143.44,11.09
144.87,11.05
146.32,11.00
147.78,10.93
149.26,10.88
150.75,10.81
152.26,10.77
153.78,10.72
155.32,10.67
156.88,10.60
158.44,10.54
160.03,10.47
161.63,10.43
163.24,10.39
164.88,10.33
166.53,10.27
168.19,10.22
169.87,10.15
171.57,10.09
173.29,10.05
175.02,9.97
176.77,9.92
178.54,9.86
180.32,9.80
182.13,9.74
183.95,9.67
185.79,9.61
187.65,9.54
189.52,9.47
191.42,9.39
193.33,9.33
195.27,9.27
197.22,9.21
199.19,9.14
201.18,9.06
203.19,8.98
205.23,8.90
207.28,8.82
209.35,8.74
211.44,8.64
213.56,8.55
215.69,8.47
217.85,8.38
220.03,8.31
222.23,8.22
224.45,8.13
226.70,8.03
228.96,7.93
231.25,7.86
233.57,7.79
235.90,7.70
238.26,7.65
240.64,7.61
243.05,7.58
245.48,7.55
247.93,7.53
250.41,7.55
252.92,7.59
255.45,7.62
258.00,7.66
260.58,7.72
263.19,7.80
265.82,7.89
268.48,7.97
271.16,8.04
273.87,8.13
276.61,8.20
279.38,8.26
282.17,8.31
284.99,8.36
287.84,8.43
290.72,8.47
293.63,8.49
296.57,8.50
299.53,8.50
302.53,8.49
305.55,8.47
308.61,8.44
311.69,8.38
314.81,8.32
317.96,8.25
321.14,8.17
324.35,8.07
327.59,7.96
330.87,7.87
334.18,7.76
337.52,7.63
340.90,7.52
344.30,7.39
347.75,7.29
351.23,7.17
354.74,7.06
358.28,6.95
361.87,6.86
365.49,6.75
369.14,6.65
372.83,6.57
376.56,6.47
380.33,6.39
384.13,6.31
387.97,6.23
391.85,6.16
395.77,6.08
399.73,6.00
403.72,5.92
407.76,5.84
411.84,5.76
415.96,5.66
420.12,5.58
424.32,5.50
428.56,5.43
432.85,5.35
437.18,5.27
441.55,5.19
445.96,5.11
450.42,5.02
454.93,4.95
459.48,4.87
464.07,4.80
468.71,4.74
473.40,4.66
478.13,4.58
482.91,4.50
487.74,4.43
492.62,4.36
497.55,4.29
502.52,4.21
507.55,4.14
512.62,4.08
517.75,4.01
522.93,3.93
528.16,3.86
533.44,3.80
538.77,3.73
544.16,3.65
549.60,3.58
555.10,3.50
560.65,3.44
566.25,3.38
571.92,3.30
577.64,3.22
583.41,3.16
589.25,3.09
595.14,3.01
601.09,2.93
607.10,2.85
613.17,2.80
619.30,2.74
625.50,2.67
631.75,2.60
638.07,2.53
644.45,2.47
650.89,2.41
657.40,2.35
663.98,2.27
670.62,2.21
677.32,2.15
684.10,2.10
690.94,2.04
697.85,1.98
704.83,1.92
711.87,1.87
718.99,1.81
726.18,1.75
733.44,1.69
740.78,1.62
748.19,1.56
755.67,1.50
763.23,1.44
770.86,1.39
778.57,1.32
786.35,1.27
794.22,1.21
802.16,1.15
810.18,1.09
818.28,1.04
826.46,0.99
834.73,0.94
843.08,0.89
851.51,0.83
860.02,0.77
868.62,0.73
877.31,0.68
886.08,0.63
894.94,0.57
903.89,0.50
912.93,0.43
922.06,0.37
931.28,0.33
940.59,0.29
950.00,0.24
959.50,0.19
969.09,0.14
978.78,0.09
988.57,0.05
998.46,0.01
1008.44,-0.03
1018.53,-0.07
1028.71,-0.10
1039.00,-0.14
1049.39,-0.18
1059.88,-0.22
1070.48,-0.27
1081.19,-0.31
1092.00,-0.35
1102.92,-0.39
1113.95,-0.44
1125.09,-0.48
1136.34,-0.52
1147.70,-0.56
1159.18,-0.62
1170.77,-0.67
1182.48,-0.72
1194.30,-0.75
1206.25,-0.78
1218.31,-0.81
1230.49,-0.84
1242.80,-0.88
1255.22,-0.92
1267.78,-0.97
1280.45,-1.01
1293.26,-1.04
1306.19,-1.07
1319.25,-1.09
1332.45,-1.11
1345.77,-1.14
1359.23,-1.19
1372.82,-1.23
1386.55,-1.28
1400.41,-1.31
1414.42,-1.34
1428.56,-1.37
1442.85,-1.40
1457.28,-1.43
1471.85,-1.48
1486.57,-1.53
1501.43,-1.58
1516.45,-1.62
1531.61,-1.67
1546.93,-1.72
1562.40,-1.78
1578.02,-1.84
1593.80,-1.90
1609.74,-1.95
1625.84,-2.00
1642.10,-2.05
1658.52,-2.09
1675.10,-2.11
1691.85,-2.12
1708.77,-2.10
1725.86,-2.07
1743.12,-2.03
1760.55,-1.97
1778.15,-1.90
1795.94,-1.80
1813.90,-1.69
1832.03,-1.58
1850.36,-1.45
1868.86,-1.34
1887.55,-1.24
1906.42,-1.14
1925.49,-1.03
1944.74,-0.93
1964.19,-0.83
1983.83,-0.73
2003.67,-0.64
2023.71,-0.53
2043.94,-0.44
2064.38,-0.36
2085.03,-0.28
2105.88,-0.21
2126.94,-0.14
2148.20,-0.08
2169.69,-0.03
2191.38,0.01
2213.30,0.04
2235.43,0.06
2257.78,0.07
2280.36,0.06
2303.17,0.05
2326.20,0.04
2349.46,0.04
2372.95,0.04
2396.68,0.06
2420.65,0.08
2444.86,0.10
2469.31,0.12
2494.00,0.14
2518.94,0.17
2544.13,0.22
2569.57,0.26
2595.27,0.31
2621.22,0.36
2647.43,0.41
2673.90,0.46
2700.64,0.52
2727.65,0.57
2754.93,0.61
2782.48,0.66
2810.30,0.71
2838.40,0.77
2866.79,0.84
2895.46,0.90
2924.41,0.97
2953.65,1.03
2983.19,1.09
3013.02,1.15
3043.15,1.21
3073.58,1.28
3104.32,1.35
3135.36,1.42
3166.72,1.48
3198.38,1.54
3230.37,1.61
3262.67,1.68
3295.30,1.76
3328.25,1.83
3361.53,1.92
3395.15,2.02
3429.10,2.14
3463.39,2.27
3498.03,2.41
3533.01,2.56
3568.34,2.72
3604.02,2.89
3640.06,3.08
3676.46,3.28
3713.22,3.51
3750.36,3.75
3787.86,3.99
3825.74,4.23
3864.00,4.49
3902.64,4.76
3941.66,5.04
3981.08,5.32
4020.89,5.60
4061.10,5.89
4101.71,6.17
4142.73,6.46
4184.15,6.75
4226.00,7.03
4268.26,7.29
4310.94,7.53
4354.05,7.77
4397.59,7.99
4441.56,8.21
4485.98,8.40
4530.84,8.56
4576.15,8.71
4621.91,8.83
4668.13,8.94
4714.81,9.02
4761.96,9.09
4809.58,9.12
4857.67,9.13
4906.25,9.12
4955.31,9.10
5004.87,9.07
5054.91,9.01
5105.46,8.93
5156.52,8.82
5208.08,8.70
5260.16,8.55
5312.77,8.41
5365.89,8.26
5419.55,8.09
5473.75,7.91
5528.49,7.72
5583.77,7.53
5639.61,7.34
5696.00,7.15
5752.96,6.95
5810.49,6.74
5868.60,6.53
5927.28,6.33
5986.56,6.13
6046.42,5.93
6106.89,5.71
6167.96,5.50
6229.64,5.28
6291.93,5.05
6354.85,4.84
6418.40,4.64
6482.58,4.45
6547.41,4.26
6612.88,4.08
6679.01,3.89
6745.80,3.70
6813.26,3.52
6881.39,3.36
6950.21,3.21
7019.71,3.07
7089.91,2.93
7160.81,2.80
7232.41,2.67
7304.74,2.54
7377.79,2.41
7451.56,2.29
7526.08,2.16
7601.34,2.04
7677.35,1.91
7754.13,1.78
7831.67,1.64
7909.98,1.49
7989.08,1.31
8068.98,1.11
8149.67,0.88
8231.16,0.64
8313.47,0.38
8396.61,0.09
8480.57,-0.25
8565.38,-0.62
8651.03,-1.02
8737.54,-1.44
8824.92,-1.87
8913.17,-2.33
9002.30,-2.80
9092.32,-3.27
9183.25,-3.70
9275.08,-4.11
9367.83,-4.49
9461.51,-4.85
9556.12,-5.16
9651.68,-5.42
9748.20,-5.64
9845.68,-5.81
9944.14,-5.91
10043.58,-5.98
10144.02,-6.01
10245.46,-6.01
10347.91,-5.98
10451.39,-5.91
10555.91,-5.80
10661.46,-5.68
10768.08,-5.53
10875.76,-5.35
10984.52,-5.14
11094.36,-4.90
11205.31,-4.63
11317.36,-4.36
11430.53,-4.09
11544.84,-3.82
11660.29,-3.55
11776.89,-3.29
11894.66,-3.04
12013.60,-2.83
12133.74,-2.65
12255.08,-2.50
12377.63,-2.38
12501.41,-2.30
12626.42,-2.25
12752.68,-2.23
12880.21,-2.25
13009.01,-2.30
13139.10,-2.39
13270.49,-2.51
13403.20,-2.67
13537.23,-2.86
13672.60,-3.10
13809.33,-3.39
13947.42,-3.72
14086.90,-4.09
14227.77,-4.51
14370.04,-4.96
14513.74,-5.46
14658.88,-5.99
14805.47,-6.53
14953.52,-7.05
15103.06,-7.53
15254.09,-7.97
15406.63,-8.32
15560.70,-8.59
15716.30,-8.77
15873.47,-8.85
16032.20,-8.86
16192.52,-8.79
16354.45,-8.65
16517.99,-8.46
16683.17,-8.24
16850.01,-8.00
17018.51,-7.75
17188.69,-7.54
17360.58,-7.35
17534.18,-7.20
17709.53,-7.10
17886.62,-7.05
18065.49,-7.04
18246.14,-7.05
18428.60,-7.08
18612.89,-7.14
18799.02,-7.24
18987.01,-7.36
19176.88,-7.51
19368.65,-7.69
19562.33,-7.89
19757.96,-8.13
19955.54,-8.39
