frequency,raw
20,7.22
21,7.18
22,7.15
23,7.12
24,7.09
25,7.06
26,7.03
27,7.01
28,6.98
29,6.96
30,6.94
31,6.92
32,6.91
33,6.89
34,6.89
35,6.89
36,6.88
37,6.86
38,6.84
39,6.84
40,6.85
41,6.86
42,6.86
43,6.86
44,6.86
45,6.86
46,6.86
47,6.86
48,6.86
49,6.86
50,6.86
51,6.86
52,6.86
53,6.86
54,6.86
55,6.86
56,6.86
57,6.86
58,6.86
59,6.86
60,6.86
61,6.86
62,6.86
63,6.86
64,6.86
65,6.86
66,6.86
67,6.86
68,6.86
69,6.86
70,6.86
71,6.86
72,6.86
73,6.86
74,6.86
75,6.86
76,6.86
77,6.86
78,6.86
79,6.86
80,6.86
81,6.86
82,6.86
83,6.86
84,6.86
85,6.86
86,6.86
87,6.86
88,6.86
89,6.86
90,6.86
91,6.86
92,6.86
93,6.86
94,6.86
95,6.86
96,6.86
97,6.86
98,6.86
99,6.86
100,6.86
101,6.87
102,6.88
104,6.88
105,6.88
106,6.87
107,6.85
108,6.82
109,6.80
110,6.77
111,6.73
112,6.70
113,6.66
114,6.63
115,6.60
117,6.57
118,6.55
119,6.53
120,6.52
121,6.51
123,6.52
124,6.52
125,6.53
126,6.53
128,6.53
129,6.53
130,6.53
131,6.53
133,6.53
134,6.53
135,6.53
137,6.53
138,6.53
140,6.53
141,6.53
142,6.53
144,6.53
145,6.53
147,6.53
148,6.53
150,6.53
151,6.53
153,6.53
154,6.53
156,6.53
157,6.53
159,6.53
160,6.53
162,6.53
164,6.53
165,6.53
167,6.53
169,6.53
170,6.53
172,6.53
174,6.53
175,6.53
177,6.53
179,6.53
181,6.53
183,6.53
184,6.53
186,6.53
188,6.53
190,6.53
192,6.53
194,6.53
196,6.53
198,6.53
200,6.53
202,6.53
204,6.53
206,6.53
208,6.53
210,6.53
212,6.53
214,6.53
216,6.53
218,6.53
221,6.53
223,6.53
225,6.53
227,6.53
229,6.53
232,6.53
234,6.54
236,6.54
239,6.55
241,6.56
244,6.55
246,6.54
248,6.52
251,6.50
253,6.47
256,6.44
259,6.41
261,6.37
264,6.34
266,6.31
269,6.28
272,6.25
274,6.22
277,6.20
280,6.19
283,6.19
286,6.19
288,6.20
291,6.21
294,6.21
297,6.21
300,6.21
303,6.21
306,6.22
309,6.23
312,6.23
316,6.23
319,6.22
322,6.20
325,6.18
328,6.15
332,6.12
335,6.09
338,6.05
342,6.02
345,5.98
349,5.95
352,5.92
356,5.90
359,5.88
363,5.87
366,5.86
370,5.87
374,5.87
377,5.88
381,5.89
385,5.89
389,5.90
393,5.91
397,5.91
401,5.90
405,5.88
409,5.86
413,5.83
417,5.80
421,5.76
425,5.73
430,5.70
434,5.66
438,5.64
443,5.62
447,5.60
451,5.58
456,5.55
460,5.53
465,5.51
470,5.49
474,5.47
479,5.44
484,5.41
489,5.38
494,5.35
499,5.33
504,5.30
509,5.27
514,5.24
519,5.20
524,5.17
529,5.15
535,5.13
540,5.11
545,5.09
551,5.05
556,5.01
562,4.96
568,4.92
573,4.87
579,4.82
585,4.80
591,4.77
596,4.74
602,4.70
608,4.66
615,4.61
621,4.57
627,4.52
633,4.48
639,4.43
646,4.38
652,4.34
659,4.30
665,4.26
672,4.20
679,4.14
686,4.09
692,4.03
699,3.98
706,3.92
713,3.87
721,3.80
728,3.74
735,3.67
742,3.61
750,3.55
757,3.48
765,3.41
773,3.33
780,3.25
788,3.17
796,3.10
804,3.01
812,2.92
820,2.83
828,2.73
837,2.62
845,2.50
853,2.38
862,2.26
871,2.12
879,1.99
888,1.86
897,1.72
906,1.58
915,1.44
924,1.27
933,1.11
943,0.95
952,0.80
962,0.64
971,0.47
981,0.30
991,0.15
1001,-0.02
1011,-0.18
1021,-0.34
1031,-0.49
1041,-0.65
1052,-0.80
1062,-0.95
1073,-1.10
1084,-1.23
1094,-1.36
1105,-1.49
1116,-1.62
1128,-1.76
1139,-1.88
1150,-2.01
1162,-2.12
1173,-2.24
1185,-2.36
1197,-2.47
1209,-2.57
1221,-2.66
1233,-2.75
1246,-2.83
1258,-2.91
1271,-2.98
1283,-3.05
1296,-3.13
1309,-3.21
1322,-3.27
1335,-3.34
1349,-3.41
1362,-3.47
1376,-3.55
1390,-3.64
1404,-3.71
1418,-3.79
1432,-3.89
1446,-3.98
1461,-4.09
1475,-4.19
1490,-4.30
1505,-4.40
1520,-4.50
1535,-4.61
1550,-4.70
1566,-4.81
1582,-4.92
1597,-5.03
1613,-5.12
1629,-5.21
1646,-5.30
1662,-5.39
1679,-5.49
1696,-5.58
1713,-5.66
1730,-5.75
1747,-5.82
1764,-5.89
1782,-5.97
1800,-6.04
1818,-6.08
1836,-6.12
1854,-6.14
1873,-6.16
1892,-6.15
1911,-6.14
1930,-6.10
1949,-6.04
1969,-5.95
1988,-5.83
2008,-5.70
2028,-5.55
2048,-5.35
2069,-5.12
2090,-4.86
2111,-4.56
2132,-4.25
2153,-3.91
2175,-3.56
2196,-3.19
2218,-2.80
2240,-2.41
2263,-2.03
2285,-1.64
2308,-1.26
2331,-0.89
2355,-0.54
2378,-0.22
2402,0.07
2426,0.33
2450,0.57
2475,0.79
2500,0.99
2525,1.15
2550,1.28
2575,1.37
2601,1.45
2627,1.50
2653,1.52
2680,1.53
2707,1.52
2734,1.49
2761,1.44
2789,1.38
2817,1.30
2845,1.22
2873,1.10
2902,0.98
2931,0.85
2960,0.72
2990,0.58
3020,0.43
3050,0.28
3080,0.12
3111,-0.03
3142,-0.20
3174,-0.35
3206,-0.50
3238,-0.64
3270,-0.78
3303,-0.92
3336,-1.08
3369,-1.24
3403,-1.40
3437,-1.57
3471,-1.74
3506,-1.91
3541,-2.08
3576,-2.25
3612,-2.42
3648,-2.61
3685,-2.80
3721,-3.00
3759,-3.21
3796,-3.43
3834,-3.63
3873,-3.82
3911,-4.00
3950,-4.18
3990,-4.35
4030,-4.51
4070,-4.65
