frequency,raw
20.00,2.27
20.20,2.32
20.40,2.37
20.61,2.41
20.81,2.45
21.02,2.49
21.23,2.52
21.44,2.55
21.66,2.58
21.87,2.60
22.09,2.62
22.31,2.64
22.54,2.65
22.76,2.65
22.99,2.65
23.22,2.64
23.45,2.63
23.69,2.63
23.92,2.63
24.16,2.63
24.40,2.63
24.65,2.63
24.89,2.63
25.14,2.63
25.39,2.63
25.65,2.63
25.91,2.63
26.16,2.63
26.43,2.63
26.69,2.63
26.96,2.63
27.23,2.63
27.50,2.63
27.77,2.63
28.05,2.63
28.33,2.63
28.62,2.63
28.90,2.63
29.19,2.63
29.48,2.63
29.78,2.63
30.08,2.63
30.38,2.63
30.68,2.63
30.99,2.63
31.30,2.63
31.61,2.63
31.93,2.63
32.24,2.63
32.57,2.63
32.89,2.63
33.22,2.63
33.55,2.63
33.89,2.63
34.23,2.63
34.57,2.63
34.92,2.63
35.27,2.63
35.62,2.63
35.97,2.63
36.33,2.63
36.70,2.63
37.06,2.63
37.43,2.63
37.81,2.63
38.19,2.63
38.57,2.63
38.95,2.63
39.34,2.63
39.74,2.63
40.14,2.63
40.54,2.64
40.94,2.65
41.35,2.65
41.76,2.65
42.18,2.65
42.60,2.63
43.03,2.61
43.46,2.59
43.90,2.57
44.33,2.54
44.78,2.51
45.23,2.48
45.68,2.44
46.13,2.41
46.60,2.38
47.06,2.36
47.53,2.34
48.01,2.33
48.49,2.32
48.97,2.31
49.46,2.30
49.96,2.28
50.46,2.27
50.96,2.26
51.47,2.24
51.99,2.21
52.51,2.19
53.03,2.16
53.56,2.14
54.10,2.11
54.64,2.07
55.18,2.03
55.74,1.99
56.29,1.95
56.86,1.91
57.42,1.87
58.00,1.83
58.58,1.81
59.16,1.78
59.76,1.76
60.35,1.74
60.96,1.71
61.57,1.68
62.18,1.66
62.80,1.65
63.43,1.64
64.07,1.63
64.71,1.64
65.35,1.64
66.01,1.65
66.67,1.66
67.33,1.66
68.01,1.66
68.69,1.66
69.37,1.66
70.07,1.66
70.77,1.67
71.48,1.67
72.19,1.68
72.91,1.67
73.64,1.66
74.38,1.65
75.12,1.63
75.87,1.61
76.63,1.58
77.40,1.55
78.17,1.52
78.95,1.49
79.74,1.47
80.54,1.45
81.35,1.42
82.16,1.40
82.98,1.36
83.81,1.33
84.65,1.30
85.50,1.27
86.35,1.24
87.22,1.22
88.09,1.20
88.97,1.17
89.86,1.14
90.76,1.11
91.66,1.09
92.58,1.06
93.51,1.05
94.44,1.03
95.39,1.02
96.34,1.00
97.30,0.98
98.28,0.97
99.26,0.96
100.25,0.94
101.25,0.92
102.27,0.89
103.29,0.85
104.32,0.82
105.37,0.79
106.42,0.76
107.48,0.74
108.56,0.73
109.64,0.72
110.74,0.70
111.85,0.68
112.97,0.67
114.10,0.65
115.24,0.64
116.39,0.62
117.55,0.59
118.73,0.57
119.92,0.55
121.12,0.53
122.33,0.50
123.55,0.46
124.79,0.42
126.03,0.38
127.29,0.34
128.57,0.30
129.85,0.26
131.15,0.24
132.46,0.21
133.79,0.19
135.12,0.16
136.48,0.12
137.84,0.08
139.22,0.03
140.61,-0.02
142.02,-0.07
143.44,-0.11
144.87,-0.15
146.32,-0.18
147.78,-0.20
149.26,-0.22
150.75,-0.24
152.26,-0.26
153.78,-0.28
155.32,-0.30
156.88,-0.31
158.44,-0.31
160.03,-0.31
161.63,-0.30
163.24,-0.29
164.88,-0.29
166.53,-0.29
168.19,-0.28
169.87,-0.27
171.57,-0.27
173.29,-0.27
175.02,-0.28
176.77,-0.29
178.54,-0.31
180.32,-0.33
182.13,-0.36
183.95,-0.38
185.79,-0.42
187.65,-0.45
189.52,-0.48
191.42,-0.51
193.33,-0.54
195.27,-0.56
197.22,-0.59
199.19,-0.61
201.18,-0.62
203.19,-0.63
205.23,-0.64
207.28,-0.63
209.35,-0.62
211.44,-0.62
213.56,-0.61
215.69,-0.61
217.85,-0.61
220.03,-0.61
222.23,-0.61
224.45,-0.61
226.70,-0.61
228.96,-0.61
231.25,-0.61
233.57,-0.61
235.90,-0.61
238.26,-0.61
240.64,-0.61
243.05,-0.61
245.48,-0.61
247.93,-0.61
250.41,-0.60
252.92,-0.59
255.45,-0.59
258.00,-0.60
260.58,-0.61
263.19,-0.63
265.82,-0.66
268.48,-0.68
271.16,-0.71
273.87,-0.74
276.61,-0.77
279.38,-0.80
282.17,-0.83
284.99,-0.86
287.84,-0.89
290.72,-0.91
