frequency,raw
20,9.27
21,9.38
22,9.49
23,9.59
24,9.69
25,9.78
26,9.87
27,9.94
28,10.02
29,10.08
30,10.14
31,10.16
32,10.20
33,10.24
34,10.28
35,10.30
36,10.32
37,10.34
38,10.37
39,10.40
40,10.43
41,10.47
42,10.50
43,10.53
44,10.56
45,10.60
46,10.63
47,10.66
48,10.69
49,10.72
50,10.74
51,10.76
52,10.77
53,10.77
54,10.75
55,10.73
56,10.72
57,10.72
58,10.74
59,10.75
60,10.78
61,10.81
62,10.84
63,10.87
64,10.91
65,10.94
66,10.97
67,11.01
68,11.02
69,11.03
70,11.05
71,11.07
72,11.09
73,11.11
74,11.12
75,11.14
76,11.18
77,11.22
78,11.26
79,11.30
80,11.32
81,11.34
82,11.34
83,11.34
84,11.34
85,11.33
86,11.30
87,11.25
88,11.20
89,11.15
90,11.10
91,11.04
92,10.97
93,10.90
94,10.83
95,10.77
96,10.71
97,10.66
98,10.59
99,10.53
100,10.47
101,10.44
102,10.42
104,10.42
105,10.44
106,10.46
107,10.49
108,10.53
109,10.58
110,10.62
111,10.65
112,10.68
113,10.71
114,10.73
115,10.75
117,10.76
118,10.77
119,10.76
120,10.75
121,10.75
123,10.74
124,10.74
125,10.74
126,10.75
128,10.75
129,10.76
130,10.77
131,10.76
133,10.75
134,10.73
135,10.71
137,10.68
138,10.65
140,10.62
141,10.58
142,10.55
144,10.51
145,10.48
147,10.46
148,10.43
150,10.41
151,10.40
153,10.40
154,10.40
156,10.42
157,10.43
159,10.44
160,10.44
162,10.43
164,10.41
165,10.39
167,10.36
169,10.34
170,10.31
172,10.29
174,10.25
175,10.22
177,10.17
179,10.12
181,10.08
183,10.03
184,10.00
186,9.97
188,9.93
190,9.90
192,9.87
194,9.83
196,9.78
198,9.73
200,9.68
202,9.63
204,9.58
206,9.53
208,9.48
210,9.42
212,9.36
214,9.28
216,9.21
218,9.13
221,9.05
223,8.97
225,8.89
227,8.80
229,8.70
232,8.60
234,8.51
236,8.43
239,8.32
241,8.21
244,8.11
246,8.00
248,7.88
251,7.77
253,7.66
256,7.55
259,7.44
261,7.32
264,7.20
266,7.06
269,6.93
272,6.81
274,6.68
277,6.55
280,6.41
283,6.29
286,6.16
288,6.02
291,5.87
294,5.73
297,5.59
300,5.43
303,5.28
306,5.14
309,4.98
312,4.82
316,4.68
319,4.54
322,4.39
325,4.23
328,4.10
332,3.96
335,3.81
338,3.67
342,3.53
345,3.40
349,3.27
