frequency,raw
20,6.18
21,6.23
22,6.28
23,6.32
24,6.35
25,6.39
26,6.42
27,6.44
28,6.46
29,6.48
30,6.49
31,6.49
32,6.49
33,6.47
34,6.47
35,6.47
36,6.47
37,6.47
38,6.47
39,6.47
40,6.47
41,6.47
42,6.47
43,6.47
44,6.47
45,6.47
46,6.47
47,6.47
48,6.47
49,6.47
50,6.47
51,6.47
52,6.47
53,6.47
54,6.47
55,6.47
56,6.47
57,6.48
58,6.49
59,6.49
60,6.49
61,6.47
62,6.45
63,6.43
64,6.40
65,6.37
66,6.33
67,6.30
68,6.27
69,6.23
70,6.20
71,6.17
72,6.15
73,6.13
74,6.12
75,6.12
76,6.12
77,6.14
78,6.16
79,6.17
80,6.17
81,6.16
82,6.15
83,6.13
84,6.10
85,6.07
86,6.04
87,6.02
88,5.99
89,5.96
90,5.93
91,5.88
92,5.84
93,5.79
94,5.75
95,5.71
96,5.67
97,5.64
98,5.62
99,5.60
100,5.58
101,5.56
102,5.53
104,5.50
105,5.47
106,5.45
107,5.42
108,5.40
109,5.38
110,5.35
111,5.31
112,5.28
113,5.25
114,5.22
115,5.20
117,5.19
118,5.17
119,5.17
120,5.16
121,5.15
123,5.14
124,5.12
125,5.10
126,5.06
128,5.03
129,5.00
130,4.98
131,4.96
133,4.93
134,4.89
135,4.85
137,4.82
138,4.78
140,4.75
141,4.72
142,4.69
144,4.67
145,4.64
147,4.62
148,4.60
150,4.56
151,4.53
153,4.50
154,4.47
156,4.44
157,4.41
159,4.39
160,4.36
162,4.33
164,4.30
165,4.28
167,4.25
169,4.23
170,4.21
172,4.19
174,4.16
175,4.14
177,4.12
179,4.10
181,4.07
183,4.03
184,4.00
186,3.98
188,3.95
190,3.93
192,3.90
194,3.87
196,3.85
198,3.82
200,3.80
202,3.77
204,3.75
206,3.73
208,3.70
210,3.67
212,3.64
214,3.59
216,3.55
218,3.51
221,3.46
223,3.43
225,3.40
227,3.39
229,3.36
232,3.33
234,3.29
236,3.25
239,3.20
241,3.16
244,3.12
246,3.09
248,3.07
251,3.05
253,3.02
256,2.98
259,2.94
261,2.89
264,2.85
266,2.80
269,2.77
272,2.75
274,2.73
277,2.71
280,2.66
283,2.62
286,2.57
288,2.52
291,2.47
294,2.43
297,2.41
300,2.39
303,2.37
306,2.34
309,2.30
312,2.26
316,2.22
319,2.18
322,2.14
325,2.11
328,2.09
332,2.08
335,2.05
338,2.02
342,1.98
345,1.94
349,1.90
352,1.86
356,1.82
359,1.79
363,1.76
366,1.75
370,1.73
374,1.70
377,1.67
381,1.63
385,1.59
389,1.55
393,1.52
397,1.49
401,1.46
405,1.44
409,1.42
413,1.39
417,1.37
421,1.33
425,1.30
430,1.26
434,1.22
438,1.19
443,1.17
447,1.16
451,1.14
456,1.11
460,1.06
465,1.02
470,0.97
474,0.92
479,0.87
484,0.83
489,0.79
494,0.76
499,0.74
504,0.73
509,0.70
514,0.67
519,0.64
524,0.61
529,0.58
535,0.55
540,0.53
545,0.51
551,0.50
556,0.46
562,0.43
568,0.38
573,0.33
579,0.28
585,0.24
591,0.19
596,0.15
602,0.12
608,0.10
615,0.08
621,0.06
627,0.03
633,0.01
639,-0.02
646,-0.05
652,-0.08
659,-0.10
665,-0.12
672,-0.14
679,-0.18
686,-0.21
692,-0.24
699,-0.26
706,-0.28
713,-0.30
721,-0.33
728,-0.36
735,-0.39
742,-0.41
750,-0.44
757,-0.46
765,-0.49
773,-0.53
780,-0.56
788,-0.59
796,-0.62
804,-0.65
812,-0.67
820,-0.69
828,-0.71
837,-0.71
845,-0.70
853,-0.68
862,-0.65
871,-0.63
879,-0.61
888,-0.59
897,-0.56
906,-0.53
915,-0.48
924,-0.45
933,-0.40
943,-0.35
952,-0.28
962,-0.23
971,-0.17
981,-0.11
991,-0.05
1001,0.01
1011,0.08
1021,0.15
1031,0.23
1041,0.31
1052,0.41
1062,0.51
1073,0.60
1084,0.70
1094,0.82
1105,0.95
1116,1.08
1128,1.21
1139,1.36
1150,1.52
1162,1.67
1173,1.81
1185,1.96
1197,2.11
1209,2.26
1221,2.43
1233,2.59
1246,2.74
1258,2.90
1271,3.06
1283,3.22
1296,3.38
1309,3.54
1322,3.69
1335,3.85
1349,4.01
1362,4.15
1376,4.29
1390,4.45
1404,4.59
1418,4.71
1432,4.82
1446,4.94
1461,5.04
1475,5.15
1490,5.25
1505,5.35
1520,5.44
1535,5.54
1550,5.63
1566,5.73
1582,5.82
1597,5.91
1613,5.99
1629,6.08
1646,6.17
1662,6.25
1679,6.34
1696,6.41
1713,6.49
1730,6.55
1747,6.62
1764,6.68
1782,6.74
1800,6.80
1818,6.86
1836,6.91
1854,6.96
1873,6.99
1892,7.02
1911,7.05
1930,7.08
1949,7.10
1969,7.14
1988,7.17
2008,7.21
2028,7.24
2048,7.25
2069,7.26
2090,7.29
2111,7.32
2132,7.35
2153,7.38
2175,7.43
2196,7.47
2218,7.51
2240,7.57
2263,7.63
2285,7.70
2308,7.78
2331,7.88
2355,8.01
2378,8.14
2402,8.29
2426,8.44
2450,8.59
2475,8.74
2500,8.89
2525,9.04
2550,9.19
2575,9.32
2601,9.44
2627,9.57
2653,9.68
2680,9.79
2707,9.90
2734,10.00
2761,10.08
2789,10.14
2817,10.19
2845,10.22
2873,10.25
2902,10.25
2931,10.24
2960,10.21
2990,10.15
3020,10.08
3050,9.99
3080,9.87
3111,9.72
3142,9.57
3174,9.40
3206,9.21
3238,9.02
3270,8.81
3303,8.59
3336,8.35
3369,8.10
3403,7.83
3437,7.54
3471,7.24
3506,6.94
3541,6.63
3576,6.31
3612,5.99
3648,5.66
3685,5.34
3721,5.01
3759,4.68
3796,4.36
3834,4.05
3873,3.74
3911,3.42
3950,3.11
3990,2.82
4030,2.53
4070,2.24
4111,1.93
4152,1.63
4193,1.34
4235,1.06
4278,0.79
4321,0.52
4364,0.27
4407,0.02
4451,-0.23
4496,-0.46
4541,-0.69
4586,-0.91
4632,-1.10
4679,-1.28
4725,-1.46
4773,-1.63
4820,-1.78
4868,-1.93
4917,-2.08
4966,-2.23
