frequency,raw
20.00,11.69
20.20,11.69
20.40,11.70
20.61,11.70
20.81,11.70
21.02,11.71
21.23,11.71
21.44,11.72
21.66,11.72
21.87,11.73
22.09,11.73
22.31,11.74
22.54,11.74
22.76,11.75
22.99,11.76
23.22,11.76
23.45,11.77
23.69,11.78
23.92,11.78
24.16,11.79
24.40,11.80
24.65,11.80
24.89,11.81
25.14,11.81
25.39,11.82
25.65,11.83
25.91,11.83
26.16,11.84
26.43,11.85
26.69,11.85
26.96,11.86
27.23,11.86
27.50,11.87
27.77,11.88
28.05,11.88
28.33,11.89
28.62,11.90
28.90,11.90
29.19,11.91
29.48,11.91
29.78,11.92
30.08,11.93
30.38,11.93
30.68,11.94
30.99,11.95
31.30,11.95
31.61,11.96
31.93,11.97
32.24,11.97
32.57,11.98
32.89,11.99
33.22,11.99
33.55,12.00
33.89,12.00
34.23,12.01
34.57,12.01
34.92,12.01
35.27,12.02
35.62,12.03
35.97,12.04
36.33,12.05
36.70,12.05
37.06,12.04
37.43,12.03
37.81,12.01
38.19,11.99
38.57,11.96
38.95,11.93
39.34,11.90
39.74,11.87
40.14,11.84
40.54,11.81
40.94,11.78
41.35,11.75
41.76,11.73
42.18,11.71
42.60,11.70
43.03,11.69
43.46,11.69
43.90,11.69
44.33,11.70
44.78,11.70
45.23,11.69
45.68,11.67
46.13,11.65
46.60,11.63
47.06,11.60
47.53,11.57
48.01,11.54
48.49,11.51
48.97,11.48
49.46,11.45
49.96,11.42
50.46,11.40
50.96,11.38
51.47,11.37
51.99,11.36
52.51,11.36
53.03,11.36
53.56,11.36
54.10,11.37
54.64,11.37
55.18,11.38
55.74,11.39
56.29,11.39
56.86,11.39
57.42,11.39
58.00,11.37
58.58,11.36
59.16,11.34
59.76,11.31
60.35,11.28
60.96,11.25
61.57,11.22
62.18,11.19
62.80,11.16
63.43,11.13
64.07,11.10
64.71,11.08
65.35,11.06
66.01,11.05
66.67,11.05
67.33,11.05
68.01,11.05
68.69,11.05
69.37,11.05
70.07,11.03
70.77,11.01
71.48,10.99
72.19,10.96
72.91,10.93
73.64,10.90
74.38,10.87
75.12,10.84
75.87,10.82
76.63,10.80
77.40,10.78
78.17,10.75
78.95,10.72
79.74,10.69
80.54,10.67
81.35,10.64
82.16,10.62
82.98,10.60
83.81,10.58
84.65,10.55
85.50,10.53
86.35,10.51
87.22,10.47
88.09,10.44
88.97,10.40
89.86,10.37
90.76,10.33
91.66,10.30
92.58,10.28
93.51,10.26
94.44,10.24
95.39,10.22
96.34,10.19
97.30,10.16
98.28,10.12
99.26,10.09
100.25,10.05
101.25,10.01
102.27,9.98
103.29,9.95
104.32,9.94
105.37,9.92
106.42,9.89
107.48,9.86
108.56,9.82
109.64,9.77
110.74,9.73
111.85,9.68
112.97,9.64
114.10,9.60
115.24,9.58
116.39,9.56
117.55,9.54
118.73,9.52
119.92,9.49
121.12,9.46
122.33,9.42
123.55,9.39
124.79,9.36
126.03,9.34
127.29,9.32
128.57,9.29
129.85,9.26
131.15,9.22
132.46,9.18
133.79,9.14
135.12,9.09
136.48,9.03
137.84,8.97
139.22,8.91
140.61,8.85
142.02,8.80
143.44,8.76
144.87,8.72
146.32,8.68
147.78,8.63
149.26,8.57
150.75,8.53
152.26,8.49
153.78,8.45
155.32,8.42
156.88,8.38
158.44,8.33
160.03,8.28
161.63,8.24
163.24,8.20
164.88,8.16
166.53,8.10
168.19,8.04
169.87,7.97
171.57,7.91
173.29,7.85
175.02,7.80
176.77,7.75
178.54,7.70
180.32,7.65
182.13,7.59
183.95,7.54
185.79,7.48
187.65,7.43
189.52,7.39
191.42,7.36
193.33,7.32
195.27,7.29
197.22,7.26
199.19,7.23
201.18,7.20
203.19,7.16
205.23,7.13
207.28,7.09
209.35,7.06
211.44,7.03
213.56,7.00
215.69,6.96
217.85,6.92
220.03,6.88
222.23,6.83
224.45,6.79
226.70,6.74
228.96,6.69
231.25,6.64
233.57,6.59
235.90,6.56
238.26,6.52
240.64,6.47
243.05,6.42
245.48,6.36
247.93,6.31
250.41,6.26
252.92,6.21
255.45,6.16
258.00,6.11
260.58,6.05
263.19,5.99
265.82,5.93
268.48,5.87
271.16,5.82
273.87,5.76
276.61,5.70
279.38,5.64
282.17,5.59
284.99,5.54
287.84,5.48
290.72,5.43
293.63,5.38
296.57,5.32
299.53,5.26
302.53,5.22
305.55,5.17
308.61,5.12
311.69,5.07
314.81,5.02
317.96,4.96
321.14,4.92
324.35,4.87
327.59,4.82
330.87,4.77
334.18,4.71
337.52,4.66
340.90,4.60
344.30,4.55
347.75,4.50
351.23,4.45
354.74,4.39
358.28,4.33
361.87,4.27
365.49,4.21
369.14,4.16
372.83,4.10
376.56,4.05
380.33,3.99
384.13,3.93
387.97,3.87
391.85,3.82
395.77,3.76
399.73,3.71
403.72,3.65
407.76,3.60
411.84,3.54
415.96,3.48
420.12,3.43
424.32,3.37
428.56,3.32
432.85,3.26
437.18,3.20
441.55,3.14
445.96,3.08
450.42,3.03
454.93,2.98
459.48,2.92
464.07,2.87
468.71,2.82
473.40,2.76
478.13,2.70
482.91,2.65
487.74,2.60
492.62,2.56
497.55,2.51
502.52,2.45
507.55,2.40
512.62,2.34
517.75,2.30
522.93,2.26
528.16,2.22
533.44,2.17
538.77,2.11
544.16,2.05
549.60,2.00
555.10,1.96
560.65,1.93
566.25,1.89
571.92,1.84
577.64,1.79
583.41,1.74
589.25,1.69
595.14,1.65
601.09,1.61
607.10,1.57
613.17,1.53
619.30,1.49
625.50,1.44
631.75,1.40
638.07,1.36
644.45,1.33
650.89,1.30
657.40,1.26
663.98,1.22
670.62,1.17
677.32,1.13
684.10,1.09
690.94,1.05
697.85,1.00
704.83,0.95
711.87,0.90
718.99,0.86
726.18,0.82
733.44,0.79
740.78,0.76
748.19,0.74
755.67,0.71
763.23,0.68
770.86,0.64
778.57,0.60
786.35,0.57
794.22,0.54
802.16,0.51
810.18,0.49
818.28,0.48
826.46,0.46
834.73,0.43
843.08,0.40
851.51,0.37
860.02,0.34
868.62,0.31
877.31,0.28
886.08,0.25
894.94,0.23
903.89,0.20
912.93,0.18
922.06,0.15
931.28,0.12
940.59,0.09
950.00,0.07
959.50,0.04
969.09,0.02
978.78,0.01
988.57,0.00
998.46,-0.00
1008.44,0.00
1018.53,0.01
1028.71,0.02
1039.00,0.03
1049.39,0.04
1059.88,0.05
1070.48,0.05
1081.19,0.04
1092.00,0.03
1102.92,0.01
1113.95,-0.01
1125.09,-0.04
1136.34,-0.06
1147.70,-0.09
1159.18,-0.12
1170.77,-0.16
1182.48,-0.19
