frequency,raw
20,13.57
21,13.62
22,13.68
23,13.72
24,13.77
25,13.81
26,13.85
27,13.88
28,13.90
29,13.93
30,13.95
31,13.96
32,13.97
33,13.97
34,13.97
35,13.97
36,13.97
37,13.97
38,13.96
39,13.94
40,13.91
41,13.89
42,13.85
43,13.82
44,13.79
45,13.75
46,13.72
47,13.71
48,13.68
49,13.66
50,13.63
51,13.60
52,13.57
53,13.54
54,13.52
55,13.50
56,13.47
57,13.43
58,13.41
59,13.39
60,13.36
61,13.33
62,13.30
63,13.26
64,13.23
65,13.21
66,13.18
67,13.17
68,13.14
69,13.11
70,13.08
71,13.05
72,13.00
73,12.96
74,12.92
75,12.88
76,12.84
77,12.82
78,12.81
79,12.79
80,12.76
81,12.72
82,12.68
83,12.64
84,12.60
85,12.56
86,12.52
87,12.50
88,12.48
89,12.47
90,12.44
91,12.40
92,12.36
93,12.32
94,12.28
95,12.24
96,12.21
97,12.19
98,12.17
99,12.14
100,12.10
101,12.05
102,12.00
104,11.95
105,11.91
106,11.88
107,11.85
108,11.81
109,11.78
110,11.74
111,11.69
112,11.63
113,11.59
114,11.56
115,11.52
117,11.48
118,11.44
119,11.40
120,11.35
121,11.30
123,11.27
124,11.22
125,11.18
126,11.14
128,11.10
129,11.06
130,11.01
131,10.97
133,10.92
134,10.86
135,10.81
137,10.76
138,10.72
140,10.68
141,10.63
142,10.58
144,10.52
145,10.47
147,10.42
148,10.38
150,10.35
151,10.30
153,10.24
154,10.19
156,10.13
157,10.10
159,10.06
160,10.01
162,9.95
164,9.89
165,9.84
167,9.78
169,9.73
170,9.68
172,9.61
174,9.55
175,9.48
177,9.43
179,9.37
181,9.31
183,9.25
184,9.19
186,9.12
188,9.07
190,9.01
192,8.96
194,8.90
196,8.84
198,8.79
200,8.74
202,8.68
204,8.62
206,8.56
208,8.50
210,8.44
212,8.38
214,8.31
216,8.26
218,8.20
221,8.13
223,8.06
225,7.99
227,7.93
229,7.87
232,7.80
234,7.73
236,7.66
239,7.61
241,7.56
244,7.49
246,7.41
248,7.35
