frequency,raw
20.00,7.27
20.20,7.29
20.40,7.31
20.61,7.33
20.81,7.34
21.02,7.36
21.23,7.38
21.44,7.40
21.66,7.42
21.87,7.44
22.09,7.46
22.31,7.47
22.54,7.49
22.76,7.50
22.99,7.52
23.22,7.54
23.45,7.56
23.69,7.58
23.92,7.59
24.16,7.61
24.40,7.63
24.65,7.65
24.89,7.66
25.14,7.68
25.39,7.69
25.65,7.71
25.91,7.72
26.16,7.74
26.43,7.76
26.69,7.77
26.96,7.79
27.23,7.80
27.50,7.82
27.77,7.84
28.05,7.85
28.33,7.87
28.62,7.88
28.90,7.90
29.19,7.91
29.48,7.92
29.78,7.94
30.08,7.95
30.38,7.97
30.68,7.98
30.99,7.99
31.30,8.00
31.61,8.01
31.93,8.02
32.24,8.03
32.57,8.04
32.89,8.05
33.22,8.05
33.55,8.06
33.89,8.06
34.23,8.06
34.57,8.06
34.92,8.06
35.27,8.07
35.62,8.07
35.97,8.08
36.33,8.08
36.70,8.09
37.06,8.09
37.43,8.11
37.81,8.13
38.19,8.15
38.57,8.17
38.95,8.19
39.34,8.21
39.74,8.23
40.14,8.25
40.54,8.27
40.94,8.30
41.35,8.32
41.76,8.35
42.18,8.38
42.60,8.41
43.03,8.43
43.46,8.45
43.90,8.47
44.33,8.50
44.78,8.52
45.23,8.54
45.68,8.56
46.13,8.58
46.60,8.60
47.06,8.61
47.53,8.63
48.01,8.64
48.49,8.64
48.97,8.65
49.46,8.65
49.96,8.66
50.46,8.67
50.96,8.68
51.47,8.68
51.99,8.69
52.51,8.69
53.03,8.69
53.56,8.68
54.10,8.68
54.64,8.67
55.18,8.67
55.74,8.66
56.29,8.66
56.86,8.66
57.42,8.66
58.00,8.66
58.58,8.66
59.16,8.66
59.76,8.67
60.35,8.68
60.96,8.69
61.57,8.69
62.18,8.69
62.80,8.68
63.43,8.68
64.07,8.67
64.71,8.66
65.35,8.64
66.01,8.62
66.67,8.60
67.33,8.58
68.01,8.56
68.69,8.54
69.37,8.51
70.07,8.49
70.77,8.47
71.48,8.44
72.19,8.41
72.91,8.39
73.64,8.38
