frequency,raw
20.00,3.46
20.20,3.46
20.40,3.46
20.61,3.47
20.81,3.47
21.02,3.47
21.23,3.47
21.44,3.47
21.66,3.48
21.87,3.48
22.09,3.48
22.31,3.48
22.54,3.49
22.76,3.49
22.99,3.49
23.22,3.49
23.45,3.49
23.69,3.50
23.92,3.50
24.16,3.50
24.40,3.51
24.65,3.51
24.89,3.52
25.14,3.52
25.39,3.52
25.65,3.53
25.91,3.53
26.16,3.53
26.43,3.54
26.69,3.54
26.96,3.55
27.23,3.55
27.50,3.56
27.77,3.57
28.05,3.57
28.33,3.58
28.62,3.58
28.90,3.59
29.19,3.59
29.48,3.60
29.78,3.61
30.08,3.61
30.38,3.63
30.68,3.64
30.99,3.66
31.30,3.67
31.61,3.68
31.93,3.70
32.24,3.71
32.57,3.72
32.89,3.73
33.22,3.73
33.55,3.74
33.89,3.74
34.23,3.74
34.57,3.75
34.92,3.75
35.27,3.75
35.62,3.76
35.97,3.76
36.33,3.76
36.70,3.76
37.06,3.76
37.43,3.76
37.81,3.77
38.19,3.77
38.57,3.77
38.95,3.77
39.34,3.77
39.74,3.76
40.14,3.76
40.54,3.75
40.94,3.75
41.35,3.74
41.76,3.73
42.18,3.73
42.60,3.73
43.03,3.73
43.46,3.73
43.90,3.74
44.33,3.74
44.78,3.75
45.23,3.75
45.68,3.76
46.13,3.77
46.60,3.79
47.06,3.80
47.53,3.81
48.01,3.81
48.49,3.81
48.97,3.82
49.46,3.82
49.96,3.83
50.46,3.83
50.96,3.83
51.47,3.82
51.99,3.80
52.51,3.78
53.03,3.76
53.56,3.73
54.10,3.71
54.64,3.69
55.18,3.67
55.74,3.65
56.29,3.63
56.86,3.61
57.42,3.60
58.00,3.58
58.58,3.56
59.16,3.55
59.76,3.53
60.35,3.51
60.96,3.50
61.57,3.49
62.18,3.49
62.80,3.48
63.43,3.48
64.07,3.48
64.71,3.49
65.35,3.49
66.01,3.50
66.67,3.50
67.33,3.50
68.01,3.50
68.69,3.50
69.37,3.50
70.07,3.50
70.77,3.50
71.48,3.50
72.19,3.50
72.91,3.50
73.64,3.51
74.38,3.51
75.12,3.52
75.87,3.53
76.63,3.52
77.40,3.52
